headline,final_news,date
थःम्हं यानागु योगदानयात लुमंकाः थःत भोट बिइधइगु भलसा कयाच्वंम्ह शैलेश लगंबरे,"         प्रतिनिधि व प्रदेशसभाया चुनावय् बागमती प्रदेशपाखें स्वतन्त्र उम्मेदवार कथं तुतां चिं कयाः उम्मेदवारी ब्यूम्ह शैलेश शाक्य लगंबरें थःपिं चुनावय् त्याइगुखँय् धुक्क जूगु खँ कनादीगु ।  भाजु लगंबरें थःपिं जनतां ल्ह्वनीगु सकतां मुद्दाय् ताःई न्ह्यःनिसें छम्ह अभियन्ता कथं न्ह्यज्यानाः वया च्वनागु खँ कनादिसें वय्कलं थः न्हापांनिसें कांग्रेस पार्टीइ सकृयम्ह खःसां उगु पार्टिइ थःपिं नेवाः जुयाः ज्या यायेगु स्थिति मखनेवं पार्टी परित्याग यानाः स्वतन्त्र राजनीति यानाच्वनागु खँ नं कनादीगु दु ।  येँया ९ नम्बर क्षेत्र ‘क’पाखें उम्मेदवारी बियादीम्ह लगंबरे नेवाः आन्दोलनया छम्ह सकृयम्ह कार्यकर्ताया  लिसें गुथि विधेयकया आन्दोलन, संस्कृति सम्पदा आन्दोलनया सक्रिय व्यक्तित्व नं खः । ९ नम्बर प्रदेशसभा ‘क’या वडा नेवाः बाहुल्यता दूगु १२, २१, २२ वडा लाःसा १४ वडा नं लानाच्वंगु दु ।  उम्मेदवार लगंबरें थःपिं २०३७ सालनिसें राजनीतिक आन्दोलनय् सक्रिय जुयाच्वनागु व २०४३ सालनिसें भाषा आन्दोलनय् दूगु खँ कनादिसें मतदातापिन्सं थःम्हं यानागु योगदानयात लुमंकाः थःत भोट बिइधइगु भलसा कयादीगु दु ।","  २०७९ कार्तिक २८, सोमबार "
भाषा आयोगया सिफारिसयात कार्यान्वयन यायेगु बचं बिउम्ह राजेश शाक्य,"        प्रतिनिधि सभा व प्रदेश सभाया चुनावया निंतिं येँया ८ नम्बर क्षेत्र प्रदेश ‘क’पाखें नेकपा एमालेया उम्मेदवार जुयादीम्ह राजेश शाक्यं थःपिं त्यात धाःसा बागमती प्रदेशया भाषा, जाति, संस्कृतिलिसें जनजिविकाया सवालय् ज्या यायेगु खँया बचं बियादीगु दु ।  वय्कलं ८ नम्बर प्रदेश ‘क’पाखें थःपिनिगु निक्वःगु उम्मेदवारी जूगु धासें न्हापांगु न्यादँया कार्यकालय् थःपिन्सं यानागु ज्याया मूल्यांकन यानाः जनतां थ्वपालय् नं थःत त्याकीगु भलसा कयादीगु दु ।  भाजु शाक्यं थःपिनिगु उम्मेदवारी विशेष रुपं भाषा आयोगया रिपोर्टयात कार्यान्वयन यायेगु, येँया बहिद्यः चाःहिलेगु लँपुयात सम्पदा मार्ग व पर्यटकीय मार्ग कथं विकास यायेगु लिसें नेवाःतय्गु मौलिक लजगायात थपु यायेगु, उपत्यकास्तरीय गुथि विधेयक निर्माण यायेगु अथेहे, येँ दुनेया सहरयात परम्परागत  साँस्कृतिक सहर heritage city कथं दयेकेगु अवधारणा प्रदेशसभाय् यंकेगु ग्वसाः दूगु खँ कनादीगु दु । भाजु शाक्य नेवाःतय्गु थीथी ख्यलय् च्वनाः ज्या यानाः वयाच्वंम्ह व्यक्ति खःसा वय्कलं नेवाः देय् दबू विशेष प्रदेश समितिं थःत लःल्हाःगु  नेवाः मुद्दा या ध्यानाकर्षण पतिइ थःपिनिगु पूर्ण रुपं प्रतिबद्धता दूगु खँ नं कनादीगु दु ।","  २०७९ कार्तिक २९, मंगलबार "
 भोट फ्वंवःपिंन्त  जनतां नेवाः मुद्दाया पौ लःल्हात,         प्रतिनिधि सभा व प्रदेश सभाया चुनावया दिं न्ह्यनेवयाच्वंगु थ्व इलय् भोट फ्वंवःपिं उम्मेदवार तयेगु ल्हातिइ जनतां नेवाः मुद्दा सहितया पौ लःल्हायेगु अभियानयात तच्वयेकुगु दु ।  थ्वहे झ्वलय् नेवाः अभियन्ता  गंगाबहादुर नेमकुलं बागमति प्रदेशया लागिं उम्मेदवार जुयादीपिन्त सोमबार झिंस्वंगु( १३ ) बुँदाया नेवाः साझा मुद्दाया पौ लःल्हाना दिल ।  ललितपुर क्षेत्र २ या गठबन्धन उम्मेदबार पिन्त भिन्तुना देछासे वयकलं  नेवाःतयेगु साझा मुद्दाया पौ लःल्हानादिइगु खः ।  ललितपुर निर्वाचन क्षेत्र नं. २ क या निंतिं बागमति प्रदेशया लागि गठबन्धन उम्मेदवार  रेसा श्रेष्ठ मयजु यात थथे पौ लःल्हाना दीगु खः ।  पौ लःल्हाना काये धुंका उम्मेदवार मयजु रेसा श्रेष्ठं थः नं छम्ह नेवाः जुगुलिं नेवाः मुद्दा प्रति सदां नुगः क्वसायेका च्वनेगु बचं बियादिल । थ्व अभियान या शुरुअात  नेवाः देय् दबू स्वनिगः विशेष प्रदेश पाखें न्ह्याकुगु खःसा नेवाः अभियन्ता श्रीकृष्ण महर्जनं उम्मेदवार  भोट फ्वंवइगु इलय् नेवाः मुद्दा सहितया पौ लःल्हायेत इनाप यानादीगु खः ।,"  २०७९ कार्तिक २९, मंगलबार "
लोकतान्त्रिक बामगठबन्धनया सकल उम्मेदवार तयेत  त्याकेत काठमाडौं ९ या  उम्मेदवार कल्पना धमलाया इनाप ,         येेँया २१ वडा स्थित लगंत्वालय् जूगु लोकतान्त्रिक वामगठबन्धन बिशाल सभाय् काठमाडौं क्षेत्र  ९ या प्रदेश सभा सदस्य (क)  उम्मेदवार नानू बास्तोलां थः थ्व   बिजयी  जुल धाःसा  २१ वडाया जनतां थौंकन्हे भोगेयाना च्वनेमाःगु लः या समस्या व लँ या समस्या समाधान यायेगु हे पहिलो प्राथमिकताय् तया प्रदेश बजेटपाखें थ्व समस्या समाधान यायेगु बचं बियादिल ।  अथेहेतुं वयकलं  साँस्कृतिक स्वायत्तता व पर्यटन  क्षेत्रयन   बिकासया निंतिं पलाः न्ह्याकेगु प्रतिबद्धता प्वंकादिल  । आः जुइगु निर्वाचनय् प्रतिनिधि सभा  सदस्य उम्मेदवार लोकतान्त्रिक बामगठबन्धन काठमाडौं ९ या कल्पना धमलां काठमाडौं ९ दुने विद्यमान लः व लँया समस्या ज्यंकेत काठमाडौ ९ दुने हे दुउगु लःया स्रोत ज्याख्यले हया समस्या  समाधान याये कथं अध्ययन जुयाच्वंगु दु धका धासे  मेलम्ची लः या विकल्पया रुपय् काठमाडौं ९ दुने दुउगु लः या स्रोत छ्यलेगु जुइ धका धयादिल ।  थुग चुनाव त्यात धाःसा भोट बियादीपिं जनतायात छु नं हालतय् निरासा लुइके बिइमखु मखु धका धासे काठमाडौं ९ या जनताया छ्यँ धस्वाकेत काठमाडौंया साँस्कृतिक क्षेत्र बिकास याना पर्यटन व्यवसायया बिकास यायेगु खँ नं  लोकतान्त्रिक वामगठबन्धनया उम्मेदवार पिन्सं खँ न्ह्यने हःगु दु । नापनापं युवा वर्गयात ज्या बिया रोजगार ब्यबस्थापन याये धका धागु दु ।  गठबन्धन या प्रतिपक्षपाखें यदि जनताया मेहनत व बलिदानं प्राप्त  जुउगु संविधान या उपलब्धियात खतरा जुल धासा लोकतान्त्रिक बामगठबन्धनं नेपालया संविधानया रक्षा यायेगु ज्या जुइ धका धासे  काठमाडौंया जनतायात लोकतान्त्रिक बामगठबन्धनया सकल उम्मेदवार तयेत अत्याधिक भोट बिया त्याकेत काठमाडौं ९ या प्रतिनिधि सभा उम्मेदवार कल्पना धमलां इनाप यानादिल ।,"  २०७९ मङ्सिर १, बिहिबार "
राष्ट्रपति भण्डारीं भाषाथुवा बज्राचार्ययात  सत्यमोहन नेपालभाषा साहित्य सिरपा लःल्हात,"राष्ट्रपतिं विद्या देवी भण्डारीं नेवाः भाय् व नेवाः तजिलजि या बिस्कं महत्व दु धका धयादिसे रन्जना लिपि धइगु देय्या मौलिक लिपि खः धका धयादीगु दु । राष्ट्रपति भण्डारीं राष्ट्रपति भवन शितल निवासय् बुधबार जुउगु तःजिगु छगू ज्याझ्वःया दथुइ  भाषाथुवा फणिन्द्ररत्न बज्राचार्ययात सत्यमोहन जोशी नेपालभाषा साहित्य सिरपा देछायेगु ज्याझ्वलय् थः नुगःखँ तयेगु झ्वलय् थथे धयादीगु खः ।  नेपालभाषा मंका खलः यलया ग्वसालय् जुउगु उगु ज्याझ्वः ग्वसाखलःया नायः हिराकाजी महर्जनया सभानायसुइ न्ह्यागु खः । राष्ट्रपति भण्डारीं त्वादेवाय् मत च्याका उलेज्या यानादीगु उगु ज्याझ्वलय् मंका खल यलया छ्यान्जे महेन्द्र महर्जनं लसकुस यानादीगु खः ।  ज्याझ्वलय् सिरपा शिफारिश पुचःया कजि नेवाः न्ह्यलुवा वरिष्ठ साहित्यकार डा पुष्पराज राजकर्णिकारं फणिन्द्ररत्न बज्राचार्य धइम्ह भाषाख्यलय ज्वमदुगु योगदान दुम्ह व्यक्तित्व खः धका धासे वयकलं नेपालभाषा परिषदया नायः या  ताः ईतक तक यानादीगु योगदानया चर्चा यानादिल ।  ज्याझ्वलय् विशेष पाहाँ यल महानगरपालिकाया मेयर चिरिबाबु महर्जनं वाङमय शताब्दि पुरुष सत्यमोहन जोशीया गुणयात लुमंका दिलसा वयकया""चारुमति” नांयागु छगू प्याखं क्यनेगु इच्छा थः मेयर जुया च्वनागु थ्व इलय् न्ह्याथे यानासां पूवंके धका प्रतिबद्धता प्वंकादिल । उगु हे ज्याझ्वलय् नेपालभाषा मंका खलः यलया ग्वसालय् जूगु चेस कासाय् सिरपा त्याकुपिन्त राष्ट्रपति भण्डारी पाखें सिरपा न लःल्हागु खः ।  ज्याझ्वलय् सत्यमोहन जोशी नेपालभाषा साहित्य सिरपा निस्वनेत आर्थिक ग्वाहालि यानादीपिंन्त नं हनापौ देछागु खः । उगु हे ज्याझ्वलय् राष्ट्रपति भण्डारी पाखें  नेपालभाषा मंका खलः यलया संस्थापक नायः छत्र बहादुर कायस्थयात नं हनापौ देछाना दीगु खःसा भाषासेवी मोतिलाल शिल्पकार व पुलांम्ह मन्त्री बुद्धिराज बज्राचार्य यात मंका खलः यलया मानार्थ दुजः या पौ नं लःल्हाना दीगु खः ।","  २०७९ मङ्सिर २१, बुधबार "
लोक साहित्य व संस्कृतिलागाय् ज्वमदुम्ह खः सत्यमोहन जोशीः प्रधानमन्त्री देउवा,"       नेपालभाषा मंकाः खलः यलया ग्वसालय्  शुक्रवाः यलया मंगलबजारय् वाङ्‍मय शताब्दी पुरुष सत्यमोहन जोशी मदुगु झिंस्वन्हूया पुण्य तिथिसं बिचाः मुज्या ज्याझ्वः याःगु दु ।  उगु बिचाः मुंज्याय् प्रधानमन्त्री शेरबहादुर देउवां वाङ्‍मय शताब्दी पुरुष सत्यमोहन जोशी देय्या भाषा, कला , लोक साहित्य व संस्कृतिया लागाय् ज्वमदुम्ह सुनां भ्वय् मफइम्ह व्यक्तित्व खः धइगु बिचाः प्वंकादिल ।  प्रधानमन्त्री देउवां शताब्दी पुरुष जोशी सरल जीवनया पर्याय जुगु व नेपाल  चीनया सांस्कृतिक सम्बन्ध स्थापित यायेत महत्वपूर्ण भूमिका म्हितादिम्ह व्यक्तित्व जुगु बिचाः प्वंकादिगु खः ।  प्रधानमन्त्री देउवा शुक्रबार हे सत्यमोहन जोशी लोक साहित्य भवन झाया अन संग्रहित सामग्री अवलोकन यानादिल ।  संस्कृति, पर्यटन व नागरिक उड्डयनमन्त्री जीवनराम श्रेष्ठ जोशी थेजाम्ह विद्वान व्यक्तित्व संसारय् म्हो जक जन्मे जुइगु धासे वयकः बहुगुण सम्पन्न व्यक्तित्व, विज्ञ व देशया साहित्य व संस्कृति न्ह्यब्वयेगु ज्याय्  अतुलनीय व अविस्मरणीय ज्या याःगु बिचाः तयादिगु खः ।  यल महानगरपालिकाया मेयर चिरिबाबु महर्जनं जोशीया निधनं इतिहासया छगू अध्यायया अन्त जुल धका धयादिल ।  सत्यमोहन जोशया माहिलाम्ह काय्  अनुराज जोशीं थः अबु शताब्दी पुरुषया सम्मानय् स्वंगु कथंया मुद्रा र हुलाक टिकट पिकानाः राज्यं विशिष्ट सम्मान याःगु धासें वयकः मदुगु शोकय् बिदा घोषणा यागु धइगु नं तःधंगु खँ  खः धयादिल ।  नेपालभाषा मंका खलः यलया नायः हीराकाजी महर्जनं सत्यमोहन जोशीया राष्ट्रिय व्यक्तित्वयात अजर अमर यायेगु आजु तयाः सत्यमोहन जोशी भाषा साहित्य पुरस्कार स्थापना यानाःगु जानकारी  बियादिसे भाषा साहित्यया विकासय् ग्वाहालि यायेगु नितिं आःया नितिं न्येयछद्वः तकाया पुरस्कार कोष स्थापना यानाःगु खँ नं कनादिल ।","  २०७९ कार्तिक १२, शनिबार "
नेपाल सम्बतयात कया विद्वत गोष्ठी सम्पन्न,"         नेपाल प्रज्ञा प्रतिस्थान व नेपाल सम्बत् न्हूदँ राष्ट्रिय समारोह समिति नापया मंका ग्वसालय् मंगलबार नेपाल सम्वत् न्हूदँ विषयक विद्वत गोष्ठी जुउगु दु ।  नेपाल  सम्बत ११४३ या झ्वलय् नेपाल प्रज्ञा प्रतिस्थानया देवकोटा हलय् जूगु उगु गोष्ठइ माननीय संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्री जीवन राम श्रेष्ठ मूपाहाँ कथं झायादीगु खः । राष्ट्रिय म्ये हायका न्ह्याकूगु उगु ज्याझ्वलय् ज्याझ्वःया औचित्यया  बारे खँ तया समारोह समितिया नायः प्रा डा नरेशमान बज्राचार्यजुं लसकुस यानादीगु खः ।   नेपाल सम्वतया प्रवर्तक शंखधरया किपातय् मूपाहाँ  संस्कृति पर्यटन तथा नागरिक उड्डयन मन्त्री जीवनराम श्रेष्ठ लगायत सकल पाहांपिन्सं स नं देछाना दीगु खः । म्ये हालामि पवित्र कसाःजुं ज्याझ्वलय् राजमति कुमतिया म्ये हाला न्यंकादीगु खः । थुगु म्येया महत्वयात कयाः प्रतिस्थानया निमित्त उपकुलपति डा जगमोहन गुरुंगं राणा प्रधान मन्त्री जंग बहादुर  बेलायतय्  वंबले नेपाःया राष्ट्रिय गान धका हायेकुगु खँ कनादिल ।   उगु तःजिगु व महत्वपूर्ण  नेपाल सम्वत न्हूदँ विषयक विद्वत गोष्ठीस प्रा डा  त्रिरत्न मानन्धरजुं नेपाल सम्वतया सैदान्तिक व व्यवहारिक पक्षया कार्यपत्र न्ह्यब्वया दीगु खः ।   ज्याझ्वलय् ज्याझ्वःया मूपाहां मन्त्री जीवनराम श्रेष्ठं थःगु नुगः खँ तयेगु झ्वलय्  नेपाल सम्वतया विषयलय् ज्या यानादीपिन्त शखधर राष्ट्रिय पुरस्कार नं लःल्हायगु ग्वसाः जुइ धकाः नं कनादीगु  । थ्व सिरपा न थुगुु गोष्ठी नेपाल सम्वतयात छ्यलाबुलाय् हयगु ज्याय् तिवः विइ धैगु थःम्हं विश्वास कयागु खँ कनादीगु खः ।  उगु ज्याझ्वलय् मेम्ह कार्यपत्र प्रस्तुतकर्ता प्रा डा पुरुषोतम लोचन श्रेष्ठं शंखधर साख्वाः व नेपाल सम्वत विषयक कार्यपत्र न्ह्योब्वयादीगु खः । वयकलं थःगु  खँया झ्वलय् संस्कृति सित धाःसा देय् नं सी धकाः धयादिल ।   कार्यपत्रयात कयाः ज्याझ्वलय् ब्वति कयादीपिं श्याम कृष्ण मानन्धर, प्रेमशान्ति तुलाधर, पौभा सायमि, तिमिला यमि लगायतपिन्सं नं थीथी खँत तयादीगु खः । ज्याझ्वलय् नेपाल प्रज्ञा प्रतिस्थानया निमित्त सदस्य सचिव प्रा डा  हेमनाथ पौडेलं सुभाय् न्वचु बियादीसे वयकलं नेपाल सम्वतया विषययात कःघाना थुकथंया ज्याझ्वः याये खंगु धइगु लसताया खँ खः धका धयादिल । ","  २०७९ मङ्सिर २२, बिहिबार "
शंखधर साख्वाः स्मृति प्रतिस्थानया न्हूधाःया नापनापं शंखधर न्हिँ नं हन,"न्हूधा जूकथं नायः राजभाइ जकःमियात ल्यःगु दु शंखधर साख्वाः स्मृति प्रतिस्थानया ग्वसालय् नेपाल सम्वत् ११४३ कछलाथ्व दसमि खुन्हु येँ महानगरपालिका २० वडाय् शंखधर ताँ क्वसं च्वंगु शंखधर साख्वाःया झ्वाताय् स्वां देछानाः व पाल्चा च्याकाः शंखधर न्हि हनेगु ज्या याःगु दु ।   प्रतिस्थानया ग्वसालय् लोककवि राजभाइ जकःमिया सभानायःसुइ जूगु थुगु ज्याझ्वलय् मूपाहां २० वडाया नायः राजेन्द्र महर्जन, विशेष पाहां नांजाःम्ह कलाकार किरण मानन्धर व उगु लागाया हनेबहःपिं महानुभावपिनिसं शंखधर साख्वाःया झ्वाताय् स्वां देछाय्गु व मत च्याकेगु ज्या यानादीगु खः ।  प्रतिस्थान पाखें सुजित वैद्यजुं लसकुस यानादीगु व म्ये हालामि पवित्र कसाःजुं न्ह्याकादीगु थ्व ज्याझ्वलय् मूपाहां राजेन्द्र मानन्धर, विशेष पाहां किरण मानन्धर व सभापति राजभाइ जकःमिजुपिनिसं शंखधर साख्वाः व नेपाल सम्वत्या महत्वया खँय् थःपिनिगु नुगः खँ तयादीगु खः ।  शंखधर न्हि हनेज्या लिपा जूगु मुँज्यां शंखधर साख्वाः स्मृति प्रतिस्थानया ज्यासना पुचःया न्हूधाः यायेगु ज्या जूगु दु । न्हूधf जूकथं नायः राजभाइ जकःमियात ल्यःगु दुसाः न्वकू ज्योतिरत्न ताम्राकार , छ्यांजे पवित्र वीर सिंह कंसाकार,दांभरिं कथं सुजित वैद्ययात ल्यःगु दु । अथेहेतुं ज्यासना पुचःया  दुजलय जुजु डंगोल, दिनेश महर्जन, विनोद मानन्धर,शोभा मानन्धर,रचना मल्ल,सुभद्रा श्रेष्ठ, सृजना शर्मापिन्त ल्यःगु दु ।  २० वडा स्तरय् गठन जूगु थ्व प्रतिस्थानय् २० वडाया नायः राजेन्द्र मानन्धर व वरिष्ठ चित्रकार किरण मानन्धर ुपिन्त सल्लाहकार ल्ययेगु ज्या नं जूगु दु ।  सल्लाहकारय् मेमेपिं गन्यमान्यपिं नं दुथ्याकेगु क्वःज्यूगु खँया जानकारी नं प्रतिष्ठानं बिउगु दु । थुगु मुँज्यां रामघाटय् च्वंगु शंखधर तांनिसें मरुइ च्वंगु लुँकुफल्चा तकया लँया नां शंखधर सम्पदा मार्ग तयेमा धका   नं क्वज्यूगु दु नापं येँ महानगरपालिपा नाप सहकार्य यानाः थीथी ज्याझ्वः न्ह्याका वनेगु नं क्वज्यूगु दु धका प्रतिष्ठानं जानकारी बिउगु दु । ","  २०७९ कार्तिक १९, शनिबार "
शंखघर दिवस थीथी थासय् तःजिक हन,"         नेपाल सम्बत न्हूदँ राट्रिय समारोह समिति ११४३ या इनापय्  बिहीवाः थुगसी शंखधर दिवस येँया थीथी लागाय् हंगु दु । नेपाल सम्बतया प्रवर्तक शंखधर साख्वालया गुन लुमंके कथं नेपाल सरकार पाखें शखधर साख्वायात राष्ट्रिय विभुति घोषणायाःगु न्हिंया लुमन्तिइ कछलाथ्व: दशमी खुन्हु हना वया च्वंगु शंखधर दिवस नेपाल सम्बत न्हूदँ राट्रिय समारोह समिति ११४३ या ग्वसालय्  लखुतीर्थय् छगु ज्याझ्वः जुगु दुसा पद्मरत्न तुलाधर लुमन्ति गुथि पाखें विहिबार सुथय् भोटाहिति या नापसं च्वंगु शंखधर पार्कय् च्वंगु झ्वाताय् स्वां देछाना हंगु दु ।  लखुतिर्थय् जुउगु उगु ज्याझ्वलय् समारोह समिति ११४३ या नायः प्रा.डा. नरेशमान बज्राचार्य, सल्लाहकार समितिया नायः तीर्थराम डंगोल, निवर्तमान नायः निरजनरत्न शाक्य लिसे बिशिष्ट व्यक्तित्वपिनि उपस्थिति दुउगु खः।  पद्मरत्न लुमन्ति गुथिया ग्वसा:लय् शंखधर पार्कय् जुउगु ज्याझ्वलय् येँ महानगरपालिका या उपमेयर सुनिता डंगोल या नापनापं पुलांम्ह मेयर विद्या सुन्दर शाक्य, पद्मरत्न लुमन्ति गुथिया नायः पुलांम्ह मन्त्री डा केशवमान शाक्य व नेवाः न्ह्यलुवा नरेशबीर शाक्य लगाएत हनेबह:पिं नेवा:न्ह्यलुवा: पिनिगु उपस्थितिइ खादा व स्वां देछायगु ज्या जुल ।  सुथय् येँया असं व थहिति नं शंखधर दिवस हंगु दु ।  सनिलय् थिमि शंखधर प्रतिष्ठानं शंखधर चोकय् दिपावलि ज्याझ्वः यागु दु ।  अथेहेतुं नेपाल सम्बत न्हूदँ राट्रिय समारोह समिति ११४३ या ग्वसालय् विहिबार हे सनिलय् येँया शंखधर क्यबय् नं छगू ज्याझ्वः जुल । ज्याझ्वलय् येँ महानगरपालिका या पूर्व मेयर विद्या सुन्दर शाक्य मूपाहाँ कथं झायादीगु खः । उगु ज्याझ्वलय् नेपालभाषा मंका खलः पाखें नांजाम्ह कलाकार गणेश सायमि पाहाँ कथं झायादीगु खः । ज्याझ्वः ग्वसाखलःया नायः प्रा डा नरेशमान बज्राचार्यया सभानायसुइ जूगु खः ।","  २०७९ कार्तिक १८, शुक्रबार "
नेपालभाषा एकेडेमीपाखें  दान्यहिरा सिरपा शुक्रबार लःल्हाइगु,"          नेपालभाषा एकेदेमिया ग्वसालय् दँय् दसं लःल्हानाः वयाच्वंगु ‘दान्यहिरा सिरपाः’ थुगुसिइ  वगु कौलागा चःह्रे कार्तिक ६ गते लःल्हायेगु कथं ग्वसाः ग्वयातःगु खःसा नेपाःया साहित्य व संस्कृतिया ख्यलय् ज्वःमदुगु योगदान दुम्ह युगनायक डा. सत्यमोहन जोशी  मदूगु दुःखया इलय्  नेपालभाषा एकेदेमिपाखें थ्व सिरपाः लःल्हायेगु ज्याझ्वः स्थगित याःगु खःसा आः उगु ज्याझ्वः कछलागा तृतीया शुक्रबार लःल्हाइगु जुगु दु ।  थुगुसिइ वाङ्मय शताब्दी पुरुष, संस्कृतिविद्, भाषारत्न युग पुरुष डा. सत्यमोहन जोशीयात दान्यहिरा जीवनकाछि सिरपा बिइगु क्वछिना तःगु दुसाः नापनापं संगीतकार मनराजा नकःमियात दान्यहिरा संगीत सिरपा  व विज्ञान प्रविधिपाखे डा. केशरी लक्ष्मी मानन्धरयात दान्यहिरा सिरपा बिइगु घोषणा जुउगु खः ।  थ्व स्वंगुलिं सिरपा न्येयद्वः न्येयद्वतका या सिरपा खः । मदुम्ह शताब्दी पुरुष जोशी नेपालभाषा एकेदेमिया पुलांम्ह चान्सलर खःसा  उगु एकेदेमिया संरक्षक नं जुयाच्वनादीम्ह खः । ","  २०७९ कार्तिक २२, मंगलबार "
