category,author,date,headline,final_news,url
अन्तर्राष्ट्रिय,राम डंगोल,"February 16, 2023 09:46 AM",भुखाय् ब्बःगु २२८ घौलिपा उद्धार,टर्की व सिरियाय् भुखाय् ब्बःगु २२८ घौलिपा एला नांया छम्ह मिसा नाप वया काय् अली व म्ह्याय् मेसामयात २२८ घौंलिपा टर्कीया दक्षिणी सहर कहरामनमारासया अन्टाक्यास्थित छगु अपार्टमेन्ट ब्लकया भग्नावशेषपाखे जिवितय् लिकागु दु । अथे हे उगु थासं निम्ह मिसायात न जिवितये उद्धार याःगु दु। टर्कीया सरकारी टेलिभिजन टीआरटी हबेरया कथं काहरामानमारास सहरया भग्नावशेषं २२२ घौलिपा ४७ दँ दुम्ह मेलिके इमामोउलु व मेम्ह मिसायात उद्धार याःगु खः। टर्कीया राष्ट्रिय रक्षा मन्त्रालयं भुखाय् ब्बःगु करिब २१२ घौंलिपा अदियामान सहरय् ७४ दँदुम्ह मिसायात भग्नावशेषपाखे फतमा गुन्गोररयात जीवितय् पिकाःगु खः। उगु थासय् भुखाय् ब्बया ४१ हजार स्वया अप्पो मनू सी धुकुगु दु।,https://www.lahananews.com//node/13712
अन्तर्राष्ट्रिय,लहनान्युज,"February 21, 2023 07:50 AM",टर्कीइ हाकन शक्तिशालि भुखाय् ब्बल ,टर्कीइ हाकन मेगु शक्तिशालि भुखाय् ब्बःगु दु। सिरियानाप स्वागु देशया दक्षिणी क्षेत्रय् वंगु चान्ह्यः सोमबाः ६.४ म्याग्निच्युडया भुखाय् ब्बःगु खः। उगु भुखाय् ब्बया स्वम्ह सीउगु दु। सिरियाय् न भुखाचं प्रभाव याःगु दु। निगु देशय् ६०० म्ह स्वया अप्पो घाःपाः जुगु दु धका अन्तर्राष्ट्रिय सञ्चार माध्यमं धाःगु दु।,https://www.lahananews.com//node/13738
अन्तर्राष्ट्रिय,लहनान्युज,"March 09, 2023 08:58 AM",भारतीय निर्देशक सतीश कौशिक मन्त,भारतीय अभिनेता नाप निर्देशक सतीश कौशिक ६६ दँय् मन्त। अभिनेता अनुपम खेरं ट्वीटपाखे थः यःम्ह पासा मदगु धका पुष्टि याःगु दु। खेरं च्वंगु दु– ’मृत्यु संसारया शाश्वत सत्य खः तर जिं थःयम्ह पासाया लागि थथे च्वय् मालिइ धका म्हगसय् बिचाः यानागु मदु।’ खेरं कौशिक ४५ दँनिसे पासा खः धका उल्लेख याःगु दु। कौशिक मदुगु धइगु आधिकारिक विवरण धाःसा वःगु मदुनि।,https://www.lahananews.com//node/13836
अन्तर्राष्ट्रिय,लहनान्युज,"March 10, 2023 11:37 AM",जर्मनीया ह्याम्बर्गय् गोली चले जूगुलि खुम्ह मनू सीत,जर्मनीया ह्याम्बर्गय् छम्हेसिया गोली चले याःगुलि म्हतिइ न खुम्ह सीगु दु। इसाई अभियानकःमिपिनिगु बैठक कक्षय् गोली चले जुगुलि खुम्ह सीगु दु धका समाचार एजेन्सी रोयटर्स न धाःगु दु। ह्याम्बर्गया हे ग्रस ब्रोस्टल धइगु थासाय् गोली चले जूगुलि न मनूत घाःपाः जूगु दु। थुगु घटनाया उद्देश्य अः तक न सिइ दुगु मदुनि धका प्रहरी प्रवक्ता होल्गर भेरेनं धाःगु दु।,https://www.lahananews.com//node/13844
अन्तर्राष्ट्रिय,लहनान्युज,"March 10, 2023 12:04 PM",चीनया राष्ट्रपतिइ सी जिनपिङ निर्वाचित,सी जिनपिङ स्वक्वःगु कार्यकालया लागि चीनया राष्ट्रपति जूगु दु । वयकः १४ क्वःगु राष्ट्रिय जनकंग्रेसं जारी अधिवेशनपाखे शुक्रबाः सर्वसम्मतिं राष्ट्रपतिइ निर्वाचित जूगु खः। ग्रेट हल अफ द पिपलय् उपस्थित नेशनल पिपुल्स कंग्रेस (एनपीसी) या स्वद्धः न मल्याक दुगु दुजःपिन्स ६९ दँ दुम्ह सीयात सर्वसम्मत कथं राष्ट्रपतिइ ल्यःगु दु धका समाचार एजेन्सी सिन्ह्वां धाःगु दु। थ्व नाप वयकः माओत्सेतुङ लिपा दकलय् अप्पो शक्तिशाली नेताया कथं थःगु पकड बलाकाः च्वंगु दु। सीविरुद्धय् सू न प्रतिस्पर्धी मदुगु खः। वयकः देशया केन्द्रीय सैन्य आयोगया अध्यक्षय् न स्वक्वःगु कार्यकालया लागि सर्वसम्मत निर्वाचित जूगु खः। झाओ लेजी संसदया न्हुम्ह सभामुख व हान झेंग उपाध्यक्षय् निर्वाचित जूगु खः।,https://www.lahananews.com//node/13846
अन्तर्राष्ट्रिय,राम डंगोल,"March 18, 2023 12:35 PM",रुसी राष्ट्रपति भ्लादिमिर पुटिनविरुद्ध पक्राउ पुर्जी,"इन्टरनेशनल क्रिमिनल कोर्ट (आईसीसी) नं रुसी राष्ट्रपति भ्लादिमिर पुटिनविरुद्ध पक्राउ पुर्जी जारी याःगु दु। आईसीसीं पुटिनविरुद्ध युद्ध अपराधया द्धपः बिउसे, उकिइ मस्तय्त गैरकानुनी रुपमा युक्रेनपाखे रुस छ्वःगु धका बीबीसीं धाःगु दु। रुसं २४ फेब्रुअरी २०२२ निसे युक्रेनय् आक्रमण सुरु याःगु दु। अय्न उगु आक्रमणया झ्वलय् युद्ध अपराध जूगु द्धपः अस्वीकार याना वयाच्वंगु खः। पक्राउ पुर्जीबारे टिप्पणी यासे रुसी विदेश मन्त्रालयया प्रवक्ता मारिया जखारोवां ‘इन्टरनेशनल क्रिमिनल कोर्टया फैसला झीगु देशया लागि कानुनी रुपं छु न अर्थ मदु’ धका वयकलं धाःगु दु।",https://www.lahananews.com//node/13905
अन्तर्राष्ट्रिय,राम डंगोल,"March 15, 2023 08:13 AM",रुसय लडाकु विमाननाप अमेरिकाया ड्रोन ल्वात,रुसय लडाकु विमाननाप अमेरिकाया ड्रोन ल्वाना दुर्घटना जुगु अमेरिकी अधिकारीपिन्स दाबी याःगु दु। युक्रेन युद्धया विषययात कया अमेरिका व रुस दथुइ तनाव अप्पोया च्वंगु इलय् थुगु दुर्घटना लिपा निगु देया सेनापि सतर्क अवस्थाय् दुगु धका बीबीसीं धाःगु दु। मंगलबाः रुसीया एसयू–२७ लडाकु विमान व अमेरिकाया मानवरहीत ड्रोन सर्गतय् ब्बयाच्वंगु खः। ब्बयाच्वंगु झ्वलय् अमेरिकी ड्रोन ‘ब्ल्याक सी’ (हाकू सागर)य् कुतुवना पूर्णरुपं क्षतिग्रस्त जूगु अमेरिकी अधिकारीपिन्स धाःगु दु। अमेरिकी वायु सेनाया अधिकारी जनरल जेम्स हेकरं थःपिनिगु ड्रोन अन्तर्राष्ट्रिय जल क्षेत्रय् नियमित उडान जुयाच्वंगु इलय् रुसी जेट लडाकु विमान सिइक सिइक हे न्ह्या वया ल्वाकूगु खः धका धाःगु दु। रुसया अधिकारीपिन्स धाःसा अमेरिकी ड्रोन थः हे कुतु वःगु धका धाःगु दु। रुसया विमाननाप ड्रोन ल्वागु मदु धका रुसी अधिकारीपिन्स दाबी याःगु दु।,https://www.lahananews.com//node/13877
अन्तर्राष्ट्रिय,लहनान्युज,"March 28, 2023 01:23 PM",अमेरिकाय् निजी स्कुलय् गोली चले जूया खुम्ह सीत,"अमेरिकाया टेनेसीय् छगु निजी स्कुलय् गोली चले जुगुलि स्वम्ह मस्त नाप खुम्ह सीगु दु। न्यासभिलस्थित क्रिश्चियन स्कुल कोभेन्टय् छम्ह मिसां असाल्ट राइफल व ह्याण्ड गनं अन्धाधुन्द गोली चले याःगु खः। उम्ह मनू न प्रहरीया गोली सीगु दु। गोली लाना स्कुलया विद्यार्थी व शिक्षिकयाना खुम्ह सीगु दु धका बीबीसीं धाःगु दु। स्वम्ह विद्यार्थीपि नाप स्कुलया प्रमुख, शिक्षिका व सुरक्षा गार्ड खः। कोभेन्ट स्कुलय् करिब २०० म्ह विद्यार्थीपि दु। अन स्वदँनिसे १२ दँ दुपि मस्त ब्बनेगु याइ।",https://www.lahananews.com//node/13982
अन्तर्राष्ट्रिय,लहनान्युज,"March 22, 2023 01:19 PM",पाकिस्तान व ताजकिस्तानय् भुखाय् ब्बल,अफगानिस्तानया सहर जुर्म स्वया ४० किलोमिटर दक्षिणपूर्वय् पाकिस्तान व ताजकिस्तानया सीमा नाप केन्द्रविन्दु जूया भुखाय् ब्बगुलि १३ म्ह सीगु दु। ६.५ म्याग्निच्युडया भुखाय् ब्बःगुलि दर्जनौँ मल्याक मनूत घाःपाः जूगु दु धका अन्तर्राष्ट्रिय सञ्चार माध्यमं धाःगु दु। उगु भुखाय् ब्बःगु भारतया राजधानी न्हुगु दिल्लीतक महसुस जुगु धका धाःगु दु। उत्तरपश्चिमी पाकिस्तानय् ब्बःगु भुखाचं गुम्ह मनू सीगु दु सा ४४ म्ह घाःपाः जुगु दु धका सरकारी अधिकारीपिन्स धाःगु दु। म्हिगः मंगलबाः चान्ह्यः १०ः३० बजेति भुखाय् ब्बगुलि उत्तरी खैबर पख्तुनख्वा प्रान्तया अस्पतालय् आपतकालीन अवस्थाय् तयातःगु खः। अफगानिस्तानय् प्यम्ह सीगु दु सा ५० म्ह घाःपाः जूगु दु धका स्वास्थ्य मन्त्रालयया अधिकारीं धाःगु दु।,https://www.lahananews.com//node/13943
अन्तर्राष्ट्रिय,लहनान्युज,"March 28, 2023 06:00 PM",जर्मन लियोपार्ड–२ लडाकु ट्याङ्क ग्वहालियात,जर्मनी न युक्रेनयात लियोपार्ड–२ लडाकु ट्याङ्क लःल्हाःगु दु। युक्रेनयात हतियार ग्वहालि यायेगु जर्मनीया प्रतिबद्धता कथं लियोपार्ड–२ ट्याङ्क किएभय् छ्वंगु दु धका रक्षा मन्त्रालयं धाःगु दु। युक्रेनी टोलीयात लियोपार्ड–२ ट्याङ्क छ्यलेत व सञ्चालनया प्रशिक्षण बिइत १८ गः अत्याधुनिक युद्ध ट्याङ्क छ्वंगु दु धका रक्षा मन्त्री बोरिस पिस्टोरियसं धाःगु दु। वंगु जनवरीइ जर्मनी न युक्रेनयात लियोपार्ड–२ ट्याङ्क लःल्हायेगु बचं बिःगु खः।,https://www.lahananews.com//node/13987
अन्तर्राष्ट्रिय,राम डंगोल,"April 01, 2023 12:56 PM",भारतय् हाकनं कोरोना सङक्रमितपि अप्पोल,भारतय् हाकनं कोरोनाया सङक्रमितपि अप्पोया वंगु दु। वंगु २४ घण्टाय् जक ३ हजार ९५ म्ह कोरोना सङ्क्रमण पुष्टि जूगु दु। वंगु न्यालालिपा छन्हुया दुने थुलि अप्पो सङ्क्रमण पुष्टि जुगु धका भारतया केन्द्रीय स्वास्थ्य मन्त्रालयं धाःगु दु। वंगु बुधबाः ३ हजार सङ्क्रमित जूगु खः। आः जक भारतय् १५ हजार २ सय ८ म्ह सक्रिय सङक्रमितपि दु।,https://www.lahananews.com//node/14021
अन्तर्राष्ट्रिय,लहनान्युज,"March 30, 2023 08:35 PM",भारतय् छगु देगलय् छत कुतुवया १३ म्हेसिगु ज्यान वन,भारतया मध्य प्रदेशया इन्दौरय् छगु देगलय् छत कुतुवया १३ म्हेसिगु ज्यान वःगु दु। रामनवमीया लसताय् जुयाच्वंगु मेलाय् यक्को हुल जुगुलि देगलय् छत कुतु वया १३ म्हेसिगु ज्यान वःगु दु। मध्य प्रदेशया गृहमन्त्री नरोत्तम मिश्रं देगःया छत कुतु वया झीम्ह मिसा नाप १३ म्हेसिगु ज्यान वःगु खः। आः तक १९ म्हेसित उद्धार याये धुकुगु दु धका अस्पतालं धाःगु दु। प्रदेशया मुख्यमन्त्री शिवराज सिंह चौहानं सीम्हसिया थःथितिपिन्त न्यागु लाख व घाःपाः जुपिन्त न्यय् द्धः बिइगु घोषणा याःगु दु।,https://www.lahananews.com//node/14002
अन्तर्राष्ट्रिय,लहनान्युज,"April 21, 2023 12:17 PM",एलन मस्कया रकेट परीक्षण असफल,"अमेरिकी डलर अर्बपति एलन मस्कयागु कम्पनी स्पेस एक्सं दयकूगु रकेट परीक्षण उडान यायेगु झ्वलय् विष्फोट जूगु  दु। आःतक दकलय् शक्तिशाली धयातःगु स्टारशिप रकेट टेक्ससया परीक्षणय् केन्द्रपाखे ब्बःगु छु ई लिपा हे आकाशय् विष्फोट जूगु खः। थुगु यान अन्तरीक्ष यात्रीपिन्त चन्द्रमा, मंगल ग्रह व मेमेगु अन्तरीक्ष अभियानय् यकेगु आज्जुं दयकूगु खः । एलन मस्कया थ्व महात्वाकांक्षी परियोजना खः। ब्बःगु स्वगु मिनेट लिपा हे स्टारशिप रकेटया क्याप्सुल याःगु फस्ट स्टेज रकेट बुस्टरपाखे अलग जुइमाःगु व मजुगु खः। वया लिपा रकेट बिस्फोट जूया परीक्षण उडान असफल जूगु खः। व स्वया न्ह्यः वंगु सोमबाः थुगु यान परीक्षण यायेत्यःगु खःसा लिपागु इलय् स्थगित याःगु खः।",https://www.lahananews.com//node/14140
अन्तर्राष्ट्रिय,लहनान्युज,"April 28, 2023 08:16 AM",श्रीलङ्काय् वासःया अभाव,श्रीलङ्काय् सच्छि स्वया अप्पो वासःया अभाव जूगु दु। अनया सरकारी अस्पतालय् छ्यला च्वंगु सच्छि स्वया अप्पो वासः अभाव जूगु दु धका म्हिगः संसदय् स्वास्थ्यमन्त्री केहेलिया रामबुकवेलां जानकारी बिःगु दु। सरकारी अस्पतालय् १ हजार ३ सय ४७ प्रकारया वासः छ्यला च्वंगुलि उकि मध्ये १ सय १२ प्रकारया वासः अभाव जूगु दु धका मन्त्री रामबुकवेलां जानकारी बिःगु खः। श्रीलङ्का सरकारं वासः आयातय् वार्षिक ५० अर्ब रुपैयाँ (१५ करोड ५० लाख अमेरिकी डलर) खर्च याना वयाच्वंगु खः।,https://www.lahananews.com//node/14227
अन्तर्राष्ट्रिय,लहनान्युज,"April 21, 2023 12:32 PM",जम्मु–कश्मीरय् भारतीय सेनायात आक्रमणय् न्याम्ह घाःपाः,जम्मु–कश्मीरय् भारतीय सेनायात आक्रमण जूगुलि न्याम्ह मदुगु दु। जम्मु कश्मीर को पुँछ धाःगु थासय् भारतीय सेना च्वनावंगु गाडीइ ग्रिनेडं आक्रमण याःगु खः। थुगु आक्रमण चरमपन्थी समूहया ल्हाः दुगु धका भारतीय सेनां धाःगु दु। भारतीय सेनाया नर्दन कमाण्ड हेडक्वाटरपाखे जारी विज्ञप्तिइ बिहीबाः न्हिनय् करिब ३ बजे सेना च्वना वंगु गाडीइ चरमपन्थीपिन्स ल्हातं ग्रिनेड आक्रमण याःगु खः। वया लिपा गाडीइ मिँ च्याःगु खः। थुगु घटनाय् राष्ट्रिय राइफल्सया न्याम्ह जवानपि सीउगु दु धका विज्ञप्तिए न्ह्यथना तःगु दु। आक्रमणय् छम्ह तसकं घाःपाः जूगु दु सा वयागु उपचार रजौरीस्थित सैनिक अस्पतालय् जुयाच्वंगु दु धका भारतीय मिडियां धाःगु दु।,https://www.lahananews.com//node/14141
अन्तर्राष्ट्रिय,लहनान्युज,"December 30, 2022 08:31 AM",भारतीय प्रधानमन्त्री नरेन्द्र मोदीया मां मन्त,"भारतीय प्रधानमन्त्री नरेन्द्र मोदीया मां मन्त। मोदीया मां हिराबेन १०० दँय् थौं शुक्रबाः सुथय् ३ः३० बजे मदुगु खः। स्वास्थ्यय् समस्या वयेवं हिराबेनयात अहमदाबादया यूएन मेहता अस्पतालय् भर्ना याःगु खः। प्रधानमन्त्री मोदीं थौं सुथय् सामाजिक सञ्जालपाखे थः मां मदुगु धका पुष्टि याःगु दु। मोदीं ट्वीट यासे धाःगु दु, ‘शानदार शताब्दीया ईश्वरया चरणय् बिराम‘ । मां जिं न्ह्यावलय् त्रिमूर्तिया अनुभूति यानागु दु, उकिइ छम्ह तपस्वीया यात्रा, निष्काम कर्मयोगीया प्रतीक व मूल्यप्रति प्रतिबद्ध जीवन समाहित दु ।",https://www.lahananews.com//node/13473
अन्तर्राष्ट्रिय,लहनान्युज,"December 22, 2022 03:24 PM",भारतय् न खनेदत कोरोनाया न्हुगु भेरियन्ट,चीनय् खनेदुगु कोरोना संक्रमणया न्हुगु भेरियन्ट भारतय् खनेदुगु दु। चीनय् खनेदुगु कोरोना संक्रमणया स्वंगु भेरियन्ट भारतय् तक खनेदुगु दु। भारतया गुजरात व ओडिसाय् उगु भेरियन्ट खनेदुगु खः। कोरोनाया न्हुगु भेरियन्ट चीनय् मदिक्का संक्रमणपि अप्पोया वनाच्वंगु दु। उगु हे प्रजातिया भेरियन्ट भारतय् तक खनेदुगु दु। थुगु ओमिक्रोनया सबभेरियन्ट बीएफ ७ खः।,https://www.lahananews.com//node/13427
अन्तर्राष्ट्रिय,लहनान्युज,"January 02, 2023 09:47 AM",चीनजुया लिहावःपि यात्रुपिन्त कडायात,चीन जुया लिहावःपि यात्रुपिन्त मोरक्कों प्रतिबन्ध तःगु दु। वइगु जनवरी ३ निसे मोरक्कोय् चीन जूया वइपि यात्रीपिन्त प्रवेशय् प्रतिबन्ध तःगु खः। अष्ट्रेलिया व क्यानडा न चीनपाखे वःपि यात्रुपिन्त कडा याःगु दु । अष्ट्रेलिया व क्यानडा दुहावःपिन्स आः चीन व हङकङ जुया वःपि यात्रुपिन्स ४८ घौं दुनेया रिपोर्ट कोरोना नेगेटिभ जुइमाःगु याःगु दु। क्यानडां पब्लिक हेल्थ एजेन्सी (पिएचएसी) या कथं चीन व हङकङपाखे वइपि यात्रुपिन्स कोरोनाया नेगेटिभ रिपोर्ट अनिवाय याःगु दु ।,https://www.lahananews.com//node/13485
अन्तर्राष्ट्रिय,लहनान्युज,"January 23, 2023 08:49 AM",अमेरिकाया क्यालिफोर्नियाय् डान्स क्लबय् गोलीं झीम्ह घाःपाः ,अमेरिकाया क्यालिफोर्नियाय् छम्ह बन्दुकधारीं झीम्हेसित स्यानाबिःगु दु। क्यालिफोर्नियाया लस एन्जलस सहरया छगु डान्स क्लबय् उम्ह मनूखं चलेयाःगु गोलीं झीम्ह मनू सीउगु धका अनया अधिकारी धाःगु दु। उगु घटनाय् न्याम्ह मिसा व न्याम्ह मिजंपि सीउगु खः। घटनाय् अथे मेपि झीम्ह घाःपाः जुगु दु। उकि मध्ये छु भचा अवस्था गम्भीर जुगु दु। उगु घटनाय् याम्ह ७२ दँया हुउ क्यान ट्रान खः।,https://www.lahananews.com//node/13570
अन्तर्राष्ट्रिय,लहनान्युज,"January 19, 2023 09:26 AM",न्यूजील्यान्डया प्रधानमन्त्री जसिन्डा आर्डर्न पद त्वःतिइगु,"जसिन्डा आर्डर्नं छु दिं लिपा न्यूजील्यान्डया प्रधानमन्त्री पद त्वःतिइगु जुगु दु। वंगु खुदँ ‘चुनौतीपूर्ण’ पदय् च्वने धुका आः प्यदँतक योगदान यायेत विशेष छु न ल्यःमदुगु वयकःया बिचाः दु। वयकलं वइगु दिं न चुनाव ल्वायेमखु धका धाःगु दु। आर्डर्नं फेब्रुअरी ७ तक लेबर पार्टीया नेतां राजीनामा बिइगु धका समाचार संस्था एपीं धाःगु दु। आर्डर्नं राजीनामा बिइ धुका भावी दलया नेताय् चुनाव जुइगु दु । सन् २०१७ य् प्रधानमन्त्री पद कःघाःगु इलय् ३७ दँ जक दुगु खः। आर्डर्नं उगु इलय् हलियकं दकलय् क्वकालिया मिसाम्ह राज्य प्रमुख जुगु खः। आर्डर्नया कार्यकालय् कोरोना महामारी, क्राइस्टचर्च मस्जिदय् गोली हानाहान थे जाःगु चुनौतीया सामना यायेमाःगु खः।",https://www.lahananews.com//node/13530
अन्तर्राष्ट्रिय,लहनान्युज,"January 23, 2023 09:31 AM",बेलायतया पूर्वप्रधानमन्त्री बोरिस जोनसन युक्रेनय्,बेलायतया पूर्वप्रधानमन्त्री बोरिस जोनसन युक्रेनया राजधानी किभया थीथी थासय् भ्रमण याःगु दु । आइतबाः जोनसनं सहरया पिन् भ्रमण याःगु खः। वयकःयात किभय् युक्रेनया राष्ट्रपति भ्लादिमिर जेलेन्स्की व मन्त्रीपिन्स लसकुस याःगु खः। कन्जरभेटिभ पार्टीया सांसद तक जुयादीम्ह पूर्वप्रधानमन्त्री जोनसनं राष्ट्रपति जेलेन्स्कीया ब्बनाय् युक्रेनया भ्रमण याये खःगु थःगु सौभाग्य खः धका धयादीगु खः। बेलायतय् थःगु व्यक्तिगत खर्चया विषय चचा जुयाच्वंगु इलय् जोनसनया थुगु अघोषित भ्रमणया न्ह्यसः वया च्वंगु दु धका बिबिसीं धाःगु दु। बीबीसीया अध्यक्ष रिचर्ड सार्पं जोनसनयात प्रधानमन्त्री जुगु इलय् ऋण ग्यारेन्टी यायेगु ग्वाहालि जुइगु दाबी याःगु दु। जोन्सन सरकार हे शार्पयात बीबीसीया अध्यक्षये नियुक्त याःगु खः।,https://www.lahananews.com//node/13572
अन्तर्राष्ट्रिय,लहनान्युज,"January 25, 2023 08:45 AM",कुरान च्याकूया बिरोध,"फिनल्यान्डया विदेशमन्त्री पेक्का हाभिस्टां उत्तर एटलान्टिक सन्धि संगठन (नेटो)य् दथ्यायेगु बारे फिनल्यान्ड व स्विडेनं टर्कीनाप  वार्ता दिकेमाःगु धका बःबिउगु दु। लिपागु इलय् स्विडनय् मुस्लिमपिन्स पवित्र धामिक ग्रन्थ कुरान च्याकेगु शृङ्खलाबद्ध रूपं विवादास्पद प्रदर्शन याना वया च्वंगुलि टर्कीया राष्ट्रपति रिसेप तायिप एर्दोगान आक्रोशित जुयाच्वंगु दु। टर्की नेटोय् न्हापानिसे दुजः जुगुलि फिनल्यान्ड व स्विडेनयात नेटो दुहावयेगु लागि आवेदन दिके फइ। हाभिस्टां विरोध प्रदर्शन स्पष्ट रूपमा वार्ताया लागि सिर्जना याये फइ धका धाःगु दु। टर्की धाःगु दु, “स्विडेनी सरकारया डानिस फार–राइट स्ट्राम कुर्स (कट्टरपन्थी) पार्टीया राजनीतिज्ञ रास्मस पालुदानयात सार्वजनिक थासय् कुरान च्याकेगु मदिकेगु ज्या अस्वीकार्य दु।“ थीथी विषययात कया टर्की व फिनल्यान्ड नाप स्विडेन दथुइ वार्ता दिनाच्वंगु दु ।",https://www.lahananews.com//node/13590
