url,category,date,headline,final_news
https://www.lahananews.com//node/9865,अपराध,"लहनान्युज | कौलाथ्व पंचमी ११४१, असोज २५ सोमवाः",मोरङ गोली चले जुल,मोरङ धनपालथान गाउँपालिकाया कर्सिया बजारय् गोली चले जुगु दु। कर्सिया बजारय् सिटिजन्स बैंकया शाखाय् गोली चले जुगु प्रहरीं पुष्टि याउगु दु। प्रहरीया कथं लुटपाटया आशंकाय् गोली चले जुगु खः। जिल्ला प्रहरी कार्यालय मोरङया डीएसपी दीपक श्रेष्ठया कथं गोली चले जुया सुरक्षा गार्ड घाइते जुगु खः। लुटपाटया लागि वःपि पुचःपाखे गोली चले जुगु धका प्रहरीं धाउगु दु। प्रहरी स्रोतया कथं घटनाय् संलग्न जुगु आशंकाय् स्वम्हेसित ज्वंगु दु।
https://www.lahananews.com//node/9899,अपराध,"लहनान्युज | कौलाथ्व द्धादशी ११४१, असोज ३१ आईतवाः",जबरजस्ती करणी याउगु अभियोगय् प्रहरीं छम्हेसित ज्वंन,४४ दँ दुम्ह मिसायात जबरजस्ती करणी याउगु अभियोगय् प्रहरीं छम्हेसितज्वंगु दु। बन्दीपुर गाउँपालिका–२ पौवा च्वम्ह १७ दँ दुम्हेसित प्रहरी ज्वंगु खः। उम्ह मनू न मिसायात जबरजस्ती करणी याउगु खबर सिइवं ईलाका प्रहरी कार्यालय बन्दीपुरपाखे खटे जूपि प्रहरीं वयातज्वंगु खः। वयात ज्वना थप अनुसन्धान यायेगु जुइ धका प्रहरीं धाउगु दु।
https://www.lahananews.com//%E0%A4%AF%E0%A4%B2%E0%A4%AF%E0%A4%BE-%E0%A4%9A%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A4%BF%E0%A4%87-%E0%A4%97%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8-%E0%A4%B5%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%AB%E0%A5%8B%E0%A4%9F%E0%A4%AF%E0%A5%8D-%E0%A4%B2%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%83-%E0%A4%9B%E0%A4%97%E0%A5%82-%E0%A4%B9%E0%A5%87-%E0%A4%AA%E0%A4%B0%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%AF%E0%A4%BE-%E0%A5%AA%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B8%E0%A4%BF%E0%A4%A4,अपराध,"कछलाथ्व द्धितीया ११४२, कार्तिक २० शनिवाः",यलया चक्रबहिलिइ ग्यास विष्फोटय् लानाः छगू हे परिवारया ४म्ह सित,"यलया चक्रबहिलिइ ग्यास सिलिन्डर बिस्फोट जूबलय् छगू हे परिवारया प्यम्ह सीगु दु ।  शुक्रबाः सनिलय् म्हपूजाया तयारी यानाच्वंगु इलय् यलया चक्रबहिलिइ चिब्यागु गल्ली दुने लाःगु छेँया स्वतजालय् जा थुइगु ग्यास सिलिन्डर बिस्फोट जूगु प्रहरीं न्ह्यथंगु दु ।  सीपिंलय् ६५ दँया छेँथुवाः लक्ष्मीकृष्ण ताम्रकार, ३५ दँया भौम्ह रचना ताम्रकार, ३५ दँयाम्ह हे म्ह्याय् अञ्जना ताम्रकार व १० दँया छय्म्ह निर्जल ताम्रकार लाःगु दु । घटनाय् ४२ दँया काय्म्ह निरज ताम्रकार व ३२ दँया भौम्ह सिर्जना ताम्रकार तसकं घाःपाः जूगु दु ।  उमित वासः यायेत पाटन अस्पतालय् भर्ना याःगु दु । ग्यास विस्फोट धुंकाः च्याःगु मिं छेँ नं च्यानाः पूवंक हे क्षति जूगु दु । घटना जूगु इलय् छेँय् ११ दुगु खः । न्याम्हेसित धाःसा सकुशल उद्धार यानागु प्रहरीं न्ह्यथंगु दु ।  "
https://www.lahananews.com//%E0%A4%AC%E0%A4%B8-%E0%A4%A6%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%98%E0%A4%9F%E0%A4%A8%E0%A4%BE-%E0%A4%9C%E0%A5%81%E0%A4%AF%E0%A4%BE-%E0%A5%A7%E0%A5%A6%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%98%E0%A4%BE%E0%A4%83%E0%A4%AA%E0%A4%BE%E0%A4%83,अपराध,"कौलागा दशमी ११४१, कात्तिक १४ आइतबाः",बस दुर्घटना जुया १०म्ह घाःपाः,डडेल्धुराया अलिताल गाँपालिका १ य् बस दुर्घटना जुया १०म्ह घाःपा जूगु दु ।  थौं सुथय् दार्चुलां महेन्द्रनगर पाखे वनाच्वंगु ना ८ ख ६१३२ ल्याःया बस दुर्घटना जूगु खः । दुर्घटनाय् लाना घाःपाः जुपिन्त वासःया नितिं धनगढी यंकूगु दु ।  बस सतकं सच्छिगु मिटर क्वय् कुतुवंगु प्रदेश ट्राफिक ज्याकू अत्तरियां न्ह्यथंगु दु । बसय् ३२म्ह सवार दूगु प्रहरी धाःगु दु ।
https://www.lahananews.com//%E0%A4%98%E0%A5%81%E0%A4%B8-%E0%A4%95%E0%A4%BE%E0%A4%83%E0%A4%97%E0%A5%81-%E0%A4%A7%E0%A5%87%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%B8%E0%A5%87%E0%A4%82-%E0%A4%B8%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%B0-%E0%A4%A1%E0%A4%BF%E0%A4%AD%E0%A4%BF%E0%A4%9C%E0%A4%A8-%E0%A4%87%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%B0%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%A8,अपराध,"लहना न्यूज | ने.सं. ११३९ दिल्लागा तृतिया (२० जुलाइ, २०१९), सञ्चरवाः",घुस काःगु धेबालिसें सिनियर डिभिजन इञ्जिनियरयात ज्वन,"जलस्रोत तथा सिंचाई विकास डिभिजन कार्यालय दोलखाया सिनियर डिभिजन इन्जिनियरलिसें ३म्ह कर्मचारीतय्त घुस काःगु धेबालिसें ज्वंगु दु । अख्तियार दुरुपयोग अनुसन्धान आयोगया पुचलं सिनियर डिभिजन इन्जिनियर प्रकाश अधिकारी, जलश्रोत तथा सिंचाई विकास डिभिजन कार्यालय, सिन्धुपाल्चोकया इन्जिनियर भोगेन्द्र शाह व सवारी चालक सुमन खड्कायात शंकास्पद धेबालिसें नियन्त्रणय् काःगु खः । थीथी उपभोक्ता समिति व मेमेगु कम्पनीलिसें घुस कयाः बा १ झ ५२८० ल्याःया सरकारी गाडी येँ वयाच्वंगु धइगु सूचंया लिधंसाय् आयोगया गाडीइ खानतलासी याःगु खः । ख्वपया जगातीइ गाडी पनाः खानतलासी याःगु इलय् सिनियर डिभिजन इन्जिनियर अधिकारीपाखें १३गू लख ८द्वः व न्यासः व उगु हे गाडिइ च्वनावःम्ह इन्जिनियर शाहपाखें १गू लख २९द्वः सच्छि व न्यातका शंकास्पद धेबा लूगु अख्तियारया प्रवक्ता प्रदीप कोइरालां जानकारी बियादिल । अथे हे, ड्राइभर सुमन खड्कालिसें बा १ झ ५२८० ल्याःया टोयोटा हाइलक्स गाडीयात नियन्त्रणय् कयाः अनुसन्धान जुयाच्वंगु नं प्रबक्ता कोइरालां जानकारी बियादीगु दु ।"
https://www.lahananews.com//%E0%A4%9B%E0%A4%97%E0%A5%81-%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A5%8B-%E0%A4%B2%E0%A5%81%E0%A4%81-%E0%A4%A8%E0%A4%BE%E0%A4%AA-%E0%A4%9B%E0%A4%AE%E0%A5%8D%E0%A4%B9%E0%A4%B8%E0%A4%BF%E0%A4%A4-%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%A8,अपराध,लहनान्युज | दिल्लागा औसि ११३९ (अगष्ट १ २०१९),छगु किलो लुँ नाप छम्हसित ज्वन,महानगरीय प्रहरी वृत्त थानकोटं रसुवा गोसाइँकुण्ड ५ या  पेम्बा ढुण्डुप तामाङयात छगु किलो लुँ नाप ज्वःगु दु ।  बा ९० प २७३६ नम्बरया एनएक्स मोटरसाइकलय् रसुवापाखे येँय् वयाच्वम्ह बहनि नागढुंगाय् शंका लगे जुया जाँच याःगु इलय् अथे प्रहरीं ज्वःगु खः ।  उगु लुँ जय् चिना हःगु खः ।
https://www.lahananews.com//atm-chori,अपराध,"लहनान्युज | पोहेलाथ्व पंचमी ११४१, माघ ५ सोमवाः",एनआईसी बैंकय्य एटीएम तछ्याना ध्यवा खुया स्वम्ह छम्हेसित ज्वन,"येँया ठूलोभ¥याङय् एनआईसी एसिया बैंकया एटीएम मेसिन तछ्याना ध्यवा खुइत स्वयाच्वम्ह छम्हेसित प्रहरी ज्वःगु दु । उम्ह मनू बैतडीे महादेवस्थान गाँउपालिका ५ य् च्वम्ह थौंकन्ह्य येँ महानगरपालिका १६ माछापोखरी च्वनाच्वम्ह २८ दँ दुम्ह कमलबहादुर धानुकयात प्रहरी ज्वःगु खः। महानगरीय प्रहरी वृत्त स्वयम्भुपाखे खटे जुया वःगु प्रहरी टोलीं नागार्जुन नगरपालिका २ या ठूलोभ¥याङय् उगु बैंकया एटीएम तछ्याना च्वंगु इलय् थौं सोमवाः वयात ज्वनागु दु धका महानगरीय प्रहरी परिसर येँया डीएसपी प्रमेश विष्टं जानकारी बिःगु दु। वयकःया कथं वया नाप एटीएम मेसिन तछ्यायेगु लागि छ्यलिइगु छगु पाइप रेन्ची, छगः मुगः व छगः पिलास बरामद याःगु दु ।"
https://www.lahananews.com//%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AD%E0%A5%81%E0%A4%B5%E0%A4%A8-%E0%A4%B5%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%B2%E0%A4%AF%E0%A5%8D-%E0%A5%A9%E0%A5%A9%E0%A5%A9-%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE-%E0%A4%B2%E0%A5%81%E0%A4%81-%E0%A4%A8%E0%A4%BE%E0%A4%AA-%E0%A4%9B%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B6%E0%A5%80-%E0%A4%A8%E0%A4%BE%E0%A4%97%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%82%E0%A4%A8,अपराध,"लहनान्युज | थिंलागा पारु ११४२, पुष ५ सोमवाः",त्रिभुवन विमानस्थलय् ३३३ ग्राम लुँ नाप छम्ह बंगलादेशी नागरिकयात ज्वंन,प्रहरीं त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलय् करीब ३ सय ३३ ग्राम लुँ नाप छम्ह बंगलादेशी नागरिकयात ज्वंगु दु। बंगलादेशी नागरिक राहदानी नम्बर ईएन ०९८७८१ बाहक ३५ दँ दुम्ह अस्राफुल इजलामयात प्रहरी ज्वंगु खः। हिमालयन एअरलाइन्सया उडानय् येँ बंगलादेश वनेत्यम्ह विमानस्थलय् प्रहरीं ह्याण्ड व्यागेजय् जाँच यायेगु झ्वलय् ज्वंगु खः। प्रहरीं वयाके म्हासूगु धातुया बिस्कुट निकू व १ सय ग्रामया चेनरोल छगु नाप ३ सय ३३ ग्राम लुँ बरामद याउगु खः। वयात आवश्यक अनुसन्धान व कारबाहीया लागि विमानस्थल सुरक्षा कार्यालय गौचरय् छ्वंगु दु।
https://www.lahananews.com//ghus-thief,अपराध,"डंगोल | पोहेलाथ्व सप्तमी ११४१, माघ ७ बुधवाः",घूस कयाच्वंगु ईलय् ज्वनः,"अख्तियार दुरुपयोग अनुसन्धान आयोग टंगालं वंगु टोलीं यलः महानगरपालिका–१२,  लगनख्यःया बसपार्क लिकसं सेवाग्राहीपाखें ४०द्वः ध्येबा घुस काःगु ईलय् निम्हेसितं मंगलबाः नियन्त्रणय् कयागु सहायक प्रवक्ता गणेशबहादुर अधिकारीं धयादिल । जग्गा हालसाविकया झ्वलय् ट्रायल चेक यायेत नक्सा कथंया क्षेत्रफल अप्वः दूगु मिलेयाय्त इमिसं उगु ध्येबा माग यानाच्वंगू धैगू सूचंया लिधंसाय् आयोगया टोलीं घूस कयाच्वंगु ईलय् ज्वंगु खः ।   आयोगया सहायक प्रवक्ता अधिकारीया अनुसार नीम्हेसितं कजय् कया थप अनुसन्धान जुयाच्वंगु धयादिल ।"
https://www.lahananews.com//185-rounds-of-ammunition-recovered-in-Morang,अपराध,"लहनान्युज | पोहेलागा सप्तमी ११४१, माघ २२ बिहीवाः",लक्ष्मीझारय् १८५ राउण्ड गोली लुत,मोरङया उर्लाबारी नगरपालिका–१ लक्ष्मीझारय् १८५ राउण्ड गोली लुगु दु । बँय् ल्हाका तःगु अवस्थाय् एसएलआर राइफलय् छ्यलिइगु ७.६२ एमएम गोली लुगु खः । स्थानीय दलबहादुर लिम्बूया छेँय् न्ह्यने हाकूगु प्लास्टिकय् ल्हाका तःगु अवस्थाय् लुगु धका मोरङ प्रहरीया प्रवक्तां धाःगु दु । वयकया कथं स्थानीय ५३ दँ दुम्ह भक्तबहादुर सुवेदी नं बुँ म्हुइत स्वगु इलय् हाकूगु रंगया प्लाष्टिक दुने चाःया दुने सुचुका तःगु अवस्थाय् गोली लुगु खः । गोली द्वन्द्वया इलय् माओवादीया कार्यकर्तापिन्स सुचुका तःगु जुइफु धका प्रहरीं धाःगु दु।
