category,author,date,headline,final_news,url
कासा,राम डंगोल,"चौलाथ्व चतुर्दशी ११४३, चैत्र २२ बुधवाः",आईपीएल क्रिकेटय् चेन्नई सुपर किंग्स १२ रनं बिजयी,इन्डियन प्रिमियर लिग आईपीएल क्रिकेटय् चेन्नई सुपर किंग्सं लखनउ सुपर जाइन्टसयात १२ रनं बूकुगु दु। लखनउ न टस त्याकां न्हापां बलिङ याःगु उगु कासाय् न्हापां ब्याटिङ याःगु घरेलु टोली चेन्नई न निर्धारित २० ओभरय् ७ विकेटया क्षतीइ २१७ रन दयकूगु खः। २१८ रनया लक्ष्य ज्वना ब्याटिङ याःगु लखनउ न निर्धारित ओभरय् ७ विकेटया क्षतिइ २०५ रन जक दयकूगु खः।,https://www.lahananews.com//node/14046
कासा,राम डंगोल,"चौलाथ्व द्धादशी ११४३, चैत्र २० सोमवाः",आईपीएल क्रिकेटय् बेङ्लोर च्यागू बिकेटं बिजयी ,"इन्डियन प्रिमियर लिग आईपीएल क्रिकेटय् बेङ्लोरं मुम्बई इन्डियन्सयात च्याःगु विकेटं बूकुगु दु। वंगु चान्ह्यः जुगु कासाय् मुम्बइ न बिउगु १ सय ७२ रनया विजयी लक्ष्य बेङ्लोर न १६ ओभर २ बलय् निगु विकेट गुमे याना त्याकूगु खः। बेङ्लोरया लागि विराट कोहलीं दकलय अप्पो ८२ रन दयकूगु खः। अथेहे, फाफ डु प्लेसिसं ७३ व ग्लेन म्याक्स वेलं १२ रन दयकूगु खः। मुम्बईया अर्शद खान व क्यामरोन ग्रीनं छगु छगु विकेट काःगु खः। टस बूया न्हापां ब्याटिङ याःगु मुम्बई न निर्धारित २० ओभरय् न्ह्यगू विकेटय् १ सय ७१ रन दयकूगु खः। मुम्बईया लागि तिलक बर्मा न ८४ रन दयकूगु खः । अथेहे, मुम्बईया नेहाल वाधेरां २१ रन, अर्शद खान, सूर्यकुमार यादवं १५ व ईशान किसनं १० रन दयकूगु खः। बेङ्लोरया लागि कर्ण शर्मा न निगु विकेट, मोहम्मद शिराज, रिस टोप्ली, आकाश दीप, हर्षल पटेल व माइकल ब्रेसवेलं छगु छगु विकेट काःगु खः। आईपीएल क्रिकेटय् थौं चेन्नई सुपर किङ्ग्स व लखनउ सुपर जायन्टस् ७ः४५ बजे चेन्नईलय् जुइगु दु।",https://www.lahananews.com//node/14034
कासा,राम डंगोल,"चौलाथ्व द्धादशी ११४३, चैत्र २० सोमवाः",आईपीएल राजस्थान रोयल्स ७२ रन बिजयी ,"इन्डियन प्रिमियर लिग (आईपीएल) टी–२० क्रिकेटय् राजस्थान रोयल्सं सनराइजर्स हैदराबादयात बूकुगु दु। आइतवाः बहनि जुगु न्हापागु कासाय् राजस्थानं हैदराबादयात ७२ रनं पराजित याःगु खः। राजस्थानं बिउगु २ सय ४ रनया लक्ष्य हैदराबादं निर्धारित २० ओभरय् ८ विकेट गुमे याना १ सय ३१ रन जक जक दयकूगु खः। सनराइजर्सया लागि अब्दुल समादं नटआउट ३२ व मयंक अग्रवालं २७ रन दयकूगु खः। राजस्थानया युजवेन्द्र चहलं प्यंगु व ट्रेन्ट बोल्टं निगु बिकेट काःगु खः। हैदराबादं टस बूया न्हापां ब्याटिङ याःगु खःसा राजस्थानं २० ओभरय् ५ विकेट गुमेयाना २ सय ३ रन दयकूगु खः। सन्जु सामसनं ५५, यशस्वी जयसवाल व जस बटलरपिन्स ५४÷५४ रन दयकूगु खः। हैदरावादया थंगरसु नटराजन व फजलहक फरुकीपिन्स निगु निगु विकेट काःगु खः। थुगु कसालिपा राजस्थान २ अङ्क जुगु दु।",https://www.lahananews.com//node/14033
कासा,राम डंगोल,"चौलाथ्व चतुर्दशी ११४३, चैत्र २२ बुधवाः",आईपीएल क्रिकेटय् गुजरात खुगु बिकेटं बिजयी,"इडियन प्रिमियर लिग (आईपीएल) क्रिकेटय् साविक विजेता गुजरात टाइटन्सं लगातार त्याःगु दु। वंगु चान्ह्यः जूगु कासाय् दिल्लीया घरेलु मैदान अरुण जेट्ली स्टेडियमय् जूगु कासाय् गुजरातं दिल्ली क्यापिटल्सयात खुगु विकेटं बूकुगु दु। दिल्लीं बिःगु १ सय ६३ रनया लक्ष्य गुजरातं १८ ओभर १ बलय् प्यंगु विकेट गुमे याना पूरा याःगु खः। गुजरातया साई शुदर्शनं ६२, डेभिड मिलरं ३१ व विजय शंकरं २९ रन दयकूगु खः। दिल्लीया एनरिक नोर्कियां निगु, खलिल अहमद व मिचेल मार्शं छगु छगु विकेट काःगु खः। टस बूया न्हापां ब्याटिङ याःगु दिल्लीं २० ओभरय् ८ विकेट गुमे याना १ सय ६२ रन दयकूगु खः। दिल्लीया कप्तान डेभिड वार्नरं ३७ व अक्षर पटेलं ३६ रन दयकूगु खः । गुजरातया मोहम्मद शमी व राशिद खानं स्वंगु स्वंगु नाप अल्जारी जोशेफं निगु विकेट काःगु खः। थुगु कासालिपा गुजरात ४ अङ्कं नाप शीर्ष स्थानय् लाःगु दु।",https://www.lahananews.com//node/14047
कासा,राम डंगोल,"चौलाथ्व पुन्हि ११४३, चैत्र २३ बिहीवाः",अमेरिका व यूएई आईसीसी विश्व कप क्वालिफायरय् छनोट,"अमेरिका व यूएई आईसीसी विश्व कप क्वालिफायरया लागि छनोट जूगु दु। विश्व कप क्वालिफायर छनोटय् शीर्ष निगु अमेरिका व यूएई न वइगु जुन–जुलाईलय् जिम्बावेय् जुइत्यःगु विश्व कप क्वालिफायर म्हितीइगु जुगु दु। नामिबियाय् जुयाच्वंगु लिपागु कासाय् निगु कासा न्ह्यः हे शीर्ष निगु टोलीया क्वछिगु दु। कासाय् अमेरिका, यूएई, पपुवा न्युगिनी, जर्सी, क्यानडा व नामिबिया दु। अमेरिका न्यागु कासाय् ८ अङ्क नाप तालिकाय् शीर्ष स्थानय् दु। यूएई प्यगु कासाय् ६ अङ्क दु। यूएई न थौं जर्सीनाप म्हितीइ। यूएई थुगु कासा बूसा नामिबियानाप ६÷६ अङ्क हे दु। ’हेड टु हेड’ य् यूएई न्ह्यने दुगुलि विश्व कप क्वालिफायरय् छनोट जूगु दु। यूएई न प्यदँया लागि एकदिवसीय मान्यता न काःगु दु।",https://www.lahananews.com//%E0%A4%85%E0%A4%AE%E0%A5%87%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A4%BE-%E0%A4%B5-%E0%A4%AF%E0%A5%82%E0%A4%8F%E0%A4%88-%E0%A4%86%E0%A4%88%E0%A4%B8%E0%A5%80%E0%A4%B8%E0%A5%80-%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5-%E0%A4%95%E0%A4%AA-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%AB%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A4%AF%E0%A5%8D-%E0%A4%9B%E0%A4%A8%E0%A5%8B%E0%A4%9F
कासा,राम डंगोल,"चौलागा पारु ११४३, चैत्र २४ शुक्रवाः",आईपीएल क्रिकेटय् कोलकतां बेंग्लोरयात ८१ रनं त्याकल,"इन्डियन प्रिमियर लिग (आईपीएल) क्रिकेटय् कोलकता नाईट राईडर्सं रोयल च्यालेन्जर्स बेंग्लोरयात ८१ रनं बूकुगु दु। वंगु चान्ह्यः इडेन गार्डेनय् जूगु कासाय् कोलकतां बिःगु २ सय ५ रनया लक्ष्य बेंग्लोरं १७ ओभर ४ बलय् १ सय २३ रन जक दयकूगु खः। बेंग्लोरया कप्तान फाफ डु प्लेसिसं दकलय् अप्पो २३ व विराट कोहलीं २१ रन दयकूगु खः। कोलकताया वरुण चक्रवर्ती ४, सुयश शर्मां ३ व सुनिल नारेनं २ विकेट काःगु खः। घरेलु मैदानय् टस बूया न्हापां ब्याटिङ याःगु कोलकतां २० ओभरय् ७ विकेट गुमे याना २ सय ४ रन दयकूगु खः। कोलकताया शार्दुल ठाकुरं सर्वाधिक ६८ रन व रहमानुल्लाह गुर्वाजं ५७ रन दयकूगु खः। आईपीएल क्रिकेटय् गुर्वाजया थ्व हे न्हापागु अर्धशतक खः। अथेहे रिंकु सिंहं ४६ रन दयकूगु खः। बेंग्लोरया डेबिड बिल्ली व कर्ण शर्मां निगु निगु व मोहम्मद सिराज, हर्षल पटेल, माईकल ब्रेसवेलपिन्स छगु छगु विकेट काःगु खः।",https://www.lahananews.com//node/14057
कासा,लहनान्युज,"चौलागा चौथी ११४३, चैत्र २७ सोमवाः",आईपीएलय् न्हापां सनराइजर्स हैदरावाद बिजयी,"इन्डियन प्रिमियर लिग (आईपीएल)य् पञ्जाव किंग्सया अपराजित यात्राय् दिपाः वःगु दु। म्हिगः जूगु कासाय् सनराइजर्स हैदरावादं थुगु सिजिनय् न्हापां त्याकूगु खः। म्हिगः चान्ह्यः जूगु कासाय् मायांक मार्कन्डे व राहुल त्रिपाटीपि मिले जुया हैदरवादां पञ्जावयात ८ विकेटं याउक बूकुगु खः। मदिक्क निगु कासा बुनाच्वंगु हैदरवादं न्हापां कासा त्याकां २ अंक काःगु दु। पञ्जावया स्वगू कासा लिपा ४ अंक जूगु दु। घरेलु मैदान राजीव गान्धी स्टेडियमय् हैदरवादं १४४ रनया लक्ष्य १७.१ ओभरय् निगु विकेट गुमेयाना पूरा याःगु खः। राहुल त्रिपाटीं अविजित ७४ रन, कप्तान अइडन मारक्रमं २१ अविजित ३७ रन दयकूगु खः । निम्हेसिया अविजित १०० रनया साझेदारी याःगु खः। ओपनर मयंक अग्रवालं २१ व ह्यारी ब्रुकं १३ रन दकूगु खः। पञ्जावया लागि अर्शदिप सिंह व राहुल चाहारं छगू छगू विकेट काःगु खः। टस बुया न्हापां ब्याटिङ याःगु पञ्जावं कप्तान शिखर धवनं अविजित ९९ रनया ग्वाहालिं ९ विकेटय् १४३ रन दयकूगु खः।",https://www.lahananews.com//node/14071
कासा,राम डंगोल,"तछलाथ्व चौथी ११४३, बैसाख ११ सोमवाः",आईपीएल क्रिकेटय् चेन्नई ४९ रन बिजयी,"इन्डियन प्रिमियर लिग आईपीएल क्रिकेटय् चेन्नई  सुपर किङ्सं कोलकाता नाइट राइडर्सयात ४९ रनं बूकुगु दु। कोलकाताया घरेलु मैदान इडन गार्डेनय् जूगु कासाय् चेन्नई न शानदार ब्याटिङ यागु खः। चेन्नई न बिःगु २ सय ३६ रनया लक्ष्य कोलकातां निर्धारित २० ओभरय् ८ विकेटय् १ सय ८६ रन जक दयकेफुगु खः। कोलकाताया लागि जसन रोय व रिंकु सिंहपिन्स अर्धशतकीय पारी म्हितूगु खः। जसन रोयं ६१ रन, रिंकु सिंहं ५३ रन, कप्तान नितिश राणां २७ व भेन्कटेस ऐरं २० रन दयकूगु खः। चेन्नईया लागि तुसार देशपाण्डे व महेश थिक्सनां निगु निगु विकेट व आकाश सिंह, मोइन अलि, रविन्द्र जडेजा व मथिशा पथिरानापिन्स छगु छगु विकेट काःगु खः। टस बूया न्हापां ब्याटिङ याःगु चेन्नई न निर्धारित २० ओभरय् ४ विकेटय् २ सय ३५ रन दयकूगु खः। चेन्नईया लागि अजिन्क्या रहाणे, डेभोन कन्वे व शिवम् दुवेपिन्स अर्धशतकीय पारी म्हितूगु खः। अजिन्क्या रहाणे न ७१ रन, कन्वें ५६ व शिवम् दुवे न ५० रन दयकूगु खः। अथेहे, ऋतुराज गायकवाडं ३५ व रविन्द्र जडेजां १८ रन दयकूगु खः। कोलकाताया लागि कुलवन्त खेजरोलियां निगु विकेट, वरुण चक्रवर्ती व सुयश शर्मापिन्स छगु छगु विकेट काःगु खः।",https://www.lahananews.com//node/14159
कासा,राम डंगोल,"तछलाथ्व पंचमी ११४३, बैसाख १२ मंगलवाः",आईपीएल क्रिकेटय् दिल्ली क्यापिटल्स ७ रनं बिजयी,"इन्डियन प्रिमियर लिग (आईपीएल) क्रिकेटय् दिल्ली क्यापिटल्स बिजयी जुगु दु। म्हिगः चान्ह्यः जुगु कासाय् दिल्लीं सनराइजर्स हैदराबादयात ७ रनं बूकुगु खः। दिल्लीं बिगु १ सय ४५ रनया लक्ष्य हैदराबादं २० ओभरय् ६ विकेटय् १ सय ३७ रन दयकूगु खः। हैदराबादया मयङ्क अग्रवालं दकलय् अप्पो ४९ रन दयकूगु खःसा हेनरिक केल्सनं ३१ रन दयकूगु खः। दिल्लीया एनरिच नोर्किया व अक्षर पटेलपिन्स निगु निगु विकेट व इशान्त शर्मा, कुलदीप यादवपिन्स छगु छगु विकेट काःगु खः। हैदराबादय् न्हापां ब्याटिङ याःगु दिल्लीं निर्धारित २० ओभरय् ९ विकेटय् १ सय ४४ रन दयकूगु खः। दिल्लीया मनिष पान्डे व अक्षर पटेल ३४ रन दयकूगु खः। हैदराबादया वासिङ्टन सुन्दरं ३ विकेट, भुवनेश्वर कुमारं निगु विकेट व टी नटराजनं छगू विकेट काःगु खः।",https://www.lahananews.com//node/14181
कासा,राम डंगोल,"तछलाथ्व चौथी ११४३, बैसाख ११ सोमवाः",प्रिमियर लिगय् न्युकासलं २१ मिनेतय् न्यागु गोल,प्रिमियर लिग आइतबाः जूगु कासाय् न्युकासल युनाइटेडं टोटनहमयात ६–१ गोलं पराजित याःगु दु। थुगु कासा लिपा न्युकासल अंकतालिकाय् स्वंगुगु थासय् लाःगु दु। घरेलु मैदान सेन्ट जेम्स पार्कय् न्युकासलं २१ मिनेट दुने हे न्याःगु गोल याःगु खः। न्युकासलया लागि जाकोब मर्फीं २ व ९ मिनेटय् गोल याःगु खःसा जोएलिन्टनं ६ मिनेटय् गोल याःगु खः। एलेक्जान्डर इसाकं १९ गु व २१ गु मिनेटय् गोल यासे न्युकासल ५–० गोलं अग्रता काःगु खः। कासाया ४९ गु मिनेटय् ह्यारी केनं मेगु गोल याःगु खः।,https://www.lahananews.com//node/14162
