category,date,headline,final_news,url
राजनीति,लहनान्यूज सम्वाददाता | कछलाथ्व नवमि ११३७ (नोभम्बर ९ २०१६),पुलांम्ह जुजु सिंगापुरपाखे,निजी भ्रमणया झ्वलय् पुलांम्ह जुजु ज्ञानेन्द्र शाह थौं सिंगापुर झाःगु दु ।  पुलांम्ह जुजु शाह लिसें वय्कःया निजी सचिव सागर तिमल्सिना नं उखे झाःगु दु । सिंगापुरय् छुं दिं च्वनेधुंकाः शाह भारत झाइगु धाःगु दु ।  छुं दिं न्ह्यः शाहया स्वकीय सचिव तिमल्सिना भारत वनाः नापलायेगु व मेमेगु ज्याझ्वःत क्वःछिनादीगु खः । सिंगापुरं पुलांम्ह जुजु शाह भौ हिमानी शाहलिसें भारत झाइगु धाःगु दु ।  हिमानी धाःसा छुं दिं न्ह्यः हे सिंगापुर झायेधुंकूगु दु ।  भारतय् पुलांम्ह जुजु शाहं छुं राजनीतिक मनूतयत नापलाइगु उच्च स्रोतं दाबी याःगु दु । ,https://www.lahananews.com//%E0%A4%AA%E0%A5%81%E0%A4%B2%E0%A4%BE%E0%A4%82%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%9C%E0%A5%81%E0%A4%9C%E0%A5%81-%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87
राजनीति,लहनान्यूज सम्वाददाता | कछलाथ्व षष्ठी ११३७ (नोभम्बर ६ २०१६),‘संविधान संशोधनया मस्यौदा जिके मदु’,"संघीय समाजवादी फोरम नेपालया ल्यू नायः राजेन्द्र श्रेष्ठं नेपाल सरकारया पाखें संविधान संशोधनया खँयात कयाः छ्वयाहःगु धाःगु  संघीय गठबन्धनया सचिवालय संयोजकया भाला तकं कुबिया च्वनादीम्ह नेता श्रेष्ठं संविधान संशोधनया मस्यौदा थःगु ल्हातय् नं दुगु धकाः पिदंगु बुखँ गलत खःगु धयादीगु खः ।  थःगु नां स्वानाः मखुकथं बुखँ पिथंगु धकाः बुखँया खण्डन यासें वयकलं उगु बुखँयात प्रायोजिन, कपोलकल्पित व भ्रमं जाःगु दाबी यानादीगु दु ।",https://www.lahananews.com//%E2%80%98%E0%A4%B8%E0%A4%82%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8-%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%AF%E0%A5%8C%E0%A4%A6%E0%A4%BE-%E0%A4%9C%E0%A4%BF%E0%A4%95%E0%A5%87-%E0%A4%AE%E0%A4%A6%E0%A5%81%E2%80%99
राजनीति,लहनान्यूज सम्वाददाता | कछलागा षष्ठी ११३७ (नोभम्बर २० २०१६),ओली हे न्हापांम्ह राष्ट्रघाती’ – श्रेष्ठ,"संघीय समाजवादी फोरम नेपालया ल्यूनायः राजेन्द्र श्रेष्ठंं संविधान संशोधनया विषय राष्ट्रघाती विदेशी एजेन्डा खःसा नेकपा एमालेया नायः केपी ओली हे दक्कले न्हापांम्ह राष्ट्रघाती खःगु धयादीगु दु । सङ्घीय समाजवादी फोरम, नेपाल यल जिल्लाया पुनर्गठन ज्याझ्वलय् ल्यू नायः श्रेष्ठं संविधान संशोधनया विषय धइगु विदेशी एजेन्डा खःगु केपी ओलीया धापूयात किकाः संविधानया न्हापांगु संशोधन याःम्ह केपी ओली न्हापांम्ह राष्ट्रघाती जूगु धयादीगु खः । श्रेष्ठं पुलांगु बिचाः ज्वनाः न्हूगु राजनीतिक शक्ति दयेकेफइमखु धासें उकिया लागिं बिचाः, सङ्गठन, सङ्घर्ष व कार्य पद्धति हरेक ख्यलय् थःगु बिस्कं विकल्प दयेमाःगु धयादिल । आःया राज्य पुनर्संरचनाय् विवादया विषय सङ्घीयतायात संरचनाया रूपं जक स्वयेगु खः कि सिद्धान्त वा वादया रूपं स्वयेगु धइगु खःगु श्रेष्ठं स्पष्ट यानादिल । थौंया ज्याझ्वलय् कृष्णभक्त डंगोलया अध्यक्षताय् सङ्घीय समाजवादी फोरम, नेपाल यल जिल्लाया पुनर्गठन जूगु खः । ज्याझ्वलय् यल जिल्ला इन्चार्ज न्हुच्छेलाल महर्जनं ३१ दुजःया जिल्ला तदर्थ समितिया घोषणा यानादिल ।  ज्याझ्वलय् पार्टीया केन्द्रीय दुजः अले नेवाः प्रदेश इञ्चार्ज कृष्ण वहादुर घःजु अले केन्द्रीय दुजः पुष्पराज राजकर्णिकारं यलया पार्टीया ज्यायात व्यवस्थित यायेत व पहिचानया मुद्दायात स्थापित यायेत समितिं नेतृत्वदायी भूमिका म्हितेमाःगु धयादिल । पार्टी न्वकू राम वहादुर स्याङ्ताङं लसकुस यानाद्यूगु ज्याझ्वलय् पार्टी केन्द्रीय दुजः लिला सिटौला, ताम्सालिङ प्रदेश समितिया न्वकू आशमान तामाङ, नेवाः प्रदेश समितिया छ्यान्जे चन्द्र महर्जन लिसेंया नेतातयगु उपस्थिति दुगु खः।",https://www.lahananews.com//%E0%A4%93%E0%A4%B2%E0%A5%80-%E0%A4%B9%E0%A5%87-%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%AA%E0%A4%BE%E0%A4%82%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%98%E0%A4%BE%E0%A4%A4%E0%A5%80%E2%80%99-%E2%80%93-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B7%E0%A5%8D%E0%A4%A0
राजनीति,लहनान्यूज सम्वाददाता |  कछलागा सप्तमी ११३७ (नोभम्बर २१ २०१६),निगू राप्रपाया एकिकरण थौं,"राष्ट्रिय प्रजातन्त्र पार्टी व राष्ट्रिय प्रजातन्त्र पार्टी नेपालं थौं येँया प्रज्ञा प्रतिष्ठानय् छगू ज्याझ्वः यासें पार्टी एकताया घोषणा यायेत्यंगु दु । पार्टि एकिकरण धुंकाः पार्टीया नां राष्ट्रिय प्रजातन्त्र पार्टी जुइगु व पार्टिइ निम्ह नायः दइगु जूगु दु । पशुपति शमसेर राणा पार्टीया राष्ट्रिय नायः जुइसा कमल थापा पार्टी नायः जुइ । निम्ह नायः लिसें ५ शीर्ष नेताया नेतृत्व दइगु धाःगु दु, गुकी लोकेन्द्रबहादुर चन्द, विश्वबन्धु थापा व प्रकाशचन्द्र लोहनी दइ । निगुलिं पार्टीया १५०/१५० केन्द्रिय दुजः दुथ्याकाः ३सः दुजःया केन्द्रीय समिति दयेकी । निगुलिं पार्टीया आःया पदाधिकारी यथावत भाला कःघानाः च्वनीगु सहमित जूगु दु ।   पार्टीया ध्वाँय् राप्रपा नेपालया जुइगु व चुनाव चिं धाःसा महाधिवेशनं क्वःछीगु धाःगु दु । स्वला दुने महाधिवेशन यायेगु सहमति जूगु दु ।  एकीकरण धुंकाः राप्रपा संसदय् ३७ सिट लिसें प्यंगूगु तःधंगु दल जुइ ।",https://www.lahananews.com//%E0%A4%A8%E0%A4%BF%E0%A4%97%E0%A5%82-%E0%A4%B0%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%8F%E0%A4%95%E0%A4%BF%E0%A4%95%E0%A4%B0%E0%A4%A3-%E0%A4%A5%E0%A5%8C%E0%A4%82
राजनीति,लहनान्यूज सम्वाददाता | थिंलाथ्व पारु ११३७ (नोभम्बर ३० २०१६),संविधान संशोधन प्रस्तावय् नेवाःतय् सहलह,"मंचं संविधान संशोधन विधेयक प्रस्तावय् नेवाः सरोकार क्यनेत थुगु सहलह मुँज्या यायेत्यनागु धाःगु दु । मुँज्या थ्वहे वइगु थिंलाथ्व चतुर्थी (मंसीर १८ गते) शन्चरबाः येँय् जुइत्यंगु दु । संविधान संशोधनया नामय् केन्द्रीत जुयाच्वंगु आःया राजनीतिइ नेवाःतयगु दृष्टिकोण दयेकेगु नितिं उगु ज्याझ्वः यायेत्यनागु मञ्चं न्ह्यथंगु दु । ज्याझ्वलय् नेवाः प्रदेशया प्राप्तिया आन्दोलनया नितिं क्रियाशिल नेवाः न्ह्यलुवापिंलिसें नेवाः कार्यकर्तातयगु उपस्थिती दइगु नं मंचं धाःगु दु । मंचया मंगलवाः च्वंगु मुँज्यां संविधान संशोधनया प्रस्ताव दर्ता लिपा नेवाः राजनीतिया मुद्दा, पहिचान सहितया संघीयता व संवैधानिक रुपं नेवाः अधिकारया सुनिश्चिततायात कयाः थीथी ज्याझ्वः यायेगु निर्णय जूगु जानकारी ब्यूगु दु । मंचं सन्चरबाःया ज्याझ्वलय् पहिचान पक्षधरलिसें नेवाः हक अधिकारया नितिं क्रियाशील सकलसित ब्वति कायेत आव्हान नं याःगु दु ।",https://www.lahananews.com//%E0%A4%B8%E0%A4%82%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8-%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5%E0%A4%AF%E0%A5%8D-%E0%A4%A8%E0%A5%87%E0%A4%B5%E0%A4%BE%E0%A4%83%E0%A4%A4%E0%A4%AF%E0%A5%8D-%E0%A4%B8%E0%A4%B9%E0%A4%B2%E0%A4%B9
राजनीति,लहनान्यूज सम्वाददाता | थिंलाथ्व षष्ठी ११३७ (डिसेम्बर ५ २०१६),संविधान संशोधन प्रस्तावय् नेरापाया विरोध,"नेपाःया न्हूगु संविधानया निक्वःगु संशोधनकथं व्यवस्थापिका संसदय् दर्ता याःगु प्रस्तावयात कयाः नेपाः राष्ट्रिय पार्टीं विरोध याःगु दु । पार्टीया मूछ्याञ्जे डा. विजयप्रकाश सैंजुं ल्हाःचिं तयाः पिथंगु प्रेस विज्ञप्तीइ संसदय् दर्ता जूगु संशोधन प्रस्ताव राष्ट्र व जनताया आकांक्षाकथं मजूगु व थुकिं देशय् अस्थिरता, असुरक्षा व अशान्ति ब्वलनीगु न्ह्यथनातःगु दु ।  विज्ञप्तिइ संशोधन प्रस्तावय् संघीय गठबन्धनया २६गू बुँदाया मागयात संबोधन मयाःगु नापं पहिचान मदुगु संशोधन प्रस्तावय् नेपाः पार्टिया आपत्ती दुगु धयातःगु दु । लिसें नेपालभाषाया लिसें थीथी जनजातिया भाषायात राष्ट्रिय ज्याखँया भाषाकथं मान्यता मबीकथंसंविधान संशोधन प्रस्ताव वःगुलिं थुकियात कयाः बिरोध यानागु नं नेपाः पार्टिं न्ह्यथंगु दु । थ्व हे झ्वलय् पार्टीपाखें झिगू प्रदेश नामांकन व पहिचान सहितया प्रदेशकथं संशोधन न्हूगु संविधानय् जुइमाःगु पार्टिं माग याःगु दु । लिसें देशया दक्व भाषायात राष्ट्रभाषा व सरकारी ज्याखँया भाषाकथं मान्यता बीमाःगु नं पार्टिया माग खः ।",https://www.lahananews.com//%E0%A4%B8%E0%A4%82%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8-%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5%E0%A4%AF%E0%A5%8D-%E0%A4%A8%E0%A5%87%E0%A4%B0%E0%A4%BE%E0%A4%AA%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A5%8B%E0%A4%A7
राजनीति,लहना संवाददाता | ने.सं. ११३७ थिंलाथ्व १४ (१२ डिसेम्बर २०१६),संशोधन प्रस्ताव लितमकाःतले संसद न्ह्याके मबीगु,"प्रमुख प्रतिपक्षी दल नेकपा एमालेया नायः केपी शर्मा ओलीं संविधान संशोधन प्रस्ताव लित मकाःतले संसद न्ह्याके मबीगु अडानयात हाकनं लिसा कयादीगु दु । नायः ओलीं सरकारयात संशोधन प्रस्ताव लित कयाः संविधान कार्यान्वयनया नितिं चुनावय् न्ह्यज्यायेत तकं इनाप यानादिल । पार्टी लिक्क लाःगु निजामति कर्मचारी संगठनया महाधिवेशनया उलेज्या यायेत नेपालगञ्ज थ्यंकादीम्ह नायः ओलीं सञ्चारकःमितलिसे खँल्हानादिसें उगु खँ धयादीगु खः । वय्कलं संशोधन प्रस्ताव अनुचित, जनचाहाना अःखः व राष्ट्रहित अःखः जूगु नं द्वपं बियादिल । प्रधानमन्त्री तक जुयादीधुंकूम्ह ओलीं पहिचानया नामय् जनतायात अलमल यायेगु व भ्रमय् लाकाः राष्ट्रिय एकता कमजोर यायेगु षडयन्त्र जुयाच्वंगु नं दावी यानादिल । जातीय व साम्प्रदायिक भावना स्यंकाः द्वन्द्वया उद्योग चायेकेत स्वःगु द्वपं बियादिसें जायज खँ ल्हानागु इलय् नश्लवादी धाःगुलिं कुंखिनादीगु दु ।",https://www.lahananews.com//%E0%A4%B8%E0%A4%82%E0%A4%B6%E0%A5%8B%E0%A4%A7%E0%A4%A8-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%B5-%E0%A4%B2%E0%A4%BF%E0%A4%A4%E0%A4%AE%E0%A4%95%E0%A4%BE%E0%A4%83%E0%A4%A4%E0%A4%B2%E0%A5%87-%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A4%A6-%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%95%E0%A5%87-%E0%A4%AE%E0%A4%AC%E0%A5%80%E0%A4%97%E0%A5%81
राजनीति,लहना संवाददाता | ने.सं. ११३७ थिंलाथ्व १४ (१२ डिसेम्बर २०१६),एमाले दंगु लोकप्रियताया नितिं गैरजिम्मेवारपूर्ण ज्या यानाच्वंगु : भण्डारी,"बनमन्त्री शंकर भण्डारीं भारतीय राजदूतयात लित छ्वयेमाः धकाः याःगु माग कुटनितिक मर्यादा अःखः जूगु टिप्पणी यानादिसेंं प्रमुख विपक्षी नेकपा एमालेयात दंगु लोकप्रियताया नितिं गैर जिम्मेवारपूर्ण ज्या याःगु नं द्वपं बियादीगु दु । नेकपा एमालेया भातृ संगठनं भारतीय राजदूत रणजीत रेयात देशं पितिनाछ्वय्त माग याना वयाच्वंगु खः । मन्त्री भण्डारीं संविधान संशोधन प्रस्ताव सदनय् प्रकृयाय् यंके मबीसे संसदय् पंगः थनाः एमाले गैरजिम्मेवारपूर्ण व्यवहार यानाच्वंगु नं द्वपं बियादिल । वय्कलं संशोधन प्रस्तावया विरोध यायेगु धइगु थःम्हेस्यां घोषणा याःगु प्रतिबद्धताया प्रतिकूल जूगु नं धयादीगु दु । सरकारं दर्ता याःगु संशोधन प्रस्तावया ५ नं. प्रदेशया सीमांकन हेरफेरय् थःगु पार्टी लिसें मेमेगु दलया सुंसुं नेतात असन्तुष्ट जुयाच्वंसा नं थुगु प्रस्ताव न्हापा कांग्रेस व नेकपा एमाले हे मंकाःकथं न्ह्यःने हःगु नं दावी यानादिल । मन्त्री भण्डारीं संशोधन प्रस्तावय् एमालें नं ग्वाहालि याइगु खँय् थः विश्वस्त जूगु खँ धयादिसें एमालें ग्वाहालि याःसा देशं निकास प्राप्त याइगु नं स्पष्ट यानादीगु दु । वय्कलं धयादिल, दलत जानाः न्ह्यःने वनेगुया विकल्प मदु ।",https://www.lahananews.com//%E0%A4%8F%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A5%87-%E0%A4%A6%E0%A4%82%E0%A4%97%E0%A5%81-%E0%A4%B2%E0%A5%8B%E0%A4%95%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%A4%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%A4%E0%A4%BF%E0%A4%82-%E0%A4%97%E0%A5%88%E0%A4%B0%E0%A4%9C%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A5%87%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3-%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A4%BE-%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%9A%E0%A5%8D%E0%A4%B5%E0%A4%82%E0%A4%97%E0%A5%81-%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0%E0%A5%80
राजनीति,लहना संवाददाता | ने.सं. ११३७ थिंलाथ्व १४ (१२ डिसेम्बर २०१६),आन्दोलनं पहाड व मधेस दथुइ विभाजन हइगु ,"नेपाली कांग्रेसया सभापति शेरबहादुर देउवां एमालें आन्दोलन यानाः पहाड व मधेस दथुइ विभाजन हयेत स्वःगु द्वपं बियादीगु दु । नेविसंघया विद्यार्थी जागरण अभियानया थौं येँय् उलेज्या यानादिसें सभापति देउवां उकथं द्वपं बियादीगु खः । वय्कलं एमालें थीथी जिल्लाय् आन्दोलन यानाः राष्ट्रियता कमजोर यायेत स्वःगु तकं द्वपं बियादीगु दु । संविधान कार्यान्वयनया नितिं जूसां नं स्थानीय निकायया चुनाव अपरिहार्य जूगु धयादिसे देउवां छुं नं त्वहः च्यूंसां नं चुनाव मदीगु खँ धयादिल । नेविसंघं संविधान कार्यान्वयन, स्वबियु चुनाव, शैक्षिक सुधार व संगठन सुदृढीकरणया नितिं थनिनिसें खुलाया अभियान न्ह्याकूगु दु । अभियान हे झ्वलय् ११ गू जिल्लाया प्रतिनिधिया विवाद नं ज्यंकीगु नेविसंघया नायः नैनसिंह महरं धयादीगु दु ।",https://www.lahananews.com//%E0%A4%86%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8B%E0%A4%B2%E0%A4%A8%E0%A4%82-%E0%A4%AA%E0%A4%B9%E0%A4%BE%E0%A4%A1-%E0%A4%B5-%E0%A4%AE%E0%A4%A7%E0%A5%87%E0%A4%B8-%E0%A4%A6%E0%A4%A5%E0%A5%81%E0%A4%87-%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8-%E0%A4%B9%E0%A4%87%E0%A4%97%E0%A5%81
राजनीति,लहना संवाददाता | ने.सं. ११३७ थिंलाथ्व १४ (१२ डिसेम्बर २०१६),मत नियन्त्रणया नितिं माःगु नियम हिलेत सरकार तयार ,प्रधानमन्त्री पुष्पकमल दाहालं दँदंनिसें विकराल समस्याकथं जुयाच्वंगु लोडसेडिङ्गयात चीकाः जनतायात राहत ब्यूगुलिं उर्जा मन्त्रालय व नेपाल विद्युत प्राधिकरणयात कयाः च्वछायादीगु दु ।  थोैं सोमावाः विद्युत चुहावट नियन्त्रण सम्बन्धी प्रधानमन्त्री ज्याकुथिइ ग्वसाः ग्वःगु समन्वयात्मक मुँज्यायात सम्बोधन यानादिसें प्रम दाहालं उकथं च्वछायादीगु खः । वय्कलं उर्जा मन्त्रालयं बांलाःगु ज्या यानाच्वंगु दुसां गुलिखे मनूतय्सं थुकियात सह याय्फयाच्वंगु मदु जुइ धयादीगु दु । सरकार दय्कूगु प्यला फुइधुंकाः नं मेमेगु मन्त्रालयं न्ह्यथनेबहःगु प्रगति क्यनेमफूगु धयादिसें प्रम दाहालं ततःधंगु ज्या छुं नं मजूगु धासें कुंखिनादिल ।  वय्कलं विद्युत चोरी नियन्त्रणया नितिं माःगु नियम कानून हिलेत सरकार तयार जूगु नं धयादीगु दु । सर्वसाधारण जनतां हुकिङ्ग यानाः मत खुयाच्वंगु व अरबपतिं मत खुयाच्वंगु विषययात छगू हे कथं मस्वयेत नं दाहालं प्राधिकरणयात इनाप यानादिल । वय्कलं जनतायात थुइकाः बानी भिंकेगु ज्या यायेमाःगु व अरबपतिया कानूनी कारवाहीया दायराय् हयेमाःगु खँय् बः बियादिल ।,https://www.lahananews.com//%E0%A4%AE%E0%A4%A4-%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%A3%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%A4%E0%A4%BF%E0%A4%82-%E0%A4%AE%E0%A4%BE%E0%A4%83%E0%A4%97%E0%A5%81-%E0%A4%A8%E0%A4%BF%E0%A4%AF%E0%A4%AE-%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A5%87%E0%A4%A4-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%A4%E0%A4%AF%E0%A4%BE%E0%A4%B0
