url,category,date_published,headline,news_text
https://nepalbhasatimes.com/1039,अर्थ,११३८ सिल्लाथ्व अष्टमी,बजेट विवरण बुझे यायेत स्थानीय तहयात समस्या,"येँ – सरकारं तुरुन्त खर्च व राजस्वया अनुमानित विवरण बुझे यायेत इनाप याःसां स्थानीय निकायतय्सं धाःसा तुरुन्त बुझे यायेफइमखु धाःगु दु । स्थानीय निकायय् थज्याःगु विवरण तयार याइपिं कर्मचारी तकं हे मदुगु कारणं धयातःगु इलय् विवरण बुझे यायेमफइगु जूगु दु ।                                                         अर्थ मन्त्रालयं वइगु आर्थिक दँया बजेट दयेकेगु निंतिं सोमवाः फुक्कं स्थानीय निकाय अनुमानित विवरण बुझे यायेत परिपत्र याःगु खः । परिपत्रय् छवाःया दुने विवरण बुझे यायेत धाःगु खः । तर स्थानीय निकायं विशेष गाउँपालिकाय् सम्बन्धी कर्मचारी तकं मदुगु खँ धाःगु दु । गुलिखे गाउँपालिकातय्सं कर्मचारीत मदुगुलिं मेमेगु निकायया कर्मचारीया ग्वाहालि कयाः विवरण तयार यानाच्वनागु खँ धाःगु दु । अथेहे कानुनी अस्पष्टताया कारणं नं निर्धारित इलय् विवरण बुझे यायेत थाकुइगु खँ धाःगु दु । अन्तर सरकारी वित्त व्यवस्थापन ऐन कथं प्रदेश व स्थानीय तहं वइगु आर्थिक दँया खर्च व राजस्व प्रक्षेपण यानातःगु विवरण हरेक दँया पुस मसान्तय् हे बुझे यायेमाः । अर्थ मन्त्रालयं आःयात स्थानीय निकायपाखें जक थज्याःगु विवरण माग याःगु खः । प्रदेशसभा गठन हे मजूनिगुलिं प्रदेश सरकार तकं मदुनिगुलिं आःयात स्थानीय तहपाखें जक अज्याःगु विवरण माग याःगु खः । तर स्थानीय तहं नं विवरण बीत थाकुइगु खँ धयाहःगु खः । भरतपुर महानगरपालिकाया प्रमुख प्रशासकीय अधिकृत प्रेमराज जोशीं धयादीगु दु, ‘कानुनय् दुगु निगू अर्थ लगे जुइगु व्यवस्थां जिमिगु फुक्क ज्यायात समस्याय् लाकाच्वंगु दु ।’ माग याःगु विवरणय् स्थानीय तहया अनुमानित खर्च, आन्तरिक स्रोतपाखें संकलन जुइगु राजस्व, राजस्व बाँडफाँटपाखें प्राप्त जुइगु रकम, अनुदान रकम व बजेट घाटापूर्ति यायेत आवश्यक रकम व उकिया स्रोत न्ह्यथनातःगु दु ।तर गुलिखे विवरणय् केन्द्रीय सरकार व प्रादेशिक सरकारं दयेकीगु कानुनया आधारय् स्थानीय तहं कानुन दयेकेधुंकाः जक प्रक्षेपण यायेफइगु खँ यल महानगरपालिकाया कार्यकारि अधिकृत हरिप्रसाद दाहालं धयादीगु दु । वय्कलं धयादीगु दु, ‘संघीय सरकारया कानुन व प्रादेशिक सरकारया कानुनलिसे दुविधा मजुइ कथं कानुन दयेकेमाः ज्या यायेत धयातःगु दु । थ्वलिसे अस्पष्ट जुइगु कानुन नं दयेकेमजिल । थीथी समस्याया कारणं थ्व ज्या धाःकथं न्ह्याः वनेफयाच्वंगु मदु ।’मेखे संचारमाध्यमपाखें जक अर्थमन्त्रालयं अज्याःगु विवरण माग याःगु धयागु जानकारी कायेखंम्ह नुवाकोटया किसपाङग गाउँपालिकाया प्रमुख छत्र लामां थःगु ज्याकुया निंतिं नियुक्त कर्मचारीत सदरमुकाम त्वःता वयेत माने मजूगुलिं समस्या जुयाच्वंगु खँ कनादिल । वय्कलं धयादीगु दु, ‘लेखापाल गां वनेत माने मजू, वय्कलं सदरमुकामय् हे च्वनाः ज्या यानादी । न्हापा थें जिल्ला विकास समिति वा मेमेगु राष्ट्रिय अन्तर्राष्ट्रिय गैरसरकारी संस्थालिसे समन्वय यानाः माग याःकथं खर्च व राजश्व विवरण दयेकाः छ्वयाबीगु जुइ ।’स्थानीय तहं थौंकन्हय् उठे यानाच्वंगु राजश्व तकं स्पष्ट कानुनया अभावया कारणं खर्च यायेमफयाच्वंगु खँ जनप्रतिनिधितय्सं धयाच्वंगु दु ।"
https://nepalbhasatimes.com/1377,अर्थ,११३८ सिल्लागा पारू ,प्रदेश ज्याकू संचालनया निंतिं न्यासम्हं मल्याक कर्मचारी खटे जुल,"येँ – सामान्य प्रशासन मन्त्रालयं प्रदेशसभा व प्रदेश सरकार संचालनया निंतिं आवश्यक कर्मचारी खटे यायेगु ज्या न्ह्याकाच्वंगु दु ।न्हय्गुलिं प्रदेशय् प्रदेशसभाया बैठक च्वनेत्यंगुलिं आवश्यक कर्मचारी खटे यानाछ्वःगु खः । मन्त्रालयं आःतक न्यासःम्ह कर्मचारी खटे यायेधुंकूगु खँ मन्त्रालयया प्रवक्ता शिवराम न्यौपानें धयादीगु दु । खटे याःपिं मध्ये प्यसः प्रशासन व सछिम्ह प्राविधिक कर्मचारी दु । मन्त्रालयं कर्मचारी समायोजन मजूतलेया निंतिं अन्तरिम व्यवस्थाया निंतिं थुपिं कर्मचारी खटे याःगु खः । कर्मचारी समायोजन जुइधुंकाः न्हूपिं कर्मचारी वनी ।                                                         ‘जिमिसं न्हियान्हिथं हे कर्मचारी छ्वयाच्वनागु दु’ प्रवक्ता न्यौपानें धयादिल, ‘कर्मचारीयात आवश्यक स्वयाः खटे यानाच्वनागु दु ।’मन्त्रालयं प्रत्येक प्रदेश सभाय् मुख्यमन्त्रीया ज्याकूया निंतिं २९ म्ह व मन्त्रालयय् २५ निसें २९ म्हया ल्याखं कर्मचारी खटे यानाच्वंगु खः ।प्रवक्ता न्यौपानेया कथं प्रदेश सरकार संचालनया निंतिं १७७८ म्ह कर्मचारी माः । अझ नं द्वःछिम्हं मल्याक कर्मचारी खटे याये ल्यंदनिगु खँ धाःगु दु । ल्यं दनिपिं कर्मचारीतय्त नं न्हियान्हिथं यानाः खटे यानायंकेगु खँ वय्कलं धयादीगु दु ।प्रदेश प्रमुखया ज्याकूया निंतिं सचिव व मुख्यमन्त्रीया ज्याकूया निंतिं सहसचिवया नेतृत्वय् कर्मचारी खटे याःगु खः । मन्त्रालयया कर्मचारी प्रशासन शाखाया अधिकृत नवराज जैसीं छगू प्रदेशय् स्वम्हया ल्याखं सहसचिव, खुम्हया ल्याखं उपसचिव, झिम्ह शाखा अधिकृत खटे जुइ ।"
https://nepalbhasatimes.com/736,अर्थ,११३८ सिल्लाथ्व पारू ,छत्रपाटी चिकित्सालयय्  जर्मन ग्वाहालिया २५ दँ,"येँ छत्रपाटी चिकित्सालययात जर्मन ग्वाहालि सुरु जूगु २५ दँ क्यंगु लसता मंगलवाः छगू ज्याझ्वः यासें हन । ज्याझ्वलय् चिकित्सालययात निरन्तर ग्वाहालि याना वयाच्वनादीम्ह जर्मन डा. अकिम हफम्यानयात ख्येँ सगं बियाः हनेज्या नं याःगु खः । चिकित्सालयया अध्यक्ष विजयबहादुर मालीं डा. हफम्यानयात हनापौ देछायादीगु खःसा मूपाहाँ रक्षामन्त्री भिमसेनदास प्रधानं लुमन्ति चिं देछायादीगु खः । अथेहे डा. हफम्यानया जहान मय्जु लुइसा हफम्यानयात चिकित्सालयया उपाध्यक्ष विद्या बनमालीं दोसल्लां न्ययेकाः हनादीगु खः ।                                                          चिकित्सालयया सह कोषाध्यक्ष योगेन्द्रमान श्रेष्ठं हफम्यानयात लःल्हाःगु हनापौ ब्वनाः न्यंकादीगु खः । ज्याझ्वलय् न्ववानादिसें चिकित्सालयया अध्यक्ष मालीं जर्मन ग्वाहालिया कारणं यानाः हे छत्रपाटी चिकित्सालय पोलिक्लिनिक पाखें थांै अस्पतालया रुपय् धस्वायेफुगु खँ न्ह्यथनादिसें जर्मनीया जेनाय् च्वंगु एशोसियसन फर मेडिकल टेक्निकल को–अपरेशन व डा. हफम्यानयात सुभाय् देछायादीगु खः । डा. हफम्यानया हे कुतलं चिकित्सालयय् थीथी आधुनिक उपकरणत हयेफुगु, चिकित्सालयपाखें वाया चिकित्सकतय्त जर्मनय् प्रशिक्षणया निंतिं छ्वयेफुगु खँ लुमंकूगु खः ।  अथेहे निदँ न्ह्यव वःगु तःभुखाचं पीडितपिंत ग्वाहालि यायेत, भुखाचय् पाखें सुरक्षित जुइगु निंतिं  चिकित्सालयया भवन रेट्रो फिटिङ यायेत नं हफम्यानपाखें ग्वाहालि हयाबिउगु खँ अध्यक्ष मालीं लुमंकादीगु खः । डा. हफम्यानयात सुभाय् देछायादिसें वय्कलं धयादीगु दु, ‘सच्चाम्ह पासा व खः, गुम्हेसिनं समस्याया इलय् ग्वाहालि याइ । डा. हफम्यान नं चिकित्सालयया धाथेंया सच्चाम्ह पासा खः ।’ज्याझ्वलय् न्ववानादिसें वय्कलं थुकथं हे जर्मन ग्वाहालि निरन्तर जुयाच्वनीगु आशा प्वंकादिसें थथे हे न्यय्दँ नं हनेखनीगु विश्वास प्वंकादिल ।  अथेहे मूपाहाँ रक्षामन्त्री भिमसेनदास प्रधानं नं जर्मन ग्वाहालि व डा. हफम्यानयात सुभाय् देछायादिसें सरकारपाखें नं चिकित्सालययात ग्वाहालि बीगु निंतिं कुतः यानाच्वनागु खँ कनादिल । अथेहे सम्मानित डा. हफम्यानं प्रजातन्त्र वयेधुंकाः ९०या दशकय् नेपाः सरकार व जर्मन विकास कर्पोरेशन (जिटिजेड) दथुइ ग्वाहालिया निंतिं सम्झौता जुइधुंकाः सन् १९९२ निसें चिकित्सालययात ग्वाहालि याना वयाच्वनागु खँ लुमंकादिसें लिपा थ्यंक थज्याःगु ग्वाहालि बियाच्वनेगु निंतिं थःम्ह ज्या यायेगु खँ धयादिल । उपाध्यक्ष बनमालीं सुभाय् देछायादिसें चिकित्सालय् आइसियु, अपरेशन थिएटर आदि दयेकेत नकतिनि हे जक वःगु जर्मन ग्वाहालियात न्ह्यथनादिसें थुकिया निंतिं नं यक्व यक्व सुभाय् देछायादीगु खः । "
https://nepalbhasatimes.com/1556,अर्थ,११३८ सिल्लागा चौथी,‘वंगु दँय् चीन न्हूगु युगय् प्रवेश जूगु दु’,"येँ – वंगु दँ सन् २०१७ य् नेपाः व चीन दथुइया स्वापुतिइ न्हूगु आयाम थप जूगु खँ धाःगु दु । अरनिको समाजया ग्वसालय् याकनं वयेत्यंगु चिनिया न्हूदँ (खिचा दँ)यात लसकुस यायेत न्यायेगु वसन्त उत्सव ज्याझ्वलय् न्ववानादिसें नेपाःस्थिति चिनिया राजदूतावासया संस्कृति विभाग प्रमुख त्र पाइ जुं थ्व खँ धयादीगु खः । विशेष कारणं चिनिया राजदूत यु हाङ उपस्थित जुइमफयेवं वय्कःया पाखें सुभाय् न्वचु बियादिसें चीन नेपाःया न्ह्याब्लें असल मित्र जुयाच्वंगु धासें थुगु दँय् नं राजनीतिक, आर्थिक, साँस्कृतिक, व्यावसायिक क्षेत्रय् थीथी ग्वाहालि जूगु खँ धयादीगु खः ।                                                         सन् २०१७ चीनया निंतिं नं महत्वपूर्ण जूगु खँ धयादिसें वय्कलं थ्व दँय् चीन चिनिया विशेषतायुक्त समाजवादया न्हूगु युगय् प्रवेश जूगु खँ धयादीगु खः । थ्वहे दँय् चीनया आर्थिक उन्नतिं अन्तर्राष्ट्रिय रंगमञ्चय् चीनं विशेष थाय् काःगु खँ न्ह्यथनादीगु खः । ज्याझ्वलय् चीनं एशिया निसें अफ्रिका तक स्वायेगु निंतिं दयेकाच्वंग रेश्म मार्ग (छगू प्रदेश छगू मार्ग)या वृत्तचित्रया छगू ब्व नं प्रदर्शन याःगु खः । ज्याझ्वलय् समाजया अध्यक्ष डा. सर्वोत्तम श्रेष्ठं अरनिकों समाजं याना वयाच्वंगु ज्याया बारे न्ववानादिसें थुगु दँय् जक नेपाःया थीथी थासय् यानाः समाजं न्हय्गू स्वास्थ्य शिविर यानागु जानकारी बियादीगु खः । अथेहे वय्कलं समाजलिसे आवद्ध जूवंपिं चीनय् ब्वनावःपिं थीथी व्यक्तिपिंत ‘फ्रेन्डस् अफ अरनिको सोसाइटी’या दसिपौ लःल्हानादीगु खः । ज्याझ्वः संचालन यानादिसें समाजया वरिष्ठ उपाध्यक्ष डा. मनोज श्रेष्ठं चीनय् ब्वनेगु निंतिं समाजपाखें थीथी छात्रवृत्ति बिया वयाच्वनागु खँ न्ह्यथँसें थुगुसी जक ५० म्हं मल्याक विद्यार्थीपिंत कृषिनिसें थीथी विधाय् ब्वनेगु निंतिं छात्रवृत्ति बियागु जानकारी बियादीगु खः । लिसें वय्कलं चीनय् ब्वँवने इच्छुकपिं जेहेन्दार विद्यार्थीपिं दुसा समाजय् स्वापू तयेत नं इनाप यानादीगु खः । ज्याझ्वलय् प्रतिनिधि सभा सदस्यपिं कृष्णगोपाल श्रेष्ठ, जीवनराम श्रेष्ठ, अग्नि सापकोटा, पम्फा भुसाल, प्रदेश सभा सदस्य अष्टलक्ष्मी शाक्य लिसें थीथी नगरपालिकाया मेयर, उपमेयरपिनि उपस्थिति दुगु खः ।"
https://nepalbhasatimes.com/1371,अर्थ,११३८ सिल्लागा पारू ,बुढीगण्डकीयात  ९४ अर्ब बीगु तयारी,"येँ – सरकारं बुढीगण्डकी जलविद्युत आयोजनायात ९४ अर्ब तका बीगु तयारी जूगु दु । आयोजना दयेकेगु निंतिं ध्यबा मगाःगुलिं ऊर्जा मन्त्रालयं मन्त्रिपरिषदय् प्रस्ताव यंकेगु तयारी याःगु दु । उपप्रधान लिसें ऊर्जामन्त्री कमल थापां वइगु मन्त्रिपरिषदया बैठकय् यंकेगु जानकारी बियादीगु दु । वय्कलं आयोजना न्ह्यःने न्ह्याकेत सरकार तयार दुगु खँ कनादिसें ध्यबा मुंकेगु निंतिं सरकारं ज्या न्ह्याकेगु खँ धयादीगु खः ।                                                         राष्ट्रिय योजना आयोगया उपाध्यक्ष डा. स्वर्णिम वाग्लेया संयोजकत्वय् नीस्वंगु समितिया प्रतिवेदन नं मन्त्रिपरिषदया बैठकं पारित यायेगु खँ नं वय्कलं कनादीगु दु । अथेहे नेपाल विद्युत प्राधिकरणया कार्यकारी निर्देशक कुलमान घिसिङं बुढीगण्डकी आयोजना दयेकेत मगाःगु ९४ अर्ब ध्यबा व समितिं बिउगु प्रतिवेदन मन्त्रिपरिषदं पारित जुइधुंकाः जक आयोजनाया ज्या न्ह्याइगु खँ कनेवं मन्त्री थापां मगाःगु ध्यबा व समितिया प्रतिवेदन मन्त्रिपरिषदं तत्काल पारित याकेगु प्रतिवद्धता प्वंकूगु खः । थ्व आयोजना दयेकेत २ खर्ब ५९ अर्ब ३० तका तुइगु अनुमान याःगु दु । समितिं सरकारं वार्षिक रुपय् बजेट विनियोजन व पेट्रोलियम करपाखें १ खर्ब ६० अर्ब तका मुंके फइगु प्रतिवेदनय् न्ह्यथनातःगु दु । अथेहे नेपाल विद्युत प्राधिकरणपाखें २० अर्ब, सञ्चयकोषं ३० निसें ५० अर्ब, नागरिक लगानी कोषं ३० निसें ४० अर्ब, नेपाल टेलिकमं १५ निसें २० अर्ब, राष्ट्रिय बीमा संस्थानं १० निसें २० अर्ब, चिलिमे जवविद्युत, सर्वसाधारण व माथिल्लो तामाकोशीपाखें आयोजनायात माक्वः ध्यबा मुंकेफइगु खँ धाःगु दु ।"
https://nepalbhasatimes.com/1558,अर्थ,११३८ सिल्लागा चौथी,बन्द यायेगु ख्याच्वः लिपा गुणस्तरया आवेदन,"येँ – गुणस्तर मापदण्ड पूमवंकूपिं ग्यास उद्योग बन्द यायेगु सरकारया ख्याच्वः लिपा थीथी ग्यास उद्योगं नेपाल गुणस्तर चिंया प्रमाणपत्रया निंतिं आवेदन बिउगु दु । लछि न्ह्यः सरकारं ग्यास उद्योगयात गुणस्तर चिं कायेत निर्देशन बिसें चिं मकाःगु उद्योगयात खारेज यायेगु ख्याच्वः बिउगु खः । गुणस्तर चिं मकाःपिंत ग्यास मबीत सरकारं आयल निगमयात पौ नं च्वयेधुंकूगु खः । गुणस्तर तथा नापतौल विभागया महानिर्देशक विश्वबाबु पुडासैनीया कथं गुणस्तर चिं मकाःपिं फुक्कं ग्यास उद्योगं आः गुणस्तर चिं कायेत निंतिं आवेदन बिउगु दु ।                                                         आः तक प्यंगू ग्यास उद्योग नेपाल ग्यास, साइबाबा, मनोज व श्रीकृष्ण ग्यास उद्योगं जक गुणस्तर चिं कायेधुंकूगु दु । विभागया प्रवक्ता रोमी मानन्धरं गुणस्तर चिं मकाःपिं ५३ गू ग्यास उद्योगं एनएस चिंया निंतिं विभागय् भ्वँ पेश याःगु खँ धयादीगु दु । वय्कलं धयादीगु दु, ‘आः जिमिसं भ्वँया अध्ययन यानाच्वनागु दु, माल धाःसा थप भ्वँया निंतिं उद्योगयात इनाप यायेगु जुइ ।’ लिसें वय्कलं माःगु भ्वँ पेश मयाःगु उद्योगयात याकनं पेश यायेत पत्रचार यानागु खँ कनादिल । प्रवक्ता मानन्धरया कथं थीथी प्यंगू ग्यास उद्योग एनएस चिंया निंतिं योग्य खनेदुगु दु । उगु उद्योगं पेश याःगु भ्वँया आधारय् ‘फिल्ड भिजिट’ व माःगु अनुगमन लिपा जक एनएस चिं बीगु खँ विभागं धाःगु दु । विभागं ग्यास भरे याइगु सिलिन्डर, उद्योग व उद्योगया पूर्वाधार मापदण्ड स्वयाः जक गुणस्तर चिंया प्रमाणपत्र बी । विभागं वंगु दँया कार्तिक महिनाय् स्वलाया दुने अनिवार्य रुपं एनएस चिं कायेत धाःगु खः । तर दछि तक नं गुणस्तर चिं कायेत उद्योगतय्सं वास्ता मयायेवं विभागं कडा चेतावनी बिउगु खः ।"
https://nepalbhasatimes.com/1826,अर्थ,११३८ सिल्लागा अष्टमी,नेपाल बैंकया एफपीओ  निसः तकां पित बीगु तयारी,येँ – नेपाल बैंकं लिमिटेडं निसः तका दामं हे एफपिओ पिकायेगु तयारी याःगु खँ धाःगु दु । बैंकं निसः दामं हे एफपिओ बीगु प्रस्ताव साधारण सभाय् यंकेगु तयारी यायेवं बैंकया आः दुगु शेयरया भावय् नं प्रभाव लाःवंगु दु । बुधवाः जूगु कारोवारय् नेपाल बैंकया शेयर भाः झिंप्यतका कुहां वःगु दु । मंगलवाः ३६० तकां बन्द जूगु नेपाल बैंकया शेयर आः एफपिओ पिहां वइगु जुइवं बुधवाः झिंप्यतका कुहां वयाः ३४६ तका थ्यंगु खः ।                                                         एफपिओ पिहां वइगु जुइवं थुकिया शेयर मीपिनि हूल खनेदुगु खः । बुधवाः जक नेपाल बैंकया ५ करोड १८ लाख कित्ता शेयर कारोवार जूगु खः । बुधवाः दकलय् अप्वः ध्यबा कारोवार नेपाल बैंकया जूगु खः । भाः कुहां वयेवं न्याइपिं नं यक्व खनेदयावःगु खः । नेपाल बैंकं छगू करोड ७६ लाख कित्ता शेयर एफपिओ निष्काशन यानाः थप यायेत्यंगु खः ।
https://nepalbhasatimes.com/1774,अर्थ,११३८ सिल्लागा सप्तमी,खुलाया दुने झिंन्हय्गू जलविद्युतयात अनुमति,"येँ – सरकारं चालु आर्थिक दँया खुला दुने झिंन्हय्गू जलविद्युत आयोजना प्रवद्र्धकयात मत उत्पादनया अनुमति बिउगु दु ।सर्वेक्षण क्वचायेकाः निर्माणया चरणय् थ्यनेधुंकूगु थुपिं आयोजनायात तुरन्त वित्तीय व्यवस्थापन यानाः ज्या न्ह्याकेत निर्देशन सहित अनुमति बिउगु खः । अनुमति काःपिं मध्ये फुक्क धयाथें निजी ख्यलं दयेकेत्यंगु आयोजना खः ।अनुमति काःगु फुक्कं आयोजना स्वायेबलय् ७४१ मेगावाट जूवइ । सरकारं आःतक १५१ गू जलविद्युत आयोजनायात मत उत्पादनया निंतिं अनुमति बीधुंकूगु दु । थथे अनुमति पत्र कयातःगु आयोजनाया क्षमता जक स्वायेबलय् ४ हजार ४३५ मेगावाट थ्यनेधुंकूगु दु ।                                                         चालु आवय् अनुमतिपत्र काःगु आयोजना मध्ये फुक्कसिनं वइगु दछि दुने वित्तीय व्यवस्थापन यानाः निर्माण चरणय् वनेगु तयारी यानाच्वंगु दु । विभागया महानिर्देशक नवीनराज सिंहया कथं थ्व दँय् कोयिाली लगानी दइगु माथिल्लो त्रिशुली १ जलविद्युत आयोजनां नं उत्पादन अनुमति काःगु खः । थ्व आयोजना चालु आर्थिक दँय् अनुमति पत्र काःगु दकलय् तःधंगु आयोजना खः । रसुवाय् दयेकीगु थ्व आयोजना नेपाल वाटर एण्ड इनर्जी डेभलपमेन्ट कम्पनीं प्रवद्र्धन यानाच्वंगु दु । थ्व आयोजनाया क्षमता २१६ मेगावाट दु । अथेहे १६० मेगावाट क्षमताया लाप्चे खोला जलविद्युत आयोजनां नं मत उत्पादन यायेगु अनुमति काःगु दु । नाशा हाइड्रोपावर कम्पनीं प्रवद्र्धन यानाच्वंगु थ्व आयोजना दोलखाय् लाः । अथेहे चालु आर्थिक दँय् अनुमति काःगु आयोजना मध्ये ५० मेगावाटया मेवा खोला, ३८ मेगावाटया निलगिरि खोला, ४० मेगावाटया सुपर न्यादी, ५० मेगावाटया मस्र्याङदीबेसी व ४५ मेगवाटा कसुवा खोला आयोजना लाः । थुगुसी हे अनुमति काःगु १०० मेगावाटया त्रिशुली जलविद्युत आयोजना चितवनया दारेचोकय् लाः ।चिचिधंगु आयोजनाय् ५ मेगावाटया बुकु, ३.५ मेगावाटया सेती खोला, ४.८ मेगावाटया पदमखोला, १.४ मेगावाटया तल्ला सेलाङ व १.५ मेगावाटया स्ुट खोला लाः । स्वतन्त्र ऊर्जा उत्पादकतय् संस्था इपानया कथं मत उत्पादन अनुमति काःगु अप्वः धयाथें आयोजना दयेकेगु चरणय् दु । इपानया अध्यक्ष शैलेन्द्र गुरागाईँया कथं ३ हजार ५०० मेगावाट क्षमताया आयोजना थीथी चरणय् थ्यनाच्वंगु दुसा ५ हजार मेगावाट क्षमताया आयोजना मत न्याइगु सम्झौता (पिपिए) पियाच्वंगु दु । सरकारं झिदँया दुने १७ हजार मेगावाट मत उत्पादन यायेगु लक्ष्य तयातःगु दु । थुकी विद्युत प्राधिकरणं ३ हजार मेगावाट तक न्हापांगु चरणय् पिपिए यायेगु तयारी यानाच्वंगु दु । प्राधिकरणं खुसिया बहावय् निर्भर जूगु स्वयां पुखू दयेकातःगु व अर्धजलाशय आयोजनायात प्राथमिकता बियाच्वंगु दु । सरकारं २०७२ फागुन ६ गते जारी याःगु ऊर्जा संकटकालीन कार्ययोजनाय् मुक्कं मत उत्पादनपाखे ३० प्रतिशतति जक खुसिया बहावय् आधारित योजनाया पिपिए यायेगु खँ न्ह्यथनातःगु दु ।अथेहे विभागं गुंगू प्रशारण लाइन दयेकेगु निंतिं चालु आवया खुला दुने अनुमति बिउगु दु । १३२ केभी क्षमताया नयाँ मोदी लेखनाथ व कुशाहा विराटनगर १३२ केभी क्षमताया प्रसारण लाइन थुकी दुथ्याः । अथेहे कापडीगाड ३३ केभी, माथिल्लो खोरुङ्गा ३घ केभी, बागमति कुलेखानी ६६ केभी, तामाकोशी –येँ ४०० केभी, चौतारो लामोसाँघु ३३ केभी व माथिल्लो हेवा खोला ३३ केभी क्षमताया प्रसारण लाइन निर्माणया निंतिं विभागं अनुमति काःगु दु । विभागपाखें आःतक ९२ गू प्रशारण लाइन दयेकेगु अनुमित बीधुंकूगु दु ।"
https://nepalbhasatimes.com/1577,अर्थ,११३८ सिल्लागा पञ्चमी,माथिल्लो तामाकोशीया शेयर चैतं पिहांवइगु,"येँ- माथिल्लो तामाकोशी जलविद्युत आयोजनां याकनं हे सर्वसाधारण व आयोजना प्रभावितपिनि निंतिं शेयर जारी यायेत्यंगु दु । आयोजनां निगू अर्ब ६३ करोड ८५ लाख तका बराबरया आइपिओ जारी यायेत्यंगु खः । राष्ट्रिय गौरवया आयोजना धयातःगु थ्व आयोजनां न्हापांगु चरणय् प्रभावित दोलखा जिल्लावासी व सर्वसाधारणया निंतिं साधारण शेयर पितबीत्यंगु खः । आयोजना दयेकाच्वंगु माथिल्लो तामाकोशी हाइड्रोपावरया कम्पनी सचिव रामसुन्दर श्रेष्ठं वइगु चैतया न्हापांगु वालय् हे शेयर पितबीगु निंतिं ज्या जुयाच्वंगु खँ धयादीगु दु ।                                                         श्रेष्ठया कथं आयोजना प्रभावित स्थानीय दोलखावासीतय् निंतिं कूल पुँजीया १० प्रतिशत साधारण शेयर बी । थ्व ल्याखं स्थानीय वासिन्दां १ अर्ब ५ करोड ९० लाख तका बराबरया १ करोड ५ लाख ९० हजार कित्ता साधारण शेयर कायेखनी । अथे आयोजनां सर्वसाधारणया निंतिं कूल पुँजीया १५ प्रतिशत साधारण शेयर बीत्यंगु दु । थ्व ल्याखं सर्वसाधारणया निंतिं १ अर्ब ५८ करोड ८५ लाख तका बराबरया १ करोड ५८ लाख ८५ हजार कित्ता शेयर पितबी । स्थानीय वासिन्दा व सर्वसाधारणयात छुटे यानातःगु १० व १५ प्रतिशत साधारण शेयर मीधुंकाः जक कर्मचारीयात मिउगु शेयर नेपाल स्टक एक्स्चेञ्जय् सुचीकृत जुइगु खँ धाःगु दु । शेयर पितबीगु निंतिं कम्पनीं वंगु कात्तिकय् हे नेपाल धितोपत्र बोर्डय् आवेदन बिउगु खः । धितोपत्र बोर्डं छन्हु निन्हुं हे स्वीकृति वइगु जानकारी बियादिसें कम्पनी सचिव श्रेष्ठं स्वीकृति वयेवं आह्वानपत्र सार्वजनिक यायेगु तयारी जुयाच्वंग्ु खँ धयादीगु दु । आयोजना प्रभावित स्थानीय वासिन्दायात शेयर बीगु निंतिं कम्पनीं अति प्रभावित, प्रभावित व म्हो प्रभावित यानाः स्वंगू ब्वय् ब्वथलातःगु दु । थ्व कथं गौरीशंकर गाउँपालिकाया लामाबगर व गोंगरयात अतिप्रभावित, प्रवेश मार्ग व प्रशारण लाइन थिउगु क्षेत्रयात प्रभावित व आयोजनां छुं लिच्वः मलाइगु जिल्लाया मेमेगु भूभागयात म्हो प्रभावित कथं ब्वथलातःगु दु । कम्पनीं धाःकथं स्थानीयवासीतय्सं न्यूनतम ३० निसें ३०० कित्ता तक शेयर आवेदन बीफइ । दोलखाय् दयेकाच्वंगु ४५६ मेगावाट क्षमताया माथिल्लो तामाकोशी जलविद्युत आयोजना आःतकया दुने ९४ प्रतिशत भौतिक निर्माण क्वचायेधुंकूगु दु । आः आयोजनाया सुरुङ बल्लाकेगु ज्या जुयाच्वंगु खँ प्रवक्ता डा. गणेश न्यौपानें धयादीगु दु । ३१० व ३७० मिटर ताःहाकःगु थ्व निगू सुरुङ मार्गय् स्टिल लाइनिङ ज्या सिधलधायेवं ९६ प्रतिशतया ल्याखय् ज्या सिधइगु खँ धाःगु दु । अथेहे थ्व आयोजनाया मत वितरणया निंतिं रामेछापया खिम्तीइ प्रशारण लाइन दयेकेगु ज्या नं युद्धस्तरं न्ह्यानाच्वंगु खँ धाःगु दु । कुल २१७ गू टावर मध्ये आःतक १३० गू टावर दयेकेधुंकूगु व मेथाय् नं फाउन्डेशनया ज्या जुयाच्वंगु खँ धाःगु दु । आयोजनां थ्वयां न्ह्यव हे कर्मचारी सञ्चय कोषया कर्मचारी व न्यागू लाखं मल्याक सञ्चयकर्तातय्त साधारण शेयर मीधुंकूगु दु ।"
