headline,final_news,date
महारानी एलिजाबेथ द्वितीय- कर्तव्यया ताःहाकःगु यात्राय्,"बेलायती महारानी एलिजाबेथ द्वितीया वंगु बिहिवाः मंत । बेलायती प्रभाव म्हो जुया वनाच्वंगु व समाज म्हसीके हे मफइकथं हिला वनाच्वंगु व राजतन्त्रया भूमिकायात कयाः हे न्ह्यः दनाच्वंगु इलय् एलिजावेथ विश्वया निंतिं छगू स्थायी विन्दू जुल । तसकं कठीन इलय् नं राजतन्त्र कायम यानातयेत वं चूलाकूगु सफलता अझ न्ह्यथनेबहःगु जुल । उकिसनं एलिजावेथ बूबलय् वयागु भाग्य राजगद्दी लिसे दइ धकाः ला सुनां बिचाः तकं मयाःगु खः ।
                    
                    
                 एलिजावेथ एलेक्जेन्ड्रा मेरी विन्डसरया जन्म सन् १९२६ अप्रिल २१ य् लन्दनया बर्कली स्क्वारय् जुजु जर्ज न्याम्हम्हया निम्हम्ह काय अल्बर्ट व वया कला एलिजाबेथ बाउज लायोनया न्हापांम्ह सन्तान कथं जूगु खः । एलिजाबेथ थः अबु व बाज्या जर्ज न्याम्हम्ह लिसे तसकं सतिम्ह खः । मचां निसें हे न्ह्यथनेबहःकथं जिम्मेवारीबोध खनेदुम्ह एलिजावेथं खुदँ दुबलय् छक्वः थः सल गयेगु प्रशिक्षकयात थः यक्व हे सल व खिचा दुम्ह ‘कन्ट्री लेडी’ जुइ चाहे जुया धाःम्ह खः । स्कूल मवंसां एलिजावेथ तःगु भाषाय् दक्षता दुम्ह खः । वं संवैधानिक इतिहासया विस्तृत अध्ययन यात । सन् १९३६ य् जर्ज न्याम्हम्ह मदयेवं वया तःधिकःम्ह काय डेभिड धाइम्ह एडवर्ड च्याम्हम्ह जुजु जुल । तर निक्वःतक पारपाचुके धु.कूम्ह अमेरिकी नागरिक वालिस सिम्पसनलिसे ब्याहा यायेवं वयात राजनीतिक व धार्मिक आधारय् जुजु जुइत अस्वीकार्य ठहर यात, अले ब्याहा याःगु दँया अन्तपाखे गद्दी त्याग यात । अथे जुइवं एलिजावेथया अबु ड्युक अफ योर्क जर्ज खुम्हम्ह जुजु जुल । जर्ज खुम्हम्हं गद्दी आरोहण याःबलय् हे एलिजावेथया भाग्यया पूर्वानुमान जुइधुंकूगु खः । युरोपय् अप्वयाच्वंगु तनावया पृष्ठभूमिइ जुजु जर्ज खुम्हम्ह थः रानी एलिजावेथ लिसे जानाः राजतन्त्रय् जनआस्था पुनस्र्थापित यायेगु अभियानय् लगे जुल । थुकी वया तःधिकःम्ह म्ह्याय् नं लगे जुल । सन् १९२९ य् झिंस्वदँ दुम्ह राजकुमारी जुजु व लानि लिसें रोयल नेभल कलेजय् वन । अन वया केहेँ मार्गरेटलिसे ब्वनाच्वंम्ह ग्रीसया राजकुमार फिलिपं वयात साथ बिल । थ्व उमिगु न्हापांगु भेट धाःसा मखु । तर राजकुमारीया फिलिपपाखे नुगः क्वसाःगु न्हापांखुसी खः । सन्१९४४ य् थः झिंच्यादँ दुबलय् एलिजाबेथ फिलिपया मतिनाय् तक्यनेधुंकल । थ्व इलय् तक एलिजाबेथं फिलिपया तस्वीर थःगु क्वथाय् तयेगु याःगु जक मखु, निम्ह दथुइ पौ कालबिल जुइधुंकल । युद्धया अन्त्यपाखे राजकुमारी ब्रिटिस सेनाया महिला शाखा ‘अक्जिलरी टेरिटोरियल सर्भिस’य् भर्ना जुल, अन व गाडी चले यायेगु व लरी मर्मत यायेगु ज्या सयेकल । युद्ध लिपा एलिजाबेथया राजकुमार फिलिपलिसे ब्याहा यायेगु इच्छाय् यक्व हे पंगः वल, अय्सां सन् १९४७ नोवेम्भर २० य् वेस्टमिनस्टर याबीइ निम्हेसिया दथुइ इहिपा जुल । राजकुमारीलिसे इहिपा लिपा फिलिप ‘ड्युक अफ एडिनबरा’ जुल, अय्सां वं थम्हं याना वयाच्वनागु नौसेनाया ज्या धाःसा मत्वःतू । 
सन् १९४८ य् उमि न्हापांम्ह सन्तान चाल्र्सया जन्म जुल, अले सन् १९५० य् म्ह्याय् यानया जन्म जुल । युद्धया इलय् तनावय् लानाच्वंम्ह जुजु जर्जयात यक्व चुरोट त्वनेगु बानीं यानाः स्वँया क्यान्सर जुल । सन् १९५२या जनवरीइ २५ दँया एलिजाबेथ व फिलिप विदेशय् यात्रा वन । उबलय् उमित बिदा यायेत म्हंमफुम्ह जुजु नं एयरपोर्ट वन । एलिजाबेथं थः अबुयात खंगु थ्व हे दकलय् लिपांगु जुल । उपिं केन्याय् च्वनाच्वंबलय् हे जुजु मदुगु खबर वल, अले महारानीया रुपं तुरुन्त हे लन्दन लिहां वल । थुकियात कयाः महारानी एलिजाबेथं छक्वः धाःगु खः, ‘छगू कथं धायेगु खःसा उबलय् जिके छुं अनुभव हे मदु । जिमि अबु म्हो उमेरय् हे मंत । उकिं थ्व जिम्मेवारी कायेगु थःम्हं फयांफतले बांलाक निर्वाह यायेगु छगू कथं आकाझाकां धयाथें जुल ।’ सन् १९५३ य् महारानी एलिजाबेथया राज्यारोहण टेलिभिजनय् प्रत्यक्ष प्रसारण जुल । प्रधानमन्त्री विन्स्टन चर्चिचया विरोध दुसां प्रत्यक्ष प्रशारण जूगु एलिजाबेथया शपथ ग्रहण लखौं मनूतय्सं टेलिभिजनपाखें स्वल । युद्ध लिपा मितव्ययीता नालाच्वंगु बेलायतय् जूगु थ्व राज्यारोहणयात न्हूगु ‘एलिजाबेथ’ युगया उदयया रुपय् काल । निक्वःगु विश्वयुद्ध लिपा बेलायती साम्राज्य धमाधम अन्त्य जुयावन, न्हूम्ह महारानी १९५३ या नोभेम्बरय् राष्ट्रमण्डलीय देय्तय् ताःहाकःगु भ्रमणय् वंगुबलय् तक बेलायतया नियन्त्रणय् दुगु भारतलिसे तःगू हे देय् स्वतन्त्र जुइधुंकल । सन् १९५० या दशकय् हे तःगू देय् बेलायती नियन्त्रणं मुक्त जुइधुंकल । थुपिं देय्त छगू संगठन राष्ट्रमण्डलमार्फत एकताबद्ध जुल । यक्व राजनीतिकर्मीतय्सं नकतिनि उदय जूगु न्हूगु राष्ट्रमण्डलपाखें युरोपेली आर्थिक समुदाययात टक्कर बीगु तायेकल । छुं हद तक बेलायती नीति उखेपाखे हे स्वल । सन् १९५६ या सुयज प्रकरण लिपा बेलायती प्रभाव झन म्हो जुयावन । थ्व घटनां संकटया इलय् राष्ट्रमण्डलयाके एकीकृत जुयाः ज्या याये फुगु मंकाः इच्छाशक्ति मदुगु क्यन । सुयज नहर राष्ट्रियकरण यायेगु इजिप्टया कुतः पनेगु निंतिं बेलायती सैनिक छ्वयेगु निर्णय लज्यास्पदढंगं लित कायेमायेवं क्वचाल । थ्व लिपा प्रधानमन्त्री एन्थोनी इडेनं राजीनामा बिल । थ्व घटनां महारानी एलिजाबेथयात राजनीतिक संकटय् लाकाबिल । कन्जर्भेटिभ पार्टीइ न्हूम्ह नेता ल्ययेगु छुं हे संयन्त्र मदु । उकिं ताःहाकः छलफल लिपा रानी ह्यारोल्ड म्याकमिलनयात न्हूगु सरकार गठन यायेत सःतल । थ्व इलय् लर्ड अल्ट्रिनमं रानीयात व्यक्तिगत रुपं हे आलोचना यात । अखबारय् प्रकाशित छपु लेखय् अल्ट्रिनमं एलिजोबथया अदालत ‘तसकं ब्रिटिस’ व ‘उच्च वर्ग’या जूगु दाबी यात, अले लिखतबिना छगू सामान्य भाषण नं रानी यायेमफु धकाः द्वपं बिल । थ्व टिप्पणीं सञ्चारमाध्यमय् व्यापक विवाद व बहस जुल । थ्व घटना लिाप लर्ड अल्ट्रिनमयात लिग अफ एम्पायर लोयलिस्टस धाइगु राजतन्त्र पक्षधर पुचःया दुजःतय्सं सडकय् भौतिक आक्रमण तकं यात । तर थ्व घटना लिपा राजतन्त्रयात स्वयेगु बेलायती समाजया मिखाय् तीव्र गतिं हिउपाः वल । थ्व लिपा थः भाःत फिलिपया हःपालं रानीं न्हूगु सुधार हयेगु सुरु यात । ‘द मोनार्की’ पदावलीयात बुलुहुँ ‘द रोयल फेमिल’ धायेु यानाहल । 
सन् १९६३ इ ह्यारोल्ड म्याकमिलनं प्रधानमन्त्री पदं राजीनामा बीवं महारानी हाकनं राजनीतिक विवादय्लात । थ्व इलय् तक न कन्जर्भेटिभ पार्टीं न्हूम्ह नेता ल्ययेगु संयन्त्र हे मदयेकूनिगु जुयाच्वन । वयागु थासय् गृहमन्त्रीयात प्रधानमन्त्रीया रुपय् नियुक्त यायेगु म्याकमिलनया सल्लाह महारानीं नालाकाल । थ्व ई महारानीया निंतिं तसकं मछिंगु ई खः । संविधान पालना व तत्कालिन सरकारपाखें राजतन्त्रयात तापाक हे तयेगु रानीया शासनया म्हसीका जुयाच्वंगु खः । रानीं थः सुसूचित जुइगु, थःम्हं सल्लाह बीगु व चेतावनी बीगु थःगु अधिकारयात गम्भीर रुपं काल । रानीयात मछिंगु अवस्था वःगु थ्व हे अन्तिम जुल, छाय्धाःसां थ्व धुंकाः कन्जर्भेटिभतय्सं पार्टीया नेता ल्ययेगु निंतिं व्यवस्थित बिधि नालेगु सुरु यात । सन् १९६० दशकया अन्त्यपाखे बकिङ्घम राजदरवारं शाही परिवारयात म्हो औपचारिक व याउँक पहुँच दइगु कथं सकारात्मक पलाः ल्ह्वनेगु आवश्यक दुगु निर्णय यात । थुकिया लिच्वः खः ऐतिहासिक वृत्तचित्र ‘रोयल फेमिली’ । बिबिसीयात राजदरवार दुनेया गतिविधि खिचे यायेगु अनुमति बिल । अले दरवार दुने क्रिसमसया इलय् सिमा सजे यानातःगु, खुलाथासय् मि च्याकाः ला छुयाच्वंगु, मस्तय्त गाडीइ तयाः चाःहिके यंकाच्वंगु किपात पिहां वल । राजपरिवारया थज्याःगु सामान्य गतिविधिया किपा थ्वयां न्ह्यः गुबलें हे खनेमदुनिगु खः । रिचर्ड कस्टनया उगु वृत्तचित्रं शाही परिवारया सहस्य ध्वस्त यानाबिउगु आलोचकतय् दावी दु । तर थ्व वृत्तचित्रं उबलय्या तनावमुक्त मनोदशायात न्ह्यब्वल, थुकिं राजतन्त्रप्रति जनआस्था पुनस्र्थापित यायेत यक्व ग्वाहालि यात । सन् १९७७ य् महारानीया राज्यारोहणया रजत महोत्सव देय्न्यंकं उत्साहपूर्वक हन । थुकिं राजतन्त्रप्रति जनतां स्नेह क्यंगु खनेदत । 
थ्वयां निदँ लिपा बेलायतय् मार्गरेट थ्याचर न्हापांम्ह मिसाम्ह प्रधानमन्त्री जुल । थुबलय् मिसाम्ह राष्ट्र प्रमुख व मिसाम्ह हे सरकार प्रमुख दथुइ स्वापू बांलाः मजू धयागु खँत पिहां हे वयाच्वन । थुकी छगू जटिल क्षेत्र धयागु राष्ट्रमण्डल जुल । थुकिया प्रमुख रानी खः, अले थुकी रानीया नुगः क्वसाः । एलिजाबेथ अफ्रिकी नेतातलिसे बांलाक परिचितम्ह खः, अले उमिगु उद्देश्यप्रति सहानुभूति तइम्ह खः । महारानीं थ्याचरया शैली थुइके हे मफुगु कथं तायेकीगु खः । विशेषतः रंगभेदी दक्षिण अफ्रिकाविरुद्ध प्रतिबन्ध तयेगु विपक्षय् प्रधानमन्त्री वंगु लिसें मेमेगु यक्व खँय् महारानीं प्रधानमन्त्रीयात थुइके हे मफुगु जुयाच्वन । सन् १९९१ य् खाडी युद्धलिपा महारानी एलिजाबेथ अमेरिकी संसदया मंकाः सत्रय् सम्बोधन याःम्ह न्हापां बेलायती शाही दुजः जुल । राष्ट्रपति जर्ज बुसं उबलय् थःपिंसं लुमंके फुगु इलं निसें स्वतन्त्रताया मित्र धकाः धाःगु खः । थ्वयां दछि लिपा शृङ्खलाबद्ध रुपं खनेदुगु विवाद व दुर्घटनां शाही परिवारयात प्रभावित यात । रानीया निम्हम्ह काय ड्युक अफ योर्क व वया कलः सारहं पारपाचुके काल । अथे महारानीया म्ह्याय् यानं नं मार्क फिलिप्सलिसे पारपाचुकल । थ्व हे इलय् वेल्सया राजकुमार व राजकुमारी नं थःथवय् लय्मताःगु धयागु खँ पिहां वल । थुपिं निम्ह दथुइ नं अन्तय् पारपाचुके हे जुल । अथे थुगु दँया अन्तपाखे रानीया च्वनेगु निंतिं यःगु थाय् ‘विन्डसोर क्यासल’य् तसकं मि नल । थ्व दरवार मर्मतया निंतिं करदाताया ध्यबा छ्यलेगु कि रानी थःम्हं हे खर्च यायेगु धयागु विवाद तच्वल । महारानीं सन् १९९२ यात थःगु निंतिं दुर्भाग्यं जाःगु दँ धकाः ब्याख्या यायेगु याः । सिटी अफ लन्डनय् जूगु थःगु संवोधनय् म्हो आलोचक सञ्चार माध्यम स्वयां थप खुला राजतन्त्रया आवश्यकताय् बः बिल । थ्व इलय् राजतन्त्र तसकं रक्षात्मक अवस्थाय् दुगु खः । विन्डसोर क्यासल मर्मतया निंतिं ध्यबा मुंकेत बकिङ्घम राजदरबार सर्वसाधारणया निंतिं चायेकल, अले महारानी व वेल्सया राजकुमारं लगानीया आम्दानीइ कर पुलेगु घोषणा यात । देशं पिने धाःसा एलिजाबेथया सुरुवाती शासनकालय् राष्ट्रमण्डलया निंतिं खनेदुगु आशा धाःसा पूमवन । युरोपय् न्हूगु व्यवस्था वयेवं बेलायतं थः पुलांपिं सहयात्रीतय् पाखें फस्वयाबिल । अथे खःसां रानीं राष्ट्रमण्डलया महत्व तायेका हे च्वंम्ह खः । दक्षिण अफ्रिकां रङ्गभेदी प्रणाली अन्त्य यायेबलय् महारानी तसकं लय्ताःगु खः । थ्व लसता सन् १९९५ या मार्चय् दक्षिण अफ्रिकाया भ्रमण यानाः प्वंकल । बेलायतं न्हूगु गन्तव्य मालेत संघर्ष यानाच्वंगु इलय् सकसितं आश्वस्त यायेफुम्ह व्यक्तित्व कथं थःत तयातयेगु कुतः यानाच्वन । तर सन् १९९७ या अगस्टय् पेरिसय् जूगु कार दुर्घटनाय् लानाः वेल्सया राजकुमारी डायना मदयेवं राजसंस्था स्तब्ध जुल । थ्व इलय् महारानी एलिजाबेथया बांमलाक आलोचना जुल । तर छम्ह मतिनां जाःम्ह अजिया ल्याखं डायनाया मस्तय्त सान्त्वना बीमाःगु आवश्यक तायेकल । थ्व हे झ्वलय् छगू प्रत्यक्ष प्रसारण मार्फत थः भौयात श्रद्धाञ्जली प्वंकुसें राजसंस्थां नालेमाःगु विषयय् प्रतिबद्धता प्वंकल । सन् २००२ इ महारानीया मां व केहेँय् सित, तर थ्व हे दँय् महारानीया राज्यारोहणया ५० दँ थ्यंगु लसताय् ज्याझ्वः यायेगु कि मयायेगु धयागु अन्योल जुल । अथे खःसां बकिङ्घम राजदरवार न्ह्यःनेया सतक ‘द मल’य् महारानीया राज्यारोहणया ५० दँया उत्सव हनेत थ्यंमथ्यं झिगू लाख मनूत मुंवल ।   सन् २००६ या अप्रिलय् थःगु ८० दँ बुन्हिया लसताय् महारानी अनौपचारिक रुपं सर्वसाधारणयात नापलायेत पिहां वःबलय् द्वलंद्वः मनूत विन्डसोरया सतकय् खनेदत । अथेहे सन् २००७ या नोवेम्भरय् वेस्टमिनस्टर याबीइ निद्वःम्ह मनूतय् उपस्थितिइ महारानी व राजकुमार फिलिपया इहिपा जूगु ६० दँ क्यंगु लसता तःजिक हन । सन् २०११ या अप्रिलय् थः छय् अर्थात क्याम्ब्रिजया ड्युक विलियम व क्याथ्रिन मिड्लटनया ब्याहालय् उपस्थित जुयाः आइरिस भासं भाषणं बिसें सकसितं मेलमिलापया आह्वान यात । थ्वयां दछि लिपा आयरल्यान्डया भ्रमणया इलय् महारानीं आइआरएया पुलांम्ह कमान्डर मार्टिन म्याकगिनिसलिसे ल्हाः मिले यात । सन् १९७९ य् आइआरएया बम आक्रमणय् थःथिति लर्ड लुइ माउन्टब्याटेनयात गुमे यायेमाःम्ह महारानीया निंतिं थ्व क्षण तसकं मार्मिक जुल । 
सन् २०१४ या सेप्टेम्बरय् स्कटल्यान्ड स्वतन्त्रता सम्बन्धी जनमत संग्रह महारानीया निंतिं छगू परीक्षणया ई जुयाबिल । सन् १९७७ य् महारानीं संयुक्त अधिराज्यप्रति प्रतिबद्धता प्वंकुसें संसदय् याःगु भाषण यक्वस्यां ल्वःमंकूगु खइमखु । स्कटिस जनमत संग्रह छन्हु न्ह्यः महारानी बाल्मोरलय् शुभेच्छुकतलिसे खँ ल्हासें जनतां थःगु भविष्ययात तसकं सावधानीपूर्वक बिचाः याइगु अपेक्षा यानागु खँ धाल । जनमत संग्रहया लिच्वः वयेवं पिहां वःगु महारानीया वक्तव्यय् संयुक्त अधिराज्यं छप्पं जुयाच्वने फुगुलिं राहत चूलाःगु महसुस याःगु खनेदत । अथे खःसां हिला वनाच्वंगु राजनीतिक अवस्थायात महारानीं थू । सन् २०१५ या सेप्टेम्बर ९ य् ब्रिटिस इतिहासय् हे दकलय् ताःहाकः राजगद्दी च्वंम्ह महारानी जुल । थ्व झ्वलय् वया तापाअजिया नं अजि महारानीया भिक्टोरियां तयातःगु इतिहासयात त्वाःथल । सन् २०१६या अप्रिलय् महारानीं ९० औं बुन्हि हन । महारानीया शासनकालया सुरुवातय् थें आः राजतन्त्र बल्लाः मजूसां बेलायती जनताया नुगलय् महारानीप्रति स्नेह व सम्मान खने हे दयाच्वन । विशेषत ड्यूक अफ एडिनबरां सन् २०१७ य् अवकाश कायेधुंकाः नं महारानीं नब्बेया दशकया उमेरय् नं थःगु सार्वजनिक दायित्व निर्वाह हे यानाच्वन । थ्व दथुइ राजपरिवार दुने तनाव ब्वलनीगु ज्या नं जुयाच्वन, गथे कि महारानीया जहान प्रिन्स फिलिपया कार दुर्घटना, द ड्युक्र अफ योर्कया अपराधी घोषित यानातःम्ह अमेरिकी ब्यापारिलिसे वया मित्रता व प्रिन्स ह्यारीया शाही जीवन प्रतिया अस्पष्टता । अथे खःसां स्थितियात थःगु नियन्त्रणय् तयातःम्ह महारानीया नेतृत्वया इलय् थ्व छुं व्यग्र याइगु घटनात खः । थःगु हीरक जयन्तीया इलय् महारानीं थःम्हं न्हापांखुसी दक्षिण अफ्रिका भ्रमणया इलय् यानाः प्रतिबद्धता लुमंकुसें धाःगु खः, ‘जिं जि २१ दँ दुबलय् जिगु जीवन झी जनताप्रति समर्पित यायेगु प्रतिबद्धता यानागु खः, अले ईश्वरयाके जिगु प्रतिबद्धताय् कायम जुयाच्वने फयेक धकाः प्रार्थना यानागु खः । जिगु जवानीया इलय् यानाःगु थ्व प्रतिबद्धतापाखें जि छपलाः नं लिचिलागु मदु, अले थुकी जितः पश्चाताप नं मदु ।’",११४२ यंलागा दुतिया
विश्वकप छन्हु न्ह्यकाल,"एजेन्सी- कतारय् जुइत्यंगु फिफा विश्वकप २०२२ छन्हु न्ह्यकाःगु दु । थ्व हे नोभेम्बर २१ निसें विश्वकप जुइत्यंगु खःसां आः नाभेम्बर २० निसें विश्वकप शुरु जुइ । उद्घाटन कासा ग्वसाः देय् कतार व इक्वेडर दथुइ जुइगु फिफां जानकारी बिउगु दु ।
                    
                    
                 थ्वया न्ह्यःया धलःकथं उद्घाटन कासा नोभेम्बर २१ य् नेदरल्याण्ड्स व सेनगलया दथुइ यायेगु निर्णय यानातःगु खः । विश्वकपया न्हापांगु कासा ग्वसाः देशं म्हिता वयाच्वंगु चलनयात निरन्तरता बियागु फिफां धाःगु दु । नोभेम्बर २० तारिखनिसें शुरु जुइगु विश्वकपया फाइनल कासा डिसेम्बर १८ तारिखय् जुइ ।",११४२ गुंलाथ्व पुन्हि
बार्यन म्युनिख व लिभरपुल त्यात,"एजेन्सी- च्याम्पियन्स लिगय् जर्मन क्लब बार्यन म्युनिख व इंग्लिस क्लब लिभरपुल त्याःगु दु । समूह चरण अन्तर्गत जूगु कासाय् बार्यनं बार्सिलोना व लिभरपुलं आयाक्सयात बुकूगु खः ।
                    
                    
                 बार्यन म्युनिखं बार्सिलोनायात २–० गोलं बुकूगु खः । बार्यन म्युनिखया घरेलु मैदानय् जूगु कासाय् बार्यनया निंतिं लुकास हर्नान्डेज व लोरी सानें गोल याःगु खः । कासाया निगूगु हाफया ५० औं मिनेटय् हर्नान्डेजं गोल यानाः बार्यनयात अग्रता बिउगु खःसा वयां प्यंगू मिनेट लिपा कासाया ५४ आंै मिनेटय् सानें मेगु गोल याःगु खः । बार्यन पुचःया शीर्ष थासय् दु । पराजित बार्सिलोना निगूगु थासय् दु । थ्व हे पुचःया मेगु कासाय् इटालियन क्लब इन्टर मिलानं चेक क्लब भिक्टोरिया प्लेजेनयात २–० गोलं बुकल । इन्टर मिलानया निंतिं जेको व डेन्जेल डमफ्रेज छगू छगू गोल याःगु खः । इन्टर मिलान पुचःया स्वंगू थासय् दु । च्याम्पियन्स लिगया मेगु कासाय् लिभरपुलं डच क्लब आयक्सयात बुकूगु दु । घरेलु मैदानय् जूगु कासाय् लिभरपुलं आयक्सयात २–१ गोलं बुकूगु खः । कासाय् लिभरपुलया निंतिं मोहम्मद सलाह व जोएल माटिपं छगू छगू गोल याःगु खः । आयाक्सया निंतिं मोहमद कुडुसं छगू गोल याःगु खः । च्याम्पियन्स लिगया मेगु कासाय् बायर लेभरकुजनं एटलेटिको म्याड्रिडयात २–० गोलं, क्लब ब्रुग्सं एफसी पोर्टोयात ४–० गोलं व फ्रायन्कफर्टं मार्सेयात १–० गोलं बुकल ।",११४२ यंलागा चौथी
क्युबाया चिकं भण्डारय् मल जुयाः सलसं घाःपाः,"एजेन्सीऔ क्युबाया मातान्जास शहरय् च्वंगु आयल निगमया डिपोय् मलः जुयाः सलंसः मनूत घाःपाः जूगु दु । चिकं भण्डार यानातःथाय् मलः जुयाः थ्यंमथ्यं सछि व २० म्ह मनूत घाःपाः जूगु दु । अथेहे मि स्यायेत वःपिं १७ म्ह अग्निनियन्त्रक बेपत्ता जुयाच्वंगु अधिकारीतय्सं धाःगु दु ।
                    
                    
                 चिकं भण्डारय् मल जुयाः नःगु मि आइतवाः तक नियन्त्रण कायेफयाच्वंगु मदुनि । मियात नियन्त्रणय् कायेमफुगुलिं क्युबाया सरकारं जःलाखःला देय्लिसे ग्वाहालि नं फ्वंगु दु ।",११४२ गुंलाथ्व दशमी
भारतया केरलाय् निम्ह मिस्तय्गु बलि,"एजेन्सी÷ दक्षिण भारतय् च्वंगु केरला राज्यया पथानामथिट्टा जिल्लाय् निम्ह मिस्तय्त आर्थिक समृृद्धिया निंतिं धकाः बलि बिउगु घटना सार्वजनिक जूगु दु । भारतया अंग्रेजी पत्रिका ‘द हिन्दू’ इ पिहां वःगु समाचार कथं केरलाया निगू जिल्लां तंपिं निम्ह मिस्तय् बलि बिउगु खः ।
                    
                    
                 प्रहरीं पद्म व रोसली नांयापिं थुपिं निम्ह मिस्त मालेगु झ्वलय् भगवत सिंह व लैला नांयापिं कलाः–भाःत व शफी (रशिद) नांया छम्ह मिजंयात ज्वंगु खः । उमिके न्यनेकने याःबलय् थुपिं निम्हेसितं बलि बिउगु सीदुगु खः । पद्माया हत्या सेप्टेम्बरया अन्तिम वालय् व रोसलीया हत्या जुनय् जूगु खँ पत्रिकाय् न्ह्यथनातःगु दु । कोच्ची नगर प्रहरी अधिरक्षक सीएच नागाराजं धाःकथं थुपिं स्वम्हं जानाः निम्ह मिस्तय्त स्यानाः लाशयात थःगु छेँय् हे थुनाबिउगु खः । अभियुक्ततय्सं अपराध स्वीकार याःगु प्रहरीं पुष्टि यायेधुंकूगु दु । प्रहरीं बिउगु जानकारीकथं शफी व भगवल सिंहयात अर्थिक समस्या जुयाच्वंगु खः । अर्थिक संकट म्होयात भगवल सिंहयात शफिं मानव बलि बिइगु सल्लाह बिउगु खः । शफी तन्त्रमन्त्र याइम्ह खः धाःगु दु । थ्व धुंकाः शफीं हे ५७ दँया पद्मा व ४९ दँया रोसलीयात जागिर नकेगु व आर्थिक लोभ बियाः ब्वनाहःगु खः । 
उमिगु सीम्ह थुनातःथासं लिकयाः उमि परिवारयात क्यंबलय् म्हसीके हे मफयेक ध्वगिना वनेधुंकूगुलिं प्रहरीं डीएनए जाँच यानाः सीपिं म्हसीकूगु खः । भारतया थीथी थासय् अन्धविश्वासया कारण थथे मानव बलि बीगु घटना बारम्बार जुइगु याः । थज्याःगु घटना अप्वः धयाथें मिस्त व मस्त हे पीडित जुइगु याः ।",११४२ कौलागा तृतीया
अस्ट्रेलियाय् राष्ट्रिय आपतकालया घोषणा,"एजेन्सी- अस्ट्रेलियाया प्रधानमन्त्री स्कट मोरिसनं बुधवाः अस्ट्रेलियाय् राष्ट्रिय आपतकाल घोषणा याःगु दु । थनया निगू राज्यय् तसकं वा वयाः वःगु खुसीबालं २० म्ह मनू सीगु व द्वलद्वः मनूत थःगु छे त्वःतााः वनेमाःगुलिं आपतकाल घोषणा याःगु खः ।
                    
                    
                 वंगु निवाः न्ह्यवनिसें तसक वा वयाः यक्व हे छेँ डुबानय् लाःगु दु । गुकिं यानाः द्वलंद्वः मनूत छेँ त्वःताः सुुरक्षित थासय् वनेमालाच्वंगु दु । अस्ट्रेलियाया न्यू साउथ वेल्स व क्वीन्सल्याण्डय् रेकर्ड स्तरया वा वःगु खः । प्रधानमन्त्री मोरिसनं बुधवाः राष्ट्रिय आपतकालया घोषणा याःगु खः । मोरिसनं ५०० दँ लिपा थज्याःगु घटना जूगु धाःगु दु । स्थानीय मनूतय्सं इलय् हे उद्धार मयाःगु धासें राज्य सरकारया विरोध याःगु दु ।",११४२ चिल्लाथ्व सप्तमी
कतारय् कासामितय्सं प्रदर्शन याइगु जुइवं फुटबलय् जक ध्यान बिइत फिफाया इनाप,"एजेन्सी÷ कतारय् निवाः लिपा जुइत्यंगु फिफा विश्वकप २०२२य् कासामितय्सं शान्तिपूर्ण विरोध प्रदर्शनया तयारी यानाच्वंगु दु । समलिङ्गी सम्बन्ध, मानवअधिकार व आप्रवासी ज्यामितय्त याइगु व्यवहारयात कयाः कतारया अलोचना जुयाच्वंगु अवस्थाय् विश्वकपय् ब्वति काइगु देय्या कासामितय्सं थुकियात कयाः शान्तिपूर्ण विरोध यायेत्यंगु खः ।
                    
                    
                 थ्व हे झ्वलय् फिफां थुगसी विश्वकपय् थ्यंगु ३२ गू टिमयात पौ छ्वयाः फुटबलय् जक ध्यान बिइत इनाप याःगु दु । फिफाया अध्यक्ष जियानी इन्फान्टिनो व महासचिव फात्मा समौरां हस्ताक्षर याना छ्वःगु पतिइ धयातःगु दु ‘पृष्ठभुमि, धर्म, लिङ्ग, यौन झुकाव वा राष्ट्रियताया मतलब मयासे सकसितं लसकुस दु ।’ विश्वय् यक्व हे राजनीतिक समस्या व चुनौती दुगु व उकियात फुटबललिसे मस्वायेत पतिइ इनाप यानातःगु दु । विश्वकपया उद्देश्य दक्व धर्म, लिङ्ग व राष्ट्रियतायात स्वायेगु नं खः धकाः पतिइ धयातःगु दु । विश्वकपय् शान्तिपूर्ण विरोध यायेगु झ्वलय् युरोपपाखें छनोट जूगु देय्या कप्तानतय्सं ‘वन लभ’ (समलिङ्गी सम्बन्ध) आर्मब्यान्ड तयेगु धकाः धाःगु दुसा डेनमार्कं ‘टोन्ड डाउन जर्सी’ (शोकया संकेत याइगु) पुनीगु धाःगु दु ।",११४३ कछलाथ्व एकादशी
