,headline,date,final_news,url
0,कारबाहीया प्रक्रिया न्ह्यःने न्ह्याकेत इजरायलयात इनाप ,"Thu Feb 18, 2010  7:18 pm",दुबइस जूगु हमास नेताया हत्याय् ल्हाः दु धयातःम्ह व्यक्तिं बेलायत व मेमेगु युरोपेली देय्या जाली पासपोर्ट छ्यःगु सीदुगु दु । थ्व बुखँ सार्वजनिक जुइधुंकाः बेलायती सरकारया प्रवक्तां थ्व गम्भीर बिषय जूगुलिं थुकिया विषयस याकनं कारवाहीया प्रक्रिया न्ह्यःने न्ह्याकेत इजरायलयात इनाप याःगु जानकारी ब्यूगु दु । बेलायती प्रधानमन्त्री गोर्डन ब्राउनं उगु घटनाया जांचया निंतिं उजं ब्यूगु दु । हत्याय् ल्हाः दुम्ह मनुखं बेलायती पासपोर्ट छ्यःगु बुखँ सार्वजनिक जुइधुंकाः घटना अझ रहस्यमय जूगु दु । प्यालेस्टाइनं धाःसा: थः नेताया हत्याय् इजरायलया ल्हाः दुगु द्वपं बियावयाच्वंगु दु । तर इजरायलं थः उगु घटनाय् ल्हाः मदुगु व थुकिया दसु नापं मदुगु जानकारी ब्यूगु दु ।,https://www.nepalmandal.com/content/6683.html
1,चिनिया प्रधानमन्त्रीयात  लाकां ,"Tue Feb 3, 2009  7:23 pm",बेलायती भ्रमणय् झायाच्वनादीम्ह चिनिया प्रधानमन्त्रीयात लाकमं कयेकूगु दु । प्रधानमन्त्री वेन जिया वाओयात क्याम्ब्रीज विश्वविद्यालयसं म्हिगः ग्वसाः ग्वःगु सार्वजनिक समारोहसं सम्बोधन यानाच्वंगु इलय् लाकमं कयेकूगु खः । कयेकूगु लाकमं धाःसा प्रधानमन्त्रीयात मलाःगु अन्तर्राष्ट्रिय संचार माध्यमतय्सं जानकारी ब्यूगु दु । स्वन्हुया बेलायत भ्रमणय् झायादीम्ह चिनिया प्रधानन्त्रीयात लाकमं कयेकूगु खः । घटनाप्रति चिनिया विदेश मन्त्रालयं गंभिर अपमान धासें च्यूता प्वंकूगु दु । थ्व स्वयां न्ह्यः अमेरिकी तत्कालीन राष्ट्रपति जर्ज डब्लु बुसयात नुगः खँ तयाच्वंगु इलय् ईराकया पत्रकारं लाकमं कयेकूगु खः ।,https://www.nepalmandal.com/content/724.html
2,मचा अपहरण याःगु द्वपनय् ज्वंपिं च्याम्ह अमेरिकीतय्त त्व:तल ,"Thu Feb 18, 2010  7:19 pm",हाइटिइ बिनाशकारी भुखाय् वनेधुंकाः मचा अपहरण याःगु द्वपनय् ज्वंपिं झिम्ह अमेरिकी मध्ये च्याम्हसित त्वःतूगु दु । उगु पुचःया प्रमुख लौरा सिल्स्बी व मेम्ह छम्ह बाहेक मेपिंत त्वःतूगु खः । उमित मेगु अनुसन्धानया निंतिं हिरासतय् हे तयातःगु अधिकारीतय्सं जानकारी ब्यूगु दु । ज्वंपिं मध्ये न्याम्ह मिजं व न्याम्ह मिसा खःसा उपिं मध्ये अप्वः धइथें अमेरिकाया इडाहो प्रान्तया जूगु जानकारी ब्यूगु दु । उमित हाइटिइ भुखाय् वंगु झिंन्हय्न्हूलिपा स्वीस्वम्ह मस्तय्त यंकाच्वंगु इलय् ज्वंगु खः । हाइटिइ थुगु दँय् वंगु भुखाय्सं निगू लाख स्वीद्धः मनूत सीगु खः ।,https://www.nepalmandal.com/content/6684.html
3,दलाइ लामा व राष्ट्रपति ओबामा नापलायेवं चीनं तं प्वंकल ,"Fri Feb 19, 2010  7:07 pm",तिब्बतपाखें निर्वासित धार्मिक नेता दलाइ लामायात अमेरिकी राष्ट्रपति बाराक ओबामां नापला:गु ज्या प्रति चीनं तं प्वंकूगु दु । उगु ज्यां चीन व अमेरिका दथुइया स्वापूतिइ बांमलाक्क घाःलाकूगु प्रतिक्रिया चीनं  ब्यूगु दु । चिनियाँ उपविदेशमन्त्री कुतियानकाइं अमेरिकी राजदूत जोन हन्ट्स म्यानयात सःताः  उगु च्यूताः प्वंकूगु खः । चीनया असन्तुष्टिया दथुइ वंगु बहनि दलाइ लामा व ओबामा दथुइ अमेरिकाय् नापलायेधुंकाः थज्याःगु प्रतिक्रिया वःगु खः । अथे हे अमेरिकां धाःसा चीनया मन तयेत पाय्छि कथं पलाः न्ह्याकीगु जानकारी ब्यूगु दु । दलाइ लामालिसेया नापलायेगु ज्या राजनीतिक स्वयां नं व्यक्तिगत जक जूगु धका: ह्वाइटहाउसं स्पष्टीकरण ब्यूगु दु ।,https://www.nepalmandal.com/content/6713.html
4,उत्तर कोरियाया वरिष्ठ अधिकारी बेइजिङय् ,"Tue Feb 23, 2010  7:17 pm",उत्तर कोरियाया सत्तारुढ वर्कर्स पार्टी अफ कोरियाया वरिष्ठ अधिकारी किम योङ इल मंगलवा: बेइजिङ थ्यंकूगु दु । जनवरीइ पार्टीया वैदेशिक मामिला विभागया निर्देशक नियुक्त जुयादीम्ह किमया थ्व न्हापांगु चीन भ्रमण खः । थ्व भ्रमणं उत्तर कोरियाया राष्ट्रपति किम जोङ इलया सम्भावित चीन भ्रमणया विषयस किमं थः समकक्षी चिनियाँ कम्युनिष्ट पार्टीया वैदेशिक मामिला विभाग प्रमुख वाङ जियारुईलिसे सहलह यायेफुगु धुकूमाः याःगु दु । फेब्रुअरी ८य् वाङ प्योङयाङ भ्रमणय् दुबले चिनियाँ राष्ट्रपति हु जिन्ताओया चीन भ्रमणया ब्वनापौ उत्तर कोरियाया राष्ट्रपति न्ह्यःने ल:ल्हानादीगु ख: । मंगलवा: बेइजिङ थ्यंबलय् किमयात चिनियाँ कम्युनिष्ट पार्टीया वैदेशिक मामिला विभागया अधिकारीतय्सं लसकुस याःगु खः ।,https://www.nepalmandal.com/content/6817.html
5,'सैनिक अभियान बन्द याःसा थःपिं वार्ताय् च्वनेत तयार' ,"Tue Feb 23, 2010  7:18 pm",भारतीय कम्युनिष्ट पार्टी (माओवादीं) सरकारं २५ फेब्रुआरी निसें न्ह्याकूगु 'अपरेशन ग्रिन हन्ट' नांया हिंसात्मक सैनिक अभियान बन्द याःसा थःपिं वार्ताय् च्वनेत तयार दुगु जानकारी ब्यूगु दु । छुं दिं निसें सरकारं न्ह्याकूगु अपरेशन ग्रिन हन्ट विरुद्ध माओवादीं नं अपरेशन पिस हन्ट न्ह्याकूगु दु । छुं दिं न्ह्यःजक भारतीय केन्द्रीय गृहमन्त्री पी चिदम्बरं माओवादीं न्हय्निघौया दुने हिंसा त्वःता वसा: उपिंलिसे वार्ता यायेत तयार दुगु खँ धयादीगु ख: । सरकारया इनापया लिसलय् भारतीय माऒवादीया प्रवक्ता किसनजीं माओवादी विरुद्ध जुयाच्वंगु अपरेशन बन्द याःसा २५ फेब्रुअरी निसें मे ७ तकतक न्हय्निन्हुया थःपिनिगु कारवाही दिकेगु खँ छगू विज्ञप्ति पिथना: सार्वजनिक याःगु खः । वंगु वाःलय् जक माओवादीं पश्चिम बंगाल राज्यस अपरेशन ग्रिन हन्टया अर्धसैनिकया क्याम्पय् हमला यानाः नीप्यम्ह स्याना: ब्यूगु खःसा अनं दुगु अत्याधुनिक ल्वाभःत नं कब्जाय् काःगु खः ।,https://www.nepalmandal.com/content/6818.html
6,ओवामाया फिड दि नेशन ज्याझ्वलय् नेपाः नं ल्यल ,"Thu May 13, 2010  2:17 pm","अमेरिकी सरकारं हिलंया अल्पविकसित विकासन्मुख नापं म्हो विकसित देय्या निंतिं तयार याःगु फिड द पुयुचर इनिसिएटिभ ज्याझ्वलय् नेपाः नं ल्यःगु दु । थुगु ज्याझ्वःया नितिं ल्यःगु प्रमुख नीगू देय्म मध्ये एशियां नेपाः, बङ्गलादेश, क्याम्बोडिया व ताजिकिस्तान लाःगु दु । इनिसिएटिभ सम्बन्धित देय्या स्वामित्व व कृषि केन्द्रित बृहत ज्याझ्वः खः । अमेरिकी राष्ट्रपति वराक ओवामां थुगु ज्याझ्वलं विकासोन्मुख देय्या ताःई न्ह्यःनिसेंया भोक व गरिबी न्यूनिकरणय् ग्वाहालि जुइगु विश्वास प्वंकूगु दु । ओवामां अमेरिकी सरकारं खाद्य सुरक्षायात मुख्य प्राथमिकताय् तःगु हुनिं थुगु ज्याझ्वः तयार जूगु धाःगु दु । नेपाःया चय्गु प्रतिशत स्वयां अप्वः जनता कृषि क्षेत्रय् निर्भर जूसां मुख्य बालीया उत्पादनय् गिरावट वःगु व खुइन्हय्गु प्रतिशत नेपाली खाद्यान्नया म्हो खनेदुगु लिपांगु प्रतिवेदनया लिधंसाय् नेपाः नं दुथ्याकूगु खः । अध्यन कथं नेपालय् न्यादँ क्वय्या थ्यंमथ्यं बच्छि मस्त कुपोषित जुयाच्वंगु दु । थुगु ज्याझ्वलं खाद्यान्नया माग पूरा यायेत कृषि उत्पादन अप्वयेकेत रोजगारीया ह्वताः चूलाकेत व आय आर्जन अप्वयेकेत ग्वाहालि याइगु बिश्वास अमेरिका सरकारं काःगु दु । थुकिया नितिं स्वंगू अर्ब न्यय्गु कोटि डलर बराबरया कोषं अमेरिकां नेपालय् दिर्घकालीन भोकमारीया समस्या ज्यंकेगु क्षेत्रय् लगानी याइ ।",https://www.nepalmandal.com/content/8095.html
7,विकिलिक्सया संस्थापक असान्जयात ज्वन ,"Tue Dec 7, 2010  10:23 pm",अमेरिका लगायत थीथी देय्या गोप्य सूचंत सार्वजनिक यानाः तहल्का न्यंकाच्वंगु विकिलिक्स वेबसाइटया संस्थापक नापं प्रधान सम्पादक जुलियन असान्जयात लण्डन प्रहरीं ज्वंगु दु । बेलायती अदालयतय् बयान बीगु तयारी यानाच्वंम्ह असान्जयात मंगलवाः लण्डनया महानगरीय प्रहरीं ज्वंगु खः । ३९दँया अष्ट्रेलियन नागरिक असान्जयात स्वीडेनय् २म्ह मिसायात यौन दुर्व्यवहार याःगु द्वपंलय् छुं न्हि न्ह्यः जक अन्तराष्ट्रिय प्रहरी संगठन इन्टरपोलं रेड कर्नर नोटिस जारी याःगु खः । थ्वस्वयां न्ह्यः थौं हे छगू अष्ट्रेलियन न्हिपौलय् असान्जया बिचाः पिहांवःगु खः । उगु पौलय् असान्जं विकिलिक्सयात वैज्ञानिक पत्रकारिताया संज्ञा ब्यूसें थुकीं जनतायात वास्तविकता सहित सत्य बुखँ बीगु ज्या यानाः पत्रकारितय् न्हूगु कथंया सुरुवात याःगु धाःगु दु । असान्जं लोकतान्त्रिक समाजय् छगू सशक्त मिडिया आवश्यक जूगु व अज्याःगु मिडियाया छगू ब्वः विकिलिक्स जूगु धासें मिडियां सरकारयात इमान्दार जुइत ग्वाहालि याइगु दावी याःगु दु ।,https://www.nepalmandal.com/content/11294.html
8,सु जुइ सन् २०१०या टाइम पर्सन अफ द इयर? ,"Fri Dec 10, 2010  11:50 pm","- सन् १९२७ निसें दँय्दसं टाइस पत्रिकां उत्कृष्ट छम्ह व्यक्तित्वयात 'टाइम पर्सन अफ द इयर' ल्ययेगु ज्या यानाच्वंगु दु । अथे धइगु दच्छि तक विश्वय् दलकय् अप्व सकारात्मक व नकारात्मक कथं प्रभाव लाकेफुम्ह छम्ह मनू वा पुचःयात पर्सन अफ द इयर धकाः ल्ययेगु यानाच्वंगु दु । थुगु पर्सन अफ इयर पाठकतय् भोटया आधारय् ल्ययेगु ज्या जुइ । थुगुसि नं टाइम पत्रिकां पर्सन अफ द इयर ल्यइगु ई सतिना वःगु दु । पर्सन अफ द इयरया निंतिं टाइमं २५ मनूतय् नां सार्वजनिक यायेधुंकूगु दु । उकी मध्ये आतकःया भोटिङ कथं दकलय् अप्व भोट हयाः जुलियान असान्ज न्हापांगु थासय् लानाच्वंगु दुसाः दसिबय् म्हो भोट हयाः नीन्यागूगु थासय् अफ्गानिस्थानया राष्ट्रपति हमिद कारजाइ लानाच्वंगु दु । भाजु असान्ज अमेरिका लगायत थीथी देय्या गोप्य सूचंत सार्वजनिक यानाः तहल्का न्यंकाच्वंगु विकिलिक्सया संस्थापक नापं प्रदान सम्पादक खः । छुं दिं न्ह्यः तक टर्कीया प्रधानमन्त्री जिप ताज्जिप एर्डोन न्हाप लानाच्वंगु खःसा आः वय्कः निगूगु थासय् कुहांवंगु दु । अथेहे नांजाम्ह म्येहालामि लेडी गागा स्वंगूगु थासय् लानाच्वंगु दु । निचाः जक सांगीतिक एलब्म बजारय् पिथनाः नं बिस्कं सांगितिक पह व वसःया हुनिं वय्कः ल्याम्हः ल्यासेतय् दथुइ ल्वकंह्वाम्हः खः । सन् २०१०या पर्सन अफ द एयर जुइगु सम्भावना दुपिं २५ व्यक्तित्वया धलखय् मुक्कं ५म्ह सरकार प्रमुखतय् नां दुथ्यानाच्वंगु दु । सरकार प्रमुखत मध्ये दलकय् न्हाप टर्कीया राष्ट्रपति लानाच्वंगु दुसाः वयां लिपा झ्वलाकः अमेरिकाया राष्ट्रपति ब्यारक ओबामा खुगूगु, बेलायतया प्रधानमन्त्री डेविड क्यामरुन झिंस्वंगूगु, चिनाया राष्ट्रपति हु जिनथाओ झिंप्यंगूगु व अफ्गानी राष्ट्रपति कारजाइ नीन्यागूगु थासय् लानाच्वंगु दु । उखे थःगु हे कम्पनीया न्हूगु न्हूगु प्रविधिं हलिंया आपालं मनूतय्त आकर्षित यायेत ताः लाःगु एप्पल कम्पनीया प्रमुख स्टिभ जब्स न्हय्गूगु थासय् लानाच्वंगु दुसाः लोकंह्वाःगु सामाजिक सञ्जाल फेसबुकया संस्थापक मार्क जुकर्वर्ग झिगूगु थासय् दु । सन् २०१०या नोबल शान्ति सिरपा त्याकादीम्ह चीनया लिउ स्याउबो झिंछगूगु थासय् दु । नोबल शान्ति सिरपा त्याकादीम्ह लिउयात चीन सरकारं जेलय् कुनातःगुलिं चर्चाय् वयादीगु खः । सन् २०१०या टाइम पर्सन अफ द एयरया आधिकारिक घोषणा जुइत थनिं न्यान्हु जक ल्यं दनी । थुगु घोषणा वइगु डिसम्बर १५ तारिख बुधवाः कुन्हु याइगु ज्याझ्वः दु । छिगू बिचारय् थुगुसिया टाइम पर्सन अफ द एयर सु जुइ थें च्वं? छिं नं टाइमया वेबसाइट य् वनां छित यःम्ह व्यक्तियात भोट यानादी फइ ।क्वय्या पूवंक धल स्वयाः अनुमान यानादिसं । - जुलियन असान्ज - ग्लेन बेक - डेविड क्यामरुन - द चिलियन माइनर्स - अर्न डन्कन - रिजेप ताज्जिप एर्डोन - जोनाथन प्रुानजेन - लेडी गागा - रोबर्ट गेट्स - टोनी हवार्ड - हु जिनथाओ - लिब्रोन जेम्स - स्टिभ जब्स - हमिड करजाइ - डेविड एण्ड कार्लस कोच - लिउ स्याउबो - बारक ओबामा - सारा पालिन - नेन्सी पेलोसी - इमाम फैसल अब्दुल रौफ - जोन स्टेवार्ट एण्ड स्टेफन कलवर्ट - द अनइम्पलोइद अमेरिकन - जे क्रेग वेन्टर - एलिजाबेथ वारेन, मेरी शेपिरो एण्ड शैला वेर - मार्क जुकवर्ग",https://www.nepalmandal.com/content/11351.html
9,बेलायतपाखें लिबियाया विपक्षी दलयात बैधानिक सरकारया मान्यता ,"Fri Jul 29, 2011  9:00 am",लिबियाया शासक मुअमर गद्दाफीं सत्ता त्वःतेगु संकेत मयायेवं अन्तर्राष्ट्रिय समुदायं अनया विद्रोहीतय्त बैधानिक सरकारया मान्यता बिइत्यंगु दु । लिपांगु ई बेलायतं लिबियाया विपक्षी दल 'राष्ट्रिय परिवर्तनशील परिषद'यात छगू जक बैधानिक सरकारया मान्यता ब्यूगु दु । थ्व स्वयाः न्ह्यः अमेरिका प्रुान्स लगायत देशं विपक्षीयात वैध सरकारया मान्यता बिइधुंकूगु खः । बेलायतं थःगु देशय् गद्दाफी नेतृत्वया सरकारं नियुक्त याःपिं फुक्क प्रतिनिधितय्त लित सःतेधुंकूगु दु । लिबियाया सरकारं धाःसा बेलायतया उगु पलाःया कडा आलोचना यासें उकियात गैर जिम्मेवार निर्णयया संज्ञा ब्यूगु दु ।,https://www.nepalmandal.com/content/15276.html
