,headline,date,final_news,url
0,विकि लिक्सया मेगु खुलासा अमेरीकी सेना गुलि अपराधी खः ,"Mon Oct 25, 2010  10:56 am",नांजाःगु वेभसाईट विकीलिक्सं अमेरीकी सेनां ईराक युद्धया इलय् याःगु युद्ध अपराधया घटनात सार्वजनिक याःगु दु । थ्व स्वयाः न्ह्यः अफ्गानिस्तानय् निर्दोष मनूत स्याःगु लगायतया द्वलंद्वः गोप्य दस्तावेज सार्वजनिक यायेधुंकाः नैतिक संकटय् लाःगु अमेरीकी प्रशासनया निितं ईराक युद्ध सम्वन्धि मेगु गोप्य दस्तावेज सार्वजनिक जुइधुंकाः थप क्षति जूगु दु । वंगु बहनी सार्वजनिक याःगु द्वलंद्वः पृष्ठ ताःहाकःगु दस्तावेजय् ईराकी जनतादथुइ अमेरीकी सेनां याःगु अमानवीय व्यवहार कैदीतय्त ब्यूगु यातना लगायतया विवरण कःघानाःतःगु दु । अमानवीय व्यवहार जुयाःच्वंबलय् अमेरीकी सैनिक कमाण्डरत धाःसा सुम्क च्वनेगु यानाच्वंगु विकिलिक्स्ं न्ह्यःथनातःगु दु । दस्तावेजयाकथं ज्वंपिं ईराकी नागरिकतय्त करेन्ट ज्वंकाः यातना बिइगु व गोलीं कयेकाः स्यायेगु याःगु खः । सन् २००३ सं अमेरीकां ईराकय् आक्रमण यायेधुंकाः छगू लाख गुद्वः मनूतय्त स्याःगु खः गुकिइ ख्वीखुद्वः व च्यय्छम्ह सर्वसाधारण जनता जूगु उगु दस्तावेजय् च्वयातःगु दु । विकिलिक्सया सम्पादकं थ्व दस्तावेज अमेरीकी युद्ध अपराधया प्रमाण जूगु प्रतिकृया नापं ब्यूगु दु । तर अमेरिकां धाःसा अनलाइनया उगु पलाः मछाला पुस्से च्वंक जूगु प्रतिकि्रया ब्यूगु दु ।,http://www.nepalmandal.com/content/10310.html
1,हैटीइ हैजापाखें सीपिनिगु ल्याः निसः व न्यय्म्ह पुल ,"Tue Oct 26, 2010  11:19 am",हैटीइ वंगु छुं दिं न्ह्यःनिसें न्यनावंगु हैजाया महामारीं निसः व न्यय्स्वम्ह मनूत सीधुंकूगु दु व स्वद्वः व सच्छि व झिंन्याम्हसित सङ्क्रमण जूगु तथ्य हैटीया स्वास्थ्य निर्देशक ग्याब्रियल टिमोटं न्ह्यथंगु दु । वय्कलं देशय् न्यनावःगु थुगु प्रकोपयात बल्लबल्ल नियन्त्रणय् कायेफुगु धयादिसें वंगु नीप्यघौया दुने स्वीस्वम्ह सीगु व थ्व स्वयाः न्ह्यःया दिंया तुलनाय् मृत्युदर म्हो जूगु जानकारी ब्यूगु दु । थप मनूतय्त आः हैजा सङ्क्रमण मजूगु व महामारी पूर्ण नियन्त्रणय् मवःनीगु जूसां नं न्यनीगुपाखें ताःपाकेत ताःलाःगु खँ नं वय्कलं तनादिल । थ्वहे दथुइ हैटीया आर्टीबोनिटे खुसि क्षेत्र न्हापांगु खुसिइ हैजापाखें सङ्क्रमित जूगुलिं उगु खुसिया क्वय् क्वय्तक्कया तटवर्ती नगरत सङ्क्रमित जूगु खँ राष्ट्रसङ्घीय विश्व स्वास्थ्य सङ्गठन ज्याकुथिं जानकारी ब्यूगु खः ।,http://www.nepalmandal.com/content/10342.html
2,अफगान युद्धय् खुसः नेटो सैनिकत सित ,"Tue Oct 26, 2010  11:19 am",पूर्वी अफगानिस्तानय् आतङ्ककारीपिनिगु आक्रमणय् लानाः नेटोया छम्ह सैनिक सीधुंकाः थुगु दँय् आःतक्क खुसः नेटो सैनिक सीगु नेटो सैनिक ज्याकुथिं सोमवाः जानकारी ब्यूगु दु । उगु ज्याकुथिं छम्ह सैनिक सीगु वक्तव्यपाखें जानकारी ब्यूगु तर थप विवरण छुं नं ब्यूगु मदुनि । आइक्याजुअलिटिज डट ओआरजी नांया वेबसाइटया स्रोतयात आधार तायेकाः एएफपीं सन् २००९ ज्वःछि न्यासः व नीछम्ह नेटो सैनिक अफगान युद्धय् सीगु व थुगु दँया अक्टोबरतक्कया दुने जक खुसःम्ह सीधुंकूगु जानकारी ब्यूगु दु । अमेरिकी लिसे नेटो सैनिकत छगू लाख न्यय्द्वः स्वयाः आपालं ल्याखय् अफगानिस्तानय् युद्धरत जुयाच्वंगु व विशेषयानाः दक्षिणी अफगानिस्तानया कान्दाहार व हेल्माण्ड प्रान्तय् उिपं सैनिकतय्त तैनाथ यानातःगु दु । थौंकन्हय्या दिंसं अमेरिकी नेटो लिसे अफगानी  सरकारी सैनिकपिनिगु संयुक्त कुतलय् साचालित भीषण युद्धं तालिवानीतय्त शिथिल याःगु व उिपं वार्ताय् वयेफुगु सङ्केत खनेदुगु नापं अमेरिकी युद्ध विज्ञतय्सं धाःगु दु ।,http://www.nepalmandal.com/content/10343.html
3,इण्डोनेसियाय् भुखाय् लिपा सुनामी वइगु ख्याच्वः ,"Wed Oct 27, 2010  10:39 am",इण्डोनेसियाया पश्चिमी सुमात्रा द्वीपय् ७।५ रेक्टर स्केलया भुखाय् ब्वःगु अमेरिकी भौगर्भिक सर्वेक्षण संस्थां जानकारी ब्यूगु दु । उगु शक्तिशाली भुखाय् लिपा अनं सुनामी वइगु ख्याच्वःयात निरन्तरता ब्यूगु दु । उगु भुखाय् स्थानीय ईकथं सोमबाः ९:४५ बजे वंगु व केन्द्रविन्दु धाःसा पश्चिमी सुमात्राया प्रान्तीय राजधानी पदाङ्गपाखें २४० किलोमिटर दक्षिण वा सिङ्गापुरपाखें ६३४ किलोमिटर दक्षिणपश्चिमी क्षेत्रय् दुगु समुन्द्रया ३३ किलोमिटर लः क्वय्या गालय् दुगु खः । वंगु दँ नं पश्चिमी सुमात्रा प्रान्तय् ७.६ रेक्टर स्केलया भुखाय् ब्वयाः १ हजार ११५ म्ह मनूत सीगु खः । अथेहे सन् २००४ डिसेम्बर २६ या दिं सुमात्राया उत्तरी भाग आचे प्रान्तय् ९ रेक्टर स्केलया भुखाय् ब्वयाः श्रीलङ्का थाइल्याण्ड भारत लिसे मेमेगु देय्पाखें वःपिं पर्यटकत नापं यानाः १ लाख ७० हजार मनूत सीगु खः । इण्डोनेसिया १७ हजार स्वयाः अप्वः द्वीप दुगु प्रशान्त महासागरय् लानाच्वंगु देय् खः । प्रशान्त महासागरिय अग्नि चक्रदुने दुगु धकाः म्हस्यूगुया लिसलिसे भुखाय् ज्वालामुखी विस्फोट लगायतया सम्भावना तिब्र जुइगु याः ।,http://www.nepalmandal.com/content/10393.html
4,इराकया उपप्रधानमन्त्रीयात मृत्युदण्डया सजाय ,"Wed Oct 27, 2010  10:39 am",इराकया सर्वोच्च अदालतं म्हिगः पूर्व उपप्रधानमन्त्री तारिक अजीजयात मृत्युदण्डया सजाय न्यंकूगु खँ राज्य इराकीया टेलिभिजनं जानकारी ब्यूगु दु । अजीज सद्दाम हुसेनया शासनकालय् उपप्रधानमन्त्री खः । सर्वोच्च अदालतं उगु इलय्या गृहमन्त्री व सद्दामया छ्याञ्जेयात नं मृत्युदण्डया सजाय न्यंकुगु दु ।,http://www.nepalmandal.com/content/10392.html
5,चिकं मुंकातःगु गालय् मिं नल ,"Tue Oct 26, 2010  11:20 am",मध्य म्यानमारय् माग्वे क्षेत्रया पाकोकु शहर लिक्क दुगु छगू चिकंया गालय् मिं नयाः झिंप्यम्ह मनूत सीगु दुसा न्यय्च्याम्ह स्वयाः आपालं बांमलाक्क घाःपाः जूगु सरकारी स्रोतं जानकारी ब्यूगु दु । मिं नःगुया कारण सीमदुनिसा विस्तृत विवरण छु नं मवःनीगु जानकारी ब्यूगु दु । म्यान्मारय् प्राकृतिक साधन चिकं व ग्यासया नितिं धनी राष्ट्र खः । तर प्यंगू ब्वय् स्वंगू ब्व जनसङ्ख्या गरिबी रेखा क्वय् दुगु विश्व बैंकया तथ्याङ्कं जानकारी ब्यूगु दु ।,http://www.nepalmandal.com/content/10344.html
6,राष्ट्रसंघीय मानवाधिकारं छानबिन ,"Thu Oct 28, 2010  10:34 am",संयुक्त राष्ट्रसंघं विकिलिक्स वेभसाईटं छुं ई न्ह्यः बन्दीतदथुइ यातना ब्यूगु सन्दर्भय् दस्तावेज सार्वजनिक याःगु विषयसं छानविन यायेत अमेरीका व ईराकयात इनाप याःगु दु । राष्ट्रसंघीय मानवअधिकार उच्चायुक्त नाभी पिल्लें मानवअधिकार विरोधी थज्याःगु कि्रयाकलापबारे छानबिन यायेत इनाप याःगु खः । अमेरीकी सैनिकं ईराकय् कैदिदथुइ अमानवीय व बर्बर अत्याचार याःगु विकिलिक्सया दाबीया विषयसं अमेरीकी सरकारं अनुसन्धान न्ह्यःने न्ह्याकेमाःगु संयुक्त राष्ट्रसंघं जानकारी ब्यूगु खः । मानवअधिकार हनन् व युद्ध अपराधया विषयसं राष्ट्रसंघका सल्लाहकार मैनफैड नोबाकं अमेरीकादथुइ तःगु द्वपंया बिस्तृत जाँच याइगु जानकारी ब्यूगु दु । नोबाकं जाँचया सीमा बिस्तृत यासें अमेरीकायात ईराक जक मजुसे मिस्त्र मोरक्को व सीरिया थेंज्याःगु देय्या कैदितय्त स्थानीय अधिकारीयात लःल्हाःगु विषयसं नं अनुसन्धान यायेमाःगु प्रतिकि्रया ब्यूगु दु । अमेरीकी सैनिक अधिकारीतय्सं वन्दीतदथुइ यातना ब्यूगु खँ अस्वीकार याःगु दु । छुं दिं न्हयः विकिलिक्सं ईराकय् अमेरीकी सेनां खुइखुद्वः व च्यय्छम्ह निर्दोष नागरिकयात स्यायेगुया लिसलिसे ज्वंपिं नागरिकतय्त चरम यातना बियाः गोलीं कयेकाः स्याःगु गोप्य दस्तावेज सार्वजनिक याःगु खः ।,http://www.nepalmandal.com/content/10408.html
7,सुनामीं म्होनिं पीम्ह सीगु दुसा स्वसः व च्यय्म्ह वेपत्ता ,"Wed Oct 27, 2010  10:41 am",इण्डोनेसियाय् सोमबाः वंगु शक्तिशाली भुखाय् लिपा पश्चिमी सुमात्राया दुर्गम प्रान्तया निगू द्वीपय् वःगु सुनामीइ लानाः म्होनिं पीम्ह मनूत सीगु दुसा स्वसः च्यय्म्ह मनूत वेपत्ता जूगु म्हिगः जानकारी ब्यूगु दु । उगु सुनामीं पश्चिमी सुमात्राय् अवस्थित पगईसिलटन मेनटवै व पगईयुटरा मेनटवै नांया निगू द्वीपय् प्रहार याःगु जानकारी ब्यूगु खः । पश्चिमी सुमात्राय् सन् २००९ सं नं ७.९ रेक्टर स्केलया भुखाय् ब्वयाः द्वःछि स्वयाः आपालं मनूत सीगु खः । तनाच्वंपिं मालेगु ज्या न्ह्यानाच्वंगु खँया जानकारी उगु हे समाचारय् न्ह्यथनातःगु दु ।,http://www.nepalmandal.com/content/10394.html
8,थाइल्याण्डय् चलः वनाः सीपिनिगु ल्याः न्यय्खुम्ह थ्यन ,"Wed Oct 27, 2010  10:42 am",करिब निवाः न्ह्यःनिसें न्ह्याःगु थाइल्याण्डया बच्छि धइथे प्रान्तय् आपालं मात्राय् वःगु मौसमी वा लिपाया चलखय् लानाः सीपिनिगु ल्याः न्यय्खुम्ह थ्यंगु दु । स्वास्थ्य मन्त्री जुरीन लाक्सनविसितयाकथं चलखं न्यय्खुम्ह सीधुंकूगु व स्वीनिगू प्रान्तय् गुंगू लाख पीद्वः मनूत प्रभावित जूगु दु । अथेहे यानाः छगू लाख न्हय्द्वः मनूतय्त लखं उत्पन्न जुइगु ल्वय्पाखें दुःख ब्यूगु दु ।,http://www.nepalmandal.com/content/10395.html
9,ज्याक्सन सीगुलिइ चिकित्सक दोषी ,"Thu Jan 6, 2011  12:22 pm","थःगु जमानाय् पप संगीतया एकछत्र बादशाह माइकल ज्याक्सनया सन् २००९ जुन २५ या दिं सीगुया छुं ला लिपा वय्कःया अबुं ज्याक्सन सीगुलिइ चिकित्साकःमिपिनिगु दोष दुगु दाबीलिसे मुद्दा ल्वानाः वयाच्वंगुलिइ गबलें बुनाच्वंगु दुसा गबलें बदर जुयाः लस एन्जेल्सया उच्च अदालतय् थौंकन्हय् थ्यंक वःगु दु । लस एन्जेल्स उच्च अदालतय् मंगलवाः उगु मुद्दाया प्रारम्भिक सुनुवाई लिपा अदालतं ज्याक्सनया तत्कालिन चिकित्सक डा. कोन्राड मुर्रेया लापर्बाहीं माइकल ज्याक्सन सीगु दाबी यायेत स्वःगु दु । डाक्टर मुर्रें मदुम्ह ज्याक्सन लिपांगु शैयाय् दुगु इलय् वासः यायेगु ज्या लिबाकूगुलिं चिकित्साकःमिपिंत परिचालन यायेत व यथोचित आदेश बिइत उदासिन दुगु व थः हे नं मेपिंलिसे फोनय् ताःईतक्क खँल्हानाः च्वंगुलिं लिपांगु इलय् बिइमाःगु चिकित्सा सेवा बिइत च्यूत दुगु दाबी यानाः ज्याक्सनया अबुं ब्यूगु मुद्दा मंगलवाः सुनुवाई जुयाः ज्याक्सनया मां क्याथरिन, तता ला - टोया व किजा ज्याकी नापं मंगलवाः ताःहाकःगु ईतक्क अदालतय् हे ब्वति दुगु खः । चिकित्सक डाक्टर मुर्रेयात स्याःगु द्वपं बिइगु उगु मुद्दाय् थ्यंमथ्यं स्वीन्याम्ह साक्षीपिनिगु बयान कयाच्वंगु दु ।",http://www.nepalmandal.com/content/11964.html
