headline,date,final_news,url
पर्यटन दँया नितिं ,"Mon Oct 25, 2010  10:27 am",पर्यटन दँ २०११ यात ताःलाकेत पर्यटन दँ ज्वःछि नगरकोटय् 'भिजिट नगरकोट' ज्याझ्वः न्ह्याकीगु जूगु दु । पर्यटकया गन्तव्य थाय् जुयाः वयाच्वंगु नगरकोटय् पर्यटन दँय् आपालं पर्यटक दुथ्याकेत भिजिट नगरकोट ज्याझ्वः न्ह्याकेत्यनागु नगरकोट नाल्दुम पर्यटन विकास समितिया छ्याञ्जे दीपक लामिछानें धयादीगु दु । समितिं भिजिट नगरकोट ज्याझ्वः न्ह्याकेगु नितिं छगू समिति नापं नीस्वनेधुंकूगु दु । नगरकोट क्षेत्रय् वःगु पर्यटकया समस्या थुइकेत समितिं पर्यटन पूर्वाधारया ग्वाहालिइ करिब न्यागू लाख तकाया लागतय् पर्यटकतय्त सुविधा सम्पन्न पर्यटन सूचना केन्द्र नापं पलिस्था यानाः न्हूगु भवन निर्माण याःगु दु । पर्यटकीय क्षेत्र नगरकोटयात मुख्य गन्तव्यस्थल दयेकेत नगरकोट वईपं न्हूपिं पैदलमार्गत मालेगु लिसे सुन्दरीजल - नगरकोट नगरकोट - धुलिखेल नमोबुद्ध - पनौती व नगरकोट - चाँगुनारायण पदयात्रा मार्गयात व्यवस्थित यायेगु ज्या नापं न्ह्याकूगु छ्याञ्जे लामिछानें धयादीगु दु । पर्यटकया आगमन अप्वयेकेत नगरकोट महोत्सव सांस्कृतिक ज्याझ्वः मेला घोडचढी साइक्लिङ जङ्गल सफारी जङ्गली जीवजन्तुया संरक्षण होमस्टे लगायतया ज्याझ्वः न्ह्यःने न्ह्याकूगु दु । नगरकोटय् पर्यटन दँ ज्वःछि न्हिं द्वःछि पर्यटक दुथ्याकेगु लक्ष्य काःगु समितिया नायः श्यामभक्त कायस्थं जानकारी बियादीगु दु ।,http://www.nepalmandal.com/content/10299.html
रक्तचन्दन अथें जुल ,"Mon Oct 25, 2010  10:32 am",वंगु दँ प्रहरी व एकीकृत नेकपा माओवादीया भातृ सङ्गठन वाइसीएलं बरामद यानाः लःल्हाःगु ५०० किलो स्वयाः अप्वः दुगु रक्तचन्दन जिल्ला वन ज्याकू दोलखाय् अथें थानाच्वंगु जानकारी ब्यूगु दु । अवैधरुपं चीनया स्वशासित क्षेत्र तिब्बतपाखे यंकेगु झ्वलय् दोलखाया उत्तरी क्षेत्रपाखे वंगु दँ बरामद याःगु ५२७ किलोग्राम रक्तचन्दन वन ज्याकूया गोदामय् थानाच्वंगु खः । जिल्ला अदालत दोलखां खुला न्ह्यःनिसें हे उगु रक्तचन्दन लिलाम यानाः मीत आदेश ब्यूसां नं नेपाल अन्तर्राष्ट्रिय साइटिस महासन्धिया दुजः दुगु कारण बिक्री वितरणय् समस्या वयाच्वंगु खः । साइटिस महासन्धिइ रक्तचन्दन लगायत बहुमूल्य वनस्पति लिसे जडीबुटी गुगु देय्पाखें आयात याःगु खः उगु हे देशय् लितः छ्वयेमाःगु प्रावधान दुगु खः । वन विभागं नापं बरामद जूगु रक्तचन्दन लिलाम बिक्रीया नितिं स्वीकृति बिइधुंकूसां नं साइटिस महासन्धिया कारण रक्तचन्दन लिलाम यायेत समस्या जूगु दोलखाया जिल्ला वन अधिकृत केदारनाथ दाहालं जानकारी बियादीगु खः । साइटिस सन्धिया हे कारण रक्तचन्दन मीमफूगु व रक्तचन्दन लिलाम बिक्री वा नष्ट यायेगु धइगु बारे वन मन्त्रालयलिसे लिपांगु खुसिइ स्वीकृति काइगु वन अधिकृत दाहालं धयादीगु दु ।,http://www.nepalmandal.com/content/10301.html
मूल्यवृद्धिया विकल्प मदु ,"Mon Oct 25, 2010  10:33 am",नेपाल आयल निगमं ग्यासया मूल्यवृद्धिया विकल्प मदुगु स्पष्ट याःगु दु । म्हीग याःगु छगू ज्याझ्वलय् निगमया प्रवक्ता मुकुन्द प्रसाद ढुङ्गेलं थिकय्क ग्यास न्यानाः दंक मिइ मफइगु धयादीगु खः । वय्कलं ग्यासय् मूल्य अभिवृद्धि करया कारण दँय्दँसं छगू अर्ब खुइखुगू करोड तका घाटा फयेमाःगु न्ह्यथनादिसें सरकारं उगु कर चीकूसा निगमं मूल्यवृद्धिइ हाकनं विचाः यायेफइगु धाःसा स्पष्ट यानादिल । उपभोक्ता हित संरक्षण माचया मू छ्याञ्जे ज्योति बानियां बारम्बार ग्यासया भाः थकयाः उपभोक्ता लुटय् यायेदइमखु धयादिसें मूल्यवृद्धि याःसा तच्वःगु आन्दोलन यायेगु ख्याच्वः नापं बियादीगु दु । ग्यास बिक्रेता महासङ्घया नायः ज्ञानेश्वर अर्यालं सर्वसाधारणं उपभोग याइगु अत्यावश्यक वस्तुइ मूल्य अभिवृद्धि कर तयेगु न्याय सङ्गत मजूगु न्ह्यःथनादिसें सर्वसाधारणया तुलनाय् उद्योगीतय्सं सच्छि व न्हय्तका ७०  दंक ग्यास उपलब्ध जुइगु यानाच्वंगु धयादिल ।,http://www.nepalmandal.com/content/10302.html
बैङ्किङ क्षेत्रय् मिसात सुरक्षित ,"Tue Oct 26, 2010  10:46 am",बैंकिङ क्षेत्रय् ज्या यायेगु लकस बांलाइगु जूगुलिं मेमेगु क्षेत्र स्वयाः बैंकिङ क्षेत्रय् ज्या याईपं मिसात अप्वः सुरक्षित जूगु मिसापिनिगु अनुभव दु । छगू साचार माध्यमलिसे खँल्हाबल्हा यायेगु झ्वलय् उगु क्षेत्रय् ज्या याईपं मिसातय्सं मेमेगु क्षेत्रय् स्वयाः थुगु  क्षेत्रय् ज्या यायेबलय् यौनजन्य दुव्र्यवहार फयेम्वालीगु जूगुलिं थुगु क्षेत्रय् सुरक्षित महशुस जुइगु नापं धयादिल । मेमेगु क्षेत्र स्वयाः थुगु क्षेत्रय् मानसिक लिसे शारीरिक निगुलिं हिसाबय् अप्वः सुरक्षित जुइगु कारण थुगु क्षेत्रय् मिसापिनिगु आकर्षण अप्वयाः वयाच्वंगु राष्ट्रिय वाणिज्य बैंकया वित्त व्यवस्थापक रीता ढुङ्गेलं धयादिल । वय्कलं धयादी - नेपाल पितृसत्तात्मक देय् जूगुलिं मिसात अप्वः पीडित जुइगु याइ उकिया हे असर ज्याया क्षेत्रय् नं लाइगु जूगुलिं मिसापिंदथुइ विशेष यानाः यौनजन्य हिंसा जुइगु यानाच्वंगु दु । थुगु क्षेत्रय् अज्याःगु कथंया हिंसात्मक गतिविधि याःगु खँ सिइवं हे जागिरपाखें ताःपायेमालीगु अवस्था वइ थुगु क्षेत्रय् पावर छ्यलेगु व जागिर ल्यंकेगु धइगु खँ हे जुइमखु - वय्कलं धयादिल । मेमेगु कार्यस्थलय् ज्या याईपं मिसातदथुइ मिजंतय्सं यौनजन्य हिंसा याइगु घटना आपालं न्यनेगु यानाच्वंगु दु । तर अज्याःगु प्रकृतिया ज्या धाःसा बैंकिङ क्षेत्रय् जुइमखु - थ्व जिगु दाबी खः धयादी ढुङ्गेल । बैंकय् ज्या यानाच्वंपिं फुक्क कर्मचारी ज्याय् हे व्यस्त जुइगु जूगुलिं म्वाःमदुगु खँ दिमागय् हयेगु ई दइमखु । ईया अभावं यानाः नं मिजंतय्सं मिसातय्गुदथुइ छु नं कथंया हिंसा यायेदइमखु - माछापुच्छ्र्रे बैंकय् ज्या यानाच्वंम्ह नितु राणा पालं धयादिल । नेपाःया गुलि नं बैंक लिसे वित्तीय संस्थाया ज्या याईपं मिसा मिजंतलिसे सहकार्य यानाः वनाच्वंगु दु उिपं अफिस ई ज्वःछि ज्याय् हे व्यस्त जुइगु यानाच्वंगु दु । उकिया हे कारणं हे जुइ बैंकय् मिसापिनिगु दथुइ छु नं हिंसा जुइमखु । नेपालय् २७ वाणिज्य बैङ्क ७१ विकास बैङ्क व ८८ वित्तीय संस्थात दु । उगु बैङ्कय् थ्यंमथ्यं ४ हजारया हाराहारीइ मिसा कर्मचारीत दुगु तथ्याङ्क खनेदु । निजी बैङ्कय् स्वयाः सरकारी बैङ्कय् ज्या याइपिं मिसापिनिगु ल्याः तसकं म्हो दु तर नं बैंकिङ क्षेत्रय् ज्या याईपं मिसातदथुइ छु नं कथंया हिंसा मजुइगु सरकारी बैंकया मिसापिं कर्मचारीतय्सं धायेगु यानाच्वंगु दु ।,http://www.nepalmandal.com/content/10331.html
चीनया निितं नुवाकोटं साया तस्कर ,"Tue Oct 26, 2010  10:43 am",नुवाकोट जिल्लाया सोले बजाः व रसुवा जिल्लाया पैरेबेसी - मैलुङया मार्ग यानाः साया तस्कर जुइगु यानाच्वंगु धाःगु दु । नुवाकोट जिल्लाया उत्तरी भेगय् लाःगु तुप्चेया लँपु जुयाः न्हियान्हिथं रसुवा व चीनया केरुङय् साया ला नयेगु प्रयोजनया नितिं यंकेबलय् नं नियन्त्रणया नितिं प्रशासनं वास्ता याःगु मदु । येँ व नुवाकोटपाखें मुंकाः चीन थ्यंकीगु सा मनग्य धेबा मियाच्वंगु दु साया तस्करतय्सं । साया जिउँदो मूल्यप्रति किलोग्राम ८०० तक्कं न्यायेगु यानाच्वंगु जानकारी नापं बियादीगु दु । तस्करं रसुवाया मैलुङ राम्चे भेगय् नुवाकोटया पिपलटार तुप्चे दुई पिपल देवीघाट चारघरे लगायतया थासं सा यंकेगु यानाच्वंगु जानकारी नापं ब्यूगु दु । साया तस्करय् वनाः मनग्य आम्दानी यानाच्वंगु उमिगु हे धापू दु । रसुवाया राम्चे छेँय् दुम्ह याङसिङ घलेयाकथं गाँ गामय् सुपलाः सुपलाः साया ला नयेगु क्रम अप्वयाः वयाच्वंगु दु । गामय् च्वंपिनिगु मागयात फयेमफयाः उमिसं नुवाकोटनिसें सायात ख्यानाः यंकेगु नं यानाच्वंगु दु । मेमेपिनिगु लाया तुलनाय् साया ला तसकं थिकय् जूगु घलें धयादिल । चीनय् सा मिइत वनेबलय् ठगय् याइगु सम्भावना दइ । उिकं नं स्थानीय सा तस्कर फयांफत्तले गामय् हे सा मिइगु कुतः याइ । साया ला केरुङ थ्यंकेधुंकाः हचुवाया भरं मोलतोल जुइगु सा यंकीपिनिगु धापू दु ।,http://www.nepalmandal.com/content/10330.html
स्वंगू देय् स्वाइगु राजमार्ग छगू लेनया ,"Tue Oct 26, 2010  10:48 am",गल्छी - त्रिशूली - स्याप्रु - रसुवागढी मार्ग निर्माण क्वचायेधुंकाः भारत नेपाःया लँपु जुयाः चीन स्वाइगु दकले चिहाकःगु लँपु जुइ थ्व । तर स्वंगू देय् स्वाइगु मार्ग छगू लेनया निर्माण जुयाच्वबलय् स्थानीयवासीं निगू लेनया दयेकेमाःगु माग याःगु दु । वीरगाजनिसें रसुवागढी स्वाइगु थ्व लँपु साचालनय् वयेधुंकाः थन सवारीसाधनया चाप अप्वइगु गल्छी त्रिशूली स्याप्रुबेसी सतक स्थानीय सरोकार समितिया नायः इन्द्रबहादुर पण्डितं धयादिल । तर गल्छीपाखें रसुवागडीतक्कया मार्ग छगू लेनया निर्माणं थ्व मार्ग छुं दँय् हे चिब्याः जुइगु पण्डितया धापू दु । आः दयेकाः च्वंगु निर्माणाधीन गल्छी रसुवागढी मार्ग राजमार्ग मजुसे सहायक मार्ग जूगुलिं छगू लेनया निर्माण याःगु गल्छी त्रिशूली स्याप्रु सतक योजनाया प्रमुख अयोध्याप्रसाद श्रेष्ठं धयादिल । 'राजमार्ग मखु सहायक मार्ग खः उकिं निगू लेनया दयेकीमखु ।' योजना प्रमुख श्रेष्ठं न्ह्यथनादिल -  छगू लेनया इस्टमेट जूकथं निर्माण यानाच्वंगु खः । लिपा मालधाःसा सरकारं सतक हाकनं विस्तार याइला  तर निकट भविष्यय् हे सवारीया चाप अप्वइगु क्षेत्रय् छगू लेनया मार्ग निर्माण जुइगु अदूरदर्शीपना जूगु बट्टारया उद्यमी धननारायण चित्रकारं जानकारी बियादीगु दु । न्हापा सुनां नं च्यूताः मब्यूगुलिं आपालं लगानी जूगु सतक नं चिब्या जूगु सरोकारवालापिनिगु धापू दु । एशियाली विकास बैंकया अनुदान ग्वाहालिइ नेपालं निर्माण यानाच्वंगु सतक छगू अर्ब झिंखुगू करोड लगानी जुयाच्वंगु दु । थ्व धेबा गल्छीनिसें स्याप्रुबेसीतक्क गुइगू किलोमिटर सतक निर्माणया नितिं खः । रसुवाया न्हापांगु तसकं प्रभावित स्वंगू किलोमिटर क्षेत्रय् धाःसा अलकत्ता लाइमखु । आःतक्क न्ययेगू प्रतिशत ज्या क्वचायेधुंकूगु जानकारी ब्यूगु दु । प्यंगू न्यागू मिटर ब्याया थ्व सतक प्यंगू प्याकेजय् निर्माण जुयाच्वंगु दु । स्याप्रु - रसुवागढी झिंन्हय्गू किलोमिटर मार्ग धाःसा चीनं निर्माण यानाच्वंगु दु । फेबु्रवरी २००९ पाखें निर्माण न्ह्याःगु मार्ग सन् २०११ फेबु्रवरीइ निर्माण क्वचायेके माः । वीरगाज पथलैया गल्छी त्रिशूली धुाचे - स्याप्रुबेसी रसुवागढी मार्ग निसः व खुइन्यागू किलोमिटर जक खः । थ्व मार्ग थौंकन्हय् साचालनय् दुगु वीरगाज - मितेरी साँघु कोदारी राजमार्ग स्वयाः स्वीगू किलोमिटरं चिहाकः जू ।,http://www.nepalmandal.com/content/10332.html
भ्रष्ट देय्या १४६ नां धलखय् नेपाः ,"Wed Oct 27, 2010  10:12 am",नेपालय् वंगु दँया तुलनाय् भ्रष्टाचार अप्वःगु दु । ट्रान्सपरेन्सी इन्टरनेशनलया भ्रष्टाचार अवधारणा सुचकाँक २०१० य् नेपाल सच्छि व पीखुगू थासय् लाःगु खः । नेपाल दक्षिण एशियाय् दकले अप्वः भ्रष्टाचार याइःगु देय्या धलखय् दु । वंगु दँया तुलनाय् स्वंगू अंक म्हो जूगु दु । थुगु दँ नेपालं निगू दशमलव निगू अंक प्राप्त याःगु खः । स्वंगू दशमलव शून्य अंक स्वयाः म्हो अंक प्राप्त याइगु देय्यात भ्रष्टाचार व्याप्त देय्या धलखय् खंकेफु । ट्रान्सपरेन्सी इन्टरनेशनलं एशियाली विकास वैंक वल्सटस म्यान फाउण्डेसन विश्व बैंक मर्चेण्ट ग्रूप वल्र्ड इकोनोमिक फोरमया सर्वेक्षणया आधारय् उगु सुचकाँक सार्वजनिक जूगु खः । दक्षिण एशियाली देय् मध्ये नेपाः देय्या लिसलिसे पाकिस्तान व वंगलादेश नं भ्रष्टाचार व्याप्त देशय् लाःगु खः । विश्वया सच्छि व न्हय्निगू राष्ट्र मध्ये सोमालिया दकले अप्वः भ्रष्टाचार देशया धलखय् दुसा डेनमार्क न्यूजिल्याण्ड व सिंगापुर भ्रष्टाचार मुक्त देय्या धलखय् दु । उमिसं गुंगु दशमलव छगू अंक प्राप्त याःगु खः ।,http://www.nepalmandal.com/content/10378.html
आयल निगमय् लोडअनलोड ठप्प ,"Wed Oct 27, 2010  10:15 am",पेट्रोलियम ढुवानी व्यवसायी महासङ्घं म्हिगः बाराया अमलेखगन्ज डिपोय् निघौ लोडअनलोड ठप्प याःगु दु । भारतया बरौनीनिसें अमलेखगन्जतक टुङ्करपाखें पेट्रोलियम पदार्थ ढुवानी यायेदयेमाःगु माग यासें महासङ्घं झिताः इलंनिसें झिंनिताः ईतक्क पेट्रोलियम पदार्थ लोडअनलोड ठप्प याःगु खः । भारतया बरौनीपाखें न्ह्याइगु टुङ्कर थीथी त्वह तयाः महिनाय् छगू वा निगू ट्रिप जक चलय् याके ब्यूगुलिं निर्विवादरुपं चलय् यायेदयेमाःगु लगायतया माग तसें आन्दोलनय् कुहाँ वःगु नेपाल पेट्रोलियम ढुवानी व्यवसायी महासङ्घया केन्द्रीय दुजः अनिल सिंहं धयादिल । थुखे अखिल नेपाल टुङ्कर मजदुर सङ्घ बारां धाःसा उगु आन्दोलनया विरोध याःगु दु । सङ्घया जिल्ला नायः गोपाल स्याङ्तानं हाकिमयात धेबा नकाः बरौनीपाखें टुङ्करं पेट्रोलियम पदार्थ ढुवानी यानाः वयाच्वंगु दाबी यासें रक्सौलपाखें हे पेट्रोलयम पदार्थ ढुवानी याःबलय् निगमयात फाइदा जुइगु धयादिल ।,http://www.nepalmandal.com/content/10379.html
छगू गांपाखें स्वंगू करोडया ग्वय्स्वाँ मिल ,"Wed Nov 10, 2010  10:06 am",नेपाःमितय्गु निगूगु तःध।गु नखः स्वन्ति खुन्हु ख्वपया छगू हे गाँपाखें स्वंगू करोडया ग्वय् स्वाँमाः म्यूगु दु । गुण्डु गाविसया किसानं थुगु दँ स्वाँ व स्वाँमाः मियाः स्वंगू करोडया आम्दानी जूगु धयादिल । मीगु निितं छेँ छेँय् साउननिसें हे ग्वय् स्वाँमाया माः हनाः तयारी अवस्थाय् तयातःगु खः । माः हनेत किसानतय्त कात्तिक महिना ज्वःछि लिमलाःफमलाः जूगु खः । ख्वपया गुण्डुइ दकले अप्वः स्वाँया खेती जुइ । थनया किसानतय्सं छखा हे छेँय् म्होिनं ५०० माः हनाः तयार याइ । गुण्डुया ४ ८ व ९ वडाया प्रत्येक छेँखां म्होिनं बागू रोपनीनिसें न्यागू रोपनी बुँइ स्वाँया खेती यायेगु यानाच्वंगु छम्ह किसानं जानकारी ब्यूगु दु । फुक्कसिनं साउननिसें ग्वय् स्वाँया माला तयार यानाः छेँय्या सिचूगु थासय् तयेगु याइ । तीन हजार ग्वय् स्वाँ मा हनाः मियादीम्ह किसान सरिता कुँवरं धयादिल - ुग्वय् स्वाँ माः मालेत व्यापारी वयेन्ह्यः हे न्हापां हे तयार याःगु खः स्वन्तिया इलय् लिमलाःफमलाः हथासं बुँइ स्वाँ पियाः स्वाँमाः हनेत तकं बाध्यता जूगु खः । वय्कलं छगू रोपनी जग्गाय् स्वाँ पिनागु जानकारी बियादीगु खः । वय्कलं वंगु दँ नौ आना जग्गाय् स्वाँया खेती यानाः रु ४८ हजार कमय् याःगु खःसा थुगु दँ रु एक लाख स्वयाः आपालं आम्दामी जूगु जानकारी बियादिल । वंगु दँ छेँय्पाखें हे रु. १२ तकां म्यूगु माला थुगु दँ म्होिनं रु. १५ निसें २० तका धेबां मियागु किसान पवित्रा बस्नेतं धयादिल । वय्कलं थ्वहे मूल्यय् एक हजार १०० माला पोखराया व्यवसायीतय्त म्यूगु खःसा स्थानीय व्यापारीतय्त नापं माला मिइ मफुत । पार्वती नगरकोटीं नं एक रोपनी जग्गाय् प्यूगु स्वाँया एक हजार ६०० माला हनाः म्यूगु खः । थनया छगू परिवारं छगू स्वन्तिया इलय् न्यूनतम् नं रु। ४० हजार कमय् याइसा अप्वलय् रु। डेढ लाखतक्कया माला मिइगु यानाच्वनागु वय्कःिपंसं जानकारी बियादीगु दु । फागुनय् नस्ररी तयाः चैतया लिपांगु इलय् कःनि व मुस्यालिसे ग्वय् स्वाँया बेर्ना नं पिइगु याइ । कःनि व मुस्यालिसे चैतया लिपांगु इलय् प्यूगु स्वाँ असारया लिपांगु इलय् थ्वयेगु ज्या न्ह्याइ - मेनुका नगरकोटीं धयादिल । स्थानीय विकास कोषया सहजकर्ता सुनिता रिसालं गुन्डुइ जक २०० रोपनी स्वयाः आपालं क्षेत्रफलय् स्वाँमा पिनागु जानकारी बियादिल । पूरा हे गाँपाखें छगू स्वन्तिया इलय् म्होिनं रु। तीन करोड तका स्वयाः आपालं कारोबार जुइगु यानाच्वंगु नं धयादिल । जिल्ला विकास समितिया स्थानीय विकास कोषं साचालन याःगु गाँ विकास ज्याभुवः अन्तर्गत गुन्डुइ सामुदायिक संस्थापाखें स्वाँ खेतीयात प्रवद्र्धन व उत्पादनय् ग्वाहालि याःगु जानकारी बियादिल । कोषं खेती यायेत तालिम बिइगुया लिसलिसे ऋण बियाः ग्वाहालि याःगु कोषया संयोजक राजन शर्मां जानकारी बियादिल । जिमिसं अर्गानिक मल उपलब्ध यानाःगु दु स्वाँसं लाइगु ल्वय् गुकथं समाधान यायेगु गुकथं पिइगु लगायतया तालिम बियाःगु दु । न्हापा घरायसी प्रयोगया निितं पिइगु यानाच्वंसां नं आः व्यावसायिकरुपं खेती यायेत्यंगु खः । खेती याःगुया म्हो इलय् हे उचित आम्दानी दयेवं अ अप्वः स्वाँया खेती यायेत तिबः ब्यूगु किसानतय्सं धयादिल ।,http://www.nepalmandal.com/content/10644.html
हिउपाःप्रति सन्तुष्टि - मिनाज ,"Wed Oct 27, 2010  10:16 am",संयुक्त राष्ट्रसंघीय विश्व खाद्य ज्याझ्वः नेपाल प्रमुख निकोलो मिनाजं समुदायस्तरय् जूगु हिउपाःप्रति सन्तुष्टि प्वंकूगु दु । नेपाल भ्रमणय् दीम्ह प्रमुख मिनाजं हुम्लाया सिमिकोट निसें दक्षिणया श्रीनगरय् म्हिगः स्थानीय बासिन्दालिसेया सहलह ज्याझ्वलय् वितरण याःगु जाकिं स्थानीय जनतां बांलाःगु ज्या याःगु धयादिल । विश्व खाद्य ज्याभुवःया हे हेलिकोप्टरय् सुर्खेत जुयाः वःगु नेपाल प्रमुख मिनाजया पुचः श्रीनगर गाविस अन्तर्गत ज्याझ्वलं वितरण याःगु जाकिं साचालन याःगु थीथी योजनाया स्थलगत अनुगमन यायेगु विश्व खाद्य ज्याझ्वः कार्यस्थल संयोजक सुभाष सिंहं धयादिल ।,http://www.nepalmandal.com/content/10380.html
