headline,date,final_news,url
कर्मचारीं न्ह्याकल भ्रष्टाचार विरुद्ध सचेतना अभियान ,"Tue Jan 20, 2009  7:25 pm",'भ्रष्टाचार यायेगु व घुस नयेगु राष्ट्रिय अपराध खः' धइगु मू नारायालिसे एकिकृत नेकपा माओवादी निकट नेपाल राष्ट्रिय कर्मचारी महासंघ उदयपुरं जिल्लाय् भ्रष्टाचार विरुद्धया सचेतना अभियान न्ह्याकूगु दु । भ्रष्टाचार विरुद्धया सचेतना अभियान -२०६५ नां दुगु अभियान थ्वहे पौष २५ गतेनिसें स्वलाः तक न्ह्याइगु महासंघया उदयपुर नायः मधुकर थापां धयादीगु दु । महासंघं जिल्लाय् दुगु फुक्क सरकारी ज्याक गैर सरकारी ज्याकु चोक सार्वजनिक स्थल लगायतया थासय् भ्रष्टाचारविरुद्ध तुल ब्यानर व पोस्टरपाखें सर्वसाधारण सेवाग्राहीयात सचेत दयेकूगु दु । अभियानया मू उद्देश्य अनियमितता व घुस्या प्रवृत्तीया विरुद्ध फुक्क कर्मचारीतय्त संगठीत दयेकाः जनमुखी प्रशासनया निर्माण यायेगु महासंघं जानकारी ब्यूगु दु । अभियानकथं महासंघं सेवाग्राही जनतायात थःम्हं प्राप्त यायेत्यनागु सेवाया निितं माःगु भ्वँ व उकियात माःगु दस्तुरया सम्बन्धय् जानकारी कायेत नापं इनाप याःगु दु । अभियानया अवधीयंकं महासंघ मेमेिपं कर्मचारी संगठन ज्याकु प्रमुख व राजनितिक दलया प्रमुखलिसे भ्रष्टाचारया विषयसं बृहत अन्तरकि्रयानापं ग्वसाः ग्वयेगु ज्याझ्वः दुगु महासंघया दाँभरि कृष्णप्रसाद वाग्लें कनादीगु दु ।,http://www.nepalmandal.com/content/695.html
संगठन विभागया बैठक क्वचाल ,"Sun Feb 15, 2009  6:30 pm",एकीकृत नेकपा मायोवादी संगठन विभागया बैठक क्वचाल सग७न िवभागआ ५ु ‌छअफ ्रवचाफगु बै७क पू०र्ाकालीन कार्अकर्ता व वाईिसअलआ भ०ा पोषा०ा व ंअवःथापनआ िनित ‌हूगु ओजना दअेकेत के‌दीअ सिमितआत सुभराव िबइगु िन०र्ाअ आफगु दु । पा६र्ी  आकु वु४नगअ ठवगु बै७क ा अ सिमितइ ्रवअेआ किमि६पाखे दुजफत थप आअेत पःताव आअेगु न िन०र्ाअ जूगु के‌दीअ सिचवालअ दुजफ नेघ िवकम च‌द िव़लव जानकाी िबआदीगु दु । यथेहे जनवर्गीअ सग७नआत आकन पुनर्ग७न आअेगु िवषाअस सुभराव िबइगु िन०र्ाअ न वअsल कनादीगु दु । सग७न िवभागआ पमुख मोहन वैज्ञ िक०ाआ नाअफसुइ ठवगु खफ ।,http://www.nepalmandal.com/content/770.html
जनमुक्ति सेना दिवस थौं क्वचाल ,"Wed Feb 18, 2009  6:40 pm",च्याक्वःगु जनमुक्ति सेना दिवसया लसताय् नवलपरासीइ ग्वसाः ग्वःगु सप्ताहव्यापी ज्याझ्वः थौं क्वचाःगु दु । शान्ति मन्त्री जनार्दन शर्मा प्रभाकरया प्रमुख आतिथ्यय् न्ह्याःगु समापन ज्याझ्वलय् थीथी कासा धेंधेंबल्लाय् त्याःिपं कासामितय्त सिरपा इनेगु ज्या नं जूगु खः । थुगुसी जनमुक्ति सेनाया प्यंगूगु डिभिजनं दकले अप्वः ल्याः हयाः न्हाप लाकूगु दुसा खुक्वःगु व स्वक्वःगु डिभिजनं छसिकथं निक्वःगु व स्वक्वःगु थाय् काःगु दु ।,http://www.nepalmandal.com/content/794.html
राष्ट्रपति कार्यकारी जूसा अधिनायकवादया जन्म जुइफु ,"Tue Feb 24, 2009  6:39 pm",नेपाली कांग्रेसया सभापति गिरीजाप्रसाद कोइरालां राष्ट्रपति कार्यकारी जूसा देशय् अधिनायकवादया जन्म जुइफुगु धयादीगु दु । वय्कलं थौं विराटनगरय् ग्वसाः ग्वःगु प्रेस युनियनया पूर्वााचल क्षेत्रीय भेला व नोना कोइराला स्मृति पत्रकारिता पुरस्कार वितरण समारोहसं सम्बोधन यानादिसें थज्याःगु शंका यानादीगु खः । वय्कलं संविधान धिसिलाकेत स्वतन्त्र न्यायपालिका प्रेस व संसदीय प्रणाली माःगु धयादीगु दु । अधिनायकवाद जन्म जुल धाःसा देय् न्हापाया हे स्थितिइ थ्यनीगु जूगुिलं संसदीय प्रणालीइ वनेमाःगु वय्कःया धापू दु । अथेहे वय्कलं थुकिया निितं अध्यादेश मखु इलय् हे संविधान दयेकेमाः धयादीगु दु ।,http://www.nepalmandal.com/content/807.html
माओवादी प्रशिक्षण ,"Tue Feb 3, 2009  7:30 pm",निगू पार्टीदथुइया एकतालिपा एकीकृत नेकपा माओवादीया नेवाः राज्य समितिया राजनीतिक प्रशिक्षण ज्याझ्वः थौं न्ह्याःगु दु । यलया खन्ना गार्मेन्टय् न्ह्याःगु प्रशिक्षणय् निगू पार्टी एकतालिपाया अवस्था आःया वर्तमानस्थिति पार्टीं म्हितेमाःगु भूमिकाया विषयसं नेतातय्सं प्रशिक्षण बियादीगु खः । उगु हे ज्याझ्वलय् न्वंवानादिसें एकीकृत माओवादीया नेता नारायणकाजी श्रेष्ठं देय् थ्व इलय् विखण्डनया खतराय् दुगु धयादीगु दु । नेता श्रेष्ठं विखण्डनकारी तत्वतपाखें संविधान दयेके मब्यूसे देय्यात असफल यानाः साम्राज्यवादी विस्तारवादीतय्सं थःगु हस्तक्षेप अप्वयेकेत स्वःगु धयादीगु दु । अथेहे वय्कलं आः एकीकृत माओवादीं जनताया संघीय लोकतान्त्रिक राष्ट्रिय गणतन्त्रया नाराया आधारय् संविधानया खाका दयेकाः वनेगु धयादीगु दु । संविधानसभापाखें जनताया संविधान दयेके मब्यूसा जनविद्रोहपाखें सत्ता कब्जा यायेगु श्रेष्ठया धापू दु । वय्कलं सरकार सदन व सतकपाखें जनताया पक्षय् प्रभावकारी ज्या यायेत थःपिं न्ह्यज्यनाच्वनेगु धयादीगु दु । ज्याझ्वलय् एकीकृत माओवादीया मेम्ह नेता वर्षमान पुन अनन्त नेवाः राज्य समितिया ईन्चार्ज हितमान शाक्य लगायतया मेमेपिं आपालं नेतातय्गु ब्वति दुगु खः । प्रशिक्षणय् येँ यल ख्वप व थीथी मोर्चा जनवर्गीय संगठन व विभागया जिल्लास्तरीय नेतात यानाः िझंन्यासः म्ह कार्यकर्तातय्गु ब्वति दुगु खः ।,http://www.nepalmandal.com/content/729.html
सरकारया ज्यायात प्रभावकारी दयेकेगु - अर्थमन्त्री ,"Tue Feb 24, 2009  6:39 pm",एकीकृत नेकपा माओवादीया सरकार परिचालन विभागया थौं च्वंगु बैठकं वर्तमान सरकारया काम-कारबाहीयात थप प्रभावकारी दयेकेगु निर्णय याःगु दु । विभागं माओवादीया नेतृत्वय् दुगु मन्त्रालयया काम-कारबाहीया संयोजन व उकियात माःगु निर्देशन यायेगु निर्णय याःगु विभागया प्रमुख व अर्थमन्त्री डा।बाबुराम भट्टराईं जानकारी बियादीगु दु । विभागं मेमेगु दलया नेतृत्वय् दुगु मन्त्रालयतदथुइ नं पार्टीयापाखें निगरानी यायेगु धयादिसें अर्थमन्त्री भट्टराईं धयादी -ूप्रधानमन्त्री ज्याकुयात ग्वाहालि यायेत व धिसिलाकेत थुकिया गठन जूगु खः । थ्व संयुक्त सरकारअन्तर्गतया संरचना स्वयां नं पार्टीया आन्तरिक विभाग खः ।ु वय्कलं सरकार परिचालन विभाग प्रधानमन्त्री ज्याकुया समानान्तर मजूसे ग्वाहालि जक जूगु नं स्पष्ट यानादीगु दु । बैठकय् सरकारय् च्वनाः फुक्क सत्ताया प्रगतिशील रुपान्तरणयात गुकथं प्रभावकारी दयेकेगु जनतादथुइ तत्काल राहत लगायत सुधारया ज्याझ्वः गुकथं याकनं यंकेगु व झिदँया जनयुद्ध व िझंगुन्हुया जनआन्दोलनं ल्ह्वंगु राष्ट्रियता जनजीविका व जनतन्त्रया मुद्दायात गुकथं सम्बोधन यायेगु लगायतया विषयसं सहलह जूगु खः ।,http://www.nepalmandal.com/content/808.html
मन्त्री शाहया तर्क ,"Fri Feb 6, 2009  6:49 pm",वातावरण विज्ञान तथा प्रविधिमन्त्री गणेश साहं विज्ञान व प्रविधिया विकास व विस्तारय् सरकारं विशेष बः ब्यूगु धयादीगु दु । भीएस निकेतन कलेजपाखें ग्वसाः ग्वःगु बिज्ञान प्रविधि व संस्कृति प्रदर्शनीया थौं उलेज्या यानादिसें वय्कलं विद्यालयस्तरनिसे हे बिज्ञान प्रविधिबारे बः बिइमाःगु व अप्वयाः च्वंगु प्रतिभा पलायनयात दिकेत स्वदेशय् हे अनुसन्धानय् न्ह्यायेगु वातावरणया विकास जुइमाःगु बिचाः तयादीगु दु । कलेजया संस्थापक पि्र_िन्सपल डा।बाबुराम पोखरेलं प्रदर्शनीया ग्वसाः ग्वयाः विद्यार्थीतदथुइ विज्ञान प्रविधिप्रतिया अभिरुचि अभिवृद्धि यायेत स्वयाच्वनागु धयादीगु दु । निन्हुतक न्ह्याइगु उगु प्रदर्शनी विद्यार्थीतपाखें तयार याःगु थीथी ज्वलंत न्ह्यब्वयातःगु दु ।,http://www.nepalmandal.com/content/746.html
युरोप भ्रमण तसकं सफल : प्रम ,"Sat Apr 4, 2009  8:29 pm","प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डं थःगु युरोप भ्रमण तसकं सफल जूगु खँ धयादीगु दु । छवाःयंकया युरोप भ्रमण सिधयेकाः शनिवाः देय् लिहां झायेवं अन्तरर्राष्ट्रिय विमानस्थलय् पत्रकारतनाप खँ ल्हानादिसें प्रम प्रचण्डं अपेक्षाकथं हे भ्रमण सफल जूगु दाबी यानादिल । वयेकलं नर्वे व फिनल्यान्ड निगूलिं देय्या प्रधानमन्त्री, मन्त्रीलगायत उच्च अधिकारीतनाप सहलह यानागु व नेपाःया शान्ति प्रक्रियायात ग्वहालि यायेत सकारात्मक आश्वासन व:गु जानकारी बियादिल । भ्रमणया झ्वलय् प्रधानमन्त्रीं नेर्वेलय् स्वन्हु व फिनल्यान्डय् निन्हु च्वनादीगु खः । वयेकलं निगू पक्षया ग्वहालिया ख्यः अप्वयेकीगु समझदारी पतिइ हस्ताक्षर तकं याना वयागु जानकारी बियादिल । वयेकलं नेपाःया परिवर्तनयात आत्मसात् यासें नर्वे व फिनल्यान्डं हाइड्रोपावर, विद्युतीय ट्रान्समिटर, पोलिटेक्निकल इन्ष्टिच्युट थंज्याःगु ख्यलय् ग्वहालि यायेगु प्रस्ताव यानाःगु जानकारी बियादिल । नर्वें पोलिटेक्निकल च्याकेगु खँय् ग्वहालि यायेगु प्रतिबद्धता प्वंकूगु खँ कनादिल । प्रधानमन्त्री दाहाल झिंगुम्हेसिया पुचःया नेतृत्व यानाः शनिवाः नर्वे व फिनल्याण्डया भ्रमणया निंतिं उखेपाखे झायादीगु खः । अथेहे प्रम दाहालं थीथी संचार माध्यमं चर्चा यानाच्वंगु 'बेबी किङया' खँ वाहियात व असम्भव धयादिल । वयेकलं धयादिल, 'बेबी किङया खँ गंगा अःकथं बाः वंगु थें हे खः ।'",http://www.nepalmandal.com/content/882.html
'स्वता कारणं दीपेन्द्रं वीरेन्द्रयात स्याःगु खः' ,"Mon Mar 30, 2009  12:57 pm","पुलांम्ह युवराज पारसं राजदरवार हत्याकण्डया ल्यूने छता जक कारण मखसें स्वता कारण दुगु खँ धाःगु दु । सिङ्गापुरया न्यू पेपरयात ब्यूगु अन्तरर्वार्ताय् पारसं थ्व खँ कंगु खः । दरवार हत्याकाण्डया बारे न्हापांगु खुशी म्हुतु चायेकूसें पारसं हत्यार खरिद सम्बन्धि मल्टि मिलियन डलरया असफल सम्झौता, अस्वीकृत जूगु मतिना व २०४६ साल लिपा पूर्ण राजतन्त्रया अन्त्यप्रति असहमति प्वंकूसें दीपेन्द्रं थः अबुयात स्याःगु खँ धाःगु दु । 'नेपाली सेनां बेलिजयन एसएलआरयात विस्थापित यानाः न्हूगु हतियार न्यायेत स्वल । दीपेन्द्रं जर्मन हेकलर व को जी ३६यात ययेकू खः । वं कोल्ट जी ३६यात माययेकू' । पारसं अन्तरर्वार्ताया झ्वलय् धाल, 'तर विरेन्द्रयात थ्व खँ यः मताल । जीं स्यू थ्वहे कारण याना अबु व काय् दथुइ विवाद नं जूगु खः । दीपेन्द्र थ्वहे कारणं यानाः निरासा जुयाच्वंगु खः ।' 'नेपाली सेनां ५० हजार न्हूगु जर्मन असल्ट राइफलया ल्यःगु खः गु न्हापा हे बजारय् उपलब्ध दुगु खः ।' पारसं धाल, 'दीपेन्द्रया सल्लाहकार सम्झौताया तयारी यानाच्वंगु खः । वकीं छपू हतियारया ३०० डलरया ल्याखँ १५ मिलियन डलर लवः जुइफूगु खः ।' पारसया अन्तर्वार्ता नकतिनि प्रधानमन्त्री पुष्पकमल दाहलं याःगु दरवार हत्याकाण्डयात पुनः छानबिन यायेगु घोषणाया प्रतिक्रिया लिपा वःगु खः । परसं धाःगु दु, 'दीपेन्द्रयात ध्यबा माचाच्वंगु खः । थः धाः थें मजूसाः देय् हे त्वता वनेगु योजना तकं दयेके धुंकूगु खः ।' परसं राजदरवार विवादया निंतिं उर्वर थाय् खः धये नं त्वमफीकू । '२०४६ सालया तत्कलीन जुजु वीरेन्द्रं स्वीदँया पाचायाती शासनयात चीका न्हूगु संविधान लागू याःगु खः ।' पारसं धाल, '२०४६ सालय् अबुं प्रत्यक्ष शासन त्वतेगु निर्णय लिपा दीपेन्द्र हिलावंगु खः । देशय् शासन याये चाहे जूगुलिं गुवलें अबुया निर्णयलय् सहमति मप्वंकू । जीत लगेजू दीपेन्द्रं उवले लिसें हे योजना देयेकेत शुरु याःगु खः ।' 'दरवार हत्याकाण्ड याकेगु निगूगु कारण वया थः यज्जू देवयानी राणा खः । देवयानी शत्रु खलकया सदस्य जूगुिलं राजपरिवर दीपेन्द्रया इहिपा वनाप याकेगु पक्ष मदगु खः ।' दीपेन्द्रं तच्वयेक नशा सेवन याना थः छेँजःया हत्या याःगु धापूयात पारसं अन्तर्वार्ता खण्डन याःगु दु । अन्तर्वार्ताया झ्वलय् पारसं धाल, 'जीं तसकं बांलाक लुमं सन् २०००य् थःगु जरमनीवय् दीपेन्द्रं झी सकसितं धाःगु खः जीं आइभोरी टावर क्वथले तर झीसं वया खँयात गम्भिर रुपं मकयाः । वय्क उबलये युवराज खः सु जुजु जुइत्यंम्ह खः । वं थः अबुया हत्या याइ धका सुनां बीचा याःगु जुइ ?' पारसया कथं, 'थः घटनास्थलय् थ्यंवलय् दीपेन्दं असाधारण पह क्यानाच्वंगु व नशाय् दुबे जुयाच्वंम्ह थॆं ज्या यानाच्वंगु खः ।' तर दीपेन्द्र व सनिलय् नशाय् मदुगु ठोकूवा पारसया दु । पारसं धाःगु दु, 'जीं वयात तसकं बहांलाक्क म्हस्यू वं अप्व जुइक त्वनेधुनः जीं न्हिने निसिं त्वनाच्वनाःगु धाःगु खः । तर वया म्हं भतिचा नं गन्ध वःगु मदु ।'",http://www.nepalmandal.com/content/859.html
गृहमन्त्री नाप स्पष्टीकरण ,"Thu Apr 2, 2009  7:22 pm","यलया प्युटारय् बोक्सीया द्वपं बीया खी नकूगु व दोषीयात कारवाही मजूगु घटनायातकया संसदीय समितिं गृहमन्त्री वामदेव गौतमनाप बिहिवाः स्वष्टीकरण काःगु दु । व्यवस्थापिका संसद्या महिला बालबालिका व समाज कल्याण समितिं वामदेव गौतनाप घटनाया प्रगतिया बारे स्पष्टीकरण काःगु खः । सभासद्तय्सं येँय् नापसं जूगु घटनाया निवाः लिपा नं दोषीतय्त मज्वंगुलिं गृहनन्त्रीया आलोचना यात । सभासद्तय्सं दोषीतयात सुरक्षाकर्मीतय्सं हे बीस्कूगु द्वपं ब्यूगु दु । स्पष्टीकरण बीया पिहांवयेधुंका गृहमन्त्री गौतमं सुरक्षाकर्मीतय्त छानबिन यायोगु प्रतिबद्धता प्वंकादिल । वयेकलं धयादिल, 'छानबिन जुइ प्रहरीत दुगुय् इलय् व घटना जूगु खसाः आन्तरिक कारबाही जुइ ।' प्युटारय् कल्लुकुमारी विकयात बोक्सीया द्वपंनय् वंगु चैत ७ गते प्रधानाध्यापक विमला गोले लगायतया न्ह्य्म्ह स्थानीयबासीं कुटपित यासें र्दुव्यवहार याःगु ख: ।",http://www.nepalmandal.com/content/870.html
सरकार-तामसालिङ दथुइ झिंगुंगू बुदेँ सहमति ,"Sun Apr 12, 2009  6:38 pm","संयुक्त तामसालिङ संघर्ष समिति व सरकार दथुइ तामङ समुदाय्या माग संबोधन यायेगु झिंगुंगू बुदेँ सहमति जूगु दु । सहमति लिपा संयुक्त संघर्ष समितिं स्वनिगः नापं स्वनिग नापसंया झिगू जिल्लाय् पूर्व घोषित बन्द लितकाःगु दु । अथेहे संघर्ष समितिं ग्वसाःग्वःयातःगु थीथी विरोद्धया ज्याझ्व नं लितकाःगु दु । शनिवाः बहनि शान्ति मन्त्रालय् निगू पुचः दथुइ जूगु वार्ताय् सरकारयापाखें शान्तिमन्त्री जनार्दन शर्मा प्रभाकरं ब्वति काःगु खसाः संघर्ष समितिया पाखें सूर्यमान डोङ्ग, वीरबहादुर लामा तामाङ, दिलमान पाखरिङ तामाङ, परशुराम तामाङ व कमानसिहं लामापिसं ब्वति कयादीगु खः । सहमतिइ उत्पीडित जाति, आदिवासी-जनजनति व थीथी क्षेत्र व वर्गया प्रतिनिधित्व याकाः तत्काल अन्तरिम संविधान बमोजिम राज्य पुर्नसंरचना आयोग गठन यायेगु सहमति जूगु दु । सरकार व संघर्ष समिति दथुइ राष्ट्रिय जनावर साया विषय पुर्नविचाः यायेत सहमति जूगु दु । संघर्ष समितिं सायात राष्ट्रिय जनावर देके मज्यूगु माग तःगु खः । अथेहे सरकारं सांस्कृतिक विभेदया अन्त्य यानाः दक्व जातजातिया संस्कृति स्थापित यायेगु व मान्यता बीत सम्बघ पक्ष नापाःया सहमतिइ साझा सांस्कृतिक नीति तय यायेगु सहमति जूगु दु । नापं सारकारं आदिवासी-जनजातिया ऐतिहासिक व सांस्कृतिया महत्व दुगु थासय् वःहे जातिया भाषाय् थीथी थाय्या नामाकरण यायेगु प्रतिबद्धता प्वंकूगु दु । नेपाली सेनाया बन्दोबस्ती गण 'पिपा गोश्वारा'य् तामाङ जातियात अपहेलना याइ कथंया संरचनाया अन्त्य यानाः नेपाली राष्ट्रिय सेनायात समावेशी देयेकीगु नीति प्रभावकारी रुपं कार्यान्वयन यायेमाःगु सहमति जूगु दु । अन्तराष्ट्रिय श्रम संगठन १६९ अभिसन्धिया भावन कथं खुसीलगायत प्राकृतिक स्रोत-साधनय् आदिवासी जनजाति व स्थानीयवासीया स्वामित्व कायम यायेत आवश्यक कानुन देयेका न्ह्याः वनेगु सहमति निगू पुचः दथुइ जूगु दु । सहमति कथं मां भासं शिक्षा बीगु ज्या प्रभावकरी रुपं कार्यान्वयन यायेत सरकारं आः न्हूगु बजेट अप्वयेकीगु जूगु दु । झिंगुंगू बुँदे सहमति कार्यान्वयन जू मजूगु अनुगमन यायेत छवाः दुने निगूिलं पक्ष दुथ्याःगु न्याम्ह दुजः दुगु समिति गठन याइगु जूगु दु ।",http://www.nepalmandal.com/content/921.html
थैवया हत्या बारे छानबिन यायेगु सहमति ,"Mon Mar 30, 2009  1:40 pm","वंगु वाःलय् रुपन्देही हत्या जुम्ह एमाले कार्यकर्ता प्रचण्ड थैवया हत्या बारे छानबिन यायेत सतरुद्ध दलत एकिकृत नेकपा (माओवादी) व नेकपा (एमाले) दथुइ सहमति जूगु दु । सोमवाः सुथय् एमाले ज्याकू बल्खुइ च्वंगु निगू दलया बैठकय् निगू दल दुथ्याःगु छगू छानबिन समिति गठन यायेग सहमति जूगु खः । बैठकय् एमालें थैवाया हत्या बारे छानबिन यायेत इनाप याःगु खसाः माओवादीं उकी सहमति प्वंकूगु खः । बैठकय् माओवादीयापाखें अर्थमन्त्री डा‍‍ बाबुराम भट्टराई, माओवादी प्रवक्ता दिनानाथ शर्मा, नारायणकजि क्षेष्ठ लगायतया नेतापिंसं ब्वति काःगु खसाः एमालेपाखें अध्यक्ष झलनाथ खनाल, गृह मन्त्री बामदेव गौतम, उपाध्यक्ष अशोक राई, महसचिव ईश्वर पोखरेल लगायतया नेतातय्सं ब्वति काःगु खः । बैठकय् केन्द्रिय क्याम्पस कीपू लगायत देया थीथी थासय् जूगु स्वतन्त्र विद्यार्थी युनियन निर्वाचनया दिनाच्वंगु मतगनणा सुचारु यायेगु नं सहमति जूगु दु ।",http://www.nepalmandal.com/content/860.html
बेपत्ता नागरिक मालेत सरकारयात सर्वोच्चया आदेश ,"Thu Apr 2, 2009  8:39 pm","सर्वोच्च अदालतं सशस्त्र द्वन्द्वया इलय् राज्यं बेपत्तायापिं नागरिकत मालेत सरकारयात आदेश ब्यूगु दु । बेपत्ता नागरिक मालेमाःगु माग तयाः न्यादँ न्ह्यः दायर याःगु निगू रिटया निर्णय न्यंकूसें न्यायाधस्शद्वय अनुपराज शर्मा व प्रकाश वस्तीया मंका इजलासं बिहिवाः आदेश ब्यूगु खः । इजलासं बेपत्ता नागरिकत मालेगु राज्यया कर्तव्य जूगु खँ न्ह्यथंसें निवेदकया माग बमोजिम बेपत्तात मालेत सरकारया नामय् निर्देशनात्मक आदेश जारी याःगु खः । थ्वस्वयां न्ह्यः अधिवत्ता राजेन्द्र ढकालयात बेपत्ता याःगु धासें दायर याःगु रिटया निर्णय यासें सर्वोच्चं बेपत्ता नागरिक मालेत आयोग गठन, दोषीयात कारबाही व पीडित छेँजः यात राहत बीत सरकारया आदेश ब्यूगु खः । मानव अधिकार संगठनया पाखें महासचिव बाबुराम गिरीं २०६१ भदौ व माघय् निगू रिट दायर याःगु खः । रिटय् विपिन भण्डारी, जितेन्द्र महासेठ, संचारकर्मी पीबी दियाली, सुदर्शन पाण्डे, सभासद् खिमलाल देवकोटालगायत प्यसः व स्वीनिम्हेसित बेपत्ता याःगु धासें स्थिति सार्वजनिक यायेत माग याःगु खः । सरकारं सभासद् देवकोटालगायत यक्वः थें नागरिकया अवस्था सार्वजनिक यायेधुंकूगु जानकारी अदालतयात ब्यूगु दुसा रिटय् दुथ्याकातम्ह भण्डारीलगायत गुलिखे नागरिकतय्ता ज्वंहे मज्वंगु दाबी यासें लिसः छ्वःगु खः । मानव अधिकार संस्था अनौपचारिक क्षेत्र सेव केन्द्र (इन्सेक) या कथं झिदँया द्वन्द्वया इलय् राज्यपाखें च्यासः व नीच्याम्ह व माओवादीपाखें सच्छि व न्ह्यम्हेसित बेपत्ता याःगु खः ।",http://www.nepalmandal.com/content/871.html
