headline,date,final_news,url
२७ दलं म्याद थप याइगु ,"Sun Oct 24, 2010  12:04 pm",क्वःछिनातःगु इलय् हे न्हूगु संविधान निर्माण यायेगु नितिं संविधानसभाय् दुथ्याःगु नीन्हय्गु हे दलं विबाद ज्यंकेत दयेकूगु उच्च स्तरीय राजनीतिक कार्यदलया म्याद थप याइगु जूगु दु । थौं च्वनीगु नीन्हय्गू दलया मुँज्याय् उगु कथं कार्यदलया म्याद थप यायेगु प्रस्ताव यंकी धकाः कार्यदलयात ग्वहालि यायेगु नितिं नीस्वंगु ग्वहालि पुचःया छम्ह दुजलं धयादीगु दु । कार्यदलयात थौं आइतवाः तकया म्याद बियातःगु नापं आः तकया दुने यक्व हे खँय् दलतय्गु दथुइ सहमति ब्वलंके मानिगु जुयाः हे अथे म्याद थप याइ धकाः नं दावी यानादीगु खः । कार्यदलपाखें आः नेपालय् केन्द्रीय सरकार प्रदेशया सरकार नापं स्थानीय सरकार दयेकेगु धकाः सहमति ब्वलंके धुंकूगु दु । कार्यदलं न्हूगु संविधानय् आः केन्द्र प्रदेश व स्थानीय निकायसं व्यवस्थापिका कार्यपालिका व न्यायपालिका स्वंगुलिं तयेगु धकाः खँ क्वःछिइ धुंकूगु दुसा प्रदेशय् छगू जक ब्यवस्थापिका संसद दयेकेगु धकाः तकं सहमति ब्वलंके धुंकूगु दु । व फुक्कं सहमतियात अनुमोदन यायेगु कथं थौंया नीन्हय्गू दलया मुँज्या न्ह्यब्वइगु जूगु दु । अथे हे यक्व हे खँय् सहलह ब्याकाः सहमति यायेमानीगु जुयाः हे थौंया मुँज्याय् अथे कार्यदलया म्याद थप यायेगु प्रस्ताव तयेत्यंगु खः धकाः धाःगु दु । मुक्कंयाना न्हय्म्ह दुजः दुगु उगु कार्यदलय् एकीकृत माओवादीया नायः पुष्पकमल दाहाल प्रचण्ड कजि जुयादीगु दुसा दुजलय् कांग्रेसया संसदीय दलया नेता रामचन्द्र पौडेल एमालेया नायः झलनाथ खनाल नेपाल मजदुर किसान पार्टीया नायः नारायणमान विजुच्छे नापं मेमेगु दलया नेतात च्वनादीगु दु ।,https://www.nepalmandal.com/content/10268.html
न्हूदँया नितिं यलय् मंकाः ग्वसाः खलः ,"Sun Oct 24, 2010  12:06 pm",नेपालमण्डलया आदिवासी नेवाःतय्गु ऐतिहासिक नगर नेपाल संवत् ११३१ न्हूदँ हनेगु लसताय् न्ह्याकीगु सांस्कृतिक जुलुसया मंकाः ग्वसाः खलः नीस्वंगु दु । म्हिगः च्वंगु मुँज्यां नेपालभाषा मंकाः खलः यल ज्यापु समाज यल व नेवाः स्वायत्त राज्य मंकाः संघर्ष समिति यल यात मूल संयोजनया भाला बिइगु खँ तकं क्वःछ्यूगु दु । उगु खलकय् यलय् कि्रयाशिल जुयाच्वंगु मेमेगु खलः पुचःयात नं दुथ्याका यंकेगु जुइ धकाः धाःगु दु । यलय् वइगु २१ गते न्हूदँ हनेगु नापं उखुन्हु मंकाः ग्वसाः खलःया आह्वानय् यलया मंगलय् च्वंगु काति दबुलिं सांस्कृतिक जुलुस पिकाइगु जूगु दु । अथे हे थीथी खलः पुचःपाखें यलय् २० गते काति दबुलिं हे सीमतयाः पिकाइगु सांस्कृतिक ब्वज्या याइगु १८ गते आर्ट धेधेबल्ला कासा याइगु १९ गते सफू ब्वज्या नापं वइगु शनिवाः न्हूदँया लसताय् तुच्चा ज्याझ्वः तकं याइगु जूगु दु ।,https://www.nepalmandal.com/content/10270.html
एमालेया नायः खनालया खँ नक्कली - पौडेल ,"Mon Oct 25, 2010  9:48 am",नेपाली कांग्रेसया संसदीय दलया नेता रामचन्द्र पौडेलं एमालेया नायः झलनाथ खनालया धापू नक्कली जूगु टिप्पणी यानादीगु दु । एमालेया नायः खनालं शनिवाः जक संचारकर्मीतलिसे खँल्हासें राष्ट्रिय सहमति कायम जुल धाःसा सरकारया नेतृत्व यायेत थः तयार दु धकाः न्वंवानादीगु खः । म्हिगः आइतवाः पत्रकारतलिसे खँल्हासें नेता पौडेलं अथे खनालया खँ नक्कली जूगु दावी यानादीगु खः । वय्कलं प्रधानमन्त्री जुइ दत धाःसा न्ह्याम्ह हे प्रधानमन्त्री जुइत तयार जुइ धकाः तकं धयादिल । कांग्रेसया नेता पौडेल सहमतिया आधारय् हे न्ह्याः वनेमाः धकाः नं बः बियादिल । लुमंकेबहःजू प्रधानमन्त्रीया नितिं पौडेल याकःचा उम्मेदवार जुयाच्वंगु दुसां त्याइगु सम्भावना आः तक मदु अले दुईतिहाइ बहुमत सभासदतय्सं वय्कःयात उम्मेदवारी लितकयाः सहमतिया लुखा चायेकेत इनाप यानाः चुनाव तकं बहिस्कार यानाः वयाच्वंगु दु ।,https://www.nepalmandal.com/content/10293.html
संविधानसभाया अवमूल्यन ,"Tue Oct 26, 2010  10:04 am","एकीकृत नेकपा माओवादीया न्वकु नारायणकाजी श्रेष्ठ प्रकाशं आःया अवस्थाय् कांग्रेसं प्याकेजया सहमतिया नामय् संविधानसभाया अवमूल्यन यायेगु कुतः यानाच्वंगु दु धकाः धयादीगु दु । वय्कलं संविधानया अन्तरवस्तु शान्ति प्रकि्रया व सरकार निर्माणया खँ छथासं लाकाः छक्वलं पिने सहमति यायेमाः धकाः गुगु कथं कांग्रेसं प्याकेजु सहमति धयाच्वन व प्रति एकीकृत माओवादी सहमत मदु धयादिसें व प्रस्ताव हे संविधानसभाया अवमूल्यन यायेगु प्रस्ताव खः धकाः तकं धयादिल । म्हिगः सोमवाः रिपोर्टस क्लबं ग्वसाःग्वःगु साक्षात्कार ज्याभ्वलय् न्वंवायेगु झ्वलय् माओवादीया नेता प्रकाशं अथे धयादीगु खः । गबलें त्याइमुखुगु जूसां याकःचा उम्मेदवार जूसां कांग्रेसया नेता रामचन्द्र पौडेलं उम्मेदवारी लितमकाया मुलुकयात असफलतापाखे ध्वाना यंकाच्वंगु धकाः नं वय्कलं धयादिल । नेपाली सेना व जनमुक्ति सेना समायोजन जुइ धुंकाः जक एकीकृत माओवादीया नेतृत्वय् सरकार दयेके बिइगु धकाः नेपाली कांग्रेसं सोच दयेकाच्वंगु हे आःया अवस्थाय् राजनीतिक गतिरोधया कारण खः धकाः दावी यानादिसें माओवादीया नेता प्रकाशं थुज्वःगु अवस्था जुल धाःसा जनआन्दोलन व जनयुद्धया उपलब्धि तनीगु अवस्था वइ मुलुक असफल राष्ट्र जुइ गृहयुद्धय् फसेजुइ वैदेशिक हस्तक्षेप अप्वया वइु धकाः नं धयादिल । भारतया हस्तक्षेप व विस्तारवादी नीतियात एकीकृत माओवादीं न्ह्याबलें नं बिरोध यानाच्वनी धयादिसें वय्कलं माओवादी चीन कार्डु प्रयोगया पक्षय् मदु धकाः स्पष्ट यानादिल । एकीकृत माओवादीया नेता नारायणकाजीं धयादिल 'माओवादी चीन व भारतयात बराबरया दुरीइ सम्वन्ध विकास यायेगु पक्षय् दु ।' कांग्रेसं आःया अवस्थाय् माओवादीयात यथास्थितिया धारय् यंकेत कुतः यानाच्वंगु दु धयादिसें वय्कलं धयादिल माओवादी परम्परागत संसदीय व्यवस्थाया पक्षय् सहमति जुइमखु । वय्कलं संविधान निर्माणया सवालय् विवाद जुयाच्वंगु विषययात ज्यंकेगु नितिं माओवादीया नायः पुष्पकमल दाहाल प्रचण्डया नेतृत्वय् उच्च स्तरीय राजनीतिक कार्यदल दयेकूगु खँ न्ह्यथसें आः ११ न्हिया म्याद सहमतिया आधारय् थप यायेगु ज्या जुइ धुंकूगु जुयाः व ईया दुने गुलि सहमति जुइ अनं लिपा हाकनं म्याद थप यायेगु आवश्यकता मदु धकाः नं धयादिल । असहमतिया बुँदा फुक्कं छक्वलं सहमति जुइफैमखु ल्यं दुगु खँयात तयाः एकीकृत मस्यौदाया नितिं संवैधानिक समितिइ छ्वयेमाः, धयादिसें माओवादीया न्वकु प्रकाशं आःया कामचलाउ सरकारपाखें गुगु नं हालतय् बजेट हयेमज्यू धकाः धयादिल । प्रधानमन्त्रीया उम्मेदवारी लितकयाः न्हूगु हे प्रकि्रयां न्ह्याः वनाः याकनं हे न्हूगु सरकार गठन यायेमाः धकाः नं नेता प्रकाशं धयादिल । सरकार दयेके हे मफुगु अवस्थाय् छु जुइ धकाः न्यंगु न्ह्यसःया लिसलय् वय्कलं धयादिल उज्वःगु अवस्थाय् व हे इलय् निर्णय यायेगु जुइ ।",https://www.nepalmandal.com/content/10321.html
म्याद थपये यायेत सरकार विघटनया माग ,"Sun May 15, 2011  9:50 am","सरकारं पिने च्वनकि वेँय् जुइपिं नेपाली कांग्रेस व मधेसवादी दलतय्सं संविधान सभाया म्याद थपये मयायेगु व थप यायेगुहे खःसा वर्तमान प्रधानमन्त्री झलनाथ खनालया नेतृत्वयया सरकार विघटन याकेमाः धाःगु दु । तर सरकारय् सहभागी दल व उया नेतातय्सं प्रतिपक्षतय्गु मांग यात अस्वीकार यासे सरकार गठन, संविधान व शान्ति प्रकृयायात व्यागलं व्यागलं विषय जूगुलिं उकियात छथाय्हे तयाः अलमल मयायेत धाःगु दु । एकीकृत नेकपा (माओवादी)या स्थायी पुचःया दुजः देव प्रसाद गुरुङ्गं संविधान सभाया म्याद थपय् यायेत सर्तया रुपय् सरकार विघटन यायेगु खँ स्वीकार्य मजुइगु धयादीगु दु । सरकार संविधान निर्माण व शान्ति प्रकृया व्यागलं व्यागलं विषय खः धयादिसें वयकःनं थुकियात छगूहे विषय दयेकेगु कुतः यायेमज्यू धयादीगु खः । रिपोर्टस क्लवय् म्हिगः सञ्चवाः जूगु छगू अन्तरकृया ज्याझ्वलय् गुरुङ्गं अथ्य धयादीगु खः ।प्रधानमन्त्री झलनाथ खनालया नेतृत्वय् न्ह्यानाच्वंगु सरकारया विकल्प मदुगु खँ न्ह्यथसे गुरुङ्गं थ्वहे सरकारयात निरन्तरता वीमाः धयादीगु दु । नापं वयकःनं संविधानसभाया म्याद नाप सेना समायोजन व सरकार परिवर्तनया विषययात मस्वाकेत नं प्रतिपक्ष दलतय्त इनाप यानादीगु दु । अथ्यहे एमालेया छ्याञ्जे युवराज ज्ञवालीं संविधान सभाया म्याद थपय् यायेत सरकार परिवर्तनया शर्त तयेगु अनुचित धयादिसें सरकार तत्काल हिलेगु सम्भव मदुगु धयादीगु दु । ज्ञवालीं वंगु शुरुया निदँ संविधानसभाया म्याद वंगु दलतय्गु गलत महत्वकांक्षी जूगु कारणं खः धकाः नं दावी यानादीगु दु । नेपाली कांग्रेसया नेता प्रकाश शरण महतं प्रधानमन्त्री झलनाथ खनालया नेतृत्वय् दुगु सरकारं शान्ति व संविधानया ज्या पूवंके मफैगु खँय् थ्व सरकार सर्वदलीय जुइहे मफैगु धयादीगु खः । म्याद थप यायेगु खँयात कयाः नेपाल वार एशोसियसनया नायः प्रेम वहादुर खड्कां विरोध याःगु दु । यदि संविधानसभाया म्याद थपय् यातधाःसा थःपिसं उकिया विरुद्ध आन्दोलनय् कुहां वयेगु ख्याच्वः वियादीगु दु । विश्वसनिय आधार मदयेकू तले म्याद थपय् यायेहे मज्यू धया खड्कां अथ्य मयासे म्याद जक थपय् यात धाःसा थःपिं सतकय् कुहां वयेगु धयादीगु खः । उखे एमालेया कटुनेता खड्ग शर्मा ओलीं सरकारया आयू ताःहाकः यायेत जक म्याद थपय् यायेगु प्रस्ताव हःगु धयादीगु दु । थःपिके छगू शब्दहे मन्यसे म्याद थपय् यायेत हःगु प्रस्ताव षडयन्त्र खः । वयकः नं संविधान दयेके मफुपिं ६०१ सभासद्पिसं यदि थःपिं इमान्दार खःसा तलव भत्ता लगायत सुविधात लितवीमाःगु ख्याच्वः नापं व्यूगु दु ।",https://www.nepalmandal.com/content/13967.html
म्याद थपया खँय् कांग्रेस सकारात्मक ,"Wed Dec 22, 2010  12:09 pm",नेपाःया शान्ति प्रकि्रयाय् महत्वपूर्णगु भूमिका म्हिता वयाच्वंगु संयुक्त राष्ट्रसंघीय मिसन अनमिनया म्याद थप यायेगु एकीकृत माओवादीया प्रस्तावयात नेपाली कांग्रेसं सकारात्मक रुपं काःगु दु । माओवादीया नायः पुष्पकमल दाहाल प्रचण्डया नेतृत्वय् उगु पार्टीया नेतात व नेपाली कांग्रेसया सभापति शुशिल कोइरालाया नेतृत्वय् मेमेपि नेतात दुथ्याकाः म्हिगः मंगलवाः जूगु वार्ताय् कांग्रेसया नेतातय्सं अनमिनया म्याद थप यायेगु खँयात सकारात्मक रुपं कयादीगु खः । कांग्रेसया नेतातय्सं अनमिनया म्याद थप यायेगु तर अनमिनया म्याण्डेटयात धाःसा म्हो यायेमाः धकाः वार्ताय् खँ हःगु खः । वार्ताय् माओवादीया नेतातय्सं अनमिनया म्याण्डेट यथावत हे तयाः वइगु जेष्ठ १४ गते तकया निति म्याद थप यायेमाः धकाः प्रस्ताव तःगु खः । कांग्रेसया सभापति सुशील कोइरालाया निवास महाराजगाजय् जूगु उगु वार्ताय् माओवादीया नेतात न्वकुपि मोहन बैद्य किरण डा. बाबुराम  भट्टराई नारायणकाजी श्रेष्ठ प्रकाश मू छ्यान्जे रामबहादुर थापा बादल अथे हे कांग्रेसया संसदीय दलया नेता रामचन्द्र पौडेल कृष्णप्रसाद सिटौला रामशरण महत्त प्रकाशशरण महत्तपिन्सं ब्वति कयादीगु खः । उगु वार्ताया झ्वलय् माओवादी व कांग्रेसया नेतातय्सं सरकारया नेतृत्वया सवालय् थःथःगु अडान तःगु खः । माओवादी व कांग्रेसया शीर्ष नेतातय् दथुइ वार्ता जुइवं हीमीचायाः नेपाली कांग्रेसया नेता शेरबहादुर देउवायात नापलाय्त प्रधानमन्त्री माधवकुमार नेपाल उपप्रधानमन्त्री विजयकुमार गच्छेदार देउवा निवास बुढानिलकण्ठय् वंगु खः ।,https://www.nepalmandal.com/content/11547.html
जनसेना औपचारिक रुपं सरकारया मातहत ,"Sun Jan 23, 2011  12:42 pm","१० दँया जनयुद्ध ल्वाःपिं माओवादीया जनमुक्ति सेना म्हिगः शनिवाःनिसेंं औपचारिक रुपं सरकारया मन्त्रिपरिषद् अन्तर्गतया प्रधानमन्त्री कजि जुयादीगु सेना समायोजन विशेष समितिया मातहतय् तःगु दु । जनमुक्ति सेना व हतियार लःल्हायेगु औपचारिक ज्याझ्वः म्हिगः शक्तिखोरया तेस्रो डिभिजनय् याःगु खः । उगु ज्याझ्वलय् प्रधानमन्त्री माधवकुमार नेपालं नेपाःया राष्ट्रिय ध्वाँय् व नेपाल व अध्यक्ष प्रचण्डं संयुक्त कथं बेलुन ब्वयेकेगु ज्या यानादीगु खः । अथेहे, जनसेनात विधिवत कथं मन्त्रिपरिषद् अन्तर्गतया विशेष समिति मातहतय् वल धकाः घोषणा याःगु खः । ज्याझ्वलय् जनवादी म्येया धुनय् जनसेनातय्सं परेड म्हितेगु ज्या याःगु खः । अन दक्ले न्हापां मंकाः कथं राष्ट्रिय म्ये तकं हालेगु ज्या जूगु खः । जनसेनातय्सं नेपाःया आदिवासी जनजातिया वसः पुनाः सांस्कृतिक ब्वज्या याःगु उगु विशेष समारोहया दबुलिइ दक्ले न्ह्यःनेया झ्वलय् प्रधानमन्त्री माधवकुमार नेपाल, सभामुख सुवासचन्द्र नेम्वाङ, एकीकृत माओवादीया नायः पुष्पकमल दाहाल प्रचण्ड, नेपाली कांग्रेसया सभापति सुशील कोइराला, एमालेया नायः झलनाथ खनाल, पुलांम्ह प्रधानमन्त्री शेरबहादुर देउवा, सूर्य बहादुर थापा, मन्त्रीत व विशेष समितिया दुजःपिं च्वनादीगु खः । माओवादीया सैन्य इञ्चार्ज बर्षमान पुन अनन्तं न्ह्याकादीगु ज्याझ्वलय् प्रधानसेनापति छत्रमानसिंह गुरुङ, नेपाल प्रहरीया प्रमुख रमेशचन्द्र ठकुरी, सशस्त्र प्रहरीया प्रमुख सनत बस्नेत व राष्ट्रिय अनुसन्धान विभाग प्रमुख अशोकदेव भट्ट, गृहसचिव गोविन्द कुसुम व रक्षा सचिव नविन घिमेरे नं आशन ग्रहण यानादीगु खः ।",https://www.nepalmandal.com/content/12385.html
विस्तारित मुँज्या अभूतपूर्व रुपं सफल ,"Sun Nov 28, 2010  11:24 am",एकीकृत नेकपा माओवादीया वंगु आइतवाःनिसें गोर्खाय् पालुङटारय् जूगु खुक्वःगु विस्तारित केन्द्रीय मुँज्यां शान्ति व संविधानया निितं माःगु कथं न्ह्याः वनेगु झ्वलय् षडयन्त्र यात धाःसा जनविद्रोह यायेगु म्याण्डेत ब्यूगु दु धकाः माओवादीया नायः पुष्पकमल दाहाल प्रचण्डं धयादीगु दु । न्हय्द्वःम्ह नेता कर्याकर्तातय्त केन्द्रीकृत यानाः न्हय्न्हू तक हे लगातार गोर्खाया पालुङटारय् जूगु विस्तारित मुँज्या क्वचायेकाः म्हिगः शनिवाः पालुङटारय् हे पत्रकार सम्मेलन यानाः माओवादीया नायः प्रचण्डं अथे धयादीगु खः । माओवादीया विस्तारित मुँज्यां हे माओवादी कुचा दलेमा धकाः प्रतिकि्रयावादी व नेपाःमि जनता विरोधीतय्सं चाहाना यानाच्वंगु खःसा नेपाःमि जनतां धाःसा देय् व जनताया निितं ह्यूपाःया निितं माओवादी छप्पँ जुयाः वयेमा धकाः आशा यानाच्वंगु खँ न्ह्यथनादिसें माओवादीया नायः प्रचण्डं नेपाःमि जनताया आशा कथं हे माओवादी छप्पँ छधी जुयाः वनेगु उद्घोष यायेत विस्तारित मुँज्यां म्याण्डेत ब्यूगु खः धकाः नं धयादिल । आः माओवादी वार्ता व संघर्षयात नाप नापं यंकेगु जुइ धकादिसें वय्कलं राष्ट्रियता जनजीवीका जनतन्त्र व नेपाःमितय्गु निितं निरन्तर रुपं आन्दोलन यानाः वनेगु जुइ धकाः नं धयादिल । स्वनिगलंपिने न्हय्द्वःम्ह नेता कार्यकर्तात छथासं च्वना पार्टीइ वनयाच्वंगु बिचारय् बहस यायेगु थ्व न्हापांगु व ऐतिहासिक ज्या जूगु दु धयादिसें नायः प्रचण्डं आः राजनीतिक गतिरोध अन्त्य यायेगु निितं अझ अप्वः कुतः यायेगु जुइ धयादिसें सरकार निर्माण व शान्ति प्रकि्रयायात पूवंकेगु निितं नं माःगु कथं भूमिका म्हितेगु जुइ धयादिल। विस्तारित मुँज्या अभूतिपूर्व रुपं ताः लात धयादिसें वय्कलं विस्तारित मुँज्याय् न्वकूिपं निम्ह मोहन बैद्य किरण व डा। बाबुराम भट्टराई नापं थःगु यानाः स्वंगू हे राजनीतिक प्रतिबेदनयात कयाः तसकं बहस जूगु नापं बहसलिपा मंकाः कथं छगू हे राजनीतिक प्रतिवेदन तयार यायेगु ज्या जूगु अले व प्रतिवेदनयात केन्द्रीय कमिटीइ यंकाः सहलह ब्याकेगु धकाः सहमति जूगु दु धकाः धयादिल । नायः प्रचण्डं विस्तारित मुँज्याय् नेता व कार्यकर्तातय्सं नुगः चकंका हे थःथःगु बिचाः तःगु दु धयादिसें द्वन्द्ववादी सिद्धान्तया आधारय् कम्युनिष्ट मनूत न्ह्याबलें एकता संघर्ष रुपान्तरणया सिद्धान्तयात नालाः न्ह्याः वनीगु उदाहरण थुगुसीया विस्तारित मुँज्या नं जूगु दु धकाः धयादिल । पत्रकार सम्मेलनय् माओवादीया न्वाकु  मोहन बैद्य किरणं पार्टी दुने आः छगू जक राजनीतिक प्रतिवेदन ल्यं दनिगु नापं उकियात कयाः केन्द्रीय कमिटीइ सहलह ब्याकेगु जुइ धयादिसें मूल रुपं कार्य योजनाया सवालय् एक मत जुइ धुंकल धकाः धयादिल । अथे हे मेम्हे न्वकू डा. बाबराम भट्टराई नं आः शान्ति व संविधानया सवालय् संघर्ष यानाः वनेगु धैगु खँय् छगू हे मत दु धयादिसें नेपाःमि जनताया मुक्तिया निितं संघर्ष अनिवार्य खः धकाः धयादिल । पत्रकार सम्मेलनय् मूछ्यााजे रामबहादुर थापा बादलं न्ह्याकादीगु खःसा प्रवक्ता दिनानाथ शर्मां प्रेस विज्ञप्ति ब्वनाः न्यंकादीगु खः अथे हे पत्रकारतय्सं तःगु न्ह्यसःया लिसः माओवादीया नायः प्रचण्ड न्वकूिपं मोहन बैद्य व भट्टराई नं बियादीगु खः ।,https://www.nepalmandal.com/content/11144.html
बजेटया नितिं स्वंगू दलया कार्यदल ,"Tue Nov 16, 2010  10:48 am",संविधान सभाय् दुथ्यानाच्वंगु मूमू स्वंगू राजनीतिक दल एकीकृत नेकपा माओवादी नेपाली कांग्रेस व नेकपा एमालेया शीर्ष नेतातय्गु मंकाः कथं म्हिगः सोमवाः गोप्य मुँज्या च्वनाः व्यवस्थापिका संसदय् न्हूगु बजेट हयेगु नितिं स्वंगू दलया स्वम्ह हे प्रतिनिधित दुथ्याःगु कार्यदल दयेकूगु दु । उगु कार्यदलय् एकीकृत माओवादीया न्वकु डा. बाबुराम भट्टराई नेपाली कांग्रेसया रामशरण महत व एमालेया भरतमोहन अधिकारी च्वनादीगु दु । उगु कार्यदलं बजेटया नितिं आन्तरिक तयारी याइ धकाः धाःगु दु । म्हिगःया मुँज्यां याकःचा उम्मेदवार जुयाः नं मत्याइगु धयातःगु झिंन्हय्क्वःगु प्रधानमन्त्रीया चुनाव लिछ्यायेगु धकाः सहमति याःगु खः । अथे हे आः व्यवस्थापिका संसदया मेगु मुँज्या वइगु मंसीर ३ गते च्वनेगु धकाः नं स्वंगू दलया शीर्ष नेतातय्गु दथुइ सहमति जूगु खः । अथे हे राजनीतिक गतिरोध अन्त्य यायेगु नापं बजेटया तयारीया सवालयात कयाः वइगु मंसीर २ गते मेगु गोप्य मुँज्या च्वनेगु धकाः तकं सहमति याःगु खः । गोकर्णया गल्फ रिसोर्टय् म्हिगः जूगु स्वंगू दलया शीर्ष नेतातय्गु गोप्य मुँज्याय् एकीकृत माओवादीया नायः पुष्पकमल दाहाल प्रचण्ड नेपाली कांग्रेसया सभापति सुशिल कोइराला एमालेया नायः झलनाथ खनाल नापं मेमेपिं नेतातय्सं ब्वति कयादीगु खः । मुँज्या लिपा स्वंगू दलया स्वम्ह हे शीर्ष नेतातय्सं ल्हाःचिं तयाः पिथंगु प्रेस विज्ञप्तिइ म्हिगः सोमवाः ३ बजेया नितिं क्वःछिनातःगु प्रधानमन्त्री चुनावयात स्थगित यानाः मंसीर ३ गते यायेगु थप सहलह ब्याकाः न्हूगु बजेट हयेगु व स्वंगू दलया शीर्ष नेतातय्गु मेगु मुँज्या मंसीर २ गते च्वनेगु धकाः सहमति जूगु खँ उल्लेख यानातःगु दु । उगु मुँज्याय् एकीकृत माओवादी व एमालें आः न्ह्यानाच्वंगु प्रधानमन्त्रीया चुनावी प्रक्रियायात स्थगित यानाः मेगु हे न्हूगु प्रकि्रयां न्ह्याः वनेगु धकाः प्रस्ताव तःगु खःसा नेपाली कांग्रेसं धाःसा कांग्रेसया नेता रामचन्द्र पौडेल छम्ह जक उम्मेदवार जुयाः आः वय्कःयात निर्विरोध निर्वाचित यायेमाः धकाः सः तःगु खः । निगुलिं पक्षं थःथःगु खँ तःगु खःसा नेतातय्गु दथुइ आःयात अथे चुनावयात लिछ्यायेगु बजेटया नितिं सहलह ब्याकेगु नापं बजेट हयेगु धकाः सहमति जूगु खः । थ्व हे दथुइ म्हिगः सोमवाः हे व्यवस्थापिका संसदया कार्यव्यवस्था तथा परामर्श समितिया मुँज्या च्वनाः वइगु ३ गते प्रधानमन्त्रीया चुनाव यायेगु धकाः सहमति याःगु दु ।,https://www.nepalmandal.com/content/10805.html
एमालें भाय् हिलीगु संकेत ,"Wed Dec 1, 2010  9:49 am",संविधान दयेकेगु निति सहमतीय सरकार मदयेकं मगाः धकाः अडान तया वयाच्वंगु नेकपा एमालें आः थःगु भाय् हिलाः सहमतीय सरकारया थासय् बहुमतीय आधारय् न्ह्याः वनीगु संकेत खने दयावःगु दु । एमालेया केन्द्रीय छञ्याजे विष्णु पौडेलं आः एमाले सहमति प्रणालीयात त्वःताः बहुमतीय प्रणालिइ वनेगु जुइ धकाः म्हिगः मंगलवाः छगू ज्याझ्वःया दथुइ न्वंवानादीगु दु । वय्कलं सहमतीय सरकार गठन यायेत दलत असफल जुइ धुंकल धकाः न्ह्यथसें धयादिल आः ला हद जुइ धुंकल याकनं न्हूगु सरकार दयेकेमाः उकिया निति आः एमालें परिस्थिति स्वयाः मूल्यांकन यानाः रणनीति तयार याइ । एकीकृत माओवादीया विपक्ष थें जुयाः वयाच्वंम्ह एमालेया वरिष्ठ नेता कथं नाला वयाच्वंम्ह केपी शर्मा ओली पक्षधरया मनू कथं म्हस्यूम्ह पौडेलं अथे धयादीगु खः । वय्कलं एकीकृत माओवादीया नेतृत्वय् सरकार दयेके बिइगु अवस्था मदु धकाः धयादिसें आः न्हूम्ह प्रधानमन्त्री गुगु कथं छु प्रकृया ल्ययेगु धैगु खँय् स्पष्ट यानामदी । केपी शर्मा ओली पक्षयािपं नेतातय्सं आःया अवस्थाय् नेपाली कांग्रेसया प्रधानमन्त्रीया उम्मेदवार रामचन्द्र पौडेलयात हे प्रधानमन्त्री दयेकेमाः धकाः बहः बियाः वयाच्वंगु खः । लिपांगु इलय् वयाः ला ओली पक्षयापि नेतातय्सं एमालेया नायः झलनाथ खनालयात ब्यापक रुपं दबाव बिइगु तकं यानाहःगु दु धकाः एमालेया हे छम्ह नेतां धयादीगु दु । वइगु पुष २ गतेनिसें च्वनीगु केन्द्रीय कमिटीया मुँज्याय् आः सहमतिया प्रणालीयात त्वःताः बहुमतीय प्रणाली नालाः वनेमाः धकाः ओली पक्षयापिन्सं प्रस्ताव यंकेगु तयारी यानाच्वंगु दु धकाः नं धयादीगु दु । आः चुनावया निति न्हूगु प्रकि्रयाय् वनेगु अले उकिइ एमालेया नायः झलनाथ खनालयात उम्मेदवार यानाः बहुमतया आधारय् प्रधानमन्त्रीइ त्याकेगु धकाः आश्वासन बियाः बुहमतीय प्रणालीइ यंकेगु निति ओली पक्षं कुतः यानाच्वंगु खः । एमालेया स्वम्ह नेतात नायः झलनाथ खनाल प्रधानमन्त्री माधवकुमार नेपाल स्थायी समितिया दुजः केपी शर्मा ओली देय्या अन्यौलपूर्ण अवस्था नापं प्रधानमन्त्रीया चुनावयात तकं बेवास्ता यानाः गुगु कथं विदेश भ्रमणय् झायादीगु दु वय्कःपि नेपाः लिहां वयेवं हे अथे ओली पक्षं पार्टीया नायः खनालयात झन हे दवाव बिइगु तयारी यानाच्वंगु खः धकाः नं एमालेया नेतां धयादीगु दु । उकिया तयारी कथं हे एमालेया ओली पक्षधर कथं नालातःम्ह केन्द्रीय सचिव विष्णु पौडेलं एमालें आः सहमतीय प्रणालीयात त्वःताः बहुमतीय प्रणालीइ वनेमालीगु अवस्था वल धयादीगु खः धकाः नं वय्कलं कनादीगु दु ।,https://www.nepalmandal.com/content/11200.html
