headline,date,final_news,url
फिल्मय् ग्ल्यामर ,"Posted on Mon Dec 22, 2008  1:04 pm NST","ग्ल्यामरया परिभाषा थुलि तब्याः कि उकियात छुं नं खँग्वलं चिनाः चिइ फइमखु । पाश्चात्य संसार व झीगु हलिमय् थुकिया अर्थ बिस्कं बिस्कं हे दु । साधारण रुपं धायेगु खःसा ग्लयामरयात सुन्दरताया प्रदर्शन धकाः धायेमाःसा थन थुकियात गुलि फु उलि म्ह ब्वयेगुयात कयातःगु दु । 'धड्कन' नांयागु छगू न्हूगु नेपाली फिल्मयात आःतकया दकले ग्ल्यामर दुगु फिल्म धकाः बय्बय् याना वयाच्वंगु दुसा थ्व फिल्म स्वयेबलय् थुकिया निम्ह हिरोनीत रेखा थापा व अरुणिमा लम्सालं पतिहाकःगु वसः पुना थःथगु म्हया थीथी ब्व ब्वयाच्वंगु खनेदइ । थ्व फिल्म म्हिताः निखिल उप्रेतीया बच्छि ईज्जत लुटे जुल धईगु चर्चा जूगु खः । उलि जक मखसें निखिलया थः तिरी मय्जुलिसे नं ल्वापु तकं जुल धइगु न्यनेदु । निखिल उप्रेती थःम्हेसिनं हे धाःकथं 'धड्कन'य् ग्ल्यामर सिनय् म्हिताः बच्छि ईज्जत वनसा 'अभिमन्यू' फिल्मय् अज्याःगु लुइ अरुणिमा लम्साललिसे ज्या याना पुरा हे ईज्जत वंगु थें जुयाच्वंगु दु हं । अझ 'धडकन'या इलय् तिरिमय्जुलिसे जूगु ल्वापु 'अभिमन्यू'तक थ्यंबले पारपाचुकेतक थ्यनीगु जुल धकाः ख्याः याना च्वंम्ह एक्शन स्टार निखिल उप्रेतीया थ्व न्हूगु फिल्मय् अरुणिमा लम्साल, पूजा प्रधान व जेनी कुँवरलिसे ग्ल्यामरं जाःगु लु दुथ्याना च्वंगु दु । जेनी कुँवर थ्व सिबें न्हापा 'बज्रपात'य् नं अज्याःगु हे लु बिइ धुंकूगुदु । फिल्मयात माःसा माक्व अङ्ग ब्वयेत तयार धकाः धया जूम्ह जेनी कुँवरयात अभिनय प्रतिभाय् क्वह्यंम्ह  जूगुलिं थज्याःगु ज्या याना जूसां थःगु अस्तित्व ल्यंकेगु कुतः यानाच्वंम्ह धकाः धाइ । नेपाली फिल्मय् थज्याःपिं हिरोनीत दुहां वसांनिसें हिरोनीतसे फिइगु वसःत म्हो जुयावंगु दु अले चीपा जुयावंगु दु । रेखा थापाया आगमनं हिरोनीतय्त ग्ल्यामरं जायेकेगु त्वह चिना चीपाःगु वसः पुंकेगु चलन अप्वया वःगु खः । आः ला रेखा थापां गुगु फिल्मय् गुलि अप्वः वसः पूंगु दु धकाः हे धाये थाकुइ धुंकल । छगू इलय् गौरी मल्लं क्वब्वालखय् झरनाय् म्वःल्हूगु लु तयातःगु हुनिं 'लोभी पापी' नांयागु फिल्म तसकं विवादास्पद नं जूगु खः । 'कस्तुरी' फिल्मय् चुप्पा व 'कसमू' फिल्म खुसि सिथय् बीना बुढाथोकीं लखं प्याःगु वसः पुनाः अभिनय याःबलय् नं उत्तिकं हे विवाद ब्वलंगु खः । वीना बुढाथोकीं ला निर्देशक दीपक रायमाझीं थःयात मसीक झङ्गः लाना अज्याःगु लु दुथ्याकूगु धका द्वपं बिलसा 'महामाया' फिल्मय् नं थःत झंगः लाना चुप्पाया लु तःगु धकाः करिश्मा मानन्धरं द्वपं ब्यूगु खः । न्हापा न्हापा जूसाः थथे अङ्ग ब्वयेगु व ग्ल्यामर ब्वयेगु ज्यापाखें हिरोनीत बचे जुइत कुतः याइगु खःसा आः वयाः अथे मजुइ धुंकल । थ्व पलाः न्ह्याः वनाः सायद छुं ई लिपा थन नं मल्लिका शेरावत थेंज्याःपिं हिरोइनत जकं पिहां वइगु खःला धकाः धुकुमां यायेथाय् यक्व हे दु । धात्थें धायेगु खःसा निर्देशक दीपक रायमाझीयात फिल्मय् ग्ल्यामरयात अप्वः थाय् बिइगुलिइ न्ह्यलुवाः धका धायेमाः । वय्कलं 'कसम'या खँ च्वये हे न्ह्यथने सिधलसा 'अंगालोमा' य् मीरा केसी व 'यो मायाले लौन सतायो' व 'पराई घरू' य् जल शाहयात नं ग्ल्यामरं जाःगु लु क्यनेगु त्वह चिना म्ह ब्वयेके ब्यूगु खः । मीरा के।सी।यात ला मछाः मजूम्ह मिसाया द्वप लानाः मेपिन्सं सुनां ज्या हे मबिल तर जल शाह मय्जुं धाःसा थःगु ईमेजयात ग्ल्यामस्र ईमेज धकाः धयाः थुखेपाखे पलाः क्वातुकेत ताःलात । फिल्मय् ग्ल्यामरं जायेकेत म्ह ब्वयेम्वाः धइगु खँया दसु कथं निरुता सिंह मय्जुं थःगु न्हाय् धस्वाका मेमिन्त हाथ्या बियाक्यंगु खँ थन लुमंके बहः जू ।",https://www.nepalmandal.com/content/458.html
बाइ बाइ मल्लिका ,"Posted on Tue Dec 23, 2008  3:14 am NST",अन्ततः मल्लिका सेरावतयात 'क्याब्रेट' फिल्मं बाइ बाइ याःगु दु । थुकिया कारण मेगु छुं मजुसें मल्लिकाया थःगु हे हाइ डिमाण्ड खः । छुं महिना न्ह्यः पूजा भाटया फिल्म 'क्याब्रेट' म्हितेगु क्वःछ्यूम्ह मल्लिकां थुगु फिल्मया ज्या २००९ या पूर्वाद्धनिसें न्ह्याकेगु धकाः धया वयाच्वंगु खः । थुकिया लागि पूजा भाटं नं माःगु तयारी यानाच्वंगु खः । थ्व हे सिलसिलाय् खँ ल्हायेत मल्लिकायाथाय् वंम्ह पूजा तसकं अजू चाल जव मल्लिकां उगु फिल्मया लागि न्हापा खँ जूगु स्वयां तसकं अप्वः धेबाया डिमाण्ड यात । थ्व खनाः तंचाःम्ह पूजां मल्लिकायात थुगु फिल्मय् मकायेगु घोषणा याःगु दु । अझ थथे नं धयाजूगु दु कि - 'मल्लिका ला वं डिमाण्ड याःगु धेबाया बच्छि धेबा बिइत तक नं लाय्क मजू ।' मल्लिकायात बाइबाइ यायेधुंकाः आः पूजा भाट मेपिं हे हिरोइन मालेत व्यस्त जुयाच्वंगु दु ।,https://www.nepalmandal.com/content/463.html
आकाशा जुल थुगुसीया मीस नेवाः ,"Posted on Wed Dec 31, 2008  11:15 am NST",आकाशा बज्राचार्य थुगुसीया मीस नेवाः जुइत ताःलाःगु दु । मंगलबार सनिलय् प्रज्ञाभवनया हलय् ग्वसाःग्वःगु मीस नेवाः धें धें बल्ला कासाय् मेल्पं ३३ प्रतिस्पर्धील्पंत ल्यूने लाकाः वय्कलं थ्व उपाधि त्याकादीगु खः । धें धें बल्ला कासाय् श्रीजना महर्जन फस्ट रनर अप अले श्रीजा श्रेष्ठ सेकेन्ड रनर अप जूगु खः । अथेहे मेगु सिरपाः त्याकादीपं छिसंकथं थुकथं दु । युएफओ मीस ट्यालेन्ट - सानुमैंया महर्जन मीस बेस्ट ड्रेस - रोजिता शाक्य मीस बेस्ट प्रेम्ण्डशीप - मनिशा श्रेष्ठ मीस बेस्ट हेयर - निलिमा रंजित मीस बेस्टीन - कृपा महर्जन मीस फोटोजेनिक - सुशीला श्रेष्ठ मीस बेस्ट नेपालभाषा - कृपा महर्जन मीस डिसीप्लीन - कृपा श्रेष्ठ मीस बेस्टाइल - शर्मीला महर्जन मीस पस्रनालिटी - प्रेस्का उदास मीस चार्मिंग - मनिषा महर्जन ग्वसाः खलः नेप्लीज फेशन होमं दँय्दसं मीस नेवाः ज्याझ्वः याना वयाच्वंगु खःसा थुगुसीया थुगु ज्याझ्वः प्यक्वःखुसी खः ।,https://www.nepalmandal.com/content/540.html
श्रीराम जुल इण्डियन आइडल-५ ,"Posted on Mon Aug 16, 2010  12:18 am NST","भारतया टिभि च्यानल सोनीं ताःइलं निसें न्ह्याकाच्वंगु इण्डियन आइडलया न्याक्वःगु ब्व क्वचाःगु दु । इण्डियन आइडल-५ जुइत ताःलाःगु दु श्रीराम चन्द्र । बिजंकासाय् श्रीराम, भूमि व राकेश स्वम्हेसिया दथुइगु धेंधें बल्ला जूगु खः । थौं १५ अगष्ट खुन्हु भारतया स्वतन्त्रता दिवसया लसताय् तुं लाःगु थुगु बिजंकासाय् इण्डियन आइडल-५ घोषणा यायेत लोकंह्वाःम्ह कलाकार अभिताभ बच्चन झाःगु खः । इण्डियन आइडल-५ या उपाधि नापंनापं श्रीरामं एस.राज. फिल्मया ब्यानरय् दयेकीगु संकिपाय् 'प्ले ब्याक सिंगर' जुइ दइगु जूगु दु । अथेहे गाडि, मोटरसाइल लिसें आपालं सिरपा नं त्याकूगु दु । थ्व स्वया न्ह्यः टप फाइभ दुने रेडियो मिर्चिइ आर.जे.जुइगु ह्वःता चाहिं भूमि त्रिवेदीं त्याकादीगु खः ।",https://www.nepalmandal.com/content/9359.html
संजीप प्रधानया न्हूगु नेपालभाषा म्येचाः पिदनीगु ,"Posted on Thu Aug 19, 2010  2:15 am NST","ताः ईलिपा नांजाःम्ह गायक संजीप प्रधान नेपालभाषाया न्हूगु म्येचाः ज्वना वइगु जूगु दु । थौंकन्हय् सं.रा. अमेरिकाय् च्वनादीम्ह वय्कलं न्हूगु म्येचाःया लागि सकतां ज्या अनं हे याना च्वनादीगु दु । नेवाः अर्गनाइजेसन अफ अमेरिकाया प्रश्तुति कथं वइगु मोहनि स्वन्ति जःखः पिदनेत्यंगु थुगु म्येचाः नेपाःया अन्नपूर्ण क्यासेट सेन्टरपाखें प्रोडक्शन जुइगु जूगु दु । न्हापान्हापाया म्येचाकय् थें थुकिइ नं रचना, संगीत व सः दक्वं वय्कया हे जुइ । तँसा कथं सरिश्मा अमात्यया छपु म्ये नं थुकिइ दुथ्याइ । थ्व सकतां म्यॆ एरेन्ज यायेगु ज्या राजु लामा व समीर मानन्धरपाखें जुयाच्वंगु दु । 'थुगु म्येचाकय् झिपु म्ये दुथ्याइ । थुकिइ मतिनाया म्ये, ख्यालि पहःया म्ये, न्हूगु पहःया म्येलिसें छपु निपु पुलांगु परिवेशया म्ये नं दइ' - लिसेया खँल्हाबल्हाय् वय्कलं धयादिल । न्यादँ खुदँया दिपाः लिपा पिदनेत्यंगु वय्कःया थुगु न्हूगु नेपालभाषा म्येचाः दुने थीथी कथंया सवाः दुथ्याइगुलिं श्रोतातय्सं थुकियात ययेकी धकाः वय्कः तसकं आशावादी जूगु खँ नं वय्कलं न्ह्यथनादिल । 'अले म्येचाःया नां?', वय्कलं धयादिल - 'छगू देय्या लाय्कू' । थुगु लाय्कू गुगुं छगू निश्चित थाय्यात इंगित यानातःगु मखुसें काल्पनिक लाय्कू खः, गुकिया पृष्ठभूमिया म्ये नं म्येचाः दुने दुथ्याइ । थीथी परिवेशया म्येया लेखन विविधता नं श्रोतापिन्सं ययेकीगु वय्कलं भलसा कयादीगु दु ।",https://www.nepalmandal.com/content/9403.html
हाकनं जुइन मिस नेवाः ,"Posted on Sun Nov 22, 2009  1:08 pm NST","मिस नेवाः २००९ या निंतिं शनिवाः ल्यज्या ज्याझ्वः जुल । नेप्लीज फेसन होमं वंगु न्यादँ निसें मदिक्क ग्वसाःग्वयावयाच्वंगु मिस नेवाः ज्याझ्वया थुगु दँय् न्यय्छम्हेसिनं ब्वति कायेगु निंतिं नां दुतिंगु खः । गुकिमध्ये भाइराजा तुलाधर, कार्टुनिस्ट रविन साय्मि, के एम रञ्जितकार, सचिन श्रेष्ठ, प्रेमहिरा तुलाधर व डा. शिक्षिता श्रेष्ठया निर्णायक मण्डलं मुक्कं स्वीखुम्हेसित जक ल्यःगु खः । नेवाः समुदायया भाषा कला तजिलजिया संरक्षण व संवद्र्धन यायेगु नापं प्रचार प्रसार यायेगु तातुनां मिस नेवाः ज्याझ्वः जुयाच्वंगु खः । ज्याझ्वलय् मंसिर १० गते निसें मल्ल होटलय् जुइगु प्रशिक्षणय् रोजिन शाक्य कोरियोग्राफर, राजु नापित भाषा प्रशिक्षक, रोहिया महर्जन हुलाप्याखं कोरियोग्राफर कथं च्वनादीगु जानकारी ब्यूगु दु ।",https://www.nepalmandal.com/content/5087.html
सुरु जुल थुगु दँया मिस नेवाः २००९ ,"Posted on Mon Dec 21, 2009  1:29 pm NST","नेवाः समाजय् ब्वलंपिं थौंकन्हय्या पिढीपिन्सं थःगु भाषा, लिपि, कला, तजिलजि, संस्कार, परम्परा बुलुहुँ ल्वमंका च्वंगु अवस्थाय् दु । अथेजूगुलिं नेवाःतय्गु भाषा, लिपि, कला, तजिलजि, संस्कार, परम्परायात म्वाकातयेगु खःसा नेवाः समाजय् च्वंपिं नेवाः मय्जुपिन्त हे न्ह्यःने हयाः इमित थुकिया बारे ज्ञान बियाः सचेत यायेमा धैगु तायेकल । छाय् धाःसा मिस्त सचेत जुलधाःसा छेँया सकलें सचेत जुइ धैगु झीगु समाजय् ब्यास्त जुयाच्वंगु धापू खः । अथेजूगुलिं हे नेप्लीज फेशन होमं मिस नेवाः व मिस लिटिल नेवाः थें जाःगु ज्याझ्वःया ग्वसाःग्वल । थुगु ज्याझ्वःपाखें ग्वसाःखलकं नेवाः समाजय् च्वंपिं मय्जुपिन्त थःगु प्रतिभा न्ह्यब्वयेगु छगू दबूया नापं नेवाःतय्गु भाषा, लिपि, कला, तजिलजि, संस्कार, परम्परा थुइकाबिइगु बिचाः यात । थ्वहे बिचाःयात ज्याख्यलय् हल मिस नेवाः व मिस लिटिल नेवाः ज्याझ्वःया नामं वंगु न्यादँ न्ह्यः सन् २००५ सालं निसें । गुगु ज्याझ्वः थौं तक मदिक्क न्ह्यानाच्वंगु दु दच्छि छक्वः । थुकियाहे दसु खः थुगु दँय् न्ह्यानाच्वंगु मिस नेवाः २००९ । वंगु मंसिर  ६ गते थुगु दँया मिस नेवाः २००९ ज्याझ्वःया निंतिं मल्ल होटलय् ल्यज्या जुल । गुगु ल्यज्यां स्वीखुम्ह नेवाः समाजया झिंखुदँ निसें नीनिदँ तकया मयजुपिन्त ल्ययेगु ज्या जुल । वयां लिपा मंसिर १५ गते निसें इमिगु निंतिं प्रशिक्षण ज्याझ्वः मल्ल होटलय् न्ह्यात । प्रशिक्षण ज्याझ्वलय् नेवाःतय्गु भाषा लिपि, कला, तजिलजि, संस्कार, परम्परा व नेवाःत नाप स्वापू दुगु खँ व ज्याझ्वःया निंतिं आवश्यक मेमेगु खँ स्यनेगु ज्या प्रशिक्षक राजु नापित पाखें जुयाच्वंगु दु । अथेहे रोजिन शाक्यं इमित दबली गुकथं क्वकाय्गु धकाः स्यनाः कोरियोग्राफि यानाच्वनादीगु दुसा डान्स कोरियोग्राफर रोहिया महर्जनं इपिं मय्जुपिन्त हुलाप्याखँ स्यनाच्वनादीगु दु । थ्वहे ज्याझ्वःया दथुइ स्वीखुम्ह मय्जुपिनिगु फोटोसेसन मनकामना चाःहिलेगु ज्याझ्वः, वसः सुइगु ज्याझ्वः, समाः यायेगु ज्याझ्वः नापं थीथी बिषयसं प्रशिक्षण तकं न्ह्यानाच्वंगु दु । आः वइगु पौष १० गते शुक्रवाः हिमालय होटलय् इमिगु प्रतिभा क्यनेगु निंतिं ट्यालेन्ट सो जुइत्यंगु दु । थुगु ज्याझ्वः पाखें उत्कृष्ट प्रतिभा न्ह्यब्वःम्हेसित मिस ट्यालेन्टया ताजं छाय्पिइ । वयां लिपा पौष ११ गते सनिवाः फाइनल कासाया निंतिं सु गुलि त तयार जुल धैगु सीकेत प्रिजजमेण्ट ज्याझ्वः जुइ । गुकिइ निर्णायकतय्सं ब्वति काःपिं मय्जुपिन्त इमिगु प्रशिक्षणया अवधि ब्यूगु शिक्षा नापं इमिगु अनुशासन भाषा आत्मविश्वास नापंया खँ स्वयेगु ज्या जुइ । दकले न्ह्याइपुइगु व परिक्षाया लिच्वः वइगु दिं खः पौष १५ । पौष १५ गते बुधवाः नेपाल प्रज्ञा प्रतिष्ठानया हलय् जुइ मिस नेवाः २००९या फाइनल कासा । गुकिइ मुक्कं झिंप्यंगू टाइटलया निंतिं स्वीखुम्ह नेवाः मय्जुपिन्सं धेंधेंबल्ला याइ । मिस नेवाः फष्ट रनरअप, सेकेण्ड रनरअप व मिस ट्यालेन्ट यानाः मुक्कं प्यम्हेसित वहःया ताज व झिम्हेसित सवटाइटल । आः सुना सुना त्याकीले थुगु दँया मिस नेवाः २००९ या ताज अथे थीथी सवटाइटल व धाःसा स्वय् ल्यं हे दनि ।",https://www.nepalmandal.com/content/5618.html
बिपाशा हानं देहव्यापारी ,"Posted on Thu Jun 18, 2009  10:06 am NST","थःगु लिपांगु संकिपा 'पंख'य् बिपाशा बसुया देहव्यापारीया भूमिकां प्रभावित जूम्ह निर्देशक सुदीप्तो चटोपाध्यायं बिपाशायात हानं देहव्यापारी दयेकीगु जूगु दु । थुम्ह निर्देशकं बिपाशायात कयाः देहव्यापारलिसे सम्वन्धित मेगु संकिपा दयेकेत ब्वाँय् जुयाच्वंगु दु । थःगु न्हूगु संकिपाया लागि निर्देशक चटोपाध्यायं रेडलाइट एरियाया विशेष अध्ययन यानाच्वंगु सी दुगु दु । बिपाशा नं न्हूगु संकिपाया लागि उत्सुक जूगु दु । बिपाशां धयाजूगु दु कि - 'निर्देशक सुदीप्तोलिसे जिगु विशेश लगाव दु, जिपिं निम्हं पश्चिम बंगालयापिं खः ।' पंख संकिपा सुटिंगया झ्वलय् निर्देशकं कयौ पटक बिपाशायात थःगु छेँय् बंगाली नसा दयेकाः बिपाशायात यंकीगु खँ बलिउडय् 'हट टपिक' जूगु खः, छुं ई न्ह्यः ।",https://www.nepalmandal.com/content/2157.html
बांलाः मय्जु वइगु ,"Posted on Fri Jun 19, 2009  11:24 pm NST","नेपालभाषाय् छगू न्हूगु संकिपा बांलाः मय्जु वइगु जूगु दु । थौं सुथय् छगू ज्याभुवःया दथुइ दक्षिणकाली मुभिज प्रा। लि।या न्हापांगु नेपालभाषाया संकिपा 'बांलाः मय्जु'या शुभमुहुर्त जुल । इमेज च्यानलया प्रबन्धक रघुवीर भक्त मानन्धरजुं क्लाय्प बियादीगु उगु ज्याभुवलय् विजयरत्न असंबरेंजुं नैक्या तछ्याःगु खःसा नेवाः जागरण माचया नायः सुजीव वज्राचार्यं क्यामेरा अन यानादीगु खः । थुगु संकिपाया निर्माता रामकृष्ण धिनाया सभापतित्वय् जूगु उगु ज्याभुवलय् मूपांहा रघुवीर भक्त मानन्धरजुं थज्याःगु ज्यां नेपालभाषाया भाषा संस्कृति ल्यंकेगु ज्याय् तिबः बीगुलिं थुकियात हःपाः बीमाःगु खँ धयादील । ज्याझ्वलय् म्ये हालामि भृगुराम श्रेष्ठ, सभासद दीलिप महर्जन, कलाकार रवीन्द्र खड्का नापं सिलु संकिपाया निर्माता प्रेम बानियाया काय् पद्म बानियापिं पाहां कथं झायादीगु खःसा ज्याझ्वलय् संकिपास म्हितीपिं कलाकारतय्गु नं म्हसीका ब्यूगु खः । थुगु संकिपाय् जय श्रेष्ठ, मेलिना मानन्धर, भिन्तुना जोशी, सरस्वति मानन्धर, हृदय प्रसाद मिश्र, सविन शाक्य, गौतम रत्न तुलाधर, रुपेन श्रेष्ठ आदि कलाकारतय्गु अभिनय स्वय् दइगु जूगु दु । लय् चिनामि गोविन्द ह्यूमतं थुगु संकिपाय् लय् चिनादीगु दुसा पवन जोशी व शैलेश शाक्यया च्वसां पिज्वःगु म्येय् रीमा गुरुङ, प्रवेशमान शाक्य, राजेन्द्र महर्जन, संगीता शा,क्य आर.बी. संगम, सतिश महर्जन, रीता महर्जन आदि कलाकारतय्सं सः बियादीगु दु । संकिपाया निर्देशन पवन जोशी, छायांकन श्याम रायमाझी, समाः सनम कुमार श्रेष्ठं यानादीगु जूगु दु ।",https://www.nepalmandal.com/content/2190.html
किम कार्डेशियनं यात मेगु इहिपा ,"Posted on Sun Aug 21, 2011  12:20 pm NST","रियाल्टि टिभी शो स्टार, मोडल व नायिका किम कार्डेशियनं थौं सान्टा बारबरा, क्यालिफोर्नियाय् निक्वःगु खुसिइ ब्याहा याःगु दु । दच्छि न्ह्यःनिसें वं डेटिङ याना जूम्ह मिजं क्रिश हम्फ्रिजलिसे कार्डेशियनं इहिपा याःगु खः । ३० दँया किम कार्डेशियनं सन् २००० निसें २००४ तक संगीत निर्माता ड्यामन थोमसलिसे वैवाहिक जीवन हने धुंका थौं निक्वःगु खुसिइ इहिपा जूगु खः । वया न्हूम्ह भाःत हम्फ्रिज २६ दँ याम्ह खःसा हम्फ्रिजया थ्व न्हापांगु इहिपा खः । इमिगु थुगु इहिपा ""E!"" टिभीपाखें अक्टोवरय् निगू भाग याना क्यनीगु धाःगु दु ।",https://www.nepalmandal.com/content/15695.html
