headline,date,final_news,url
माघ ३ गते अय् नेवाः सतकय् कुहां वा ,"Posted on Mon Jan 12, 2009  3:40 pm NST","- थ्व स्वनिगः नेवाःतय्गु बाहुल्य दुगु उर्वरभूमि खः । थनया रितिथिति नखःचखः जात्रा पात्रा आदि जक मखु, कला संस्कृति इत्यादी नापं नेवाःतय्गु थःगु हे मौलिक विशिष्ठता दु । गुंपुन्हिया सायाः, यँयाःया कुमारी जात्रा, जनबहाद्यःया जात्रा, देवी प्याखं, कात्ति प्याखं, महाकाली प्याखं, म्हुपुजा, किजापुजाया लिसें बसन्त म्ये, सिनाज्या म्ये, होली म्ये, धातु म्येया नापनापं आपालं धार्मिक, सांस्कृतिक महत्वतय्सं नेवाःतय्गु प्रतिनिधित्व यानाच्वंगु दु । अले थःगु सांस्कृतिक एवं भाषिक मौलिकताया सम्बद्र्धन संरक्षणया निंतिं थनया नेवाःतय्सं लाः मलाः दु मदु मगाः-मचाः फुमफु धइगु नापं चिउताः   मतसें थ्वयात सदां म्वाकातयेगु कुतलय् थौं तकं थःत समर्पित यानाच्वंगु नं दु । छघौ छचा छन्हु छवाः छला छदँ जुजुं आपालं दँया क्यालेण्डर नं हिला वनेधुंकल धाःसा थ्वहे समयया अन्तरालय् नेवाःतय्गु आपालं ख्यलय् थ्व हे भूमिं गैर नेवाःतय्गु सांघातिक आक्रमणत नं सह याये हे माल । थुगुसीया कुमारी जात्राय् यायेत्यंगु परम्परागत बली प्रथा कटौती थुकिया मू दसु खः । नेपाःया उन्नती ‌प्रगतिया निंतिं ०७ सालया आन्दोलन जुइमा ०४६ सालया आन्दोलन जुइमा वा ०६२ सालया जनआन्दोलन हे छाय् मजुइमा फुकलिसं निरन्तर नक्सां छत्तिं हे उसि मचाःसें नेवाःत उलि हे उमंग उत्साह व जोश जांगर कथं न्ह्यज्याना हे च्वंगु दु । अय्नं आपालं नेवाःतय्गु हिं प्याःगु थ्व धरतीइ नेवाः उत्थानया नस्वाःगु स्वाँ नं ह्वयेमाःगु हे खः तर अथे जुइ मफु । थुकियात नेवाःतय्गु दुर्भाग्य वा विडम्बना बाहेकं मेगु छु धायेगु ? वास्तवय् थौंया गणतन्त्रय् नं नेवाःतय्गु उलि हे होस्ते हैंसे दु अमूल्य योगदान दु । आपालं नेवाःतय्गु ज्यानया बलीदान दु वीर सपूततय्गु प्राणया आहुतिया उपज खः थौंया गणतन्त्र । अय्नं थःगु मातृभूमिया निंतिं निस्वार्थ व इमान्दार जुयाः न्ह्यज्यानाच्वंपिं नेवाःत मोटरया लिउने च्वंगु घःचाः थें जक जूवंगु दु । गुकी न्ह्यःनेया घःचालय् बे्रक ज्वन कि लिउनेया घःचाः अथें च्वाक्क दीत बाध्य जुइ । अर्थात् थौंतक नं राजनैतिक लँपुइ नेवाःत सदां हे लिउने हे तिनि सत्ताया बागडोर ज्वनाः न्ह्यज्यायेगुली 'फस्ट' लाके मफुनि । गुकिं यानाः न्ह्याक्व हे तनमन हे योगदान बियाः न्ह्यज्याःसां अन्त्यय् सदां 'हात लागे सुन्य' जुयाः सदां द्याकाः च्वनेमाःगु इतिहासत नं झीके गाक्कं दु । तर आः ई पाये धुंकल सकल नेवाःतय्सं न्ह्यलं चायेकेमाःगु ई जुइ धुंकल । क्वथाय् च्वनाः टिभि स्वयेगु व याउँक च्वनाः मकः पनाः म्ह क्वाकेगु ई मखये धुंकल आःला सतक हे क्वाके हथाय् जुइ धुंकल । न्हापा थें मेपिंत दोषारोपण यानाः व मेपिंसं थ्व याना मबिउ व याना मबिउ धकाः लिलाक्क फल्चाय् च्वनाः गफ मुइका च्वनेगु ई नं मखये धुंकल । आःला झीगु ज्या झीसं हे पूवंकेमाः, मेपिंसं झीगु ज्या पूवंका बीधकाः धुक्क जुयाच्वनेगु तःधंगु मूर्खता बाहेकं मेगु छुं जुइ मखु धइगु थुइका झी स्वय्म थः हे न्ह्यज्यायेमाःगु दु । थौं हाकनं छक्वः झीगु न्ह्यःने थःगु हकअधिकार कायेगु अवसर वःगु दु । तर अवसर व मौकां स्वइतं पियाच्वनी नं मखु । थुगु इलय् नं झीसं जि अफिस वनेमाः पसः चायेकेमाः बुँइ वनेमाः थ्व यायेमाः व यायेमाः धकाः च्वनी धाःसा मेपिं मखु झी थःहे बांमलाक्क द्याकाः च्वने माली । छाय्धाःसा नेवाः स्वायत्त शासनया माग यासें स्वायत्त राज्य मुंकाः संघर्ष समितिं थःगु अवधारणा पौ सरकारयात लःल्हाये धुंकूगु दु । नेवाः अस्तित्व म्वाकेया निंतिं थ्व छगू तच्वकं तःधंगु व महत्वपूर्णगु आन्दोलनया पलाः खः । गुगुं नं आन्दोलनया शक्ति प्रदर्शनं सफलताया अचुक ब्रम्हास्त्रया ज्या याइ । गुकिं यानाः जक आन्दोलनया कदर सम्भव जुइ । मखुसा गबलें गबलें ततःधंगु आन्दोलनत नापं लँय् वांछ्वयातःगु निगतिगु बाकूचाथें जक नं जुया बी यः । थ्व खँयात थौं झीसं बांलाक चिन्तन मनन यानाः गम्भीर नक्सां हे थुइकेमाःगु दु । थुइकाः न्ह्यज्याये हे नं माःगु दु । वतमान परिस्थितिं जि नेवाः खः धकाः म्हुतुं जक धयां मगाः धइगु स्पष्ट क्यनाच्वंगु दु । फल्नां मयाः धिस्कानां मयाः धकाः तिवां तिवां हालां जक झीगु म्हगस साकार जुइ फइ मखु । अले अधिकार स्वइगुं दया माया व फ्वनाः मखु ल्वानाः कायेमाः धइगु थुइकाः आः तुरुन्त हे झीसं संघर्षया निंतिं पलाः न्ह्याके हे माः । प्रत्येक नेवाःतय्सं जिं थःगु मातृभूमिया निंतिं छु यानागु दु धकाः थम्हं थःके हे न्ह्यसः न्यनेमाः । अले आः तक थम्हं छुं याये मफुनिगु जूसा आविलंसां जिं थःगु मांभाय्या निंतिं बांलाःगु ज्या अवश्य याये धकाः प्रण यानाः थःगु कर्तव्य पूवंकेगु कुतः झी सकस्यां याये हे माः । न्ह्यःने वयाच्वंगु माघ ३ गते झीगु निंतिं तच्वकं महत्वपूर्णगु व झीगु शक्ति प्रदर्शनया ऐतिहासिक न्हि खः । थ्व कुन्हु नं झी सकलें छथासं मुनाः छवाः जुयाः क्यने मफुत धाःसा नेवाः अस्तित्व व पहिचानय् ग्रहणं मज्वनी धकाः धायेत सुं मछालेम्वाः । उकिं थ्व न्हियात उत्सवया न्हि भाःपाः सकलें नेवाःतय्सं थ्व छन्हु जिगु मातृभूमिया उत्थानया नि‌तिं धकाः थःत फ्यायेमाः । फुकं ज्याखँत त्वःताः सकतय् कुहां वयाः एकिकृत जुइमाः । थःगु हक अधिकारया निंतिं गांया कुंकुनं निसें दना वयेमाः त्वाः त्वालं दनावयेमाः छेँखा-छेँखा पतिकं दनावयेमाः । छम्ह नेवालं मेम्ह नेवाःयात दँदँ जुरुजारुं दँ छधी छप्पँ जुयाः न्ह्याज्यायेनु धइगु शंखघोष यानाः न्ह्यज्याये फःसा छम्ह स्वाभिमान नेपालं थःगु मू दायित्व पूवंकूगु जक मजुसें मातृभूमिया निंतिं तःधंगु हे तिबः बिउगु साबित जूवनी । मखुसा नेवाः अस्तित्वया निंतिं मात्र छन्हु ई हे पाये मफुम्ह नेवालं थःत नेवाः धकाः छु न्हासं गर्व यायेगु  उकिं झी सकस्यां छप्वाः म्हुतुं धाये अय् नेवाः सतकय् कुहां वा !",http://www.nepalmandal.com/content/655.html
जलश्रोतया धनी धाधां देय् बर्बाद यात ,"Posted on Sun Jan 11, 2009  7:48 pm NST","- नेपाःया नेता व कर्मचारी नोकरशाहीतय्के भचा हे लाज शरम व नैतिकता धयागु खने मदयेधुंकल । विद्युत मन्त्रीं विद्युतया संकटकाल घोषणा यानाः विश्वया न्ह्यःने नेपाःयात मध्ययुगिन अवस्थाय् यंकेत्यनागु दु धइगु संकेत बीधुंकूगु दु धाःसा सचिव शंकर प्रसादं १२ घण्टां आः याकनं हे १६ घण्टा लोडसेडिङ जुइत्यंगु दु धइगु सुसमाचार बियाः देय्यात अन्धकारया अवस्थाय् लाकेत्यनागु खँ स्वीकार यात । अझला फागुण महिनाय् १८ घण्टा तक नं लोडसेडिङ जुइफु धकाः धर्म त्वःताः जनतायात धाल । प्राधिकरण भार संप्रेषण केन्द्र एलडीसी या प्रमुख शेर सिंह भाट नं धाल '१० लाख युनिट बराबरया बिजुली उत्पादन यायेगु क्षमता कमी जूगुलिं लोडसेडिङ यायेत बाध्य जूगु खः ।' नेपालय् आः विद्युतया माग १ करोड ८ लाख युनिट दुसा उकी ७० लाख युनिट जक बिद्युत उत्पादन जुयाच्वंगु खँ नं वय्कलं कनादिल । वय्कल हानं धाल 'खुसिइ लःया सतह कम जुयावंगु कारणं थ्व समस्या वःगु खः ।' थ्व खँ पाखें सीदु कि थनया नेता व नोकरशाहीत नकचरा एवं जिम्मेवारबिहीन बेकारीतय् जमात जक खः । थ्वया अर्थ छु धाःसां देय्या लाखैं लाख भत्ता सुविधा तलब ला थुमिसं केवल ल्हाः प्वःचिनाः निभाः पानाः जक नयाच्वंगु लानाच्वन । नेता व नोकरशाहीतसें नं मसिउगु खइ मखु अरब लागाया लःया समस्या दुगु देशय् २४ घण्टा विद्युतया सप्लाई जुयाच्वंगु दु । देय्न्यंकं झिलीमिली जुइक मतया व्यवस्था जुयाच्वंगु खँ उमिसं मसिउगु मखु । नेतातय्सं आः नं म्हुतुं धायेगु मत्वःतू नेपाः जलश्रोतया धनी देय् खः धकाः । ब्राजिल धुंकाः नेपाः हे खः । थन ८३ हजार मेगावाट विजुली पिकायेगु क्षमता दु धकाः नं उमिसं धयाच्वंगु दु । सामन्ती सोच दुपिं नेतातय्सं म्हुतुं छु धाइ वया नतिजा उकिया अःखः जुयाच्वनी । पाचायती नेतातय्सं नं 'हरियो बन नेपालको धन' धकाः धक्कु त्वःताः आखिर वन साफ यानाः त्वःता बिल । अथे धइगु नेपालको वन भारतको धन जुल । नेपाःया वनं भारतया उद्योग ब्यवसाययात यक्व तिबः बिल । आः नं भारतयात फुक्क लः व मतया अधिकार मबिउतले नेपाःयात जलश्रोतय् विश्वया नम्बर २ लय् लाःगु देश खः धकाः भाषण बीगु ज्या थुमिसं त्वःती ख्वाः मवः । झीसं थ्व खँ नं न्यना सन् १९११य् राणा शासनया इलय् ५०० किलोवाट विद्युत गृह फम्पिइ निर्माण यानाः मतया उत्पादन शुरु याःगु खः । व इलय् चीनं नं थःगु शिलोङ युनान धयागु थासय् जलविद्युत पावर हाउस निर्माण शुरु याःगु खः । थौं नेपाःया स्थिति झनझन स्यना वनाच्वंगु दुसा चीनय् अपार विद्युत उत्पादन यानाः विश्वय् धनी व शक्तिशाली राष्ट्र जुयाच्वंगु दु । चीन विश्वया नम्बर वान शक्तिशाली देश जूसा नेपाः विश्वया नम्बर वान कमजोर व गरीब राष्ट्रय् कुहां वनाच्वन । थ्वया कारण छु धायेबलय् चीनया नेतात सक्षम योग्य व देशभक्त खः । नेतातय्सं नं राष्ट्रया लागिं अति हे परिश्रम यानाच्वनसा झीथाय् नेतात लोभी लालची व विदेशी शक्ति धाथें च्यः राजनीति यानाच्वंगुलिं देय् स्यनावनाच्वंगु खः । यदि भिंपिं नेता खःसा दीर्घकालीन राष्ट्रि स्वार्थय् ध्यान तयाः योजना दयेकाः अति मेहेनती ढंगं ज्या यानाच्वनी । दसुया लागिं भारतय् छुं दँ लिपा चीनया जनसंख्या सिबें अप्वः दइगु अनुमान यानातःगु दु । जनसंख्या अति हे बुद्धि जुइगुलिं खाद्यान्न जक मखु लः व मतया माग नं अति हे बढे जुइगुलिं भविष्यया समस्या समाधानया लागिं खुसिइ जडान आयोजना सफल यायेगु लागिं युद्धस्तरं ज्या यानाच्वंगु दु । नदी जडानया योजना सफल जुलकि हालय् सिचाई जुयाच्वंगु ९ करोड हेक्टर बुँइ सिचाई सुबिधा जुयाच्वंगु निदुगं अप्वयाः १७ हजार करोड हेक्टर जमिनय् सिचाई जुइ अले अन्नया उत्पादन नं हरेक दँय् २० करोड टन जुइगु थासय् ५० करोड टन उत्पादन यायेगु लक्ष्य भारत याःगु दु । नदी जडान आयोजनाया लागिं नेपाःया कोशी, गण्डकी व महाकालीया लः भारतया गंगा क्वफायेगु गोदावरी, कृष्णा, कावेरीया लः कर्नाटक व तामिलनाडुया बुँइ तक थ्यनी । महाकालीया लः यमुना सावरमती खुसि जुयाः राजस्थान व गुजरात तक थ्यंकेगु योजना खः । यदि भारतया थ्व योजना सफल जुल कि नेपाःया तःधंगु बिपति वइगु सम्भावना दुसा भारतयात नेपाःया लः वरदान साबित जुइ । झीथाय्या नेतात खनाः विश्वया जनता तक छक्क जुयाच्वंगु दु । छाय् धाःसां गनं देशय् मजुइगु सम्झौता थन जुइगु जुयाच्वन । व खः नदीनालाया लः व मत भारतयात सितिं‌ बीगु अधिकार । अझ थुलि जक मखु विदेशी बैंकं त्यासा कयाः निर्माण जुइगु योजना तकं भारतयात बियाः हानं भारतयाके हे थिकेगु भावं मत न्यानाच्वनी । न्हापाया सरकारं ला कोशी गण्डकी व कर्णालीया लः व मतया अधिकार भारतयात बीधुंकूगु दु । आः या सरकारं नं भारतयात लय्तायेकेगु लागिं पाचेश्वर, माथिल्लो कर्णाली, चिसापानी परियोजना, नौमुरे बुढीगण्डकी फुक्कं भारतयात बीगु लागिं कसरत जुयाच्वंगु दु । पाचायती नेतातय्सं 'हरियो बन नेपालको धन' धाधां वन फुक्क ध्वस्त यानाः ुनेपालको वन भारतको धनु याः थें आःया नेतातय्सं नं जलश्रोतया धनी देय् नेपाः धाधां जलश्रोतया फुक्क अधिकार भारतयात बियाः नेपाःयात अन्धकारय् तयेगु जक मखु अर्थतन्त्र ध्वस्त यानाः जनतायात पीडा बियाच्वंगु खँ सकस्यां सिउ । सफल जनआन्दोलन-२ पाखें दैनिक आवश्यक बस्तु नयेगु त्वनेगुनिसें चिकं ग्याँस फुक्कं भारतया दयामायाया भरय् च्वनेत बाध्य जुइ मायेका बिल । आः हानं लः व मतया अधिकार नं बियाः जनतां त्वतेगु लः व छेँय् मत च्याकेत नं दिल्लीया फोन पियाच्वनेमाःगु अवस्था पिकायेत न्हूगु नेपाः धइगु भ्रमजाल दयेकाच्वंगु जकं मखु ला ?",http://www.nepalmandal.com/content/643.html
येँयाःया सांस्कृतिक जनआन्दोलन ,"Posted on Mon Oct 13, 2008  9:30 pm NST",दँय्दसं थें थुगुसी नं यँयाः इन्दजात्रा वन । तर थुगुसी न्हापान्हापाथें यँयाः जक मजुसे छगू बिस्कं जात्रा जुल । यँयाः यिसं थँसेंलि शुरु जुइगु खः वहे कथं शुरु जुल अले जुजु मदये धुंकूगुिलं न्हापांम्ह राष्ट्रपति डा। रामवरण यादवया उपस्थितिइ जात्रा न्ह्यात । जात्रा ताः नं लात । थुगुसी थीथी राजनैतिक पार्टीया भातृ संगठन क्लब लगायत नेवाः जागरण माच पाखें भोलेन्टियस्रया भूमिका म्हितूगु खः । यँलागा चौथी कुन्हु कुमारी द्यः किलागल सालेमाःगु व राष्ट्रपितं सिन्हः तिनाः जात्रा क्वचायेके माःगु खः । तर पुलुकिसि लाखे व सवभकुं बाजं बिजं मथासें विरोध प्वंकल । कुमारी द्यः सायके मबिउ । अले थ्व छु जूगु धइगु हुइना भुइना जूबलय् सीदत पुलुकिसि लाखे व सवःभकुयात बिया वयाच्वंगु बलि थुगुसी मबिउगु जुयाच्वन । वकुन्हु हे अर्थमन्त्री डा। बाबुराम भट्टाराई पाखें बजेट भाषण नं जुयाच्वंगु खः । थ्व खँ नेवाः जागरण सुरक्षा माचया पासािपंसं नेवाः एकता जिन्दावाद गुथि संस्थान खारेज याः झीगु संस्कृति बचे यायेनु धइगु नारा बियाः पुलुकिसि लाखे व सवःभकुयात सने मबिल । थ्व नारां सकल नेवाःतय्गु नुगलय् थाय् काल । अले सकस्यां थ्व हे नारा थ्वयेकल । द्यः साले मफुत । लिपा सनिलय् कुमारी छेँया चुकय् छुं छुं नेवाः बुद्धिजीवीत मुन । अन सभासदिपं नविन्द्रराज जोशी ध्यानगोविन्द्र रंजित डा। मंगलसिद्धि मानन्धर बुद्ध साय्मि लगायत कुमारी छेँया गौतम शाक्य पुलुकिसि नायः मोहनकृष्ण डंगोल व लाखेया मनू च्वना १० बुदँे माग पेश यायेगु खँ क्वःजित । पिने जनमानसं छुं माग तयेत्यंगु खः धकाः सीके चाहे जूगु खः तर अन स्वइतं छुं जानकारी मबिसे शुरुक्क वनाछ्वत । झीगु हे जग्गा जमिन हड्पे यानाः अक्षयकोष तयातःगु खः तर थत माःबलय् थःगु हे ध्यबा विगंयात वांछ्वयाः बी थें यानाः गुथि संस्थानं याना च्वंगुलिं थुकिया प्रतिक्रिया स्वरुप गुथि संस्थान विरुद्ध आन्दोलन यायेमाःगु बाध्यता खनेदत । तर थ्व आन्दोलन केवल झीगु संस्कृति ल्यंकेत जक मखु झी स्वयम् ल्यना च्वनेत व झीगु नेवाः स्वशासन कायेत खः । तर अफशोच अज्याःगु आन्दोलन जुयाच्वंन नं अन सुं हे नेवाः न्ह्यलुवाः खनेमंत । नेवाः नेतात ग्वः धकाः सकस्यां न्ह्यसः तल । थ्व हे आक्रोशय् छुं छुं पासापिंसं नेवाः नेतातय्त चुरा व सचिका चिकेगु धकाः ध्यबा हापं म्हयाः चुरा सचिका घाकेगु ज्या नं यात । अबलय् आन्दोलित नेवाः जनता मां-बौ मदुपिं मस्त थें उखेथुखें बाँय् जुयाच्वन । अथे हे मेगु निन्हु तक नं थथे हे थःथः गु्रप गु्रपय् खँल्हासें आन्दोलन चर्के यायेगु खँ जुल । अन्तय् स्वनिगः बन्द यायेगु खँ जुल । नेवाःत न्हापां निसें शोषित जुया च्वनेमाःगु व थीथी ख्यलं विस्थापित जुया च्वनेमाःगु दु । आः वयाः पृथ्वीनारायण शाहं तकं हटे याये मफुगु जात्रायात विस्थापित यायेत स्वःगु खनाः नेवाःत स्वस्फुर्त रुपं दनावःगु खः । थ्व सुं हे छुं हे राजनैतिक संगठन खलः पुचःया आह्वानय् मखुसें थः नेवाः जूगुया नातां थः पूर्खा तया थकूगु जात्रायात न्हंके त्यंगुलिं नेवाः जनता थःथःगु थासं दनावःगु खः । छम्ह निम्हेस्यां धाल नेवाःतय्गु आन्दोलनय् थ्व हे झीगु नेतृत्व कमजोरी जूगुलिं झीगु आन्दोलन पूमवंगु खः । ज्वना यंकूगु खँय् जनसेवाया इन्स्पेक्टर अनुपम शमसेर जवरा नाप भनाभन जुल । जुद्ध शालिक न्ह्यःने जुलुस वनाच्वनापिं पासापिंसं साथ बियाः छुं छुं पासापिंत त्वःतके फत । थ्वया दथुइ बसन्तपुर लागाय् सुथंनिसें स्वतन्त्र नेवाःत मुनेगु जुल । खँल्हाबल्हा जुइगु । नेवाः नेतात व पार्टीयािपं सुं हे आन्दोलनय् सकि्रया खनेमदु । छगू सन्ध्याकालिन पत्रिकां थ्व राजवादीतय्गु आन्दोलन खः धकाः बुखँ पितबिल । आक्रोसित जूपिं नेवाःतय्सं भोताहितिइ च्वंगु उगु न्हिपौया ज्याकुथी हे तोडफोड यानाबिल । अथे हे आन्दोलन शुरु जूगुया यक्व लिपा वःगु कान्तिपुर टीभीया मोटरय् आक्रमण यात । आन्दोलन क्वमचाःनि । बहनी एभिन्यूज टी।भी आन्दोलनरत मनूत व सरकार दथुइ वार्ता जुइन धइगु बुखँ वयेसातकि छु विषयय् वार्ता याये त्यगु धइगु तकं जानकारी मवयेक आन्दोलन दिकेत सम्झौता याइन धइगु तायेकाः छथ्वः आन्दोलित मनूतय्सं नेवाःतय्गु राष्ट्रिय संगठन नेवाः देय् दबूया ज्याकुथी वनाः मेचत कुर्का छ्वयेकेगु ज्या यात । थ्व च्विमं पासापिंत मछ्वयेकेत इनाप यानागु खः तर हुलया भिडं जितः हे मखुगु दृष्टिं स्वत । खय्त ला थ्व तसकं मजिउगु ज्या जूगु खः । हानं कन्हय् कुन्हु जनतां छुं खंकल धाःसां यःिसं चान्हय् साला यंकातये धुंकल । यःसिं साइतं क्वःथलेगु व साइतं थनेमाःगु खः । तर चान्हय् पुलिस पाः तयाः साला यंकल धकाः खँ पिदन । लिपा धमाधम नेवाःत प्यम्ह न्याम्ह मुन कि हे ज्वनेगु यानाहल ज्वंपिं त्वःतकीपिं मन्त । सुं हे संगठन खलः पुचलं आन्दोलनया जिम्मेवारी मकाल । थ्व पाय्छि खः छाय् धाःसा थ्व स्वस्फुर्त आन्दोलन खः । म्हाइपुगु खँ छु जुल धायेबलय् राष्ट्रपितं अन्तिम न्हि कुन्हु मवल । जनतां हे सिन्हः ती मखन । तर फाइदा नं जुल । १० बुँदे माग पूवंकेगु सरकार पाखें बचं बिल । अथे हे मेगु ५ बुँदे माग पूवंकेगु खँ जुल । आः थ्व माग पुवंकेमाः । अले जक झीगु आन्दोलनया सार्थकता दइ । आन्दोलन क्वचायेधुंकाः नेवाःतय्गु विजय कथं सद्भाव र् याली पिहां वःगु खः तर उकी धाःसा फुक्कं खलः पुचःत थःथःगु संस्थाया ध्वाँय् ज्वनाः पिहां वल । आन्दोलनय् अज्याःगु छपु हे ध्वाँय् पिहां मवः । बरु सद्भाव र् याली धाःगु ब्यानर छगू जक तयावःगु जूसा बांलाइगु खः । सदभाव सभाय् मोहनकृष्ण डंगोल पद्मरत्न तुलाधरिपंसं नेवाः एकतायात कयाः न्ववानादीगु खः । धाथें थ्व नेवाः एकता दुसा नेवाःतय्सं न्ह्याःगु नं यायेगु ।,http://www.nepalmandal.com/content/388.html
बाध्यतां हे नं सयेके माल नेपालभाषा ,"Posted on Mon May 18, 2009  10:01 am NST",जनकपुरया श्यामबहादुर श्रेष्ठयात नेवाः भाय् मसयेकूसा दछि दुने थःगु नेवाः सना गुथिं पितिनेगु क्वःछित । येँय् वयाः यलया खुमलटारय् स्थायी बसोवास यानाच्वंम्ह वय्कः अनया स्थानीय गुथियार खःसां फुक्कं फुक्कं नेपालभाषां खँ ल्हाइ तर वयात नेपालभाषा सयेके इच्छा दुसां छुं नं कथंया मौका चूमलाःगु कारणं अथें लानाच्वन । त्रिविवि नेपालभाषा केन्द्रीय विभागं अतिरिक्त कि्रयाकलाप थें हे स्वला तक नेपालभाषा स्यनीगु जानकारी गोरखापत्रय् वयेवं वय्कः आतुर जुयादिल । छगू इलय् नेवाः देय् दबुिलं नेपालभाषा न्ववाये सःिपं जक देय् दबूया दुजः निर्वाचित जुइ दइगु प्रावधान हयेवं नेपालभाषा सयेकेत उकथं हे कुतः जूगु खः । आः देय् दबूया दुजः जुइत जक मखु कि गुथियार जुइत नं नेपालभाषा सयेकेत बाध्य यायेवं जनकपुरया ५० दँ पुलेधुंकूम्ह भाजु श्यामबहादुर श्रेष्ठं थः काय् म्ह्याय्िपंत जूसां नेपालभाषा स्यनेगु मति तयाः केन्द्रीय विभागं बिउगु स्वलाया प्रशिक्षण पूवंकादिल । स्वला तकया नेपालभाषा प्रशिक्षणय् सहभागी जुयादीम्ह भाजु रविन्द्र महर्जनया अनुभव नं अज्याःगु हे दु । अझ अडियो भिडियो छ्यलाः प्रयोगात्मक रुपं कक्षा साचालन याःगु जूसा थःिपंसं भाषा अप्वः सयेके खनीगु वय्कःया धापू दु । आः वय्कलं नं सयेकेधुंकूगु नेपालभाषायात निरन्तरता बीगु प्रतिवद्धता प्वंकूगु दु । नापं सिराहं झाःम्ह प्रशिक्षक प्रमोद प्रधानं नं थः रोटरी क्लब यलय् च्वनाः ज्या यानागु इलय् अन फुक्कं निर्णय नेपालभाषां च्वइगु जुयाः आः थः नं नेपालभाषा मसयेकल धाःसा आकिवं रोटरी क्लब यलया प्रेसिडेन्ट जुइगु मौका हे चबुइगु तायेकाः बाध्य जुयाः नेपालभाषा सयेकादीगु खः । थुकथं रहरं मखु कि बाध्य जुयाः हे थःगु मांभाय् नेपालभाषा सयेकेत वयाच्वंिपं नेवाःत अप्वः दुथ्याःगु खः िझंप्यम्ह सहभागी तयाः केन्द्रीय विभागं चले याःगु न्हापांगु नेपालभाषाया प्रशिक्षण कक्षाय् । आः थुकथंया मेगु कक्षा नं याकनं हे चले यायेत्यंगु दु । पुलांिपंत बधाई बिदाई व न्हूिपंत लसकुस यायेगु ल्याखं शुक्रवाः न्ह्याकूगु समापन ज्याझ्वलय् नेपालभाषा जर्नल नं मूपाहां कथं झाःम्ह विश्वविद्यालय अनुदान विभागया प्रमुख डा। कमलकृष्ण जोशीं विमोचन यानादीगु खः । प्रशिक्षकिपं नं उगु कक्षां तसकं हे लय्ताःगु खनेदु । मू प्रशिक्षक जुयाच्वनादीम्ह प्रा। डा। सुन्दरकृष्ण जोशीं ला थुगुसी गैर नेवाःत जक दुथ्याःगु खःसा आः वइगु कक्षाय् गैर नेपालीतय्त नं नेपालभाषा कक्षाय् सहभागी यानाः विभागपाखें मेमेगु नं थुकथंया हे नेपालभाषा कक्षा चले यायेगु आँट यानादिल । िझंनिगू लाखया ल्याखय् दुिपं नेवाःत मध्ये विशेष रुपं स्वनिगलं पिनेया प्यंगू लाख ति नेवाःतय्सं नेपालभाषा ल्हायेगु हे त्वःतूगु जुयाः विशेष रुपं पिनेयािपंत हे नेपालभाषा स्यनेगु विभागया लक्ष्य दु । मोफसलया नेवाःतय्त नेवाःत हे मखु थें भेदभाव याइगु स्वनिगःया नेवाःतय् पह खनाः आजित जुयाच्वंम्ह श्यामबहादुर श्रेष्ठं आः लिपा गथे न्ह्यज्यायेगु धइगु खँ संस्कृति मन्त्रालयपाखें हे बिचाः ब्याकेमाःगु तर्क तयादिल । झीगु नेपालभाषा जर्मनी जापानी आदि भाषा थें सयेका थाकुयाः जक ब्वनीिपं व सयेकीिपं म्हो जुयाच्वंगु मखु । थन ला थ्व भाय् सयॆकेधुंकाः वयां लिपा छु यायेगु व थुकियात गन छु ज्याय् छ्यलेगु धइगु हे मू समस्या जुयाः न्ह्यःने वइगुिलं सयेकः वईपं मदुगु खः । उगु मचाःमगाःयात नेपालभाषा केन्द्रीय विभाग नापं नेवाः देय् दबू नेपालभाषा मंकाः खलः थेंज्याःगु नेवाःतय्गु राष्ट्रिय संगठनपाखें बिचाः याना वनेगु खत धाःसा निरन्तर रुपं नेपालभाषाया विकासय् ग्वाहालि हे जुयाच्वनीगु खनेदु ।,http://www.nepalmandal.com/content/1446.html
