headline,final_news,url,date,author
युएई वनीगु नेपाली क्रिकेट टिमय् सन्दीप लामिछाने मलात,आईसीसी क्रिकेट विश्वकप लिग टु या युएईइ जुइगु कासा म्हितेत सन्दीप लामिछाने मवनीगु जूगु दु । नेपाल क्रिकेट संघ क्यानं युएई वनीपिं कासामिया धलखय् सन्दीप लामिछानेया थासय् प्रतिस जिसीयात तःगु दु । कानूनी अड्चन जुइगु जुइधुंकाः विदेशय् जुइगु सिरिजया नितिं क्यानं सन्दीपयात दुमथ्याकूगु स्रोतं धाःगु दु । नेपालं लिग टु अन्तर्गत १५ निसें २२ फागुनतक युएई व पपुवा न्यूगिनीलिसे म्हितीगु जूगु दु । १५ गते न्हापांगु कासा पपुवा न्युगिनीलिसे म्हितीगु नेपाली टिम १३ गते हे युएई वनीगु जूगु दु । नाबालिग बलात्कारया द्वपं लाःम्ह सन्दीप लामिछानेया मुद्दा जिल्ला अदालत येँय् विचाराधीनय् दु । उच्च अदाललत पाटनं २० लख तका दां धरौटीइ त्वःतेधुंकाः क्यानं घरेलु मैदानय् जूगु स्कटल्याण्ड व नामिबियाविरुद्धया कासाय् धाःसा सन्दीपयात टिमय् तःगु खः ।,https://www.newaonlinenews.com//%E0%A4%AF%E0%A5%81%E0%A4%8F%E0%A4%88-%E0%A4%B5%E0%A4%A8%E0%A5%80%E0%A4%97%E0%A5%81-%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A5%80-%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%E0%A5%87%E0%A4%9F-%E0%A4%9F%E0%A4%BF%E0%A4%AE%E0%A4%AF%E0%A5%8D-%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%80%E0%A4%AA-%E0%A4%B2%E0%A4%BE%E0%A4%AE%E0%A4%BF%E0%A4%9B%E0%A4%BE%E0%A4%A8%E0%A5%87-%E0%A4%AE%E0%A4%B2%E0%A4%BE%E0%A4%A4," २०७९ फाल्गुण ११, बिहिबार १६:१७:५८  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
भुखाचय् लानाः टर्किस गोलकिपर मन्त,"टर्किस गोलकिपर अहमेत एयुप तुकास्लान थःगु हे देसय् ब्वःगु भुखाचय् लाना मन्त । गोलकिपर अहमेत मदुगु वया क्लब येनी मालत्यास्पोरं पुष्टि याःगु खः । सोमवाः ब्वःगु तःभुखाचय् लानाः टर्की व सिरियाय् च्याद्वलं मल्याक्क मनूतसें ज्यान गुमेयाःगु दु । क्लबं थःगु ट्वीटरय् च्वःगु दु, ‘जिमि गोलकिपर अहमेत एयुप तुकास्लान भुखाचय् लाना मन्त । हार्दिक श्रद्धाञ्जलि । सुन्दर व्यक्ति छितः जिमिसं ल्वःमंके मखु ।’ २८ दँया गोलकिपर तुकास्लानं सन् २०२१ य् टर्कीया निगूगु डिभिजन क्लब येनी मालत्यास्पोय् आबद्ध जुइधुंकाः खुक्वःतक म्हितूगु खः ।",https://www.newaonlinenews.com//%E0%A4%AD%E0%A5%81%E0%A4%96%E0%A4%BE%E0%A4%9A%E0%A4%AF%E0%A5%8D-%E0%A4%B2%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%83-%E0%A4%9F%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%BF%E0%A4%B8-%E0%A4%97%E0%A5%8B%E0%A4%B2%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%B0-%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A4," २०७९ माघ २५, बुधबार १०:४७:५२  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
झिम्ह दुथ्याःगु पुष्टि जुल स्पट फिक्सिङ प्रकरण,नेपाली टी–२० क्रिकेटया स्पट फिक्सिङय् फ्रेन्चााइज टिमया व्यवस्थापक हे दुथ्याःगु खनेदूगु दु । नेपाल प्रहरीया केन्द्रीय अनुसन्धान ब्युरो (सीआईबी)पाखें नेपाल टी–२० लिगलिसे स्वाःगु स्पट फिक्सिङय् झिम्ह दुथ्याःगु पुष्टि याःगु दु । थौं मंगलवाः पत्रकार सम्मेलन हे यानाः प्यम्ह नेपाःमि व खुम्ह विदेशी दुथ्याःगु सीआईबीं जानकारी ब्यूगु दु ।   नेपालीइ छम्ह कासामि हे दुथ्याःगु सीआईबीं जानकारी ब्यूगु दुसा व्यवस्थापकया भूमिकाय् दुपिं प्यम्ह विदेशीमध्ये छम्ह कासामि व मेम्ह छम्ह पिनेया मनू जूगु दु ।,https://www.newaonlinenews.com//%E0%A4%9D%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%A6%E0%A5%81%E0%A4%A5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%83%E0%A4%97%E0%A5%81-%E0%A4%AA%E0%A5%81%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A4%BF-%E0%A4%9C%E0%A5%81%E0%A4%B2-%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%9F-%E0%A4%AB%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%99-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%B0%E0%A4%A3," २०७९ माघ १०, मंगलबार १५:५९:३८  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
मेस्सीं फुटबल जगतं सन्यास काइगु ,"फुटबल जगतया चर्चित कासामि लियोनल मेस्सीं सन्यास कायेगु संकेत क्यंगु दु ।  छगू अन्तर्वार्ताय् थःगु करिअरय् फुक्क खँ हासिल यायेधुनागु व आः छुं हासिल याये ल्यंमदुगुलिं विश्रामपाखे वनेगु संकेत याःगु खः । मेस्सीं न्हयक्वःतक बलून डीओर अवार्ड त्याकेधुंकूगु दु । वया नामय् च्याम्पियन लिगनिसें कयाः ला लिगा, ट्रफितक दु । २०२१ य् मेस्सीं कोपा अमेरिका कप नं त्याकूगु खः । मेस्सी फिफा विश्वकप २०२२ या सर्वश्रेष्ठ कासामिइ नं ल्यःगु खः । मेस्सीं धाःगु दु, ‘व्यक्तिगत ल्याखं जिं थःगु करिअरय् फुक्क खँ हासिल यायेधुनागु दु । विश्वकप ट्रफी जिगु करिअरयात अन्त्य यायेगु अजूचायापूगु लँपु पिदन । जब जिं म्हितेगु सुरु याना उबले गुबलें सोचे मयाना कि थ्व फुक्क जिलिसे जुइ । खास यानाः विश्वकप त्याकेगु हे दकले सानदार जूगु दु । आः छुं ल्यं मन्त ।’",https://www.newaonlinenews.com//%E0%A4%AE%E0%A5%87%E0%A4%B8%E0%A5%8D%E0%A4%B8%E0%A5%80%E0%A4%82-%E0%A4%AB%E0%A5%81%E0%A4%9F%E0%A4%AC%E0%A4%B2-%E0%A4%9C%E0%A4%97%E0%A4%A4%E0%A4%82-%E0%A4%B8%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8-%E0%A4%95%E0%A4%BE%E0%A4%87%E0%A4%97%E0%A5%81," २०७९ माघ १९, बिहिबार १५:५९:२८  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
एसियन यू–२२ बक्सिङय् रजत पदक त्याकूम्ह सुष्मा तप्यंक हे वर्ल्ड च्याम्पियनसिपय् ,"थाइल्याण्डय् जूगु एएसबीसी एसियन यू–२२ मिसा व मिजं बक्सिङ च्याम्पियनसिपय् मिसा ४८ केजी तौल समूहय् ऐतिहासिक रजत पदक त्याकूम्ह नेपाःया सुष्मा तामाङ भारतय् जुइगु वर्ल्ड वुमन्स बक्सिङ च्याम्पियनसिपय् तप्यंक हे ल्यज्या जूगु दु । नेपाल बक्सिङ संघं थौं मंगलवाः विज्ञप्ति सार्वजनिक यासें ऐतिहासिक मेडल त्याकूगु अवार्ड स्वरुप सुष्मायात तप्यंक वर्ल्ड च्याम्पियनसिपय् ल्यज्या यायेगु जानकारी ब्यूगु दु । संघं सार्वजनिक याःगु विज्ञप्तिइ थ्वहेमाघ २४ निसें २६ गतेतक थीथी तौल समूहय् ल्यज्या कासा याकेगु जानकारी ब्यूगु दु । नेपाल बक्सिङ संघं सार्वजनिक याःगु विज्ञप्तिइ धयातःगु दु, ‘नेपाल बक्सिङ संघया निर्णय कथं ४८ किलो तौल समूहय् एसियन यू–२२ स रजत पदक त्याकूगु जूगुलिं अवार्ड स्वरुप सुष्मा तामाङयात ल्यज्या यानाः तप्यंक वर्ल्ड च्याम्पियनसिप कासाय् सहभागी याकेगु निर्णय यासें थप ५४ किलो तौल समूहया नं ल्यज्या यायेगु निर्णय जूगु जानकारी बियाच्च्वना ।’ सुष्मा तामाङं थाइल्याण्डया बैंककय् जूगु यू–२२ च्याम्पियनसिपय् उत्कृष्ट प्रदर्शन यासें ऐतिहासिक फाइनल यात्रा तय याःगु खः ।  तर फाइनलय् धाःसा सुष्मा उज्वेकिस्तानया फोजिलोभा फार्जोनालिसे बूगु खः । वसिबें न्ह्यः सुष्मां भियतनाम व मंगोलियाया कासामिपिन्त बुकूगु खः ।",https://www.newaonlinenews.com//%E0%A4%8F%E0%A4%B8%E0%A4%BF%E0%A4%AF%E0%A4%A8-%E0%A4%AF%E0%A5%82%E2%80%93%E0%A5%A8%E0%A5%A8-%E0%A4%AC%E0%A4%95%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%99%E0%A4%AF%E0%A5%8D-%E0%A4%B0%E0%A4%9C%E0%A4%A4-%E0%A4%AA%E0%A4%A6%E0%A4%95-%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%95%E0%A5%82%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B8%E0%A5%81%E0%A4%B7%E0%A5%8D%E0%A4%AE%E0%A4%BE-%E0%A4%A4%E0%A4%AA%E0%A5%8D%E0%A4%AF%E0%A4%82%E0%A4%95-%E0%A4%B9%E0%A5%87-%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B2%E0%A5%8D%E0%A4%A1-%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%BF%E0%A4%AF%E0%A4%A8%E0%A4%B8%E0%A4%BF%E0%A4%AA%E0%A4%AF%E0%A5%8D," २०७९ माघ १७, मंगलबार १२:१६:३८  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
मलेसियायात १० विकेटं बुकल नेपालं,"आईसीसी यू–१९ विश्वकप एसिया क्षेत्र छनोटया प्यंगूगु कासाय् नेपालं मलेसियायात १० विकेटं बुकूगु दु । मलेसियां ब्यूगु ७३ रनया लक्ष्य नेपालं विना क्षति पावर प्ले नं क्वमचावं पूवंकूगु खः । ९ ओभरय् ७३ रनया आज्जु पूवंकेगु झ्वलय् नेपाःया नितिं ओपनर ब्याटर दिपक बोहरां २९ बलय् ८ चौका प्रहार यासें ३८ रन दयेकूगुु खः । अथेहे, मेम्ह ओपनर अर्जुन कुमालं २५ बलय् ३ चौका लिसें २१ रन मुंकूगु खः । मलेसियाया पाखें १४ रन एक्स्ट्रा उपहार जुल । थ्वसिबें न्ह्यः मलेक क्रिकेट मैदान, अज्मानय् टस त्याकाः ब्याटिङ याःम्ह मलेसिया ३५.३ ओभरय् ७२ रन दयेकूसें अलआउट जूगु खः । मलेसियाया नितिं मोहम्मद अक्ररम मलिकं सर्वाधिक २६ रन दयेकूगु खः । ओपनर हैरिल हरिसनं १२ रन मुंकूगु खः । न्हापांम्ह ओपनर कप्तान सिद्धार्थ कार्तिक राजारत्नम ओपनिङ ओभरया स्वंगूगु बलय् आकाश चन्दया ल्हातं बोल्ड जुल । निगूगु विकेटया नितिं हरिसन व मलिकं २८ रनया साझेदारी यात । थ्वहे मलेसियाया नितिं बल्लाःगु साझेदारी जुल । खुम्हम्ह ब्याटर मोहम्मद स्याहिर स्यामिलं १२ रन दयेकल । मेपिं सुं नं ब्याटर दोहोरो ल्याः मुंकेत क्रिजय् च्वनेमफुत । नेपाःया नितिं स्पिनर दिपेश कँडेलं १० ओभर बलिङ यासें ४ मेडन लिसें ११ रन खर्चेयानाः सर्वाधिक ४ विकेट काल । आकाश चन्दं ४.३ ओभर बलिङ यासें ९ रन खर्चेयानाः ३ विकेट काल । मिलन बोहरां ९ ओभर बलिङ यासें ५ मेडन लिसें ८ रन खर्चेयानाः २ विकेट काल । स्पिनर सुवार भण्डारीं १ विकेट काल ।",https://www.newaonlinenews.com//%E0%A4%AE%E0%A4%B2%E0%A5%87%E0%A4%B8%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A5%A7%E0%A5%A6-%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A5%87%E0%A4%9F%E0%A4%82-%E0%A4%AC%E0%A5%81%E0%A4%95%E0%A4%B2-%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A4%82," २०७९ फाल्गुण १६, मंगलबार १५:२१:३२  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
"पपुवा न्युगिनीविरुद्ध नेपालं अःपुक्क त्याकल, क्वालिफायर लिक्क","आईसीसी क्रिकेट विश्वकप लिग टु कासाय् नेपालं पपुवा न्युगिनीविरुद्ध अःपुक्क त्याकूगु दु । किपूया त्रिवि क्रिकेट ख्यलय् टस बुकाः न्हापां ब्याटिङ याःगु पपुवा न्युगिनीं ३२ ओभरय् फुक्क विकेट गुमेयानाः ९४ रन दयेकूगु खः । नेपालं १ विकेट गुमेयानाः ७.४ ओभरय् लक्ष्य पूवंकूगु खः । नेपाःया नितिं आसिफ शेखं अर्धशतक पूवंकल । वं २१ बल म्हिताः ८ चौका व ३ छक्काया ग्वाहालिं अविजित ५३ रन दयेकूगु खः । कुशल भुर्तेलं १४ बल म्हिताः ४ चौका व २ छक्का ग्वाहालिं ३३ रन दयेकूगु खः । न्हापांगु विकेटया नितिं कुशल भुर्तेल व आसिफ) ३.३ ओभरय् हे ५१ रनया साझेदारी याःगु खः । भुर्तेल आउट जुइधुंकाः आसिफं मेम्ह कुशल मल्ललिसे मिलेजुयाः नेपाःयात त्याकेत ताःलाकूगु खः । कुशल मल्लं अविजित १२ रन दयेकूगु खः । १३ बल म्हितूम्ह वं १ चौका व १ छक्का प्रहार याःगु खः । घरेलु मैदानय् जुयाच्वंगु लिट टु कासाया लिपांगु श्रृंखलाय् मदिक्क स्वक्वः त्याकेधुंकाः आः नेपाः विश्वकप क्वालिफायरय् थ्यंकेगुलि छगू जित जक तापानाच्वंगु दु । आः नेपाःया लक्ष्य लिग टु या शीर्ष स्वंगूलि च्वनाः जिम्बाब्बेय् वइगु जुन व जुलाईस जुइगु विश्वकप क्वालिफायर म्हितेगुलि दु । उकिया नितिं नेपालं बिहिवाः जुइगु लिग टु या हे लिपांगु कासाय् युएईयात बुकेमालीगु जूगु दु । लेग स्पीनर सन्दीप लामिछानें ५ विकेट कायेधुंकाः टस बुकाः न्हापां ब्याटिङ  याःगु पपुवा न्युगिनी (पीएनजी) ३२ ओभर म्हिताः ९५ रनय् हे अलआउट जूगु खः । पीएनजीया १० मध्ये ९ विकेट नेपाली स्पीनरं काःबलय् सन्दीप याकःचां ५ विकेट काःगु खः । वं १० ओभरय् १ मेडन तसें २५ रन जक खर्चेयानाः सर्वाधिक ५ विकेट काःगु खः । सन्दीपं लिग टु कासाय् निक्वःगुखुसि ५ वा वसिबें अप्वः विकेट काःगु खः । वसिबें न्ह्यः २०२० स नेपालय् हे जूगु लिग टु स अमेरिकाविरुद्ध वं ६ विकेट काःगु खः । अथेहे, ललित नारायण राजवंशीं ७ ओभरय् १ मेडन तसें १३ रन खर्चेयानाः २ विकेट काःगु खः । कुशल मल्लं ३ ओभरय् १ मेडन तसें ६ रन खर्चेयानाः २ विकेट काःगु खः । सोमपाल कामीं ५ ओभरय् २ मेडन तसें २२ रन खर्चेयानाः १ विकेट काःगु खः ।",https://www.newaonlinenews.com//%E0%A4%AA%E0%A4%AA%E0%A5%81%E0%A4%B5%E0%A4%BE-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A5%81%E0%A4%97%E0%A4%BF%E0%A4%A8%E0%A5%80%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7-%E0%A4%A8%E0%A5%87%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A4%82-%E0%A4%85%E0%A4%83%E0%A4%AA%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%95-%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%95%E0%A4%B2-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%AB%E0%A4%BE%E0%A4%AF%E0%A4%B0-%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%95," २०७९ फाल्गुण २९, सोमबार १३:२३:३६  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
सेभियाया गोलकिपरयात समर्थकया आक्रमण,"युरोपा लिग नकआउट प्लेअफ अन्तर्गत सेभिया व पीएसभी आइन्डहोभन दथुया निगूगु लेग कासाय् सेभियाया गोलकिपर मराको डिमिट्रोभिचयात छम्ह समर्थकं आक्रमण याःगु दु  । पीएसभीं घरेलु मैदानय् जूगु निगूगु लेग २–० गोलअन्तरं त्याकूसां समग्रय् सेभियालिसे ३–२ गोलअन्तरं पराजित जुयाः पिहाँ वन । न्हापांगु लेगय् सेभिया ३–० गोलअन्तरं त्याःगु खः । निगूगु लेगय् निगू गोल याःसां नं पीएसभीया संकट टरेमजुल । ३१ दँया गोलकिपर डिमिट्रोेभिचयात छम्ह प्रशंसकं मैदानय् वनाः पञ्च बिल । सर्बियाली किपरं कुस्ती हे ल्वायेमाःगु खः । कासाया लिपांगु चरणय् जूगु घटनालिपा आक्रमणकारीयात लिपांगुखुसि स्टेवार्डपिन्सं नियन्त्रणय् काःगु खः । सर्वियन अन्तर्राष्ट्रिय कासामि डिमिट्रोभिचं फुटबलय् थुज्वःगु घटना बांलाः मजूगु कासालिपा दी एथ्लेटिकलिसे धाःगु दु । वं धाःगु दु, ‘फुटबलबय् थ्व खनेदूगु गुबलें बांलाः जुइमखु । थ्व जूगु मजुइमाःगु व आःनिसें, जिं आशा याये कि इमित बांलाःगु सजाय जुइ । वं ल्यूनेपाखें वयाः जितः घ्वात । व सायद लिच्वःयात कयाः तंम्ह्वःगु खः । वं जितः पञ्च बिइत्यन । जिं वयात ज्वनेत ताःलात व सेक्युरिटी वःबलय्तक पिया ।’",https://www.newaonlinenews.com//%E0%A4%B8%E0%A5%87%E0%A4%AD%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%97%E0%A5%8B%E0%A4%B2%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%B0%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%B8%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%A5%E0%A4%95%E0%A4%AF%E0%A4%BE-%E0%A4%86%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%A3," २०७९ फाल्गुण १२, शुक्रबार १२:३१:२५  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
तनेत्यंगु कासा ल्यंकेत मिजं खो खो कासा,तनेत्यंगु अवस्थाय् थ्यंगु खो खो कासा संरक्षण यायेगु आज्जुं ख्वप नगरपालिकां थ्वहे फागुन ५ गते शुक्रवाःनिसें ९ गते मंगलवाःतक अन्तरनगर मिजं खो खो कासा ग्वसाः ग्वःगु दु । बुधवाः ग्वसाः ग्वःगु पत्रकार सम्मेलनय् ख्वप नगरपालिकाया नगर प्रमुख सुनिल प्रजापतिं नगरपालिकां कासा क्षेत्रयात प्राथमिककताय् तयाः थीथी विधाय् विद्यालयस्तरीय खेलकुद कासा ग्वसाः ग्वयाः वयाच्वनाागु जानकारी ब्यूगु दुु ।,https://www.newaonlinenews.com//%E0%A4%A4%E0%A4%A8%E0%A5%87%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%82%E0%A4%97%E0%A5%81-%E0%A4%95%E0%A4%BE%E0%A4%B8%E0%A4%BE-%E0%A4%B2%E0%A5%8D%E0%A4%AF%E0%A4%82%E0%A4%95%E0%A5%87%E0%A4%A4-%E0%A4%AE%E0%A4%BF%E0%A4%9C%E0%A4%82-%E0%A4%96%E0%A5%8B-%E0%A4%96%E0%A5%8B-%E0%A4%95%E0%A4%BE%E0%A4%B8%E0%A4%BE," २०७९ फाल्गुण ४, बिहिबार १५:१५:४८  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
जनसेवा स्पोर्टस् मीट थौं शुक्रवाः क्वचाइगु,किपू नगरपालिका ५ वडाय् च्वंगु जनसेवा स्कूलया जनसेवा स्पोर्टस् मीट थौं शुक्रवाः क्वचाइगु जूगु दु । फागुन ३ गतेनिसें न्ह्याःगु उगु स्पोर्टस् मीट थौं शुक्रवाः छगू विशेष ज्याझ्वः यासें क्वचायेकीगु जूगु दु । जनसेवा स्कूलया प्रधानाध्यापक देवराज महर्जनं बियादीगु जानकारी कथं थौं शुक्रवाः जुइगु समापन ज्याझ्वलय् किपू नगरपालिकाया उपप्रमुख शुभलक्ष्मी शाक्य सुनिता मूपाहाँ कथं उपस्थित जुइगु जूगु दु । उगु स्कूलया इसिडीनिसें झिंनिगू तगिंतकया विद्यार्थीपिन्त जनसेवा स्पोर्टस् मीट ज्याझ्वलय् दुथ्याकूगु खःसा थौं शुक्रवाः न्हिनय् निता इलय् स्कूल परिसरय् समापन ज्याझ्वः व सिरपाः लःल्हायेगु ज्याझ्वः जुइगु जानकारी प्रधानाध्यापक महर्जनं बियादीगु दु । ,https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%BE-%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F%E0%A4%B8%E0%A5%8D-%E0%A4%AE%E0%A5%80%E0%A4%9F-%E0%A4%A5%E0%A5%8C%E0%A4%82-%E0%A4%B6%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%B5%E0%A4%BE%E0%A4%83-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%9A%E0%A4%BE%E0%A4%87%E0%A4%97%E0%A5%81," २०७९ फाल्गुण ५, शुक्रबार १२:१०:३५  ",नेवा: अनलाइन न्युज – ललेन्द्र शाक्य 
