headline,final_news,additional_info,url
७८ म्ह यात्रु च्वनावंगु श्री एयरलाइन्सया इञ्जिनय् मिँ च्यायेधुंकाः येँय् आकस्मिक अवतरण,येँपाखें भैरहवापाखे ब्वःगु श्री एयरलाइन्सया विमानया जवपाखे च्वंगु इञ्जिनय् मिँ च्यायेधुंकाः येँय् आकस्मिक अवतरण याःगु दु । थौं बिहिवाः सुथय् त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलपाखें भैरहवाया नितिं ब्वःगु श्री एयरलाइन्सया जहाजया जवपाखे इञ्जिनय् मिँ च्यायेधुंकाः धादिङया सर्गतं विमान डाईभर्ट यानाः येँय् अवतरण याःगु खः । मल्टि इन्जिन दूगु उगु विमान सिंगल इञ्जिनया ग्वाहालिं येँय् लितहःगु खः । विमानय् दूगु क्रु लिसें ७८ म्ह यात्रु च्वनावंगु व आः इमित मेगु उडानपाखें भैरहवा छ्वःगु श्री एयरलाइन्सया महाप्रबन्धक अनिल मानन्धरं जानकारी ब्यूगु दु । यात्रुपिं सकुशल जूगु जानकारी बिसें मानन्धरं विमानय् वःगु प्राविधिक समस्याबारे परीक्षण न्ह्याःगु नं धाःगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २५, बिहिबार ११:४६:०८  ",https://www.newaonlinenews.com//%E0%A5%AD%E0%A5%AE-%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%AF%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%81-%E0%A4%9A%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%82%E0%A4%97%E0%A5%81-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80-%E0%A4%8F%E0%A4%AF%E0%A4%B0%E0%A4%B2%E0%A4%BE%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%B8%E0%A4%AF%E0%A4%BE-%E0%A4%87%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A8%E0%A4%AF%E0%A5%8D-%E0%A4%AE%E0%A4%BF%E0%A4%81-%E0%A4%9A%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%A7%E0%A5%81%E0%A4%82%E0%A4%95%E0%A4%BE%E0%A4%83-%E0%A4%AF%E0%A5%87%E0%A4%81%E0%A4%AF%E0%A5%8D-%E0%A4%86%E0%A4%95%E0%A4%B8%E0%A5%8D%E0%A4%AE%E0%A4%BF%E0%A4%95-%E0%A4%85%E0%A4%B5%E0%A4%A4%E0%A4%B0%E0%A4%A3
"सक्वय् टिपरया ठक्करं पत्रकार श्रेष्ठलिसें निम्ह सित, छम्ह घाःपाः",येँया शंखरापुर नगरपालिका सक्वय् टिपरं मोटरसाइकलयात ठक्कर नकाः निम्ह सीगु दु । सीपिं शंखरापुर नगरपालिका छेँ दुम्ह पत्रकार पवनलाल श्रेष्ठ व हरि खड्का खः । पत्रकार पवनलाल श्रेष्ठ नेपाल प्रेस युनियन सक्वया नायः लिसें सक्वं पिदनाच्वंगु लावण्य सन्देश वाःपौ पत्रिकाया सम्पादक खः । बुधवाः बहनी सक्वं जोरपाटीपाखे वयाच्वंगु बा५ख २२१४ ल्याःया टिपरं अःखः दिशां वयाच्वंगु बा९४प ४४९८ व बा८२प ८३५७ ल्याःया मोटरसाइकलयात ठक्कर नकूगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २५, बिहिबार १६:१६:०८  ",https://www.newaonlinenews.com//%E0%A4%B8%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A5%8D-%E0%A4%9F%E0%A4%BF%E0%A4%AA%E0%A4%B0%E0%A4%AF%E0%A4%BE-%E0%A4%A0%E0%A4%95%E0%A5%8D%E0%A4%95%E0%A4%B0%E0%A4%82-%E0%A4%AA%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B7%E0%A5%8D%E0%A4%A0%E0%A4%B2%E0%A4%BF%E0%A4%B8%E0%A5%87%E0%A4%82-%E0%A4%A8%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B8%E0%A4%BF%E0%A4%A4-%E0%A4%9B%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%98%E0%A4%BE%E0%A4%83%E0%A4%AA%E0%A4%BE%E0%A4%83
प्रचण्डविरुद्धया रिट न्यायाधीश ईश्वरप्रसाद खतिवडाया इजलासय्,"प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डया रिटय् थौं शुक्रवाः सुनुवाई जुइगु जूगु दु । सुनुवाईया नितिं बिहिवाः पेशी क्वःछ्यूगु उगु रिट स्वयेत मलाःगुलि लाःगु खः । उगु रिट थौं शुक्रवाः न्यायाधीश ईश्वरप्रसाद खतिवडाया एकल इजलासय् लाःगु दु । प्रचण्डं २०७६ साल माघ १ गते माघीया लसताय् तिंख्यलय् ग्वसाः ग्वःगु ज्याझ्वःयात सम्बोधन यासें माओवादी जनयुद्धलिसे सम्बन्धित विवादास्पद अभिव्यक्ति ब्यूगु खः । प्रचण्डं थःत १७ हजार हत्या याःगु द्वपं लानाच्वंगु धासें फुक्क द्वपं दःत ब्यूसा अन्याय जुइगु धाःगु खः । तर थःम्हं न्याद्वःया जिम्मा कायेत तयार जूगु व ल्यंदूगु झिंनिद्वःया जिम्मा तत्कालीन राज्य पक्षं कायेमाःगु प्रचण्डया धापू खः । वहे अभिव्यक्तियात आधार दयेकाः अधिवक्ता ज्ञानेन्द्र आरन, कल्याण बुढाथोकी लिसेंया २८ म्हेस्यां प्रचण्डयात तत्काल गिरफ्तार यानाः अनुसन्धान प्रक्रिया न्ह्यःने यंकेत आदेश माग यासें रिट निवेदन ब्यूगु खः ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २६, शुक्रबार १२:२७:३७  ",https://www.newaonlinenews.com//%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9A%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%AF%E0%A4%BE-%E0%A4%B0%E0%A4%BF%E0%A4%9F-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A4%BE%E0%A4%A7%E0%A5%80%E0%A4%B6-%E0%A4%88%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A4%BE%E0%A4%A6-%E0%A4%96%E0%A4%A4%E0%A4%BF%E0%A4%B5%E0%A4%A1%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%87%E0%A4%9C%E0%A4%B2%E0%A4%BE%E0%A4%B8%E0%A4%AF%E0%A5%8D
ओखलढुंगां येँय् वयाच्वंगु बस सिन्धुलीइ दुर्घटना : न्याम्ह सित,ओखलढुंगाया रुम्जाटारं येँय् वयाच्वंगु बस सिन्धुलीया खाङसाङय् दुर्घटना जुयाः न्याम्ह यात्रुपिं सीगु दु । जिल्ला प्रहरी ज्याकुथि ओखलढ्ंगाया कथं थौं आइतवाः सुथय् सिन्धुलीया फिक्कल गाउँपालिका ४ कुइभीरय् बस भित्ताय् न्यानाः दुर्घटना जूगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २८, आइतबार ११:५३:४४  ",https://www.newaonlinenews.com//%E0%A4%93%E0%A4%96%E0%A4%B2%E0%A4%A2%E0%A5%81%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%82-%E0%A4%AF%E0%A5%87%E0%A4%81%E0%A4%AF%E0%A5%8D-%E0%A4%B5%E0%A4%AF%E0%A4%BE%E0%A4%9A%E0%A5%8D%E0%A4%B5%E0%A4%82%E0%A4%97%E0%A5%81-%E0%A4%AC%E0%A4%B8-%E0%A4%B8%E0%A4%BF%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A5%81%E0%A4%B2%E0%A5%80%E0%A4%87-%E0%A4%A6%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%98%E0%A4%9F%E0%A4%A8%E0%A4%BE-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B8%E0%A4%BF%E0%A4%A4
जेलमुक्त जुल पल शाह,नेपाली संकिपा ख्यःया अभिनेता पल शाह जेलमुक्त जूगु दु । उच्च अदालत पोखराया फैसला कथं पल शाह तनहुँ कारागारं थौं सोमवाः जेलमुक्त जूगु खः । थौं सोमवाः शाह जेलमुक्त जुइगु जुइधुंकाः सुथनिसें हे उगु कारागार पिने शाहया समर्थकपिनिगु भीड जूगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १५, सोमबार ११:५८:५९  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A5%87%E0%A4%B2%E0%A4%AE%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%A4-%E0%A4%9C%E0%A5%81%E0%A4%B2-%E0%A4%AA%E0%A4%B2-%E0%A4%B6%E0%A4%BE%E0%A4%B9
निदँ दुम्ह म्ह्याय् हत्या याःम्ह अबु प्रहरीया फन्दाय्,बाग्लुङयाा जैमिनी नगरपालिका ४ सर्कुवाय् निदँ (२ दँ) दुम्ह म्ह्याय् हत्या याःम्ह अबुयात प्रहरीं ज्वंगु दुु ।  बुधवाः सनिलय् सर्कुवाया नीदँ (२० दँ) या सायर दिनं थःहे निदँ दुम्ह म्ह्याय् आरिसा दिनया विभत्स हत्या याःगु खः । छेँय् सुं नं मदुगु मौका लाकाः सायरं म्ह्याय्या छ्यनय् प्रहार याःगु धाःगु दु । छ्यनय् तच्वकं घाःपाः जूम्ह आरिसा घटनास्थलय् हे सीगु प्रहरी नायब उपरीक्षक गंगाबहादुर थापां धाःगु दु । हत्याय् दुथ्याःगु द्वपनय् प्रहरी नियन्त्रणय् लाःम्ह सायरं प्रारम्भिक न्यनेकनेया झ्वलय् म्ह्याय्या हत्या स्वीकार याःगु नायब उपरीक्षक थापां जानकारी ब्यूगु दु । म्ह्याय्या हत्या लिपा छेँ त्वःताः बिस्युं वंम्ह सायर दिनयात गामय् हे सुलाच्वंगु अवस्थाय् प्रहरीं ज्वंगु खः । मचा हत्याया विषयस छेँजःपिन्सं प्रहरीयात खबर ब्यूगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १८, बिहिबार १४:५५:००  ",https://www.newaonlinenews.com//%E0%A4%A8%E0%A4%BF%E0%A4%A6%E0%A4%81-%E0%A4%A6%E0%A5%81%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%AE%E0%A5%8D%E0%A4%B9%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%B9%E0%A4%A4%E0%A5%8D%E0%A4%AF%E0%A4%BE-%E0%A4%AF%E0%A4%BE%E0%A4%83%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%85%E0%A4%AC%E0%A5%81-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A4%B0%E0%A5%80%E0%A4%AF%E0%A4%BE-%E0%A4%AB%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BE%E0%A4%AF%E0%A5%8D
चितुवाया आक्रमणं तनहुँइ झिंप्यम्ह मचात सित,"चितुवाया आक्रमणं न्यादँया ई दुने तनहुँया झिंप्यम्ह मचात सीगु दुसा झिंगुम्ह घाःपाः जूगु दु । वि.सं. २०७४ फागुन ९ गतेनिसें आःतक जिल्लाया थीथी थासय् जूगु चितुवा आक्रमणय् लानाः झिम्ह मिजंमचात व प्यम्ह मिसामचात सीगु खः ।  थथे सीपिं बन्दीपुर गाउँपालिका ५ या सुप्रीति थापा, बन्दीपुर १ या सुप्रिम थापा, बन्दीपुर ३ या दिना चेपाङ, व्यास नगरपालिका १२ छिर्कनया अभिनव कुँवर व भानु नगरपालिका ३ या विशाल श्रेष्ठ सीगु खः । अथेहे, भानु नगरपालिका ४ या रंजिता लम्साल, भानु नगरपालिका २ या पुष्पा अधिकारी, वहे वडाया अमृत गुरुङ, ऋतिक रोका, भानु नगरपालिका १ या कुशल बानियाँ, शुक्लागण्डकी नगरपालिका ३ या रविन नेपाली, आँबुखैरेनी नगरपालिका १ या पुजन सिञ्जाली, बन्दीपुर ४ या इसाक सुनार व शुक्लागण्डकी २ या नारन राना सीगु खः । चितुवाया आक्रमणपाखें दत्या न्ह्यःनिसें झिंछदँतकया मचात सीगु सहायक वन अधिकृत राजकुमार श्रेष्ठं जानकारी ब्यूगु दु । थुगु आर्थिक दँय् प्यंगू घटनाय् निम्ह मचात सीगु दुसा स्वम्ह मचात घाःपाः जूगु श्रेष्ठं जानकारी ब्यूगु दु । अथेहे, थुगु हे आर्थिक दँय् वन्यजन्तुपाखें ४२ गू घटनाय् ७७ पशुधन क्षति जूगु दु । उकी च्वलेचा ६९, बंगुर ५, सा १, पाडो १ व फा १ क्षति जूगु दु । थ्वहे झ्वलय् प्यम्ह रतुवा मृग, छम्ह अजिंगरया उद्धार याःगु दुसा स्वम्ह चितुवा व छम्ह निरबिरालो सिनाच्वंगु अवस्थाय् लुुयावःगु डिभिजन वन ज्याकुथिया प्रमुख कोमलप्रसाद काफ्लें जानकारी ब्यूगु दु । प्रत्येक पालिकाय् लःया पुखू निर्माण ज्यायात प्राथमिकता बिइधुंकाः विगतया दँया तुलनाय् वन्यजन्तुपाखें मानवीय क्षतिइ कमी हयेफूगु काफ्लें धाःगु दु ।","नेवा: अनलाइन न्युज | २०७९ फाल्गुण १९, शुक्रबार १२:०८:३०  ",https://www.newaonlinenews.com//%E0%A4%9A%E0%A4%BF%E0%A4%A4%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%86%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%A3%E0%A4%82-%E0%A4%A4%E0%A4%A8%E0%A4%B9%E0%A5%81%E0%A4%81%E0%A4%87-%E0%A4%9D%E0%A4%BF%E0%A4%82%E0%A4%AA%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%AE%E0%A4%9A%E0%A4%BE%E0%A4%A4-%E0%A4%B8%E0%A4%BF%E0%A4%A4
पल शाहयात सफाइ बिइगु फैसला विरुद्ध अदालत पिने प्रदर्शन,"बाल यौन दुरुपयोगया मुद्दाय् जिल्ला अदालत नवलपुरपाखें दोषी ठहर जूम्ह अभिनेता पल शाह (पूर्णविक्रम शाह)यात सफाइ ब्यूगु फैसला विरुद्ध उच्च अदालत पोखराय् प्रदर्शन जूगु दु । न्यायालयं गलत नजीर पलिस्था यायेत्यंगु धासें छगू पुचलं शुक्रवाः उच्च अदालत पोखराय् छघौ शान्तिपूर्ण विरोध प्रदर्शन याःगु खः । उच्च अदालतं यौन दुर्व्यवहारयात सामान्यीकरण याःगु धासें उच्च अदालत पोखराया प्रवेशद्वारय् छगू पुचः मिजं मिसापिं मुनाः प्रदर्शन याःगु खः । विरोध प्रदर्शनय् सहभागीपिन्सं ‘न्यायालयं गल्ती यायेगु अधिकार मदु पितृसत्ताया पहरेदार जूगु न्यायालय होसियार, न्यायलयं हे अन्याय याइबलय् न्यायया अपिल गन यायेगु ? पोलेयानाः न्वःवाःगु, बलात्कारयात प्रवद्र्धन यायेगु संस्कार बन्द या,’ लिसेंया पम्पलेट प्रदर्शन याःगु खः । न्यायालयपाखें हे पीडितयात थप पीडा जुइगु निर्णय जूगुलिं थःपिन्सं राज्यया खबरदारी यायेत शान्तिपूर्ण प्रदर्शन यानागु अभियन्ता सलिजा श्रेष्ठं धाःगु दु ।  श्रेष्ठं धाःगु दु, ‘नवलपुर जिल्ला अदालतं बाल यौन दुराचारया अभियोगय् निदँत्याया सजायया फैसला न्यंकूगु खः । तर, थनं थ्व फैसलायात बदर यात । यदि व गलत मखूगु खःसा बाल यौन दुराचार अभियोग नं मबिइगु जुइ नि, जिमिसं लिसः पियाच्वना ।’ मेम्ह अभियन्ता रिसु थापामगरं न्यायालयपााखें हे गलत नजीर प्रतिपादन जुइगु ग्याःचिकु जूगु धाःगु दु । थापामगरं धाःगु दु, ‘थ्व छगू जक केस मखु । आः थथे थःविरुद्धया हिंसाबारे खुलस्त यायेत नं ग्याःचिकुया स्थिति जुइधुकल । गलत नजीर मजुइमा धायेकेगु नितिं नं थ्व प्रदर्शन यानागु खः ।’ उच्च अदालतपाखें आइतवाः बाल यौन दुरुपयोग अभियोगय् सफाइ कायेधुंकाः तनहुँ कारागारय् दुम्ह पल शाह सोमवाः रिहाइ जुइधुंकूगु दु । नाबालिग बलात्कार अभियोग लाःम्ह शाहयात नवलपुर जिल्ला अदालतं बाल यौन दुरुपयोगय् दोषी ठहर याःगु खः । तर उच्च अदालत पोखराया कायममुकायम मू न्यायाधीश डिल्लीराज आचार्य व न्यायाधीश श्रीधराकुमारी पुडासैनीया मंकाः इजलासं शाहयात सफाइ ब्यूगु खः । गम्भीर द््वपनय् पुर्पक्षया नितिं थुनाय् दुम्ह पल शाह नं उच्च अदालतपाखें सफाइ कायेधुंकाः गनं विरोध सा गनं आलोचना जुयाच्वंगु दु । छम्ह नाबालिगं न्हापांगु दँया फागुन ११ गते जिल्ला प्रहरी ज्याकुथि तनहुँइ शाह नं बलात्कार याःगु धासें शाहविरुद्ध उजुरी ब्यूगु खः । उजुरीलिपा शाह नं फागुन १५५ गते तनहुँ प्रहरीइ आत्मसमर्पण याःगु खः । नवलपुरय् नं वहे मुद्दाय् छम्ह व्यक्तिं उजुरी ब्यूगु खः । नवलपुर अदालतं शाहयात बलात्कार मुद्दाय् सफाइ बिसें भाद्र २१ गते बाल यौन दुरुपयोग द्वपनय् निदँ व खुला जेल सजाय व पीडितयात १० लख तका दां क्षतिपूर्ति बिइमाःगु फैसला न्यंकूगु खः ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १९, शुक्रबार १५:०५:५८  ",https://www.newaonlinenews.com//%E0%A4%AA%E0%A4%B2-%E0%A4%B6%E0%A4%BE%E0%A4%B9%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%B8%E0%A4%AB%E0%A4%BE%E0%A4%87-%E0%A4%AC%E0%A4%BF%E0%A4%87%E0%A4%97%E0%A5%81-%E0%A4%AB%E0%A5%88%E0%A4%B8%E0%A4%B2%E0%A4%BE-%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7-%E0%A4%85%E0%A4%A6%E0%A4%BE%E0%A4%B2%E0%A4%A4-%E0%A4%AA%E0%A4%BF%E0%A4%A8%E0%A5%87-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A6%E0%A4%B0%E0%A5%8D%E0%A4%B6%E0%A4%A8
महानगर प्रहरी प्रमुख राजु पाण्डेयात आक्रमण याःगु द्वपनय् निम्ह ज्वन,येँ महानगरपालिकाया नगर प्रहरी प्रमुख राजु पाण्डेयात आक्रमण याःगु द्वपनय् निम्हेसित प्रहरीं ज्वंगु दु । बिहिवाः सनिलय् नेपाल प्रहरीं सुनसरीपाखें नारायण परिश्रमिक व येँया शंखमुलपाखें हुकुमबहादुर लामायात ज्वंगु येँ प्रहरी परिसरया प्रवक्ता सिताराम रिजालं जानकारी ब्यूगु दु । येँ महानगरं प्रहरीइ ब्यूगु जाहेरीया आधारय् प्रहरीं इमित ज्वनाः ‘ज्यान मार्ने उद्योग व आपराधिक उपद्रो कसुर’य् मुद्दा दर्ता याःगु जानकारी ब्यूगु दु । मंसीर १२ गते थापाथलीया बागमती खुसि सिथय् च्वंगु सुकुम्बासी बस्ती खाली यायेत वंबलय् महानगर प्रहरी राजु पााण्डेयात बस्तीया सुकुम्बासीपिन्सं आक्रमण याःगु खः । वहे आक्रमणय् पाण्डेलिसें ३६ म्ह नगर प्रहरी घाःपाः जूगु महानगरं जानकारी ब्यूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १९, शुक्रबार १३:२९:००  ",https://www.newaonlinenews.com//%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A4%97%E0%A4%B0-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A4%B0%E0%A5%80-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%81%E0%A4%96-%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%81-%E0%A4%AA%E0%A4%BE%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A5%87%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%86%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%A3-%E0%A4%AF%E0%A4%BE%E0%A4%83%E0%A4%97%E0%A5%81-%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%AA%E0%A4%A8%E0%A4%AF%E0%A5%8D-%E0%A4%A8%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%9C%E0%A5%8D%E0%A4%B5%E0%A4%A8
ल्होत्से मलय् जूगु लुटपाटय् दुथ्याःपिं थप झिंन्याम्ह प्रहरीया फन्दाय्,येँया गोंगःबुँइ च्वंगु ल्होत्से मलय् जूगु लुटपाटय् दुथ्याःपिं थप झिंन्याम्हेसित प्रहरीं गिरफ्तार याःगु दु । यातायात मजदुरया आन्दोलनया झ्वलय् उगु मलय् दुहाँ वनाः मोबाइलत खुयायंकूगु द्वपनय् इमित ज्वंगु खः । लुटपाटय् दुथ्याःपिन्त सिसिटिभी फुटेजया आधारय् ज्वंगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण ४, बिहिबार १३:१०:३७  ",https://www.newaonlinenews.com//%E0%A4%B2%E0%A5%8D%E0%A4%B9%E0%A5%8B%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A5%87-%E0%A4%AE%E0%A4%B2%E0%A4%AF%E0%A5%8D-%E0%A4%9C%E0%A5%82%E0%A4%97%E0%A5%81-%E0%A4%B2%E0%A5%81%E0%A4%9F%E0%A4%AA%E0%A4%BE%E0%A4%9F%E0%A4%AF%E0%A5%8D-%E0%A4%A6%E0%A5%81%E0%A4%A5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%83%E0%A4%AA%E0%A4%BF%E0%A4%82-%E0%A4%A5%E0%A4%AA-%E0%A4%9D%E0%A4%BF%E0%A4%82%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B9%E0%A4%B0%E0%A5%80%E0%A4%AF%E0%A4%BE-%E0%A4%AB%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BE%E0%A4%AF%E0%A5%8D
