headline,final_news,additional_info,url
 कांग्रेस पार्टीया फुक्क जिम्मेवारीपाखें ब्यागलं जुल राष्ट्रपति पौडेल,राष्ट्रपति रामचन्द्र पौडेलं नेपाली कांग्रेसया फुक्क जिम्मेवारीपाखें राजीनामा ब्यूगु दु । पौडेलया स्वकीय सचिव चिरञ्जीवी अधिकारीपाखें केन्द्रीय ज्याकुथिइ पौ दर्ता याकूगु नेपाली कांग्रेसया ज्याकुथि सचिव प्रकाश शर्मां जानकारी ब्यूगु दु । विद्यार्थी राजनीति जुयाः पार्टीया राजनीतिइ वःम्ह पौडेल कांग्रेसया कार्यवाहक सभापति तकं जूगु दु व आः पौडेल बरिष्ठ नेता खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २८, आइतबार १६:४०:१८  ",https://www.newaonlinenews.com//%E0%A4%95%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B8-%E0%A4%AA%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%9F%E0%A5%80%E0%A4%AF%E0%A4%BE-%E0%A4%AB%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%95-%E0%A4%9C%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A5%87%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%80%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%AC%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%97%E0%A4%B2%E0%A4%82-%E0%A4%9C%E0%A5%81%E0%A4%B2-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF-%E0%A4%AA%E0%A5%8C%E0%A4%A1%E0%A5%87%E0%A4%B2
"‘आः जिं कायेगु मखु, बिइगु खः’ – विद्यादेवी भण्डारी","राष्ट्रपति विद्यादेवी भण्डारीं आःतक राज्यपाखें आपालं सेवासुविधा व ह्वताः कायेखंगु धाःगु दु । वइगु दिनय् राज्यपाखें कायेगुसिबें नं राज्ययात बिइगु धारणा भण्डारीं प्वंकूगु दु ।  आइतवाः सनिलय् संसदय् प्रतिनिधित्व याइगु दलया मू नेतापिंलिसे बिदाई ज्याझ्वलय् नापलासें भण्डारीं धाःगु दु, ‘जि २०५० सालनिसें सांसद जुया । निक्वःतक राष्ट्रपतिया भूमिकाय् च्वना । राज्यपाखें आपालं सेवासुविधा व ह्वताः कायेखन । उकिं आः राज्यपाखें कायेगुसिबें नं बिइगु खः ।’ वहे झ्वलय् भण्डारीं पूर्वराष्ट्रपतिया हकय् सेवासुविधा कायेखनीगु विषयस सरकारं निर्णय याइगु जूगुलिं उकियाबारे लिपा जक धारणा दयेकेगु व सार्वजनिक यायेगु धाःगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २९, सोमबार ११:११:२५  ",https://www.newaonlinenews.com//%E2%80%98%E0%A4%86%E0%A4%83-%E0%A4%9C%E0%A4%BF%E0%A4%82-%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%AE%E0%A4%96%E0%A5%81-%E0%A4%AC%E0%A4%BF%E0%A4%87%E0%A4%97%E0%A5%81-%E0%A4%96%E0%A4%83%E2%80%99-%E2%80%93-%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80-%E0%A4%AD%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%BE%E0%A4%B0%E0%A5%80
प्रधानमन्त्री प्रचण्डं चैत्र ८ गते विश्वासया मत काइगु,प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डं प्रतिनिधिसभापाखें विश्वासया मत मकाःतले तक संघीय संसदया बैठक मच्वनीगु खनेदूगु दु ।  वंगु फागुन १७ गते प्रतिनिधिसभाया बैठक चैत्र ५ गतेतकया नितिं स्थगित याःगु दु । उकि दुने नेपाली कांग्रेसलिसेंया दलतय्त सरकारय् सहभागी याकाः प्रचण्डं विश्वासया मत कायेगु तयारीइ ब्वां जूगु दु । चैत्र ३ गते उपराष्ट्रपति निर्वाचनलिपा गठबन्धनया दलत सरकार विस्तारलिसेंया ज्याय् पलाः तइगु व चैत्र ८ गते प्रतिनिधिसभापाखें प्रधानमन्त्री प्रचण्डं विश्वासया मत कायेगु तयारीइ ब्वां जूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २९, सोमबार ११:४५:५०  ",https://www.newaonlinenews.com//%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9A%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%82-%E0%A4%9A%E0%A5%88%E0%A4%A4%E0%A5%8D%E0%A4%B0-%E0%A5%AE-%E0%A4%97%E0%A4%A4%E0%A5%87-%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A4%A4-%E0%A4%95%E0%A4%BE%E0%A4%87%E0%A4%97%E0%A5%81
८ दलीय गठबन्धनया मुज्या,राष्ट्रपति निर्वाचन कयाः सहलह यायेत ८ दलीय गठबन्धनया मुज्या च्वंनेत्यंगु दु । हिनयय् ४ बजे प्रधानमन्त्रीको सरकारी निवास बालुवाटारमा थथे मुज्या च्वनेत्यंगु खः ।,"नेवा: अनलाइन न्युज | २०७९ फाल्गुण २१, आइतबार ०९:३६:४६  ",https://www.newaonlinenews.com//%E0%A5%AE-%E0%A4%A6%E0%A4%B2%E0%A5%80%E0%A4%AF-%E0%A4%97%E0%A4%A0%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%A8%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A5%81%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A4%BE
"राष्ट्रपतिइ कांग्रेसया रामचन्द्र पौडेल ढुक्क, प्रम प्रचण्डं नं बचं बिइधुंकूगु खुलासा !","निर्वाचन न्ह्यःया न्यागू दलीय गठबन्धन म्वाइगु जूगु दु । उगु गठबन्धन म्वायेधुंकाः राष्ट्रपतिइ नेपाली कांग्रेसया बरिष्ठ नेता रामचन्द्र पौडेलया नामय् सहमति जुइगु निश्चित जूगु स्रोतया दाबी दु । प्रधानमन्त्रीया सरकारी निवास बालुवाटारय् थौं शुक्रवाः कांग्रेस, नेकपा माओवादी केन्द्र, जनता समाजवादी पार्टी व नेकपा एकीकृत समाजवदीया शीर्ष नेतापिनिगु बैठक च्वंगु खः । उगु बैठकं निर्वाचन न्ह्यःया न्यागू दलीय गठबन्धन म्वाकूगु खः । राष्ट्रपतिइ कांग्रेस व नेकपा एसया दाबी कायम हे दु । तर, थौं शुक्रवाः सनिलया न्याता इलय् च्वनीगु पावर सेयरिङबारे सहमति जुइगु बालुवाटारया दाबी दु । राष्ट्रपति कांग्रेसं कायेगु सहमति जूगु व उकी प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डं नं सहमति प्वंकूगु कांग्रेस नेतापिनिगु दावी दु । राष्ट्रपतिइ कांग्रेसं बरिष्ठ नेता रामचन्द्र पौडेलयात न्ह्यःने हइगु जूगु दु । थः राष्ट्रपति जुइगुलिं पौडेल नं ढुक्क जूगु दु । वं थः लिक्क लाःपिं नेतापिंलिसे धायेगु यानाहःगु दु, ‘राष्ट्रपति जिमिगु पार्टीं कायेगु सहमति जूगु दु । थौं शुक्रवाः सनिलय् हे फुक्क क्वचाइ । पार्टीपाखें राष्ट्रपतिइ जि हे उम्मेदवार खः । फुक्कसिगु सहमति दु । प्रचण्डजुं नं जिगु नामय् सहमति प्वंकेधुंकूगु दु ।’","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १२, शुक्रबार १४:२६:५९  ",https://www.newaonlinenews.com//%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%87-%E0%A4%95%E0%A4%BE%E0%A4%82%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B8%E0%A4%AF%E0%A4%BE-%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0-%E0%A4%AA%E0%A5%8C%E0%A4%A1%E0%A5%87%E0%A4%B2-%E0%A4%A2%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%95-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9A%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%82-%E0%A4%A8%E0%A4%82-%E0%A4%AC%E0%A4%9A%E0%A4%82-%E0%A4%AC%E0%A4%BF%E0%A4%87%E0%A4%A7%E0%A5%81%E0%A4%82%E0%A4%95%E0%A5%82%E0%A4%97%E0%A5%81-%E0%A4%96%E0%A5%81%E0%A4%B2%E0%A4%BE%E0%A4%B8%E0%A4%BE
"मेगु घटनाक्रम मस्यू, राष्ट्रपतिइ एमालेया उम्मेदवार जुइ : केपी शर्मा ओली","नेकपा एमालेया नायः केपी शर्मा ओलीं राष्ट्रपतिइ थःपिनिगु दलं उम्मेदवारी बिइगु धाःगु दु । संससद भवनं पिहाँ वयेगु झ्वलय् संचारकःमिपिंलिसें खँ ल्हासें ओेलीं धाःगु दु, ‘कन्हय् मनोनयन जुइ ।’ नेकपा एमालें थःपिनिगु हे उम्मेदवार थनी ला धैगु संचारकःमिपिनिगु न्ह्यसलय् ओलीं लिसः ब्यूगु दु, ‘एमालेया जुइ धकाः पुस १० गते हे क्वचायेधुंकूगु दु ।’","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण १२, शुक्रबार १५:३१:३७  ",https://www.newaonlinenews.com//%E0%A4%AE%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%98%E0%A4%9F%E0%A4%A8%E0%A4%BE%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE-%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%AF%E0%A5%82-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%87-%E0%A4%8F%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%AF%E0%A4%BE-%E0%A4%89%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A5%87%E0%A4%A6%E0%A4%B5%E0%A4%BE%E0%A4%B0-%E0%A4%9C%E0%A5%81%E0%A4%87-%E0%A4%95%E0%A5%87%E0%A4%AA%E0%A5%80-%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE-%E0%A4%93%E0%A4%B2%E0%A5%80
राष्ट्रपतिया निर्वाचनया मतगणना न्ह्यात,"न्हूम्ह राष्ट्रपतिया निर्वाचनया नितिं बिहिवाः जूगु मतदानया मतगणना न्ह्याःगु दु । मतगणना न्हूबानेश्वरय् च्वंगु संसद् भवनय् न्ह्याःगु खः । सुथय् १० ता ईनिसें न्ह्याःगु मतदान न्हिनय् ३ ता ईतक जुयाः क्वचाःगु खः ।  मतगणनालिपा बिहिवाः हे राष्ट्रपति निर्वाचनया दसिपौ लःल्हायेगु तयारी दूगु निर्वाचन आयोगं जानकारी ब्यूगु दु ।  मतदानय् ३१३ म्ह संघीय सांसद व ५१८ म्ह यानाः ८३१ म्हेस्यां मतदानन याःगु खः । संघीय संसदया ३३४ म्हमध्ये ३१३ म्हेस्यां मतदान याःगु दु । प्रदेशसभाया ५५० म्हमध्ये ५१८ म्हेस्यां मतदान याःगु दु । स्वम्हम्ह राष्ट्रपतिया नितिं नेपाली कांग्रेसया रामचन्द्र पौडेल व नेकपा एमालेया सुवासचन्द्र नेम्वाङ धेंधेंबल्लाय् दु । पूर्व सभामुखतकं जुइधुंकूम्ह रामचन्द्र पौडेल कांग्रेसलिसें नेकपा माओवादी केन्द्र, नेकपका एकीकृत समाजवादी, जनता समाजवादी पार्टी नेपाल, लोकतान्त्रिक समाजवादी पार्टी, जनमत पार्टी, नागरिक उन्मुक्ति पार्टी, राष्ट्रिय जनमोर्चा व नेपाल समाजवादी पार्टीया मंकाः उम्मेदवार खःसा मेम्ह पूर्व सभामुख सुवासचन्द्र नेम्वाङयात एमालेया साथ दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २५, बिहिबार १६:३१:५४  ",https://www.newaonlinenews.com//%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A4%A4%E0%A4%97%E0%A4%A3%E0%A4%A8%E0%A4%BE-%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A4
जनयुद्ध दिवस व पृथ्वीजयन्तीया विदा वार्षिक क्यालेन्डरय् हे तयेगु ः प्रचण्ड सरकारया निर्णय,नेकपा माओवादी केन्द्रया नायः लिसें प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड नेतृत्वया सरकारं जनयुद्ध दिवस व पृथ्वीजयन्तीया विदायात सरकारया वार्षिक क्यालेन्डरय् हे दुथ्याकीगु जूगु दु । थौं शुक्रवाः च्वंगु मन्त्रिपरिषदया बैठकं पृथ्वीजयन्ती व जनयुद्ध दिवसया विदा क्यालेन्डरय् हे दुथ्याकेगु निर्णय याःगु सरकारी प्रवक्ता लिसें संचारमन्त्री रेखा शर्मां जानकारी ब्यूगु दु ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण ५, शुक्रबार १६:०१:३५  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AF%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7-%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8-%E0%A4%B5-%E0%A4%AA%E0%A5%83%E0%A4%A5%E0%A5%8D%E0%A4%B5%E0%A5%80%E0%A4%9C%E0%A4%AF%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%80%E0%A4%AF%E0%A4%BE-%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A4%BE-%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95-%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%A8%E0%A5%8D%E0%A4%A1%E0%A4%B0%E0%A4%AF%E0%A5%8D-%E0%A4%B9%E0%A5%87-%E0%A4%A4%E0%A4%AF%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9A%E0%A4%A3%E0%A5%8D%E0%A4%A1-%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%AF
चिकित्सक संघं लितकाल आन्दोलन,"नेपाल चिकित्सक संघं आन्दोलन लितकाःगु दु । थौं आइतवाः प्रधानमन्त्रीया ज्याकुथिइ सरकारया पदाधिकारीपिंलिसे जूगु वार्तापाखें चिकित्सक संघं आन्दोलन लितकयाः अस्पतालया सेवा सुचारु यायेत सहमत जूगु खः । वार्ताय् चिकित्सक संघपाखें डा. लोचन कार्की, डा. बद्री रिजाल, डा. रुद्र मरासिनी लिसेंया प्रतिनिधिपिं दुथ्याःगु  खः सा सरकारपाखें प्रधानमन्त्री ज्याकुथिया छ्याञ्जे गणेश पाण्डे व स्वास्थ्य मन्त्रालयया पदाधिकारीपिं दुथ्याःगु खः ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ माघ २९, आइतबार १२:०८:४८  ",https://www.newaonlinenews.com//%E0%A4%9A%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%95-%E0%A4%B8%E0%A4%82%E0%A4%98%E0%A4%82-%E0%A4%B2%E0%A4%BF%E0%A4%A4%E0%A4%95%E0%A4%BE%E0%A4%B2-%E0%A4%86%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8B%E0%A4%B2%E0%A4%A8
निरास जुयाः लिहाँ वल रवि बालुवाटारं,"प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डं गृहमन्त्रालय थःपिनिगु हे दलं कायेगु लिसः बिइधुंकाः रास्वपाया सभापति रवि लामिछाने निरास जूगु दु । लामिछाने थौं मंगलवाः सनिलया ५ ता ईतकया दुने थःत गृहमन्त्री मदयेकल धाःसा सरकारं पिहाँ वयेगु अल्टिमेटम बिइत बालुवाटार थ्यंकूगु खः । तर, प्रधानमन्त्री प्रचण्डं लामिछानेयात स्पष्ट रुपं आः गृहमन्त्री दयेके मफइगु लिसः ब्यूगु बालुवाटार स्रोतया दाबी दु । लामिछाने बालुवाटारं निरास जुयाः लिहाँ वःगु दु । आः रवि पार्टी ज्याकुथिइ सहलहस व्यस्त जूगु दु । आः गुकथं न्ह्यःने वनेगु ? सरकारपाखें पिहाँ वयेगु कि छु यायेगु ? धैगु विषयस रवि सहलहस च्वनाच्वंगु दु । एमाले नायः केपी ओलीं नं लामिछानेयात हाकनं गृहमन्त्रीइ नियुक्त यायेत प्रधानमन्त्री प्रचण्ड न्ह्यःने दबाब ब्यूगु खः । तर, प्रचण्ड धाःसा ओलीया दबाबया न्ह्यःने नं टसमस जूगु मदु । व गृहमन्त्रालय थःपिनिगु हे दलय् तयेगु कथं न्ह्यःने वंगु दु । प्रचण्डं पार्टीया पदाधिकारी बैठकपाखें गृहमन्त्री नियुक्तिया निर्णय कायेगु तयारी याःगु दु । म्हिगः सोमवाःनिसें न्ह्याःगु पदाधिकारी बैठक थौं मंगलवाः नं न्ह्याःगु दु । थौंया बैठकय् गृहमन्त्रालयस पार्टीयात सुयात छ्वयेगु धैगु विषयस निर्णय जुइगु छम्ह नेतां जानकारी ब्यूगु दु ।  प्रधानमन्त्री तकं जुयाच्वंम्ह पार्टी नायः प्रचण्डं म्हिगः सोमवाःया पदाधिकारी बैठकय् गृहमन्त्रालय आः थःपिनिगु हे दलं तयेगु बारे ब्रिफिङ याःगु दु । राष्ट्रिय स्वतन्त्र पार्टीं धाःसा सरकार गठनया इलय् जूगु सहमति कथं थःपिनिगु हे दलं गृहमन्त्रालय कायेदयेमाःगु अडान काःगु दु । सभापति रवि लामिछानें ला थौं मंगलवाः प्रधानमन्त्री प्रचण्डयात नापलानाः गृहमन्त्रीइ थःत हे नियुक्त यायेत थौं सनिलया ५ ता ईतकया अल्टिमेटम ब्यूगु दु । सनिलया ५ ता ईतक थःत गृहमन्त्रीइ नियुक्त मयाःत धाःसा सरकारं पिहाँ वनेगु ख्याच्वः तकं रवि लामिछानें ब्यूगु दु । प्रधानमन्त्री प्रचण्डं धाःसा रविया उगु अल्टिमेटमयात धम्कीया रुपं काःगु दु । प्रचण्डं रवियात थौं मंगलवाःया नापलायेगु ज्याझ्वलय् नं गृहमन्त्रालय छुं नं हालतय् बिइमफइगु स्पष्ट लिसः ब्यूगु दु । प्रचण्ड लामिछानेया पासपोर्ट सम्बन्धी विवाद कायम हे जूगुलिं उगु विवाद हल मजूतलेतक गृहमन्त्रालयया नेतृत्व लःल्हाये मफइगु अडानय् दु । ","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ माघ १७, मंगलबार १३:१२:५६  ",https://www.newaonlinenews.com//%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%B8-%E0%A4%9C%E0%A5%81%E0%A4%AF%E0%A4%BE%E0%A4%83-%E0%A4%B2%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A4%81-%E0%A4%B5%E0%A4%B2-%E0%A4%B0%E0%A4%B5%E0%A4%BF-%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%9F%E0%A4%BE%E0%A4%B0%E0%A4%82
