headline,final_news,additional_info,url
 ‘प्रचण्ड’ विरुद्धया रिटय् थौं सुनुवाइ जुइगु,प्रधानमन्त्री लिसें नेकपा (माओवादी केन्द्र) या नायः पुष्पकमल दाहाल ‘प्रचण्ड’विरुद्धया रिटय् थौं शुक्रवाः सुनुवाइ जुइत्यंगु दु । थ्वया न्ह्यः बिहीवाः इलयं मब्यूगुलिं स्थगित याःगु रिटयात कयाः थौ पेसी तःगु खः ।  ,"नेवा: अनलाइन न्युज | २०७९ फाल्गुण २६, शुक्रबार १०:०७:४६  ",https://www.newaonlinenews.com//%E2%80%98%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9A%E0%A4%A3%E0%A5%8D%E0%A4%A1%E2%80%99-%E0%A4%B5%E0%A4%BF%E0%A4%B0%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%AF%E0%A4%BE-%E0%A4%B0%E0%A4%BF%E0%A4%9F%E0%A4%AF%E0%A5%8D-%E0%A4%A5%E0%A5%8C%E0%A4%82-%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A5%81%E0%A4%B5%E0%A4%BE%E0%A4%87-%E0%A4%9C%E0%A5%81%E0%A4%87%E0%A4%97%E0%A5%81
न्हूम्ह राष्ट्रपति रामचन्द्र पौडेलया लसकुसया तयारी,न्हूम्ह राष्ट्रपति रामचन्द्र पौडेलया लसकुस व कार्यकाल क्वचायेका  थःगु निवास लिहाँवनेगु तयारीइ च्वनाच्वम्ह राष्ट्रपति विद्यादेवी भण्डारीया बिदाइया तयारी शितलनिवासय् जुयाच्वंगु दु ।  थःगु सोमवाः हिनय् १ बजे  न्हूम्ह निर्वाचित राष्ट्रपति पौडेलयातकामु प्रधानन्यायाधीश हरिकृष्ण कार्की शपथ ग्रहण याकेगु जुगु दु । शपथ लिपा राष्ट्रपति भण्डारी न्हूम्ह निर्वाचित राष्ट्रपति पौडेलयात राष्ट्रपतिया भाला लः ल्हायेत्यंगु दु ।,"नेवा: अनलाइन न्युज | २०७९ फाल्गुण २९, सोमबार ०८:५९:१३  ",https://www.newaonlinenews.com//%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A5%82%E0%A4%AE%E0%A5%8D%E0%A4%B9-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF-%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%9A%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%8D%E0%A4%B0-%E0%A4%AA%E0%A5%8C%E0%A4%A1%E0%A5%87%E0%A4%B2%E0%A4%AF%E0%A4%BE-%E0%A4%B2%E0%A4%B8%E0%A4%95%E0%A5%81%E0%A4%B8%E0%A4%AF%E0%A4%BE-%E0%A4%A4%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A5%80
एमालेया नायः ओली पाखें नवनिर्वाचित राष्ट्रपति पौडेलयात भिंतुना देछाल,  नेकपा एमालेया नायः केपी शर्मा ओली नवनिर्वाचित राष्ट्रपति रामचन्द्र पौडेलयात बधाई ब्यूगु दु । थःगु पार्टी नाप प्रतिस्पर्धा यानाः बिहीवाः निर्वाचित जुम्ह पौडेलयात एमाले अध्यक्ष ओली बधाई ब्यूगु खः ।,"नेवा: अनलाइन न्युज – निश्चल | २०७९ फाल्गुण २६, शुक्रबार १०:०१:२७  ",https://www.newaonlinenews.com//%E0%A4%8F%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BE%E0%A4%AF%E0%A4%83-%E0%A4%93%E0%A4%B2%E0%A5%80-%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%A8%E0%A4%B5%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%BF%E0%A4%A4-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF-%E0%A4%AA%E0%A5%8C%E0%A4%A1%E0%A5%87%E0%A4%B2%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%AD%E0%A4%BF%E0%A4%82%E0%A4%A4%E0%A5%81%E0%A4%A8%E0%A4%BE-%E0%A4%A6%E0%A5%87%E0%A4%9B%E0%A4%BE%E0%A4%B2
धम्मावती गुरुमांया बुदिंया लसताय् विशेष अभिधम्म पाठ,येँया धर्मकीर्ति विहारय् शासनधज्ज धम्मचरिय अग्गमहागन्थकवाचक पण्डित भाषाथुवाः भिक्षुणी धम्मावती गुरुमां गुइदँ क्यनीगु लसताय् विशेष अभिधम्म पाठ धार्मिक ज्याझ्वः न्ह्याःगु दु ।  थौं बिहिवाःनिसें न्ह्याःगु उगु अभिधम्म पाठ ज्याझ्वः छवाःतक न्ह्याइगु जूगु दु । ,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ चैत्र २, बिहिबार १२:४५:३७  ",https://www.newaonlinenews.com//%E0%A4%A7%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%B5%E0%A4%A4%E0%A5%80-%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%AF%E0%A4%BE-%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A4%BF%E0%A4%82%E0%A4%AF%E0%A4%BE-%E0%A4%B2%E0%A4%B8%E0%A4%A4%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%87%E0%A4%B7-%E0%A4%85%E0%A4%AD%E0%A4%BF%E0%A4%A7%E0%A4%AE%E0%A5%8D%E0%A4%AE-%E0%A4%AA%E0%A4%BE%E0%A4%A0
धम्मावती गुरुमांया बुदिंया लसताय् राष्ट्रपतिपाखें सम्मान यायेगु तयारी,नांजाःम्ह भिक्षुणी धम्मावती गुरुमां गुइदँ क्यनीगु लसताय् वसपोलया बुदिं थीथी कथं हनेगु नितिं धम्मावती गुरुमां बुदिं समारोह समिति नीस्वनाः थीथी ज्याझ्वः यायेगु तयारी याःगु दु ।  धम्मावती गुरुमां वइगु गुरुपुन्हीया दिं गुइदँय् च्वनाः बिज्याइसा थुगु दिं बुद्धधर्मकथं बुदिं हनेत्यंगु दुसा थ्वया लिपा धम्मपूजा यानाः बुदिं हनेत्यंगु दु । ,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २६, शुक्रबार १३:२६:२४  ",https://www.newaonlinenews.com//%E0%A4%A7%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%B5%E0%A4%A4%E0%A5%80-%E0%A4%97%E0%A5%81%E0%A4%B0%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%82%E0%A4%AF%E0%A4%BE-%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A4%BF%E0%A4%82%E0%A4%AF%E0%A4%BE-%E0%A4%B2%E0%A4%B8%E0%A4%A4%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%B8%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%A8-%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%A4%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A5%80
अन्तर्राष्ट्रिय मिसा दिवस : ‘वुमन इन अवतार’ किपाः,"निदँ न्ह्यः कीर्तिपुर जात्रा पर्व फेसबुक पेजय् अन्तर्राष्ट्रिय मिसा दिवसया लसताय् पोष्ट जूगु थुगु किपाः अतिकं सान्दर्भिक किपाः कथं काःगु दु । कीर्तिपुर जात्रा पर्व फेसबकु पेजं ‘वुमन इन अवतार’ शीर्षक बियाः थुगु किपाः पोष्ट याःगु खः । थौंकन्हय् आधुनिक युगया मिसाया रुप न्ह्यब्वयातःगु थुगु किपातं आधुनिक दुर्गा, काली, लक्ष्मी, सरस्वती बाय् छम्ह पूर्णरुपं मिसाया ज्या न्ह्यब्वयातःगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २४, बुधबार ११:२४:३८  ",https://www.newaonlinenews.com//%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF-%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A4%BE-%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8-%E2%80%98%E0%A4%B5%E0%A5%81%E0%A4%AE%E0%A4%A8-%E0%A4%87%E0%A4%A8-%E0%A4%85%E0%A4%B5%E0%A4%A4%E0%A4%BE%E0%A4%B0%E2%80%99-%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BE%E0%A4%83
अन्तर्राष्ट्रिय मिसा दिवसय् मिजं ऐक्यबद्धता मार्च,"११३ क्वःगु अन्तर्राष्ट्रिय मिसा दिवसया लसताय् येँय् मिजं ऐक्यबद्धता मार्च ग्वसाः ग्वःगु दु । मिसा दिवसया लसताय युवालय लिसेंया थीथी संघसंस्थातसें बुधवाः सुथय् ग्वसाः ग्वःगु मिजं ऐक्यबद्धता मार्च भृकुटीमण्डपं न्ह्यानाः शहीदगेट, रत्नपार्क जुयाः हाकनं भृकुटीमण्डप थ्यंकाः क्वचायेकूगु खः । मार्चलिपा जूगु ज्याझ्वःयात सम्बोधन यासें राष्ट्रिय युवा परिषदया कार्यकारी न्वकू सुरेन्द्र बस्नेतं मिसा मुक्तिया नितिं मिजं प्रतिबद्ध जुइमाःगुलि बः ब्यूगु खः । मिसा व मिजं बराबरी मजूतलेतक समृद्ध राष्ट्र मजुइगु धासें बस्नेतं मिसा अधिकारया नितिं मिजं जागरण नं उलि हे महत्वं  जाःगु धाःगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २४, बुधबार १५:०२:५२  ",https://www.newaonlinenews.com//%E0%A4%85%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF-%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A4%BE-%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8%E0%A4%AF%E0%A5%8D-%E0%A4%AE%E0%A4%BF%E0%A4%9C%E0%A4%82-%E0%A4%90%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%AC%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%A4%E0%A4%BE-%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%9A
थथे न्यायेकल सहीदपिनिगु लुमन्तिइ सहीद दिवस,"थौं माघ १६ गते सोमवाः सहीद दिवस न्यायेकूगु दु । प्रजातन्त्र पलिस्था लिसें पुनःस्थापना व थीथी कालखण्डय् स्वतन्त्रताया नितिं जीवन आहुति ब्यूपिं सहीदपिनिगु लुमन्तिइ थीथी ज्याझ्वः यानाः सहीद दिवस न्यायेकूगु खः । येँया लैनचौरय् च्वंगु सहीद स्मृति पार्कय् थौं माघ १६ गते सोमवाः श्रद्धाञ्जलि सभा यानाः सहीदपिनिगु लुमन्ति याःगु खः ।  ज्याझ्वलय्  प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्डलिसें येँ महानगरपालिकाया मेयर बालेन साह नं सहीदपिनिगु किपातय् स्वांमाः क्वखायेकूगु खः । थ्वहे माघ १० गतेनिसें १६ गतेतक थीथी ज्याझ्वःया लिसें सहीद सप्ताह न्यायेकेगु घोषणा यानाः थीथी ज्याझ्वः जुयाः वयाच्वंगु खः । वि.सं. २०१२ निसें हे तत्कालीन येँ नगरपालिकाा संयोजकत्वय् दँय् दसं माघ १६ गते सहीदपिनिगु लुमन्तिइ दिवस न्यायेकाः वयाच्वंगु खः । स्वतन्त्रताया माग याःबलय् बि.सं. १९९७ सालय् सहीद शुक्रराज शास्त्री जोशीयात माघ १० गते येँया टेकुइ च्वंगु पचलीइ, माघ १३ गते धर्मभक्त माथेमायात सिफलय् व गंगालाल श्रेष्ठ व दशरथ चन्दयात माघ १५ गते शोभाभगवतीइ राणा शासकं मृत्युदण्ड ब्यूगु खः ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ माघ १६, सोमबार १२:२८:५४  ",https://www.newaonlinenews.com//%E0%A4%A5%E0%A4%A5%E0%A5%87-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%95%E0%A4%B2-%E0%A4%B8%E0%A4%B9%E0%A5%80%E0%A4%A6%E0%A4%AA%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%97%E0%A5%81-%E0%A4%B2%E0%A5%81%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%87-%E0%A4%B8%E0%A4%B9%E0%A5%80%E0%A4%A6-%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8
निर्वाचन आयोगपाखें राष्ट्रपतिया निर्वाचन फागुन २५ गते यायेगु निर्णय,उपराष्ट्रपतिया निर्वाचन चैत्र ३ गते राष्ट्रपतिया निर्वाचन फागुन २५ गते जुइगु जूगु दु । निर्वाचन आयोगं थौं सोमवाः निर्वाचनया तिथि क्वःछ्यूगु खः । राष्ट्रपति विद्यादेवी भण्डारीया न्यादँ कार्यकाल फागुन २९ गते २०७९ स क्वचाइगु जूगु दु । उकिया प्यन्हु न्ह्यः निर्वाचन जुइत्यंगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ माघ १६, सोमबार १४:१४:२४  ",https://www.newaonlinenews.com//%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-%E0%A4%86%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%AA%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%9A%E0%A4%A8-%E0%A4%AB%E0%A4%BE%E0%A4%97%E0%A5%81%E0%A4%A8-%E0%A5%A8%E0%A5%AB-%E0%A4%97%E0%A4%A4%E0%A5%87-%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%A8%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A3%E0%A4%AF
नेवाः पत्रकार राष्ट्रिय दबूपाखें येँया उपप्रमुख डंगोलयात ध्यानाकर्षण पौ,"नेवाः पत्रकार राष्ट्रिय दबूया संस्थागत विकास, महत्वबोध, पत्रकार क्षमता बृद्धिइ अवश्य नं येँ महानगरपालिकाया विगतया भूमिका महत्वं जाःगु दु ।  विगतया भूमिकाया पृष्ठभूमिइ व थौंया सरोकार, संस्थागत हितया विषय, नेपालभाषाया पत्रकारिता प्रवर्द्धन लिसेंया विषयस फागुन ५ गते शुक्रवाः येँ महानगरपालिकाया उपप्रमुख सुनिता डंगोलयात ध्यानाकर्षण याकूसें पत्रकार राष्ट्रिय दबूया केन्द्रीय पदाधिकारीपिं येँ महानगरपालिका थ्यंकूगु खः ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण ७, आइतबार ११:५१:४१  ",https://www.newaonlinenews.com//%E0%A4%A8%E0%A5%87%E0%A4%B5%E0%A4%BE%E0%A4%83-%E0%A4%AA%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%B0%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%AF-%E0%A4%A6%E0%A4%AC%E0%A5%82%E0%A4%AA%E0%A4%BE%E0%A4%96%E0%A5%87%E0%A4%82-%E0%A4%AF%E0%A5%87%E0%A4%81%E0%A4%AF%E0%A4%BE-%E0%A4%89%E0%A4%AA%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%81%E0%A4%96-%E0%A4%A1%E0%A4%82%E0%A4%97%E0%A5%8B%E0%A4%B2%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%95%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%A3-%E0%A4%AA%E0%A5%8C
