headline,final_news,additional_info
भारतीय पक्षं महाकाली खुसिया धार हिलेत्यंबलय् विवाद,"दार्चुलाय् भारतीय पक्षं महाकाली खुसिया धार नेपाःपाखे स्वकाः तटबन्धन यायेत्यंबलय् विवाद ब्वलंगु दु । जिल्ला सदरमुकाम खलंगाय् च्वंगु नेपाल व भारत स्वाइग्ु तांया दक्षिण व उत्तरपाखेया ब्वय् भारतीय पक्षं लःया बहाब नेपाःपाखे स्वकाः तटबन्धन यायेत्यंबलय् विवाद ब्वलंगु स्थानीय प्रशासनं जानकारी ब्यूगु दु । तांया उत्तरपाखे लाःगु क्षेत्रय् तटबन्धन यायेगु विषयस निगुलिं पक्षया प्राविधिकया अध्ययन लिपा जक ज्या न्ह्याकेगु मौखिक समझदारी अःखः भारतीय पक्षं ज्या यायेधुंकाः आइतवाः खलंगा क्षेत्र तनावग्रस्त जूगु खः । उगु झ्वलय् ढुंगामुढा हानाहान तकं जूगु खःसा छुं ई नाका तकं बन्द याःगु खः । वहे विषययात कयाः सोमवाः सुथय् नं भारतीय पक्षं महाकाली तांमय् वयेवनेगुलि रोक तःगु खः तर आः निगुलिं पक्षदथुइ सहलह यायेगु समझदारी लिपा आवागमन चाःगु दु । दार्चुलाया सहायक प्रमुख जिल्ला अधिकारी हेमन्ती साउदं भारतीय पक्षं तांया उत्तरपाखेया भागय् तटबन्धन निर्माण याःबलय् लःया धार नेपाःपाखे छ्वयाहये त्यंबलय् विवाद जूगु धाःगु दु । साउदं धाःगु दु, ‘भारतीय पक्षं नेपाःपाखे लःया निकास यानाः तटबन्धन निर्माणया ज्या याये धाःगु खः । जिमिसं निगुलिं पक्षया प्राविधिक तकंया मंकाः बैठक च्वनाः छु गुकथं न्ह्यःने वनेफइ सहलह याये धयागु खः । तर इमिसं ज्या मदिकेधुंकाः विवाद जूगु खः । हाकनं बैठक च्वनाः सहलह यायेगु समझदारी जूगु दु ।’","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ मङ्सिर १९, सोमबार १४:१३:५६  "
"मौन अवधि( चुनाव प्रचारया पोस्ट लाइक, कमेन्ट व सेयर याये मदु","मंसिर ४ गते जुइगु् प्रतिनिधि सभा व प्रदेश सभा चुनावया नितिं वंगु चान्हय्  १२ बजे निसें स्थिर ई न्ह्याःगु दु । थुगु इलय् दल वा उम्मेदवारतय्सं चुनावी प्रचारप्रसार याये दइमखु । निर्वाचन प्रचारप्रसार सम्बन्धी गुगु नं कथंया सामग्री फेसबुक, ट्वीटर, युट्युब लिसें सामाजिक सञ्जालय्  मतयेत निर्वाचन आयोगं इनाप याःगु खः । चुनावी प्रचार सामग्री सामाजिक सञ्जालमा मतेय्त व लाइक, कमेन्ट, सेयर, ट्याग वा प्रतिकमेन्ट तकं मयायेत आयोगं प्रयोगकर्तातय्त इनाप याःगु दु । आयोगं सामाजिक सञ्जाल व अनलाइन सञ्चार माध्यम पाखें राजनीतिक दल वा उम्मेदवारतय् विज्ञापन मययायेत थुकथं थ्वया न्हयः यानातःगु प्रचार ज्वलं चिइकेत इनाप याःगु दु ।  ","नेवा: अनलाइन न्युज – निश्चल | २०७९ मङ्सिर २, शुक्रबार ११:४७:५२  "
शताब्दी पुरूष जोशीयात राष्ट्रिय सम्मानसहित अन्तिम बिदाई,"शताब्दी पुरूष सत्यमोहन जोशीयात राष्ट्रिय सम्मानसहित अन्तिम बिदाई याःगु दु । १०३ दँय् मदुम्ह जोशीयात सरकारं थौं आइतवाः राष्ट्रिय सम्मानसहित अन्तिम बिदाई याःगु खः । मदुम्ह जोशीयात नेपाल प्रहरीया छगू टुकडीइ शोक सलामी ब्यूगु खः । थ्वया न्ह्यःःयल महानगरपालिकाय् जोशीया पार्थिव शरीरय् प्रधानमन्त्री शेरबहादुर देउवां राष्ट्रिय ध्वाये  फायेका अन्तिम श्रद्धाञ्जली ब्यूगु खः । महानगर परिसरय् जोशीयात मन्त्री, राजनीतिक दलका शीर्ष नेता,   नेवाः न्ह्यलुवाः,  कलाकार व सर्वसाधारणं अन्तिम श्रद्धाञ्जली देछागु खः ।    ","नेवा: अनलाइन न्युज – निश्चल | २०७९ आश्विन ३०, आइतबार १८:१४:४४  "
वाङ्मय शताब्दी पुरूष सत्यमोहन जोशीया जातः च्याका अन्तिम संस्कार,१०३ दँय् आइतवाः मदुम्ह वाङ्मय शताब्दी पुरूष सत्यमोहन जोशीया जातः च्याका अन्तिम संस्कार याःगु दु । थःगु सिइम्ह अध्ययन नितिं किष्ट अस्पतालयात लः ल्हाम्ह जोशीया अन्तिम इच्छा कथं थथे अस्पतालया सिइम्ह दान याये धुंकाः जोशीया तःधिम्ह काय् अनुराज व चिइधिम्ह काय् डा.पूर्णराजं आइतवाः बहनिं ६ बजे जुयाः १४ मिनेट वंगु इलय् शंखमूलया बागमती घाटय् जातः च्याका जोशीया अन्तिम संस्कार याःगु खः ।,"नेवा: अनलाइन न्युज | २०७९ आश्विन ३१, सोमबार ०८:१५:०८  "
राष्ट्रपति विद्यादेवी भण्डारीयात कोरोना संक्रमण पुष्टि,राष्ट्रपति विद्यादेवी भण्डारीयात कोरोना संक्रमण पुष्टि जुगु दु ।,"नेवा: अनलाइन न्युज | २०७९ आश्विन २४, सोमबार १२:४५:०५  "
मोहनिया लसताय् राष्ट्रपतिं विशिष्ट व्यक्तिपिं व सर्वसाधारणयात सिन्ह तिकिइगु,"राष्ट्रपति विद्यादेवी भण्डारीं मोहनि नख ःया लसताय् विशिष्ट व्यक्तिपिं व सर्वसाधारणयात सिन्हं तिंका प्रसाद बिइगु जुगु दु । राष्ट्रपति कार्यालयका प्रवक्ता सागर आचार्यया कथं असोज १९ गते बुधवाःदशमीया न्हिं राष्ट्रपति पाखें थथे ज्याठवः तःगु खः । राष्ट्रपति कार्यालय तयार याःगु कार्यतालिका कथं व्यवस्थापिका, कार्यपालिका, न्यायपालिकाका प्रमुख, मन्त्रीगण, प्रदेश प्रमुख, न्यायाधीश, सांसद, संवैधानिक निकायया पदाधिकारी लिसें विशिष्ट व्यक्तियात हिनय् २ बजे निसें ३ बजे कत सिन्हं तिकिगु जुगु  दु । सर्वसाधारणयात हिनय् ३ बजे निसें सनिलय् ५ बजे तक सिन्हं तिकिगु जुगु दु ।","नेवा: अनलाइन न्युज | २०७९ आश्विन १७, सोमबार २२:०८:१४  "
न्हूदँ व नेवाः आन्दोलनया न्ह्यलुवाः पद्मरत्न तुलाधरयात लुमंकल,"नेपाल संवत न्हूदँ आन्न्दोनल, नेवाः आन्दोलनया न्ह्यलुवाः लिसे.मानव अघिकारवादी नेता पद्मरत्न तुलाधरया प्यक्वःगु पुण्यतिथि थीथी कथं थौ. हनाच्वंगु दु । थौं शनिवाः सुथय् येँया शखधर पार्कय् पद्मरत्न तुलाधरया झ्वाता क्वय पद्मरत्न लुमंन्ति दबू पाखें तःजिक ज्याझ्वः यानाः वयकःयात लुंमकुगु दु । उगु ज्याझ्वलय् थीथी ख्यःयापिं ब्यक्तिपिन्सं तुलाधरया यागदानयात कयाः थःथःगु बिचाः प्वंकादिगु  खः । अथे हे थौ. सुथय् नेपाल संवत राट्रिय न्हूदँ समारोह समिति ११४३ या नायः प्रा.डा. नरेशमान बज्राचार्य लिसें समारोह समितिया दुजः पिन्सं तुलाधरया झ्वाता स्वा देछाया श्रदाभाव प्वंकुगु दु । समारोह समितिया नायः बज्राचार्य तुलाधरं यानादिगु यागदानया लिसें वयकः नाप जुयाःगु ईया लुमंन्ति न्यंकादिगु खः ।","नेवा: अनलाइन न्युज | २०७९ कार्तिक ५, शनिबार १२:५३:२५  "
डेंगु संक्रमण कारण २१ म्ह सिया ज्यान वन,"नेपालय् वंगु न्यावाःया डेंगु संक्रमण कारण २१ म्ह सिया ज्यान वंगु दु । स्वास्थ्य व जनसङ्ख्या मन्त्रालयया कथं साउन महिनाय् थुखें २१ म्ह ज्यान वंगु खः ।  ७५ जिल्लाय् डेंगु न्यंनाः १७,५९४ म्ह संक्रमण पुष्टि जुगु दु । दकलय् अप्वः बागमती प्रदेशय् जक १२,९४७ म्ह डेंगु संक्रमित जुगु दु ।  अथे हे लुम्बिनी प्रदेशय् २६४३ म्ह संक्रमित जुगु दुसा १ नम्बर प्रदेशय् ५६० म्ह संक्रमित जुगु दु । सुदुरपश्चिम प्रदेशय् ५६७, गण्डकी प्रदेशय् ४०९, मधेश प्रदेशय् २१६ व कर्णाली प्रदेशय्  २०७ म्ह संक्रमित जुगु मन्त्रालयं न्ह्यथंगु दु ।","नेवा: अनलाइन न्युज | २०७९ आश्विन ४, मंगलबार २१:०६:३६  "
कोरोना : थौं ५४ म्हेसिके संक्रमण,लिपांगु २४ घौ दुने थौं मंगलवाः ५४ म्हेसिके कोरोना भाइरस संक्रमण पुष्टि जूगु दु । स्वास्थ्य व जनसंख्या मन्त्रालयया कथं १ हजार ७२९ म्हेसिगु पीसीआर परीक्षणय् ४२ म्ह व २ हजार १०० म्हेसिगु एन्टिजेन परीक्षणय् १२ म्ह यानाः ५४ म्हेसिके संक्रमण पुष्टि जूगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ आश्विन ११, मंगलबार १६:५०:५१  "
बलिभोग न्यूनीकरणया नितिं सचेतना र्‍याली,"पाँचथरय् बलिभोग न्यूनीकरणया सन्देश आजु तयाः सचेतना र्‍याली पिकाःगु दु । मोहनियन इलय् बिइगु पशुबली न्यूनीकरण यायेगु नितिं प्रेमवाद नेपालं थथे सदरमुकाम फिदिमइ र्‍याली पिकाःगु खः । र्‍यालीमा सहभागीजुपिन्सं प्राणीया दुःख नं थःगु हे दुःखसरह जुगुलिं उमित बलि बिइमते, सम्पूर्ण प्राणीयात मतिना याः, बलिभोग न्यूनीकरण यायेनू, आदी नारा च्वयातःगु प्ले कार्ड व ब्यानर ज्वनाः वःगु खः । ज्याझ्वलय् प्रेमवाद नेपाल (हेभन्ली पाथ नेपाल)  ब्रह्मकुमारी राजयोग सेवा केन्द्र लिसें बौद्ध धर्मावलम्वीतय्सं ब्वति काःगु खः ।","नेवा: अनलाइन न्युज | २०७९ आश्विन १७, सोमबार २३:३०:१७  "
