url,category,date_published,headline,news_text
https://nepalbhasatimes.com/20268,नेवाःख्यः,  ,विश्व सभ्यता निर्माणय् नेवाःतय‍्गु योगदान,"                                                         ओमचरण अमात्य नेपाःया कलासंस्कृति व राजनैतिक इतिहास निर्माणय् जक मखु, विश्व सभ्यता निर्माणय् थ्यंक नेवाःतय्सं बियावंगु व बियावयाच्वंगु योगदान आः विवादया बिषय मखये धुंकल । खः, राजनैतिक हिउपाःया निंतिं जुइगु न्ह्यागु आन्दोलनय् नं अग्रपंक्तिइ च्वनाः ल्वाइपिं व अझ शहादत तकया निंतिं नं मग्याइपिं जूसां नं राज्यया नीतिनिर्माणया तगिंमय् थहां वनेमालकि लिचिलेगु झीगु ‘आत्मघाती’ आत्मकेन्द्रीत मनोवृत्तिया कारणं उकिया जश व स्वामित्व झीसं कायेमसः, अभिलेखीकरण, सूचनाप्रवाह व ‘बजारीकरण’ ला झन् या हे मयाः । ईटालीया मार्को पोलों मेमेपिंपाखें न्यनागु खँयात नापं थःगु आत्मवृतान्तय् दुथ्याकाः न्हाय् तपुकल, तर वसिबें गुद“ थकालिम्ह अरनिकों तिब्बत व चीनय् वःगूमछिं ‘माइलस्टोन’ धस्वाके धुंकाः नं उकिया बारे आखः छगः च्वयामथकू । झी देगः दनाः नं जश मकाइपिं, झिथाय्या नश्लवादी शासकत झीत जश बिइमयःपिं, अःखबतं झीगु देगलय् थःगु कथंया गजू छुनाः क्यनेमाःपिं । थुकिया हुनिं झीगु म्हसीका गुलि खतराय् लानाच्वंगु दु, गम्भीरतापूर्वक विचाः यायेत, अले वकथं ज्या यानायंकेत झीत इलं मदिक्क घ्वानाच्वंगु दु । अभिलेखीकरणया न्ह्यसलय् ख्वपया न्यातपौ देगः छगू अपवाद खः । थौंसिबें ३१८ दँ न्ह्यः दयेकेसिधःगु हलिंन्यंक नांजाःगु व ‘ङातापो“लः’ देग दयेकेत गुलि ई काल, गुम्हेस्यां छु गुलि योगदान बिल, अप्पा गुलि वन, ज्याला गुलि खर्च जुल आदि फुक्क खँया विस्तृत विवरण आः नं सुरक्षित दनि । तर स्वनिगः दुने व पिनेया यक्व हे सम्पदा व संस्कृतिया झीके छुं हे कथंया अभिलेख वा दस्तावेज तक हे मदु । नश्लवादी सत्ता–सञ्चालकतय्सं झीगु ऐतिहासिक सम्पदा व योगदानप्रति क्यनावःगु उदासीनता ला थःगु थासय् द हे दु, अभिलेख मदुगु, अले उकिं याना झीगु गौरवयात पुस्तान्तरण यायेत थाकुयावःगु कारणं झीगु म्हसीका नापं मल्यनीगु खतरा खने दयावःगु झीगु निंतिं म्हो चिन्ताया बिषय मखु । उकिं झीसं लिबाय् न्ह्यः हे छुं मयायेगु खःसा विश्व इतिहास व सभ्यता निर्माणय् झी नेवाःतय्सं बियावयागु योगदानया बिषयलय् विश्व जानकार जुइगु ला तापाःगु हे ख“ जुल, झीगु आदिभूमिइ तक हे नं झीगु भूमिका इतिहासया गर्भय् तनावनीगु अवस्था तापाइ मखु । उकिं झीगु म्हसीकाप्रति छुं भतिचा संवेदनशीलता ल्यं दनिगु खःसा झी मध्ये सुयाके छु सीप व खुबी दु, उकियात छ्यलाः झीगु गौरवशाली म्हसीकाया सम्बद्र्धन व प्रबद्र्धन यायेमाःगु थौंया आवश्यकता नं खः, वाध्यता नं खः । थ्व हे झ्वलय् जिमिसं ख्वपया ‘महाजु फाउण्डेशन’ या दबुलिं विश्व सभ्यता निर्माणय् नेवाः जाति बियावंगु ज्वः मदुगु योगदान बिषयस लिपांगु इलय् मदिक्क थ्वयेकाच्वनागु सःयाबारे छुं भतिचा चर्चा याये । १) पोताला दरबारया निर्माणय् नेवाः जातिं यानावंगु योगदान ः यक्वस्यां सिउ, न्हय्गूगु शताव्दीइ राजकुमारी भृकुटी तिब्बती सम्राट स्रङचङ गाम्पोनाप ब्याहा यानाः च्वापुगु“ (हिमाल) पारि वंबलय् वनापं यक्व बौद्ध भिक्षु व सलंसः कालिगढत नं उखे वंगु खः । वनापं विश्वसभ्यता निर्माण व विकासय् ज्वःमदुगु योगदान यानावःगु बौद्ध धर्मदर्शन, अले झीगु कलासंस्कृति नं च्वापुगुं उखे थ्यन । बौद्ध भिक्षुतय्सं ल्हासा (व तिब्बत व चीनया मेमेगु थास) य् बौद्ध धर्मदर्शनया ब्याक्क विस्तार यात, पोताला दरबार, जोखाङ देगः, रामोचे गुम्बानापं यक्व हे भौतिक सम्पदाया डिजाइन यात, अले स्वनिगलं वंपिं कालिगढतय्सं उकिया निर्माण नं यानाक्यन । न्हय्गूगु शताब्दीइ दयेकूगु पोताला दरबारं झिंन्हय्गू (१७) शताब्दीइ वयाः आःया आकार काल, उबलय् नं अन च्वनाच्वंपिं बौद्धमार्गी, नेवाः कालिगढ व बन्जाःतय्सं उकिइ यक्व हे ग्वाहालि याःगु खः । आः नं झीसं खंकेफु, नेवाः शैलीया थीथी आकारप्रकारया थीथी बुद्ध व बौद्ध मूर्तित अन थाय्थासय् दु, पोताला, जोखाङ व रामोचेय् झीगु कलासंस्कृतिया प्रष्ट झलकत झन् गुलिगुलि । रञ्जना लिपि ला झन् अन जक मखु, ग्रेट वालय् थ्यंक लुयावये धुंकूगु ला जगजाहेर हे जुइधुंकल । ग्रेटवाल व बेइजिङय् लुयावःगु लिपि व छे“फः लगायतया चिं झिंस्वंगूगु शताब्दीइ वंम्ह अरनिकोया योगदान खयेफु, तर नं झीके उकिया न छुं अभिलेख दु, न आःतक छुंकथंया अध्ययन अनुसन्धान हे जुइफत । उकिं समग्रय् चीनया सभ्यता निर्माणय् नेवाः जातिं बियावंगु योगदानयात ब्याक्क अध्ययन अनुसन्धान यानाः हलिंन्यंक ‘बजारीकरण’ यायेमाःगु झीगु निंतिं अपरिहार्य जू । उलि जक मखु, मंगोलिया व मध्य–एशियानिसें श्रीलंका व इण्डोनेशिया थ्यंक बौद्ध धर्मदर्शन व नेवाः कलासंस्कृतियात थ्यंकेत वा थौं बय्बय् जुयाच्वंगु ‘सिल्क रोड’ यात व्यबहारय् उबलय् हे छ्यलाक्यनेत झी अजाजुपिंसं क्यनावंगु सीप व यानावंगु श्रमया जानकारी नं झीसं विश्वयात बिइत लिबाके मजिइ धुंकल । निर्माणधीन बहुभाषिक संकिपा ‘च्वापुफसं’ झीगु थ्व मंका आवश्यकतायात छुं हदतक पूर्ति यायेगु कुतः याःगु दु । २) बामियान बुद्ध दयेकेगु ज्याय् योगदान ः कपिलवस्तुइ कोसल प्रभुत्व कायम जुइधुंकाः अन शाक्यतय्त गुगु हिंस्रक अत्याचार जुल, उकिं थःत प्रतिरक्षा यायेगु झ्वलय् शाक्य जाति अनं विस्थापित जूवन । शाक्यतय्गु न्यागू पुचलं कपिलवस्तु त्वःतल, उकी मध्ये छपुचः उबलेय्या गान्धार (थौंया कान्धाहार, अफगानिस्तान) थ्यन । गान्धार राज्यया छगू महत्वपूर्ण थाय् बामियानय् थ्यंपिं व हे शाक्यतय्सं अन व जःलाखःला देशय् बौद्ध धर्मदर्शननापं झीगु कलासंस्कृतिया अनुपम नमुना नं थ्यंकल । यक्व अध्ययन अनुसन्धान यायेगु ला ल्यं हे दनि, अथेसां सन् २००१ य् तालिबानं बम मुइकाः ध्वस्त याःगु ‘बामियान बुद्ध’ या निर्माणय् अन उबलय् स्थापित जुइधुंकूपिं शाक्यतय्गु योगदानयात अस्वीकार यायेफइगु अवस्था मदु । उलि जक मखु, बौद्ध धर्मदर्शन अफगानिस्तानया लं जुनाः मध्य–एशियातक थ्यंकःवंगु हुनिं उकिया श्रेय नं कपिलवस्तुं प्रयाण यानावंपिं शाक्यतय्त बिइजिउ लाकि मजिउ, छगू तःजिगु अध्ययनया बिषय जुइफु । ३) बोरोबुडुर (इन्डोनेशिया) या विशाल बौद्ध चैत्य दयेकेगु ज्याय् योगदान ः इन्डोनेशियाया जाभा टापुइ च्वंगु बोरोबुडुर ९द्ययचयदगमगच० नांया थाय् अन धस्वानाच्वंगु विशाल, अझ हलिंमय् दक्वसिबे तग्वःगु बौद्ध चैत्यया हुनिं हलिंन्यंक बय्बय् जू । शैलेन्द्र राजवंशया इलय् गुंगूगु शताब्दीइ स्थानीय जाभाली शैलीं दयेकूगु थ्व विशाल चैत्य दयेकेत अनया जुजु समरतुंथगं नेपाःया नांजाःम्ह शिल्पकार गुणधर्मयात सःतूगु व वयागु नेतृत्वय् वंगु नेवाः कालिगढतय् पुचलं उगु विशाल चैत्य पूवंकूगु ख“ दु । अरनिकों च्वापुगु“ हाचांगाःगु झन्डै प्यसःत्या द“ न्ह्यः विशाल समुद्र हाचांगाःम्ह गुणधर्म ‘यलया शाक्य’ धाइ, तर पुष्टि यायेत ग्यसुलाःगु दसु धाःसा लुइके ल्यं हे दनि । अथे नं भारतया छम्ह नांजाःम्ह विद्वान हरिनन्दन ठाकुरं थःगु यात्रावृतान्त ‘धरतीके चारोंओर’ व नेपाःया छम्ह लोकंह्वाःम्ह विद्वान स्वयम्भूलाल श्रेष्ठं थःगु अनुसन्धानात्मक सफू ‘नेपाली कलाकार गुणधर्म र बोरोबुडुर’ य् गुणधर्मयाबारे प्रष्टकथं न्ह्यथनातःगु हुनिं बोरोबुडुर महाचैत्य दयेकेगु ज्याय् गुणधर्म व वया पुचलं बिउगु योगदान धाःसा विवादया बिषय मखुत । तर थन नं समस्या व हे । झीथाय्या नश्लवादी शासनसत्ताया उदासीनता व झीगु थःगु हे कमीकमजोरीं यानाः हलिमय् दक्वसिबे तग्वःगु चैत्यया निर्माणय् बाःवंगु ‘नेवाः हिचःति’ या बारे विश्वं सिइगु ला त्वःता हे छ्वये, झी दथुया अति शिक्षित धाःपिं नेवातय्सं नापं छुं हे मसिउगु खनेदत । ‘च्वापुफय्’ ः नेवाः गौरव व म्हसीकायात हलिमय् अझ च्वछायेगु लिपांगु छगू कुतः थौंकन्हय् शुटिङ क्वचायाः पोष्ट–प्रोडक्शनया ज्या जुयाच्वंगु ‘च्वापुफय्’ नेपालभाषाया नांजाःगु ‘क्लासिक ट्राजेडी’ ‘जि वया ला लच्छि मदुनि’ या लिधंसाय् तयार जुयाच्वंगु छगू बहुभाषिक स“किपा खः । नेपालभाषा, खस नेपाली, चाइनिज व अंग्रेजी भासं डबिङ जुयाः नं जापानी, थाई, कोरियन, फ्रेन्च, जर्मन, ईटालियन आदि भासं सब–टाइटल दइगु थ्व स“किपाया मू तातुना नेवाः गौरव व म्हसीकायात ‘अन्तर्राष्ट्रियकरण’ यायेगु हे खः । अन्तर्राष्ट्रिय स्तरया उच्चतम प्रविधि छ्यलाबुला जूगु, अले कालिन्चोक, मुस्ताङ व ल्हासा (तिब्बत) थ्यंक वनाः शुटिङ क्वचाःगु, अझ धायेमाल धाःसा आःतकया दक्वसिबे अप्वः लगानी जूगु थ्व संकिपायात अष्ट्रेलियानिसें अमेरिकातक, अले न्युजील्यान्डनिसें न्युजर्सीतक क्यनेबलय् नेपाःया जक मखु, विश्वया हे इतिहास व सभ्यतानिर्माणय् नेवाः जातिं बियावंगु अतुलनीय योगदान अझ अप्वः हलिन्यंक उजागर जूवनीगु स्पष्ट खः । अथे नं थन छगू ख“ प्रष्ट याये हे माः, निघौत्याया थ्व ऐतिहासिक संकिपाय् ई व ध्यबाया थःगु सीमात ९ष्mिष्तबतष्यलक० दु । सीमित ईया दुने नेवाः म्हसीकाया फुक्क आयामयात उलाक्यने फइगु ला ख“ हे मखु, उकिसनं निर्धारित बजेटया लुखा हाचं गाये मफइगु दवाबमूलक वाध्यता नं झीगु दथुइ दु । अथे नं न्हापांगु थ्व कुतलय् आःतक उजागर मजूनीगु नेपाली राजनीति व अन्तर्राष्ट्रिय ख्यलय् नेवाः जातिं म्हितावंगु भूमिकाया छुंछुं महत्वूपर्ण लुत अवश्य नं स्वयेदइ, गथेकि,   १) सन् १८३७ स भीमसेन थापाया पतन लिपा सर्वस्वहरण जुयाः नयेत्वने मखना नं साहुं लित्तुलिका च्वंम्ह, नेवाःतय् दथसुइ च्वनाः नेवाः भासं नं ख“ ल्हाये सःम्ह जंगबहादुर कु“वर (लिपा प्रधानमन्त्री जंगबहादुर ‘राणा’) यात छम्ह नेवाः बन्जाः मरु त्वाःया धम्मां साहुं (धर्मनारायण मानन्धरं) याःगु उद्धार व उपकार, अथवा जंगबहादुरयात ‘जंगबहादुर’ दयेकेगुलिइ धम्मां साहुं याःगु योगदानयात ‘च्वापुफसं’ क्यनेगु कुतः याःगु दु । २) ब्रिटीश राजदूत (रेजिडेन्ट) ब्रायन हडसनं उबलय्या शासक घरानात शाह, थापा, बस्नेत, पाण्डे, पौडेल, कु“वर आदिपिनि दथुइ न्यनाच्वंगु हिंसात्मक संघर्षयात गुकथं ग्वाकल, उकिया संक्षिप्त स्वरुपयात नं संकिपां उलाक्यनेत स्वःगु दु । नेवाः जाति, व अझ विशेष यानाल् ‘ल्हासा नेवाः’ तय् बिषयलय् दुग्यंक अध्ययन अनुसन्धान नापं याःम्ह हडसनं उबलय् छु गज्याःगु गतिविधि याःजुल, उकिया चिहाकः जूसां छुंछुं पुलुपालु ‘च्वापुफय्’ स“किपाय् स्वयेखनी । ३) ल्हासाया पोताला दरबार, जोखाङ देगः, रामोचे गुम्बानापं तिब्बत व चीनया थीथी सम्पदा निर्माण, अले बामियान बुद्धया निर्माणय् कपिलवस्तु त्वःतावंपिं शाक्यतय्सं याःगु ग्वाहालि आदियात नं ‘च्वापुफसं’ उजागर यायेत स्वःगु दु । ४) स्वनिगः व ल्हासायात केन्द्रबिन्दुइ तयाः उबलय्या भन्ते व ‘ल्हासा बन्जाः’ नेवाःतय्सं मंगोलिया व मध्य–एशियानिसें काश्मिर र कोलम्बोतकया विशाल भूमियात बौद्ध धर्मदर्शन व बनेज्यां गुकथं भावनात्मक रुपं स्वाये यंकल, उकिया छुं लु नं थ्व बहुभाषिक संकिपाय् स्वयेखनी । समग्रय् ‘च्वापुफय्’ स“किपाया सार नेवाः गौरव व म्हसीकायात राष्ट्रिय स्तरं जक मखु, अन्तराष्ट्रिय ख्यलय् तक नं च्वछायेगु हे खः । उलि जक मखु, ‘महाजु फाउण्डेशन’ या मेगु, ‘च्वापुफय्’ लिपाया देछाः नं विश्व सभ्यता निर्माणय् नेवाः जातिं बियावंगु ज्वःमदुगु योगदानयात अन्तर्राष्ट्रिय आयाम बीगु हे जुइ । नेपालं दुने व पिनेया सकल नेवाःतय्त जानकारी बिइदयाः लय्ताया, ‘महाजु फाउण्डेशन’ या टेबलय् ‘च्वापुफय्’ लिपा आः म्होतिं नं स्वंगू ‘ज्या’ दु, उकिया निंतिं आवश्यक ‘होमवर्क’ जुयाच्वंगु दु । प्राविधिक तयारी व आर्थिक व्यबस्थापनया ज्या ल्यं हे दनि, अथे नं व स्वंगू ज्यायात छसिकथं तये ः— १) आः अध्ययन अनुसन्धानया चरणय् थ्यनाच्वंगु ‘द्यगममजष्कm ष्ल एबपष्कतबल, बनजबलष्कतबल बलम ऋभलतचब िब्कष्ब’ नांया सफू व डकुमेण्ट्री ‘च्वापुफय्’ लिपाया न्हापांगु ‘ज्या’ जुइ । उकिइ बामियान बुद्धया ख“ जक मखु, मध्य–एशियातक बौद्ध धर्मदर्शन गथे गुकथं थ्यन धयागु बिषयया जानकारीमूलक विवरण ला दइगु हे जुल, नापं अफगानिस्ताननिसें उज्बेकिस्तानतकया भूगोलय् आः नं ल्यनाच्वंगु बौद्ध सम्पदा व संस्कृतिया थीथी लुत नं स्वयेखनी । २) ‘महाजु फाउण्डेशन’ या मेगु देछा नं छगू कथानक संकिपा हे खः । उकिइ गोर्खाली सेनां सन् १७६८ स ये“ व यलय् त्याकेधुंकाः ख्वपय् झिंस्वलात्या तक तःगु अमानवीय नाकाबन्दी, उबलय् स्वनिगः दुनेया नेवाः समाज, सामाजिक सम्बन्ध व सामाजिक अन्तर्विरोध, गोर्खाली सेनां उबलय् छ्यःगु राणनीतिक चालबाजी, नाकाबन्दी लिपा स्वन्हुयंक जूगु हिंस्रक लडाई“, हःताःया इलय् ख्वप देय्दुने ५०१ खा छे“य् मि तयाबिउगु, २,००१ म्ह मनूया ज्यान वंगु, गोर्खाली सेनाया निर्णायक जीत लिपा नं ख्वपय् १३ क्वः तक विद्रोह जूगु, अले उकियात नं क्रूरतापूर्वक दमन याःगु व प्रभावशाली बौद्ध धर्म व भिक्षुपिंत याःगु दमन उत्पीडनया यथार्थ किपा न्ह्यब्वयेगु तातुना खः । ३) स्वंगूगु कुतः ल्हासाया पोताला दरबार, जोखाङ देगः आदि दयेकेगु झ्वलय् नेवाः बौद्ध भन्ते व कालिगढतय्सं बियावंगु योगदानय् केन्द्रीत जुइ । थ्व डकुमेण्ट्रिं तिब्बतय् जक मखु, आःया राजधानी पेइचिङ थ्यंकया थीथी भौतिक संरचना दयेकेत नेवाःतय्सं म्हितूगु भूमिका, बौद्ध धर्मदर्शनया विस्तारलिपा अनया समाज व सामाजिक संरचनाय् लाःवंगु प्रभाव आदिया जानकारी हलिंन्यंक प्रवाह यायेगु ‘मिसन’ यात बः बिइ । समग्रय् धाये, झीसं थःगु योगदानया स्वामित्व ग्रहण यायेत आः नं न्ह्यमचिलेगु खःसा, राज्यया नीतिनिर्माणया तगिंमय् थः नं थहां मवनेगु, मेपिंत नं थत मछ्वयेगु खःसा ‘जि वया ला लच्छि मदुनि’ थें हे झीगु श्रृजना व कृति अःपुक्क हे मेपिनिगु ‘शान’ जूवनी । पोताला व बोरोबुडुरया न्ह्यसलय् थें हे नेवाःतय्गु योगदान सुनां सिइ तकं मखु । उकिं सकलसिनं नुगलय् तये, झीगु मंकाः ल्वय् ‘मनोगत चिन्तन व आत्मकेन्द्रीत व्यबहार’यात छखे चिइकाः सुयाके छु सीप, खुबी व क्षमता दु, उकियात छ्यलाः झीगु म्हसीकायात राष्ट्रिय अन्तर्राष्ट्रिय ख्यलय् चकंका यंकेगु बाहेक मेगु विकल्प झीगु न्ह्यःने मदये धुंकल । च्वमि महाजु फाउण्डेशन, ख्वपया नायः लिसें बहुभाषिक नेपालभाषा संकिपा ‘च्वाफय्’या परिकल्पनाकार, अनुसन्धानकर्ता व कार्यकारी निर्माता खः । "
https://nepalbhasatimes.com/20185,नेवाःख्यः,  ,भैलःखः हानं चकनाचुर,ख्वप- बिस्काःया झ्वलय् थुगुसी ख्वपय् लिपांगु दिं बैशाख ५ गते बहनी लिबाक तक भैलःखः सालेगु झ्वलय् खःया नितँ पौ हे लिहांवःगु दु । थःनेपाखे भैलःखः सालेगु झ्वलय् गोल्मढी तक हयाः लित यंकेगु झ्वलय् सुखुध्वाखाया चण्डेश्वरी वनेगु गल्लिइ थ्यनेवं छेँय् न्यानाः उकिया नितँ पौ छ्वम्र्हू वंगु खः । अथे खःसां उकी लानाः छुं अप्रिय घटना धाःसा मजुल । गजू सहित नितँ नापं                                                         छ्वम्र्हुक भैलःखः स्यंगु सम्भवतः थ्वहे न्हापांखुसी खः । अज्याःगु घटना आः तक गबलें हे मजूगु खँ ख्वपय् बय्बय् जुयाच्वंगु दु । थुगुसी भैलःखः नं क्वःने हे स्यंकेत्यंगु दु । आः भैलःखःयात तेखापुखुली थ्यंकाः त्वःतातःगु दु । लिपांगु दिं टौमढी थ्यनेवं भैलःखः जात्रा क्वचायेकेमाःगु खःसां चान्हय् १२ बजे तक थःनेपाखे लानाच्वंगु भैलखः क्वःनेपाखे न्ह्याना वनेवं हे टौमढीइ मदिकुसे हाकनं सुरुं थें यानाः अय्सामरी कुंचाय् खः फहीकाः सातुसालाः क्वःनेपाखे यंकेत ताःलाःगु खः । चान्हय् २ बजे भैलःद्यः व बेताल भैरवया न्हूगु मूर्ति लिकया हयेवं जात्रा क्वचाःगु खः । वयां लिपा द्यः थहां बिज्यायेकेगु विधि क्वचायेकूगु खः । भैलःखः आः तेखापुखुली दु । जात्राया झ्वलय् म्हीग हानं अप्पां कयेकाः ल्वापु जुयाः छुं मनूत घाःपाः नं जूगु दु ।
https://nepalbhasatimes.com/20195,नेवाःख्यः,  ,नवदुर्गा द्यःयात हासा पाय्पाःगु लप्ते,"ख्वप- सनिवाः ख्वपय् राष्ट्रपति विद्यादेवी भण्डारीं द्यः ब्वयेकेगु झ्वलय् नवदुर्गायात छाःगु ब्व चर्चाया विषय जूवन । न्हापा लिपा सर्वसाधारण भ्वय्ब्व तइबलय् उलि तपाःगु लप्ते छ्यलेगु मयाः । तर नवदुर्गा द्यः ब्वयेकीगु इलय् तइगु भ्वय्ब्व धाःसा तसकं हे तपाःगु ब्व तयाः भ्वय्ब्व तःगु खनेदत । नवदुर्गा गणया कथं उगु भ्वय्ब्व ४८ सेन्टिमिटर दुगु लप्ते जुइमाःगु खः । शास्त्रीय नियम कथं हे थथे जुइमाःगु उमिगु मान्यता दु । ब्व छपाः दयेकेत हे झिथू लप्ते माः । अले छपाः लप्तेया मू नं ९० तका तू । थ्व पुजाय् लप्तेया लागिं जक झिंच्याद्वः दां खर्च जूगु नेपाल उद्योग वाणिज्य महासंघया पुलांम्ह उपाध्यक्ष कृष्णप्रसाद ताम्राकारं नेपालभाषा टाइम्सयात कनादिल । थ्वयां न्ह्यः नं वय्कलं थज्याःगु कथं दँय्दसं नवदुर्गाया द्यः ब्वयेकेगु ज्या यानादीगु खः ।                                                         ख्वप नगरपालिकां लाय्कू लागाया चक्कंगु थासय् मयाके धुंकाः थःपिं जिल्ला समन्वय समितिया चौरय् च्वंगु स्वंगू रोपनी जग्गाय् उगु ब्व छायेगु ज्या यायेत बाध्य जूगु खँ न्ह्यथँसें वय्कलं आवंनिसें दँय्दसं हे लाय्कू दथुइ हे थ्व नवदुर्गाया द्यः ब्वयेकेगु ज्या थम्हं यानां हे त्वःतेगु खँ कनादीगु दु । आः थें हे नियमित ब्व छाइगु इलय् फछि सबुं स्वफा बजि तयाः ब्व छाइ । उगु ब्वय् ला व लापी, तकूला, वाउँचा, सिंके, क्वाःघासा, वाउँचा, आलु, चना, पालुक्व, लाभा, मुस्या, भुति, सिमि लगायत थीथी परिकार छाइगु खः । थज्यागु विशेष ब्व टौमढीइ न्यातँपौ देगःया स्वसःदँ क्यंगु इलय् स्वमुरि बजि तये जीक लप्ते तःगुयात आः तकया दकलय् तपाःगु लप्ते धाइ ।"
https://nepalbhasatimes.com/51158,नेवाःख्यः,११४३ चिल्लाथ्व दशमी,देय् दबूया संस्था संचालन तालिम क्वचाल,"येँ(नेपालभाषा टाइम्स)-नेवाः देय् दबू कैलाली जिल्ला समितिया ग्वसालय् संस्था संचालन सम्बन्धी तालिम जूगु दु । देय् दबू कैलाली जिल्ला समितिया ग्वसालय् संस्था संचालन सम्बन्धी छन्हुया प्रदेशस्तरीय अभिमुखीकरण तालिम जूगु खः ।                                                         धनगढी उपमहानगरपालिकाया रामजानकी द्यःया सभाहलय् जूगु तालिम समापनय् देय् दबूया केन्द्रीय न्वकु रश्मिला प्रजापति मूपाहांकथं झायादीगु खःसा देय् दबूया मेम्ह केन्द्रीय न्वकुलिसें सुदूरपश्चिम प्रदेश इन्चार्ज विकास श्रेष्ठ विशेष पाहांकथं झायादीगु खः । उगु तालिमय् देय् दबू सुदूरपश्चिम प्रदेश समितिया पदाधिकारीलिसें देय् दबूया कैलाली, कञ्चनपुर, डोटी, बझाङ, बैतडी, डडेल्धुरा जिल्ला समितिया पदाधिकारी नापं थीथी नगर समिति, सम्बद्ध खलः, पुचः, गुथिया पदाधिकारीपिंसं ब्वति कयादीगु खः । अथे हे उगु तालिमय् नेवाः मिसा दबू प्रदेश, जिल्ला व नगर समितिया पदाधिकारीपिंसं नं ब्वति कयादीगु खः । मूपाहांकथं झायादीम्ह प्रजापतिं संस्था संचालन यायेगु थीथी पक्षयात कयाः आधारभूत तालिम बियादीगु खःसा उगु इलय् नेवाः देय् दबूया साधारण दुजः इनेगु ज्या नं याःगु खः । साधारण दुजः इनेगु देय् दबूया अभियानयात निरन्तरता बीगु झ्वलय् प्रदेशया थीथी जिल्लाया नेवाःतय्त देय् दबूया साधारण दुजः दयेकेगु ज्या जूगु खः ।"
https://nepalbhasatimes.com/50972,नेवाःख्यः,११४३ सिल्लागा आमै,एकेदेमिइ कवयित्री मय्जुपिनिगु साहित्यिक ज्याझ्वः,"किपू(नेपालभाषा टाइम्स)- नेपालभाषा एकेदेमिइ नेपालभाषा कवयित्री मय्जुपिनिगु साहित्यिक ज्याझ्वः जूगु दु । एकेदेमिया साहित्य कवःया ग्वसालय् वंगु शनिवाः ‘मुखू ब्यंगु कविताया सवाः’ नामं उगु साहित्यिक ज्याझ्वः जूगु खः ।                                                         मिसापिंत जक चिनाखँ च्वकाः नेपालभाषा काव्य ख्यःयात चकंका यकेगु व थुकियात अभियानया हे रुपय् न्ह्यःने यंकेगु तातुनाकथं उगु ज्याझ्वः जूगु खः । एकेदेमिया साहित्य कवःया ग्वसालय् चरणवद्ध रुपं न्ह्यानाच्वंगु ज्याझ्वः अन्तर्गत शनिवाः जूगु सृजनात्मक चिनाखँ च्वज्या व कार्यशाला गोष्ठिया निगूगु चरणया ज्याझ्वलय् झिंखुम्ह कवयित्रीपिनिगु चिनाखँ झिंप्यम्ह कवयित्रीपिंसं पाठ यानादीगु खः । ज्याझ्वलय् न्हूपिं कवयित्रीकथं पिलू वःपिं रोनिका श्रेष्ठ, युक्ता वज्राचार्य, ज्ञानकेशरी श्रेष्ठ, दिलकुमारी महर्जन, सविना महर्जन, रुपा शाही, रहेना नकःमि मानन्धर, मिनर्भा शर्मा, विनिता वज्राचार्य, मिमला शर्मा, हिसिलिना शाक्य, शोभा महर्जन, कृता वज्राचार्य, विणा नेम्कुल, मन्दिरा श्रेष्ठ, मञ्जुसिंह श्रेष्ठं थःथःगु रचना पाठ यानादीगु खः । वय्कःपिंसं पाठ यानादीगु चिनाखँयात कयाः साहित्यकारलिसें समालोचक ध्रुव मधिकःमि व नेपालभाषा केन्द्रीय विभागया प्रमुख सह प्रा. रास जोशीं कविताया भाषा, लेखन शैली, साहित्य व सौन्दर्यतानापं थीथी पक्षयात कयाः टिप्पणी यानादीगु खः । ज्याझ्वलय् नेपालभाषा साहित्य ख्यःया नांजाःपिं कविपिं सुरेश किरण, राजेन्द्र पुता, नवीनप्रकाश श्रेष्ठ, वसन्त नकःमि, राज अक्षोभ्य, कविन्द्रलाल प्रधान नापं न्हू पिलू वःम्ह राजेन्द्र महर्जनं पाहांकथं चिनाखँ ब्वनाः न्यंकादीगु खः । भाषाविद् नापं समालोचकलिसें संयुक्त राष्ट्र संघया आइएलओय् उच्च प्राविधिकया रुपय् ज्या यानाः विश्वन्यंकं मिसा सशक्तिकरणय् ज्या यानादीधुंकूम्ह नांजाःम्ह व्यक्तित्व ड. ज्योतिप्रभा तुलाधरया अवधारणाकथं वय्कःया हे संयोजनय् उगु ज्याझ्वः जूगु खः । स्वंगू चरणय् न्ह्याइगु ज्याझ्वःया न्हापांगु चरणया ज्याझ्वः वंगु वालय् जक जूगु खःसा शनिवाः निगूगु चरणया ज्याझ्वः जूगु खः । एकेदेमिया चान्सलर यज्ञरत्न धाख्वाया सभापतित्वय् न्ह्याःगु ज्याझ्वलय् साहित्य कवःया कजि त्रिरत्न शाक्यं लसकुस यानादीगु खःसा एकेदेमिया दुजः कवयित्री मय्जु रजनी मिलाया सह संयोजनय् उगु ज्याझ्वः जूगु खः ।"
