headline,date,final_news,url
सिद्धिदासया झ्वाता दयेकेत वःगु २२ लाख ध्यबा गन तन ? ,"Posted on Sun Sep 26, 2010  11:08 pm NST",महाकवि सिद्धिदासया झ्वाता (शालिक) दयेकेत धकाः छुं दँ न्ह्यः येँ महानगरपालिकापाखें २२ लाख तका ध्यबा वःगु खँ २७ वडाया तत्कालिक महिला नसस रत्नदेवी कसालं यात कनादीगु दु । तर उगु ध्यबा गबले गन तन धैगु खोजीया विषय जुयाच्वंगु दु । येँ महानगरपालिका २७ वडाया वडाध्यक्ष बाबुराजा महर्जनया कार्यकालय् सिद्धिदासया झ्वाता दयेकेत २२ लाख तका ध्यबा निकास जुयाः थुकिया लागि पहल जूगु खः । थ्व ज्या अबले बांलाक न्ह्याये मफुत । लिपा येँ महानगरपालिकाय् पदाधिकारीत हिले धुंकाः थुकिया बारे थप छुं ज्या जुइमफुगु जक मखु दुगु बजेट नं गन गन जुइक तनावन । थुकिया बारे भाषिक कार्यकर्तात व विशेष यानाः दँय् दसं सिद्धिदास बुदिं हनेगुलिइ न्ह्यःने वयाच्वंगु नेपालभाषा मंकाः खलःपाखें पहल यानाः तथ्य लुइकेमाःगु खनेदु ।,http://www.nepalmandal.com/content/9930.html
गाईजात्रा टु गेजात्रा ,"Posted on Thu Mar 5, 2009  7:11 am NST",थ्वहे वइगु मार्च ६ व ७ तारिख शुक्रवाः व शनिवाः सं.रा.अमेरिकाया वाशिंग्टन राज्यय् जुइत्यंगु 'साय्कपाय्न' सम्मेलनय् भाजु सुभाषराम प्रजापतिं 'गाईजात्रा टु गेजात्रा - ए केस अफ कल्चरल कन्फ्लिक्ट इन काठमाण्डू' (येँया सापारुलिसे सांस्कृतिक विचलन व मतभेदया नमूना अध्ययन) विषयया छगू कार्यपत्र न्ह्यब्वयादीत्यंगु दु । साय्कपाय्न सम्मेलन उत्तर पश्चिम सं.रा. अमेरिकाय् जुइगु दक्षिण एशियाली देय्तय्गु थीथी सामाजिक व सांस्कृतिक मुद्दायात ल्व्हनाः बहस याइगु छगू सम्मेलन खः ।,http://www.nepalmandal.com/content/828.html
न्ह्यात -  स्वस्थानी बाखं ,"Posted on Sat Jan 10, 2009  9:55 am NST",लच्छियंकं हनीगु स्वस्थानी व्रत व स्वस्थानी बाखं कनेगु थौं संचवाःनिसें न्ह्याःगु दु । मिलापुन्हिनिसें सिपुन्हितक लच्छियंक छेँय्छेँय् स्वस्थानी बाखं कनेगु व फुपिन्सं न्हिंन्हिं निसी यानाः छछाः नयाः मनं तुनागु पूवनेमा धकाः स्वस्थानीया अपसं च्वनेगु परम्परा दु । आःतक लूगु अभिलेख कथं राष्ट्रिय अभिलेखालय् दुगु ने.सं. ६९३ या बाखं हे दक्कले पुलांगु स्वस्थानी बाखं खः । संस्कृतभाषाया स्वस्थानीपाखें नेपालभाषाय् स्वतन्त्ररुपं च्वयातःगु थुगु सफूपाखें हे मेमेगु स्वस्थानी बाखं विकसित जूगु कथं कायेग याः । माघ लच्छि कनीगु स्वस्थानी बाखंयात गां गामय् गोमय्जुया बाखं धकाः नं धायेगु यानाच्वंग दु । माघ लच्छि कनीगु थुगु स्वस्थानी बाखं लिसें लच्छियंकं सुथ न्हापां दनाः माधवनारायण धकाः खुसिइ माघ म्वः ल्हू वनीगु लच्छितक पशुपति महाद्यःयाथाय् द्यइके वनीगु किरातेश्वमहाद्यःया दर्शन यायेगु चलन थौंतक ल्यनाच्वंगु दनि । थुगु लच्छि सक्वय् विशेष मेला जुइगु संस्कृति दु ।,http://www.nepalmandal.com/content/629.html
"छेँ छेँय् न:लास्वां पिल, मोहनि नख: न्ह्यात ","Posted on Sat Sep 19, 2009  3:17 pm NST","हिन्दू धर्मालम्बीतय् दकलय् तःधंगु व ताः हाकःगु नखः मोहनि थौं नं निसें न्ह्याःगु दु । थ्व नख: कौलाथ्व पारु निसें पुन्हि तक बाःछि हनी । मोहनि असत्ययात सत्यं त्याकूगु, मनू व द्यःतय्त दुःख बिइपिं दानव, राक्षसतय्त स्यानाः शान्ति सुरक्षा कायम जूगु लसताय् हनीगु नखः खः । थुगु नखःया न्हापांगु न्हि थौं छेँ छेँय् सुचुकुचु यानाः पुजा क्वथाय् नःलास्वां पिउगु दु । पुजा क्वथाय् चायागु भ्यगतय् प्यँफुछि निपगु फि वा पँचा वा नितां ल्वाकछयानाः तइ । उकी न्ह्यत खुन्हु फ्वयातःगु तछ्व वा कःनि पिनाः चा प्याक्क नीलः ह्वलाः मेगू भ्यगतं त्वपूइ । त्वपूयाः ख्यूंथाय् ब्वलना वइगु व म्हासुसे च्वनीगुलिं थुगु भ्यगतयात त्वपूयाः ख्यूंथाय् तइ । थुकीयात चालं कुन्हु पुजा यानाः क्वकाइ । थौं नं मेमेगू नखःवलय् थें नित्य पुजा यायेधुंकाः त्वाःयाम्ह गणेद्य व मेमेपिं द्येगलय् नापं आगंछेँय् आगंद्यः थाय् देय्के वनीगु चलन दु । शरद ऋतु जूगुलिं मज्जां फय् वइगुलिं थ्व न्हि कुन्हु न्ह्यइपुक्क भुतुमालि ब्वयेकी । भुतुमालि ब्वयेकाः इन्द्रयात वा वयेके म्वाःल गात धकाः सूचं बिइगु धाइ ।",http://www.nepalmandal.com/content/3996.html
शंखधरया झ्वातालय् स्वांमाः देछात ,"Posted on Tue Oct 20, 2009  8:56 pm NST","प्रधानमनन्त्री माधवकुमार नेपालं न्हूदँया लसताय् सोमवाः सुथय् नेपाल संवत्या प्रवर्तक राष्ट्रिय विभूति शंखधर साख्वाःया झ्वातालय् स्वांमाः क्वख्येकादीगु दु । उगु ज्याझ्वलय् न्ववानादिसें प्रधानमन्त्री नेपालं नेपाल संवत्यात व्यवहारिक रुपं लागु यायेगु निंतिं याकनं हे छगू कार्यदल गठन यायेगु प्रतिबद्धता प्वंकादिल । राष्ट्रिय विभूति शंखधर साख्वाः प्रतिष्ठानं ग्वसाःग्वःगु ज्यझ्वलय् नेपाली कांग्रेस संसदीय दलया नेत रामचन्द्र पौडेल, नेता प्रकाशशरण महत, राप्रपा अध्यक्ष पशुपति शम्शेर जबरा, नेवाः देय् दबूया संरक्षक मल्ल के. सुन्दर, जनजाति महासंघया नायः पासाङ शेर्पां थःथःगु नुगः खँ प्वंकादीगु खः । प्रतिष्ठानया नायः मदनकृष्ण श्रेष्ठया सभापतित्वय् जूगु उगु ज्याझ्वलय् प्रतिष्ठानया संरक्षक ज्ञानराम श्रेष्ठ, उपाध्यक्ष राजेन्द्र मानन्धर व सचिव श्यामकृष्ण मानन्धरं नं न्ववानादीगु खः ।",http://www.nepalmandal.com/content/4517.html
क्वचाल - गनं मदुगु जात्रा ,"Posted on Mon Oct 5, 2009  9:27 pm NST",गनं मदुगु जात्रा नरलय् धाइगु खँ सकस्यां स्यूगु हे  खः । कति पुन्हिया कन्हय् खुनु जुइगु नरःया नारायण द्यःया जात्रा थौं क्वचाल । थथु त्वालं नारायण द्यःया द्यःखः दथुत्वाः जुयाः क्वत्वाः कोटाल व न्यलिमय् यंकीगु खःसा अनं च्वंगु द्यःखः नापं थथु त्वालय् हइगु खः । थुगु इलय् थाय् थासय् पूजा काइगु खः । लिपा थथु त्वालय् थ्यंकाः उगु जात्रा क्वचाइगु खः । व लिपा हाकनं थःथःगु थासय् द्यःखः यंकी । द्यःया छत्र क्वय् व द्यः खःया च्वय् तयाः जात्रा याइगु जुगुलि हे थुकियात गनं मदुगु जात्रा धकाः धयातःगु जुइमाः । उगु जात्राय् परम्परागत बाजागाजा सहित स्थानिय बासीतय्गु आपालं ब्वति दुगु खः ।,http://www.nepalmandal.com/content/4238.html
डा. कमलप्रकाश मल्लया मिखाय् नेपालभाषा तःखँग्वः धुकू ,"Posted on Sun Jun 27, 2010  12:54 am NST","नकतिनि नेपालभाषा एकेदमिपाखें पिदंगु इन्द्र मालीं सम्पादन यानादीगु ""नेपालभाषा तःखँग्वः धुकू"" नेपालभाषाय् छगू तःजिगु उपलव्धि जूगु खँय् निगू मत दइमखु । थुगु हे खँग्वः धुकू बारे भाषाविद डा. कमलप्रकाश मल्लं नेपालमण्डल डट कमयात प्व‌कादीगु बिचाः थन न्ह्यब्वया च्वना । १. थुगु खँग्व धुकूयात व्यवहारिक व विस्तृत दयेकेगु लिसे  न्हियान्हिथं  ज्यला वयाच्वंगु खँग्वःयात फयांफक्व समावेश यायेगु कुतः जूगु दु । थ्व सकतां छगुलिइ हे यायेगु थाकुगु ज्या खः । २. अंग्रेजी व संस्कृत पाखें कयात:गु खँग्व:त गुगु न्ववायेगु इलय् छ्यलाबुलाय् वइमखु उकियात उदारवादी विकल्प दयेकेगु थुकीया लक्ष्य ख: । ३. सम्पादकीय म्हसीकाय् आशा यानात कथं अंग्रेजी व नेवा: भाषाय् संज्ञाया सहायक प्रविष्टिइ प्रत्यय सहितया संज्ञा जक मखसें व्युत्पति, समास वाक्यांश नं दुथ्याइ । 'गां' छगू प्रविष्टि बाहेक मेगू छुं नं प्रविष्टि Case Endings सहित मदु । अले म्हसिकाय् धयात कथं प्रविष्टि Cross referred मदु । ४. क्रियाया प्रविष्टिइ समास, व्युत्पति व वाक्यांश आदि दुथ्याका तःगु दु तर क्रियाया प्रकार आदि (सकर्मक/ अकर्मक, योजक,  प्रेरणार्थक  आदि)   सम्वन्धय् छुं जानकारी मदु । ""च्वये"" धाःगु क्रियाया स्वंगू अलग्ग प्रविष्टि दु तर गुगु क्रियाय् भूतकालय् ""त"" वा ""ल"" लितँसा च्वनी (च्वल वा च्वत जुइ) धैथेन्याःगु सामान्य जानकारी नं मदु । ५. सत्यमोहन जोशीया न्ह्यखँय् गल्ती दु । गथेकि A Dictionary of Classical Newari (2000) द्विभाषिक अमरकोशपाखें संकलित खँग्वधुकू मखु । योर्गेन्सनया खँग्वःधुकू १९३६ या खः, कंसाकारं च्वयादी थें १९४१ या मखु । ६. तेजरत्न कंसाकारया “म्हसीकां"" परिमार्जित देवनागरीं नेपालभाषा ध्वनि विज्ञानयात पूर्ण रुपं न्याय याइ धयागु आभास ब्यू । वय्कलं थथे न्ह्यथनादीसां उदाहरण धाःसा बियादीगु मदु । ७. गुलिखे सांस्कृतिक खँग्वः त्वःफ्यूगु दु । संग्रहित खँग्वः नं मालेत सुलभ मजू । गथेकि “द्यः गमय् तये”, “लगला चुयेके” खँग्वःत दुथ्याःगु मदु । ८. नेपालभाषा च्वज्याय्  गनं गनं छ्यलाच्वंगु अंग्रेजी व संस्कृत खँग्वः प्रचुर मात्राय् दुथ्यानाच्वंगु दु । ९. वाक्यांस व समास खँग्वःत मालेत थाकु ।  गुलिं खँग्वः मेगु खँग्वःया प्रविष्टिइ दुथ्याकातःगु दुसा गुलिखेया चाहिं अलग्ग हे प्रविष्टि  दु । १०. खँग्वः धुकुतिइ दुथ्याःगु  व्याकरणिक चिं व तत्सम/तद्भव  खँग्वःया मूल श्रोत आदिया संक्षिप्तीकरणया छुं सूची बियातःगु मदु । ११. क्रिया प्रविष्टि व संज्ञा प्रविष्टि  निगुलिइ नं  सम्पादकीय म्हसीकाय् न्ह्यब्वयातःथेंन्याःगु मोडल पालना जुयाच्वंगु मदु । १२. खँग्वयाः प्रविष्टिइ  मेगु खँग्वःया  विस्तार व माः हना (nesting) ताःहाकः । गथेकि पेज ४९९ य् लत्या खँग्वलय् ""लत्या ग्वारा"" व ""लत्यापा"" सहायक प्रविष्टि कथं दुथ्याका तःगु दु । ""लत्या ग्वारा"" व ""लत्यापा"" खँग्वःया ""लत्या"" इलिसे छुं नं सम्वन्ध मदु, न त थुपिं खँग्वः ""लत्या""पाखें उत्पन्न जूगु व्युत्पति खँग्वः खः न  त समास हे खः । १३. छगु हे खँग्वः मूल प्रविष्टि व सहायक प्रविष्टिइ दुथ्याना च्वंगु दु । १४.  व्यक्तिवाचक संज्ञा  (गथेकि देशया नां) या लागि अलग्ग श्रेणी  दयेका तःगु मदु । १५.  पाश्चात्य शिक्षा दुपिं नेवाःतय् खँल्हाबल्हाय् वइगु खँग्वःनिसें कयाः चित्तधरया काव्यय् दुथ्याःगु खँग्वःतक नं थुगु खँग्वः धुकुतिइ दुथ्याका तःगु दु तर गुलिखे बोलचालया खँग्वः, खँत्वाः/खँभाय् मूल प्रविष्टि व सहायक प्रविष्टि मालेत थाकु ।",http://www.nepalmandal.com/content/8773.html
माया-मतिनाया पर्व अबिर रंगयाया नखः होली चीर थनाः सुरु ,"Posted on Mon Feb 22, 2010  2:46 pm NST",होली प्राचिन कालं निसें बसन्त ऋतुइ लाइगु तसकं न्ह्याइपुसेच्वंगु छगू विशिष्ट पर्व खः । बसन्त ऋतुइ रोगब्याधी मदया ताःन्वः चिकु मजुइगु म्ह स्वस्थ जुयाः मन आनन्दित जुयाच्वनीगु ई खः । स्वांमाय् चुलि ह्वयाः नस्वाना लकस बांलाइगु ई खः । झीगु नेपाः देशय् थ्व पर्व भारत पाखें वःगु धाइ । न्हापा न्हापा रसरंग यायेत बसन्त महोत्सव कथं रंगं लुकाः होली म्हितेगु चलन दु । न्यने दुकथं मल्ल जुजु गुणकामदेवया पालय् धालसिक्वय् च्वंपिं तूचिकंया साःतया वःपिं साय्मि खलःतयेत चीर स्वायेगु जिम्मा लः ल्हानातःकथं आःतक नं हनुमानध्वाखा लाय्कुया न्ह्यःने माहेनकाजि चुकय् चीर स्वायेगु यानावयाच्वंगु दु । मल्लकाल व राणाकालया परम्परागत मेगु चीर धाःसा हनुमानध्वाखाया पश्चिम मूलुखा न्ह्यःने तयातःगु दु । शाह जुजु पृथ्वीनारायण शाहया पालय् मल्ल जुजुपिन्सं गाडेयाइगु चीर स्वयां विस्कं कथं रामं रावण बुकाः त्याकूगु उत्सवकथं होलिका दहन पर्व व कृष्णद्यःपाखें चीर हरण याःगु लुमन्तिइ रंगीचंगी कापःया चीर स्वानाः वयाच्वंगु दु । चिल्लाथ्व अष्टमि निसें चिल्लाथ्व पुन्हि च्यान्हू तक हनीगु थुगु पर्वया सुरुया दिं चिल्लाथ्व अष्टमिकुन्हू थाय्थासय् चीर स्वायेगु यानाः चीर अष्टमि वा होली अष्टमि न्यायेकी । चीर थनेवं होली सुरु जूगु धायेगु परम्परा दु । दलके लिपा चिल्लाथ्व पुन्हिखुन्हू चीर क्वथला दाह याइ गुकियात होली पुन्हि धायेगु याः । चीर येँया हनुमान ध्वाखा लाय्कुया मूलुखा न्ह्यःने ख्वप लाय्कू व यल लायकूया कृष्ण देगः न्ह्यःने सिमा कचाय् थीथी कापःया टुक्रा स्वानाः चीर स्वाइसा बसन्तपुरय् नीगू फिट ताःहाकःगु पथय् स्वंगु तल्लाया छत्रथें गोलाका रंगीचंगी कापः चिनाः यःसिं थंथें साइस स्वयाः साय्मितय्सं थनेगु याइ । थ्वहे भुवःयात निरन्तरता बियाः फागुण १० गते सोमवाः हुनमानध्वाखाया मू लुखा न्ह्यःने ७ बजे जुया ५१ मनेटया साइटय्  सिमा कचाय् चीर स्वाना होली पर्वया सुरु यात । उगु इलय् होलीया म्ये लोक लयय् हालेगु ज्या तकं जुल । अथेहे उगु हे साइटय् बुसन्तपुर कुमारी छेँ न्ह्यःने नं नीगू फिट ताःहाकःगु पथय् स्वंगु तल्लाया छत्रथें गोलाका रंगीचंगी कापः चिनातःगु चीर यःसिं थंथे थनेगु ज्या जुल । उगु इलय् गुरुजुया पल्टनं हर्ष बढाइ याना स्वंगः तोपया सलामि नं ब्यूगु खः। चीर थने धुंकाः स्थानिय मनूतय्सं होली सुरु जूगु प्रतिक कथं अविर छ्वाकाः अविर इका होली सुरु यात । उगु हे साइटय् यल लायकू न्ह्यःने कृष्ण देगलय् नं चीर थन । चीर छाय् थनेगु यात धैगु बिषयसं स्वयेगु खःसा चीर धैगु वसः अले वसः इज्जतया चिं खः । द्वापर युग अर्थात् दैविकालय् गोकुलय् कृष्णं थीथी लिला क्यंगु मध्ये छगू रास लिला खँनाप स्वापू दुगु धाइ । भारतया बृन्दाबन गोकुलया गोपीनित छन्हू यमुना खुसिइ म्वःलुहइत थःपिनिगु वसः दक्वं खुसि सिथय् तयाः थःपिं खुसिइ दुनां च्वंगु जुयाच्वन । उगु इलय् कृष्णं नं गोपीनित म्वःल्हुयाः च्वंगु यमुना खुसिइ थ्यंकवल । गोपिनीतय्सं वसः त्वःता म्वःल्हुयाच्वंगु कृष्णं खनाः दक्वः वसः कयाः सिमाय् खानाः म्हःल्हुया च्वंपिं गोपिनीतय्त हायेका यात । थथे कृष्णं थःपिनिगु लँ सिमाय् खायाबिइवं गोपिनीतय्सं आवली थःपिं गबलें पचिनांगाः म्वःलुहइमखु अनुसाशनय् च्वनाः चीर तयाः म्वःलुहइ धकाः बाचा यायेवं कृष्ण गोपिनीतय्गु वसः लितविल । थुगु लिलायात चीर हरण धायेगु यानावयाच्वंगु दु । उकिया हे लुमन्तिइ होली पर्व सुरु जूगु व चीर स्वायेगु धकाः गोपिनीतय्सं वसः कृष्णदेवं सिमाय् खायाब्यूगु प्रतिक कथं चीर थनेगु यानावयाच्वंगु खः । होली पुन्हिया धार्मिक किम्वदन्ती स्वयेगु खःसा हिरण्यकशिपु जुजुं थः विष्णुभक्त काय् प्रल्हाद यात अनेक कथं विष्णुया भक्ती त्वःतकेत जुक्ति पिकायेगु यानाच्वन । तर गबलें ताःमलात । अथेजूगुलिं थः काय् प्रल्हादयात स्यायेगु बिचाः यानाः थः केहेँ मिं भष्म यायेमपुूम्ह धयातःम्ह होलीकायात सःता होलीका नापं प्रल्हादयात मि होमेयायेगु ज्या तकं यात । तर दुर्भाग्य मिं विष्णुभक्त प्रल्हादयात छुं हे मजू मिं भष्म मजुइगु बरदान कयातःम्ह होलीका थः हे मिं भष्म जुल । थुकथं सत्यया न्ह्यःने असत्य पराजित जूगु व होलीका नाश जूगु लुमन्तिइ होली पर्व हनेगु यानावयाच्वंगु खः । होलीपुन्हियात राष्ट्रिय पर्वकथं दकलय् लिपांगु दिं अथेधयागु चिल्लाथ्व पुन्हिकुन्हू छन्हू होली म्हितेगु निंतिं देय्न्यंकं विदा बीगु यानावयाच्वंगु दु । होली सहरय् जक मखु गां गामय् नापं तराई लागाय् तकं तःजिक हनेगु याना वयाच्वंगु दु । होली पुन्हिकुन्हू थाय्थासय् थनातःगु चीर क्वथलाः छगू क्वःछिनातःगु थासय् दहन यायेगु चलन दु । थुकथं दहन यायेवं होली क्वचागु धैगु मान्यता दु । बसन्तपुरय् थनातःगु चीर धाःसा क्वःथलाः तिंख्यलय् यंकाः दहन यायेगु चलन दु । होली पुन्हिया चान्हय् इतुंबहालय् गुरुमापायात म्येय् छम्हेसिया ला झिंनिफा जाकिया जा थुयाः उकियात ल्वय्क ल्वसाघासा दयेकाः किलाघःया ज्यापुतय्सं तिंख्यलय् भ्वय् नकेयंकेगु चलन दु । थ्व ज्या न्हापा विशेष यानाः पःमाय् जातिं यानाः वयाच्वंगु खःसा लिपा किलाघःया ज्यापुतय्सं जिम्मा काःगु धाइ । होली पुन्हिया दिं लोक लसय् होलीया म्ये हालाः होली म्हितेगु याइ ।,http://www.nepalmandal.com/content/6757.html
नेपाल संवतय् संक्रान्तिया प्रावधान ,"Posted on Thu Oct 28, 2010  11:07 pm NST","तिथिया छ्यलाबुला यायेगु स्वयाः गतेया छ्यलाबुला यायेगु अप्वः अःपुक व्यवहार जूथें ताः । अथेहे गतेया छ्यलाबुला स्वयां तारिखया छ्यलाबुला झन अप्वः व्यवहारिक जूथें ताः धाईपिं यक्व खनेदया वयाच्वंगु दु । धायेकि तिथि कथं न्हि ल्याःखायेबलय् गुबलें तिथि तुत जुइगुसा गुबलें तिथि निन्हु क्यनीगु जुया वयाच्वंगु यक्वसिनं सिउ । उकिं तिथिया व्यवहार उलि अःपु मजू धाइसा गते कथं न्हि ल्याःखाये हे अःपु धाइ । अझ गते स्वयां नं अःपुक छ्यलाबुला यायेतला तारिख हे जिउ धाईपिं नं अप्वः खनेदया वयाच्वंगु दु । गते धायेबलय् नं गुबलें २९ न्हुया लच्छि जुइसा गुबलें ३२ न्हुया लच्छि जुइ । व स्वयां ला तारिखया न्हि ल्याः खायेबलय् थ्व थ्व ला ३० न्हु व थ्व थ्व ला ३१ न्हु अले फेब्रुवरी छगू ला जक २८ न्हु जुइ । लिप एअर जुइबलय् छक्वः २९ न्हु जुइ धइगु जक लुमंकूसा गाः धाईपिं खने दयाच्वंगु जुल । जब जब नेपाल संवतया चर्चा जुइ, उबले तिथि छ्यलाबुला यायेगु उलि सहज मजुया हे धायेला नेपाल संवतयात व्यवहारिक यायेमाल धाःसां जुइ फयाच्वंगु मदु । न्हापाला नेपाल संवतयात नेवाःतय्गु नेवाः संवत् धायेगु याना वयाच्वंगु खः । आः नेपाल संवतयात राष्ट्रिय संवत् धकाः राष्ट्रं हे मान्यता बियाः घोषणा नापं याये धुंकल । आः वयाः हाकनं नेपाल संवतयात व्यवहारय् छ्यलेत सुनां पनाच्वन थ्व धाये फयाच्वंगु मदु । धात्थें धायेगु खःसा थ्व छगू मछालापुसेच्वंगु खँ थें जुयाच्वन । खास थुकिया दोषी सु खः धायेबलय् झीहे स्वयम् नेपाःमित जुयाच्वंगु दु । नेपाल संवतयात राष्ट्रिय संवत् धकाः मान्यता बीकेत थुलिमच्छि दँ आन्दोलन न्ह्याकल तर आःतक नं खालि फि लुँ जुइगु बाखं जक घोके याकेफत । अले आःतक नं वहे बाखं घोके याकाच्वना छु याये ? आःतक थुकिं छु जुल ले ? थुकथं फि लुँ जूगु बाखं पत्या याकेधुंकालि नेपाल संवत् अःपुक छ्यलाबुला जुइमाःगु खः तर जुयाच्वंगु मदु । थुकिया चिउताः सुनां यायेगु  वास्तवय् थ्व विषयस बुलुहुँ न्ह्यज्यायेगु लागि दकले न्हापां नेपाल संवतया थःगु हे मौलिकता छु दु ले  वनि थुइके मालाच्वंगु दु । थ्वहे सन्दर्भय् नेपाल संवतया छ्यलाबुला जुयाच्वंगु इलय् नं संक्रान्तिया उल्लेख जुयाच्वंगु दसित नं यक्व हे दु । उकि मध्ये छगू निगू दसूत थथे दु । १. नेपाल संवत् ८१८ या ख्वप मालति चुकया अभिलेखय् थीथी नखःचखःबलय् छु छु सामाग्रीत तयाः पूजा यायेगु धइगु उल्लेख जुयाच्वंगुली 'विस्क्यात संक्रान्ति कुन्हु' धकाः न्ह्यथनातःगु दु । २. नेपाल संवत् ७१० यागु यल मंगलबजारया नरसिंह देगःया अभिलेखय् तिथि मिति प्रकरण् कार्तिक शुक्ल द्वितीया धयाः नं विच्छ संक्रान्ति कुन्हु धकाः न्ह्यथनातःगु दु । ३. नेपाल संवत् ८२९ यागु येँ हनुमानध्वाका तलेजुया कोतः पूजाभःस अंकित अभिलेखय् तिथि मिति प्रकरणय् चैत्रवदि १४ मेख संक्रान्ति अंगारवार कुन्हु धकाः न्ह्यथनातःगु दु । ४. नेपाल संवत् ८२९ यागु येँ हनुमानध्वाका तलेजुया नैवेद्य थलय् अंकित अभिलेखय् तिथि मिति प्रकरणय् पौष कृष्ण १४ मक्र संक्रान्ति धकाः न्ह्यथनातःगु दु । थुपिं अभिलेखया लिधंसा कयाः स्वयेबलय् नेपाल संवत् तिथिया कथं व्यवहार यायेमाःगु संवत् जुयाः व्यवहारिक जुइ मफयाच्वंगु धायेगु उचित खः धयागु जूसा उबले नेपाल संवतया व्यवहार जुयाच्वंगु इलय् नं संक्रान्तिया उल्लेख गथे जुयाः वल धइगु न्ह्यसः दं वइ । 'नागरखण्ड' धाःगु शास्त्रय् धयात कथं संक्रान्तिया अर्थ थथे बियातःगु दु कि सूर्य छगू राशि मेगु राशी वनी । उकिं छु राशी सूर्य च्वंवनी वहे राशिया संक्रान्ति जुइ धयातःगु दु । गुबले सूर्य धनु राशि त्वःताः मकर राशी च्वंवनी उकियात मकर संक्रान्ति धाइ । राशि धइगु १२ गू दु - मेष, वृष, मिथुन, कर्कट, सिंह, कन्या, तुला, बृश्चिक, धनु, मकर, कुम्भ व मीन । यदि मलमास अनला लगे जूसा नं वहे राशि जक दइ धयातःगु दु । मत्स्य पुराणय् नं संक्रान्ति व्रतया वर्णन यानातःगु दु । अथेहे स्मृति कौस्तुभ धइगु शास्त्रय् संक्रान्ति ४ गू कथं ब्वथलातःगु दु । १. निगू संक्रान्ति अयन संक्रान्ति - सूर्य उत्तरायण जुइबलय् मकर संक्रान्ति, सूर्य दक्षिणायन जुइबलय् कर्कट संक्रान्ति । २. निगू संक्रान्ति विषुव संक्रान्ति - मेष व तुला राशी च्वनीबलय् न्हि व चा बराबर जुइ । ३. प्यंगू संक्रान्ति षडशीति मुख - मिथुन, कन्या, धनु व मीन ४. प्यंगू संक्रान्ति विष्णुपरी - वृष, सिंह, वृश्चिक व कुम्भ थुकथं नेपाल संवतय् संक्रान्तिया प्रावधान दयाच्वंगु व संक्रान्तिया अर्थ स्वयेबलय् झीगु नेपाल संवत् चन्द्रमान कथं जक न्ह्यानाच्वंगु संवत् जक खः धायेमिछं । सौरमान प्रावधान नं खनेदयाच्वंगु यच्चुक सीदुगु जुल । यदि नेपाल संवतयात चन्द्रमान कथं न्ह्यानाच्वंगु तिथिया आधारय् न्ह्याइगु जूसा अन अनलाया प्रावधान छाय् वल ? अले संक्रान्तिया प्रावधान नं छाय् खनेदत ? वास्तवय् चन्द्रमान व सौरमान धयागु छगू हे म्वहःया निपाः ख्वाःपाः थें नेपाल संवतया निपाः ख्वाःपाः धाये थें खः । जव झीगु थ्व नेपाल संवतय् नं १२ गू संक्रान्तिया प्रावधान दुसेंलि अन गतेया प्रावधान दु धइगु यच्चुक सीदु । छाय्धाःसा हरेक संक्रान्तियात १ गते धकाः क्वःछी धुनकि झीगु नेपाल संवतया क्यालेण्डर अःपुक दयेके फइगु अवस्था खनेदु । नेपाल संवतया थःगु क्यालेण्डर दयेके मफयाच्वंगुया मतलब थुपिं खँय् ध्वाथुइके मफया जकं मखुला ? गथे - १. नेपाल संवतया मौलिक पहःचहः धइगु शुक्ल पक्ष न्हापां वइ अले कृष्ण पक्ष लिपा वइ । शुक्ल पक्ष न्हापां वइगु जूसेंलि कार्तिक शुल्क पक्ष धुंकाः वइगु कृष्ण पक्ष कार्तिक कृष्ण पक्ष धायेमाः थाय् मंसिर कृष्ण पक्ष धया वयाच्वन । थुकी सुधार यायेमफया जकं खःला ? २. नेपाल संवतया पहःचहः कथं थःगु मौलिकता अमान्तमान खःसेंलि अमान्तमानया प्रावधानयात हे अंगिकार याये मफया जकं खःला ? ३. नेपाल संवतया विशेषता धायेबलय् शुक्ल पक्ष न्हापा कृष्ण पक्ष लिपा धाये थें न्हि न्हापा चा लिपा वइ धइगु मथुया जक खःला ? अर्थात सूर्योदय निसें मेगु सूर्योदय मजूतले छगू दिन धाइ । थ्व खँ थुइके मफया जकं खःला ? ४. नेपाल संवतया वैज्ञानिकता धइगु तिथि कथं चन्द्र वर्षय ३५४ न्हिया छगू वर्ष जुइमाल तर अनलाया प्रावधान नापं कयातःगु जुयाः ३६५ न्हिया छगू वर्ष यानाः हे माने याना वयाच्वंगु खः धयागु ध्वाथुइके मफया जकं खःला ? यदि नेपाल संवतया दुने सुलाच्वंगु थुपिं फुक्क मौलिकतायात अंगिकार याना वनेफु धइगु जूसा थ्व संवतयात राष्ट्रिय संवत् धकाः घोषणा याःगु सार्थक जूवनीगु जुल । मखुला धइगु जूसा दँयदसं फि लुँ जूगु बाखं जक कनाः 'उलिंचिया बाखं थुलिंचा' धकाः जक चित्त बुझे यानाच्वनेगु स्वयां मेगु छुं उपलब्धि जुइ फइमखु धइगु खनेदु ।",http://www.nepalmandal.com/content/10428.html
