headline,date,final_news,url
नेवाः खलः पुचःतय्त इनाप ,"Posted on Mon Oct 13, 2008  10:37 pm NST",सम्पादकजु नेवाःतय्गु तजिलजि गतिविधित कःघानाः नेपाल टेलिभिजनय् न्ह्यब्वया वयाच्वंगु ज्याझ्वः सिने दबू प्रालिया 'मतिनाया स्वां' खः । थुगु ज्याझ्वः प्रत्येक सोमवाः बहनी ७ः३० निसें ८ ताःई तक एनटिभी-२ लय् बाघौ जक जूसां प्रशारण जुयाः नेवाःतय्गु मन त्याकाः धाथें मतिनाया स्वां जुयाः ह्वह्वं नं वयाच्वंगु दु । तर वंगु श्रावण महिनां निसें आकाझाकां थुगु ज्याझ्वलं दिपाः काःगु कालं तुं जुयाबिल । थौंतकं उगु स्वां ह्वया वये मफुनि । गुिकं यानाः नेवाः स्वकुमििपंत बांमलाक हे लिच्वः लाःवन । छन्हु न्यनेकने यानाबलय् थुकिया यथार्थ खँ सिल व खः प्रायोजनया अभाव । दच्छि तक ला ज्यूत्युं यानाः स्वां ह्वयेकूगु जुयाच्वन लिपा तसकं थाकुयाः बाध्यतावशं हे थथे दिपाः काःगु जुयाच्वन । थ्व छगू नेवाःतय्गु िनंितं तसकं दुर्भाग्यया खँ खः । छाय्धाःसां ह्वयाच्वंगु स्वांयात नं झ्वाः जुइका च्वनेमाल । ख नं खः प्रायोजन मदयेकं बांलाक सुथांलाक्क ला न्ह्याइ हे मखु । उिकं अथे न्ह्याकेत प्रायोजन मदयेकं हे मगाः । झीथाय् थुलिमछि ततःधंिपं नेवाः साहु महाजन धाःिपं दु उमिगु मन थुखेपाखे छाय् क्वसाः मवँसे मेमेगुली जक क्वसायेकाः काय मियाः च्यः न्यायेगु प्रवृत्ति ज्वनाः न्हाय् ध्यनाः सर्गः खंकाच्वन थुलिमछि नेवाः खलः पुचःत नं मदुगु मखु उमिसं नं छाय् म्हुतुइ धौ फिनाः लातां म्वाय् स्वः थें जक स्वयाच्वन छाय् याकः ख्वालं पुयाः स्वक्वः कौला यानाच्वन नेवाःतय्गु अधिकार भाषा तजिलजिया इलय् ब्यलय् खँ ल्ह्वनाः सभा गोष्ठीइ सः थ्वयेकाः नँ न्याः थें खँ न्यायेका जुईपं नेपालभाषाया खलः पुचःतय्सं थुकिया बारे चिउताः प्वंकाः हाकनं ुमतिनाया स्वांु ह्वयेका बीगुपाखे स्वयेम्वाः ला झन मदयाच्वंगु इलय् तनेमाःथाय् व नं दयाच्वंगु हे तनावनं नं छाय् सुनां नं ध्यान मबिल थ्व छगू विडम्बना हे खः । खालि नयेध्वंया नयेध्वं जक दयाः नेवाःतय्गु स्थिति वहे मुलुया वहे सुका जुयाच्वंगु खः । खालि भाषा भाषा धाल थौं थःगु भाषां न्ह्यानाच्वंगु ज्याझ्वलं दिपाः कालं तकं सुं खलः पुचःतय्सं छाय् छु जुयाः दिपाः काः वन धयागु खँय् चिउताः कयाः ह्वयेकेपाखे मस्वःगु खनाः तसकं अजू चाल । उिकं खलः पुचःतय्त नं थुगु ज्याझ्वःयात ह्वयेकेगुपाखे स्वयेत दुनुगलंनिसें इनाप यानाच्वना । - पुष्परत्न ताम्राकार 'स्वीटहर्ट'’ ३०५÷४७ न्यत काय्गःननि योगवीरिसंह मार्ग,http://www.nepalmandal.com/content/390.html
धर्मोदय सभाया न्हू ज्यासना पुचःयात भिंतुना ,"Posted on Sun Oct 19, 2008  2:38 pm NST",सम्पादकजु पं बद्रीरत्न बज्राचार्यजुया नायःसुइ न्हूधाः जूगु धर्मोदय सभाया न्हू ज्यासना पुचःया सकल दुजःपिं सल्लाहकार व धर्मानुशासनकजुपिंत दुनुगलं भिंतुना दु । धर्मोदय सभा राष्ट्रिय बुद्ध धर्माबलम्वीतय् मंकाः संस्था खः । धर्मोदय सभाया कुतलय् निक्वःमछि विश्व बौद्ध सम्मेलन नेपाः धर्मनिरपेक्ष राष्ट्र जुइमाः धइगु माग यानाः लाखौं मनूत सतकय् हयाः शान्ति पद र् याली यायेत ताःलाःगु संस्था खः । थ्व संस्थानाप आवद्ध संस्थात तःगू मछि संस्थात जिल्लाय् दु । आदिवासी जनजातित नं दुथ्याःगु छगूयां छगू बौद्ध संस्था धर्मोदय सभाया तःक्वःमछि ल्यज्या जुयाः ज्यासना पुचः पलिस्था जूगु इतिहास दु । उबलय् धर्मोदय सभा धार्मिक संस्था मखु ला आः जक धार्मिक संस्थाय् ल्यज्या याये मजिउ सहमति यायेमाः धकाः ल्यज्याया दक्व प्रकाशित ज्याझ्वः गथे क्वःदल थ्व सुयागु क्वपुलां बिचाःया फसं पुइकायंगु खँ खः थुकिया लिसः चित्तबुझे जुइक जःिपंत बीत इनाप दु । न्हापाया ल्यज्यां संस्थायात गुलि हानी नोक्सानी यात उकिया नं मूल्याङ्कन जुइमाः । देश प्रतिगमनं अग्रगमनपाखे समावेशी धर्मनिरपेक्षया लँय् न्ह्याः वनाच्वंबलय् सुयागुं धालखँय् वा प्रभावय् वयाः ल्यज्या थेंज्याःगु ज्याझ्वःयात फासांफुसुं यानाः सहमति धयाः यःयःपिं मनूत वया मनू थ्वया मनू धकाः दुथ्याकाः गथे सहमति जुइ । नां दुपिं ख्वाः दुपिं व दां दुपिं दुजःपिनि स्याःस्याःपिनिगु शोकसभा यानागु सचिवया प्रतिवेदनय् न्ह्यथनेगु अन्य आ।जः वा पुलांपिं दुजःतय् परिवारया मां बौ मदुगुया छुं नं लुमन्ति मतयेगु थ्व गज्याःगु प्रवृत्ति खः गज्याःगु निखेंत्यः नीति खः थज्याःगु प्रवृत्ति व नीति आःया ज्यासना पुचःपाखें ल्वःमंसें नं मयायेमा धकाः इनाप यानाच्वना । नकतिनि संरासं या महाधिवेशनय् ब्वति कयाः लिहां झाःम्ह प्रम प्रचण्डजुं जानकारी बियादी कथं थ्व हे कार्तिक १४ गते नेपाः झायेत्यंम्ह संरासंया महासचिव भाजु वान की मूनजुयात धर्मोदय सभापाखें नं तःजिगु लसकुस ज्याझ्वः यायेगु लागि आवंनिसें तयारी यायेत सम्बन्धित थासय् माःगु पहल न्ह्याकेत इनाप यानाच्वना । पुलांम्ह महासचिव ऊ थान्त थें वय्कः मूनजु नं बुद्धधर्म हनीगु देय् दक्षिण कोरियाया नागरिक जूगुलिं वय्कःयात झी सकल बौद्धतय्पाखें तःजिक लसकुस यायेगु धार्मिक ज्या जुइला कि सुभाय् । - शान्तरत्न शाक्य लगं येँ आजीवन जः ल्याः २ ४,http://www.nepalmandal.com/content/414.html
पशुपतिइ हस्तक्षेप ,"Posted on Tue Jan 6, 2009  5:32 pm NST","सम्पादकजु, ने.सं. ११२९ पोहेलाथ्व ८ कुन्हु पशुपतिइ नेवाः ब्रम्हू पुजारी तयेमाः, दक्षिण भारतया पुजारी लिकयाः मेपिं पुजारी तःगु ज्याखँ बांलाःसां प्रकृया पाय्छि मजू धइगु खँय् पशुपति क्षेत्रया स्थानीय मनूतय्सं पत्रकार सम्मेलन यायेत स्वःबलय् अज्ञात मनूतय्सं आक्रमण याःगु सगरमाथा टेलिभिजनं प्रसारित दृश्यं जितः संवेदनशील यानाबिल । जिं स्वये न्हूम्ह पुजारी नियुक्ति प्रकृया पूमवंतले पुलांम्ह पुजारी हे कायम यायेमाः थें च्वं । सर्वोच्च अदालतं जाहेर याःगु निषेधाज्ञा सरकारं पालना यायेमाः थें च्वं । थुगु आदेश पालना मयायेगु धइगु सरकारया शासन प्रकृया सरकारं हे पालना मयायेगु खः । मेगु खँ पशुपतिइ दक्षिण भारतया पुजारी तयेयां न्ह्यः नेवाः उपाध्याय ब्रम्हूतय्सं पुजा यानाच्वंगु खँ ऐतिहासिक तथ्य जूगुलिं नेवाः पुजारी तयेमाः धइगु खँ नं उति हे जायज खः । अथे हे संस्कृति मन्त्रालयं आकिवंनिसें सांस्कृतिक नखःचखः- यात राज्यं ध्यबा ब्यहोरे याये फइ मखु जनस्तरं हे ब्यहोरे यानाः संचालन यायेमाः धइगु खँ पित बिउगु नं उलि हे पूर्वाग्रही खँ खः । संघीय शासन वइगु इलय् राज्यं मान्यता बीमाःगु जात्रा पर्व व स्थानीय सरकारं जिम्मा कायेमाःगु जात्रा पर्व छुटे यानाः संचालन यायेमाः थें च्वं । थ्व संविधानसभा धुंकाः न्हूगु संविधान अनुसार शासन शुरु जुइबलय्या चिन्ता खः । आः हे स्वनिगःया जात्रा पर्व दीकथं छुं हे प्रकृया पूमवंकुसे जनताया राय मकासे सम्बन्धित मनूतनाप अन्तक्रिया मयासें सलंसः दँया नियम व परम्परायात त्वाःथलाः न्हूगु नियम हयेगु धइगु राज्यं जनताया मतयात तप्यंक अपहेलना याःगु खः । उकुन्हु तिनि कुमारी रथ जात्राया खँय् अपाय्धंगु मुद्दा जुइक नं हाकनं थथे यायेगु धइगु स्वनिगःया सांस्कृतिक संस्थायात क्वःथलेत स्वःगु खः । कुमारी जात्रा सुथां लाकेत सरकारं स्वंगु समितिया जिम्मेवारी छु जुयाच्वन जिं मसिल । थ्व खँय् नेपाः राष्ट्रिय पार्टी, नेवाः देय् दबू, नेपालभाषा मंकाः खल, नेवाः देय् गुथि नेपालमण्डल, नेवाः जागरण मंच, नेवाः मुक्ति मंकाः दबू, नेवाः राष्ट्रिय मुक्ति मोर्चा, नेपाल लोकतान्त्रिक नेवाः संघ थेंजाःगु जातीय स्वशासनया पक्षधर संगठन व भातृ संगठनतय्सं सः तये हे माः थें च्वं म्हुतुइ धौ फिनाच्वनेगु मिले मजू । थौं पशुपतिइ जूगु पत्रकार सम्मेलनया ल्वापुइ पत्रकार सम्मेलन याःपिंसं थ्व वाइसीएलं याःगु धयाच्वन । वाईसीएलया काठमाडौं इन्चार्ज सागरं धाःसा थ्व अथे मखु धयाच्वन । संस्कृति मन्त्री गोपाल किराँतीं छानबिन यानाः कारवाही यायेगु खँ न्ववानाच्वन । वास्तवय् जूगु छु खः थ्व  याकनं छानबिन जुइमाल । माओवादी दुने नं ब्राम्हणवाद हाबी जुयाच्वंगु खनेदु उगु ब्राम्हणवाद बिरुद्ध जातीय स्वशासनया पक्षधरत न्ह्यलं चायेकाः सकलें छप्पँ जुयाः बाहुनवादया पर्दाफास यायेमाःगु खनेदु । थुकी सकल जनजाति व जातीय स्वशासनया पक्षधरतय्सं पलाः ल्ह्वने हथाय् जुइधुंकल । - शाक्य सुरेन, यल ।",http://www.nepalmandal.com/content/586.html
पूर्व जुजुपिं गिरिजा व प्रचण्ड ,"Posted on Fri Oct 17, 2008  2:28 pm NST",सम्पादकजु पंचायती ब्यवस्थाय् जुजुपिं गनं विदेश भ्रमणय् वनीबलय् थः लानि व परिवारया मेमेपिं दुजःत नं लिउलिउ वनेगु याइ । २०४६ साल लिपा बहुदलीय ब्यवस्थाया इलय् नं प्रधानमन्त्री गनं विदेश भ्रमणय् वनीबलय् कलाः अले म्ह्याय्िपं नं लिउलिउ यंकेगु याः । बहुदलीय ब्यवस्थाया इलय् दकलय् अप्वः प्रधानमन्त्री जुइत ताःलाःम्ह नेपाली कांगे्रसया गिरिजा प्रसाद कोइराला प्रधानमन्त्री जूबलय् थः गन गन विदेश भ्रमणय् वन अन अन थः म्ह्याय् सुजाता कोइराला- यात नं लिउलिउ ब्वनायंकी । आः संघीय लोकतान्त्रिक गणतन्त्र जुइधुंकाः नं थ्व परम्परायात निरन्तरता बियाच्वंगु दु । गणतन्त्र नेपाःया न्हापांम्ह प्रधानमन्त्री भाजु प्रचण्डं नं अमेरिका भ्रमणय् थः कलाः नापं थः काय प्रकाशयात नं लिउलिउ यंकूगुलिं थौंकन्हय् चर्चा जुयाच्वंगु दु । प्रकाश दाहाल प्रधानमन्त्री निवासया स्टाफ अले कम्प्यूटर अपरेटर जूगुलिं अमेरिकाय् नापं यंकागु धकाः धाःगु हास्यास्पद मजू ला नेपालय् थःगु स्वार्थ त्वःताः देय् व जनताया लागि ज्या याईपं नेतात मदुगु हे नेपाःमिपिनिगु दुर्भाग्य खः । खँय् भाषाय् छगू उखान दु नि जुन जोगी आए पनि कानै चिरेको । सत्ताय् थ्यन कि नेतात नातावादय् तक्यनीगुलिं नेपाःया विकास जुइ मफुगु खः । - अमिर घरज्वाइं न्यतपाःच्व प्रधानचोक येँ,http://www.nepalmandal.com/content/408.html
थथे याःसा बेस जुइ ला ,"Posted on Fri Oct 17, 2008  2:27 pm NST",थौंकन्हय् स्वयम्भु भगवानयाथाय् द्यइके वईपं व मर्नीङ्ग वाक झाईपं भक्तजन यक्व दु । वहे स्वयम्भू भगवानयाथाय् च्वंगु भजन सतलय् भजन याईपं धाःसा झन झन कम जुया वनाच्वंगु दु । गुंलाबलय् च्वनां च्वनेथाय् मदयेक हुलहुल जुइगु । आः ख्वाउँगु बढे जुयावःगुलिं जकं खः ला भजन शुरु यायेत मनू हे मुने थाकु । लिपा जूलिसे तिनि धर्म पासापिं यक्व दया वइ । जिं थथे धाल धकाः लिबाक भजनय् झाइपिनि जि खनाः तं पिकयाः थथे नं धायेमास्ति वः जुइ गुरु जुइ सः चेला जुइ मसः । ख ला खः । जि थः हे सवा सात लिपा तिनि भजनय् थहां वनेगु । जिं धायेत्यनागु छु धाःसां भजन हालीपिं धर्म पासापिं बांलाक ममुंतले सुथ न्हापां भजन सतलय् भजनया सीडी व क्यासेट हायेकेगु यात धाःसा सेंसेंमिंक तँ गयाः झायाच्वंपिं भक्तजनपिनि न्हाय्पनय् ज्ञानमाला न्यनाः मन याउँसे च्वनाः त्यानुगु हे ल्वःमनी ला थ्व खँ धा ला जिं पदाधिकारीपिंत नापलानाः म्हुतुं हे नं धायेफुगु खः । अय्नं पौ हे च्वयाः पिदन धाःसा याकनं हे जिगु इनापयात पूवंकादी ला धकाः जक खः । - कृष्णमान डंगोल मखंगल्लि तुन्छेबहाः येँ,http://www.nepalmandal.com/content/407.html
नेवाः समुदाय कि जाति ? ,"Posted on Tue Oct 14, 2008  3:13 pm NST","सम्पादकजु नेवाःयात समाज धायेगु लाकि समुदाय धायेगु धकाः न्ह्यसः वःगुलिं थ्व पौ च्वयाच्वना । जिं स्वयेबलय् समुदाय धइगु छगू जाति कथं जक मिले जुइ थें च्वं । छगू विशेष जातियात जक समुदाय धायेत पाय्छि जुइगु जूगुलिं नेवाःतय्त समुदाय धकाः संबोधन यायेबलय् चीधंगु छगू जाति कथं जक थुइगु जू वनी । उिकं झी नेवाःत चीधंगु छगू जाति जक मखुगुलिं थ्व जातियात अथवा फुक्कं नेवाःतय्त संबोधन यायेबलय् नेवाः समाज धकाः संबोधन यायेमाःगु अले नेवाः दुने दुपिं नेवाः विशेष जातियात संबोधन यायेबलय् जक नेवाः समुदाय धयाः संबोधन याये मिले जू थें च्वं । गथेकि नेवाः तुलाधर समुदाय, नेवाः श्रेष्ठ समुदाय आदि । गैर नेवाःतय्सं थें नेवाः समुदाय धकाः फुक्कं नेवाःतय्त संबोधन मयासे झी झीगु जातियागु आकार अले जनसंख्यायात महत्व बियाः नं नेवाः समाज धयाः संबोधन यायेबलय् बांलाइ थें च्वं । रश्मी तुलाधर येँ",http://www.nepalmandal.com/content/399.html
झीसं नं सुझाव बीमाली ,"Posted on Mon Jan 12, 2009  3:24 pm NST","सम्पादकजु, संविधान दयेकेगु ज्याय् लगे जुयाच्वंपिं सभासद्तय्सं आः चाहिं संविधान च्वयेगु ज्या धाथें नी यानाः हे न्ह्याकी थें च्वनाच्वंगु दु । छाय्धाःसां संविधानसभाया थीथी समितितय्सं जिमित थ्व थ्व विषयलय् सुझाव बियादिसँ धकाः पत्रपत्रिकाय् विज्ञापन बियाः छापे यानाहःगु झीसं खनाच्वना । अज्याःगु विज्ञापन वइगु छगू जक समिति मखु यक्व हे समितित दु थें च्वं । संविधानसभाय् झिंप्यंगू ला समिति हे दु धाःगु दु । थ्व विज्ञापन बियाहःगुलिं संविधान दयेकेगु ज्याय् जनताया बिचाः नं काइगु जुयाच्वन धइगु खँ सीदत । आः झी नेवाःतय्सं नं अज्याःगु विज्ञापन स्वयाः थःगु बिचाः बीमाः थें च्वं । झी नेवाःतय्सं आर्थिक, सामाजिक, श्रोत परिचालन, शासन व्यवस्था, कानुनी व्यवस्था, आदि आदिखय् छु माग यानाच्वनागु खः, झीगु बिचाः छु खः धकाः लिखित रुपं बुझे यायेमाः थें । पिने सडकय् च्वनाः आन्दोलन यायेगु ला द हे दु तर थथे दुने दुने नं झीगु भूमिका जुयाच्वनेमाः । मखुसा झी पिने हाःगु हालं तुं जुयाच्वनी दुने याईपंसं ज्या तमाम याना तयेधुंकी । लिपा धाः वंसा छिमिसं जिमित सुझाव हे बी महः धयाहल धाःसा झी नाजवाफ जुइमाली । कन्हय् उमिसं झीत अज्याःगु मबीमा धकाः नं झीसं तयारी याना तयेमाः । झीसं छु छु माग तयाः आन्दोलन यानाच्वना आः व आन्दोलनया खँ थासय् थ्यंकेगु ई वयाच्वंगु दु । बरु झीसं बियागु सुझाव संविधानय् समावेश याये हे माः धकाः शरु पिने च्वनाः संघर्ष यानाच्वनेमाः । माःथाय् खँ मथ्यंकुसे पिने जक हालाच्वन धाःसा झुलं पिने पत्ति हाले थें जक जुयाच्वनी । थ्व बारे न्ह्यलुवाः भाजु मय्जुपिंसं बिचाः यानादी धकाः छकूचा ध्यान सालाच्वना । सुझाव । - छम्ह भाषा चिउताःमि, येँ ।",http://www.nepalmandal.com/content/654.html
छवाः तक न्ह्याःगु ज्ञानमाला ,"Posted on Tue May 19, 2009  4:56 pm NST",,http://www.nepalmandal.com/content/1489.html
डा. केशवमानया छु पहः ? ,"Posted on Fri Apr 24, 2009  11:20 pm NST","सम्पादकजु, नेपालय् शाहवंशया शासन अन्त जुल । तर शाहवंशया दुगःक्वँय् शाही सेना धाःसा गथे खः अथे हे तिनि । आंग्सां निसें पालीतःले तक वहे मनू वहे बिचाः तिनि । नापं थुपिं नेवाः विरोधी नेवाः स्वशासन विरोधी नं खः । नेवाःतय्त ज्यापु धकाः हेला व यातना बीपिं थुपिं हे मखुला ? थुमित नागरिक सरकारया मातहतय् हये मफुत धाःसा नेपाःया गणतन्त्र लोकतन्त्र दक्व खतराय् लाइगु अवश्यंभावी । डा. केशवमानया शाही सेना भक्ति छाय् ? शाही सेनाया लिधंसा धइगु भारत व अमेरिका हे मखुला ? शाही सेना व जनसेना ल्वाकेगु अशान्ति ब्वलंकेगु देय्यात कमजोर व असफल यायेगु अले थःगु नियन्त्रण क्वातुका तयेगु भारत व अमेरिकाया योजनायात ल्वःमंके जीला ? देय्यात थ्व नरक गालय् मलाकेगु खःसा शाही सेनाया लोकतान्त्रीकरण मयासे मजिउ । लोकतान्त्रीकरणया पलाःयात शाही सेनाया अपमान खनीगु डा. केशवमानया छु पहः थ्व ? अन्तरिम संविधानं अलंकारिक दयेकातःम्ह राष्ट्रपतिया सक्रिय रेर्प्री जुइत बिन्तिपत्र तयादिल । उबलय्या प्रम गिरिजाया आदेश पालना मयाइम्ह कटवालयात बचे यायेत संविधान विरोधी पलाः ल्ह्वने माल धकाः राष्ट्रपतियात ग्वाकेगु डा. केशवमानया छु पहः थ्व ? - डा. महेशमान नेवाः ।",http://www.nepalmandal.com/content/1034.html
छवाः तक न्ह्याःगु ज्ञानमाला,"Posted on Tue May 19, 2009  5:36 pm NST",सम्पादकजु दँय्दसं बुद्धया बुन्हि स्वांयाः पुन्हिया लसताय् न्हय्न्हु न्ह्यवंनिसें बुद्ध धर्म प्रचार कथं ज्ञान गुण दुगु ज्ञानमाला भजन हालाः न्यंका वयाच्वंगु खःसां थ्व पालय् नं झःझः धायेक हे क्वचाल धायेमाल । झण्डै निघौ हालाः न्यंकादीगु गन गन थासय् ला िजं नं ब्वति कयाः भजन हाले खन । अले छथाय् निथाय् भजन याः वनाथाय् जितः व मेिपं धर्म पासािपंत नं चित्त बुझे मजूगु छता निता खँ पासापिनिगु इनापय् िजं थन प्वंकाच्वना । वैशाख २२ गते भजन याः वनेगु झ्वलय् धर्म पासा गौतम सिख्राकारया ब्वनाय् वय्कःया छेँसं भजन हालेगु ज्या नं जुल अले वहे छेँजःिपंसं यःगु भजन धकाः ुव किलं छु स्वया जिगु ख्वालसंु धाःगु हालेत इनाप यात । अले जितः नं यःगु जूगुिलं िजं नं जिउ जिउ धकाः हालेत इनाप याना । तर व भजन हालामदी । िजं छाय् धकाः न्ह्यसः तयाबलय् थुगु भ्वँतय् च्वया हयागु बाहेक मेगु भजन हाले मजिउ धकाः लिसः बियादिल । थथे धायेगु गुलि तक पाय्छि जू  थ्व ला भ्वय्थुवालं थःथाय् ज्वरे जूगु हे नये मखं धइथें मजू ला  भजन ब्वनादीपिनि थःिपंत यःगु भजन न्यने मदुगु धायेबलय् भजन सःतीपिनि नुगलय् स्याइगु खँ मखु ला  अले छवाः जःिछं भजन ज्याझ्वः यानाः नं न्ह्याथाय् वंसां दक्व थासय् वहे वहे भजन हालेमाःगु छाय्  छु ज्ञानमाला सफुली थुलि बाहेक ज्ञान गुण दुगु बांबांलाःगु भजन हे मदुगु ला  मेगु पालय् बिचाः यानादीत सम्बन्धित सकसितं इनाप यानाच्वना । - कृष्णमान डंगोल मखं गल्ली तुन्छेबहाः येँ,http://www.nepalmandal.com/content/1494.html
