headline,date,final_news,url
ख्वपया निगू सम्मेलनय् निता हे खँ ,"Posted on Tue Oct 14, 2008  3:13 pm NST",ख्वपय् मोहनिया ताकाय् दशकौं न्ह्यवंनिसें जुइगु याना वयाच्वंगु निगू तःधंगु साहित्यिक ज्याझ्वः नकतिनि क्वचाल । ख्वपय् जुइगु थ्व निगुिलं साहित्यिक सम्मेलन आः नेवाःतय् गौरवया विषय जुइधुंकल धाःसां जिउ । निगुलिं सम्मेलनय् नेवाःतय्सं उतिकं हे सहभागिता क्यनाः ज्याझ्वःयात झःझः धायेकी । तर विडम्बना छु धायेबलय् छगू हे लागाय् जुइगु ज्याझ्वः खःसां उमिगु बिचाः व नारा धाःसा सर्गः-पाःताः हे पाइ थें पानाच्वंगु खनेदु । छगू इलय् विराट साहित्य सम्मेलनं भाषा म्वाःसा जाति म्वाइ धकाः नारा बीगु याना वयाच्वंगु खःसा उकियात हे लिसः बी थें साहित्य तःमुँज्यां जनता म्वाःसा भाषा म्वाइ धइगु मेगु नारा बीगु याइगु खः । आः देय् राज्य पुनस्रंरचना जुयाः संघीय व्यवस्थाय् वनेगु तयारी जुयाच्वंगु दु । थ्व मुद्दाय् नं ख्वपया थ्व निगू साहित्यिक अभियानकर्तातय् बिचाः सर्गः-पाःताः थें पानाच्वंगु दु । विराट सम्मेलनं नं आः नेवाःतय् लागिं जातीय स्वशासनय् आधारित संघीय व्यवस्था माः धकाः माग यानाच्वंगु दुसा उखे साहित्य तःमुँज्यां उकिया अःखः संघीय व्यवस्था वल धाःसा देय् हे कुचा दली धकाः मेगु खँ पित हयाच्वंगु दु । ख्वपया सम्मेलनय् पिहां वःगु थ्व निता खं नेवाःतय् दथुइ नं संघीय व्यवस्थायात कयाः निताजिया बिचाः दु धकाः सन्देश बीत स्वःगु दु । नेवाःतय्त विभाजित याइगु थज्याःगु बिचालं कन्हय् जुइगु राज्य पुनस्रंरचनाय् झीगु भूमिका छु जुइ धइगु खँयात समेत विवादय् लाकीगु खतरा दु । समग्र नेवाःतय् उन्नति जुइगु ज्याय् छप्वाः म्हुतु जूसा बांलाइगु खः ।,http://www.nepalmandal.com/content/398.html
माओवादी दुनेया सैद्धान्तिक संकट ,"Posted on Sun Oct 19, 2008  1:01 pm NST",सत्तारुढ पार्टी नेकपा माओवादी दुने सैद्धान्तिक संकट शुरु जूगु दु । शायद थ्व स्वाभाविक नं खः । झिदँ तक जंगलय् च्वनाः जनयुद्ध याना वःगु व बन्दूकया बलं हे सत्ता ल्हातय् लाके फइ धइगु शास्त्रीय बिचाः ज्वनाः न्ह्याना वःगु पार्टी थौं खुल्ला राजनीतिइ वःगु जक मखु थ्वहे खुल्ला राजनीतिया लिधंसाय् सत्तारुढ समेत जुयाच्वंगु अवस्थाय् वया दुने थुकथंया सैद्धान्तिक संकट अस्वाभाविक थ्यंक मखु । पार्टीया छगू पुचः आःया संविधानय् हे जन- गणतन्त्रया लाइन दुथ्याकेमाः धइगु पक्षय् दुसा मेगु पुचः विश्वय् वयाच्वंगु हिउपाःयात कदर यासें पार्टीया नां समेत ँमाओवादी’ धकाः तयाच्वनेम्वाः धइगु पक्षय् दु । थुकथं स्वयेबलय् पार्टी थौं निगू तःधंगु अितया लँपु जुयाः न्ह्यःने वनाच्वंगु दु । यदि थ्व अित ल्यना हे च्वन धाःसा पार्टी न्ह्यःने वने मफइगु खतरा नं उतिकं दु । विगतय् पार्टीं न्ह्यागु हे नीति ज्वंगु खःसां थौंया विश्वय् वयाच्वंगु हिउपाःयात आत्मसात यायेमाःगु आवश्यकता नं थःगु थासय् दु । नापं म्हिगः छगू नारा बियाः जनतायात आन्दोलित यायेधुंकाः आः सत्ताय् थ्यनेसातकि व नारायात परित्याग यानाः जनतायात झंगः लाये मजिउगु वास्तविकता नं थःगु थासय् दु । थौं थ्व निगू विकल्पय् छगू ल्यये मफुगु माओवादीया संकट खः । तर संकट न्ह्यागु कथं वःगु खःसां पार्टीं उकिया निराकरण धाःसा याकनं यायेमाः । मखुसा ज्या यायेगु इलय् आन्तरिक द्वन्द्वं पार्टीयात कमजोर यानाः जनताय् हानं निराशा ब्वलंका बी ।,http://www.nepalmandal.com/content/411.html
विश्व आर्थिक मन्दी व नेपाःयात लिच्वः ,"Posted on Mon Oct 13, 2008  10:04 pm NST",विश्व हाकनं छक्वः आर्थिक सुनामीइ फँसे जूवंगु दु । खास यानाः अमेरिकाय् वःगु आर्थिक मन्दीया कारणं विश्व अर्थतन्त्रयात हे लिच्वः लाका यंकाच्वंगु दु । थुकिया लिच्वः कथं अमेरिकाय् शेयर बजाः डाँवाडोल जूवंगु दुसा गुलिखे बैंक ताथ जुइगु अवस्थाय् थ्यनेधुंकल । अमेरिकी सरकारं उकियात पनेत थम्हं फक्व ध्यबाया खुसिबाः पिकायेधुंकलं नं स्थिति वयागु नियन्त्रणय् वःगु मदुनि । अमेरिकी अर्थतन्त्रया थ्व डाँवाडोलं युरोपया बजाः स्यंकेधुंकूगु दुसा आः बुलुहुँ एशियाया शक्तिशाली अर्थतन्त्र दुगु देय्तय्त नं थीगु शुरु यानाहःगु दु । जापान दक्षिण कोरिया थेंज्याःगु देय्त थुिकं प्रभावित जुइधुंकूगु दुसा आः थ्व सुनामी भारतपाखे न्ह्याः वयाच्वंगु अर्थविद्तय्गु विश्लेषण दु । थ्वहे झ्वलय् थ्व आर्थिक मन्दीं नेपाः थेंज्याःगु चीधंगु अर्थतन्त्र दुगु देय्यात छु लिच्वः लाकी धकाः नं बिचाः शुरु यानाहःगु दु । धायेत ला नेपाः थेंज्याःगु देय्तय्त थुिकं लिच्वः लाकी मखु धकाः हे धायेगु यानाच्वंगु दु । अथे खःसां थःगु बजेटया अप्वः ब्व विदेशी ग्वाहालिइ निर्भर जुइमाःगु नेपाः थेंज्याःगु देतय्सं थम्हं दयेकातःगु बजेट तकं बांलाक धाने मफइगु अवस्था वइगु खने दु । आर्थिक मन्दीया कारणं नेपाःयात दातृ राष्ट्रतय्सं बी धकाः बचं बियातःगु ध्यबा तकं बी मफइगु अवस्था दु । थुिकं यानाः बजेटया कार्यक्रमत लागू याये फइ मखुसा उकिया लिच्वः समग्र विकासय् लाइगु निश्चित दु । उिकं थ्व आर्थिक मन्दीं नेपाःयात लिच्वः लाइ मखु धाःसां नं नेपाः थेंज्याःगु परनिर्भर अर्थतन्त्र दुगु देय्त सतर्क धाःसा जुइ हे माः ।,http://www.nepalmandal.com/content/389.html
बँपसः चीकेथाय् स्वनिगःवासी नं जायेमाः ,"Posted on Fri Oct 17, 2008  2:26 pm NST",येँ महानगरपालिकापाखें स्वनिगःया थीथी लागाया फुटपाथ त्यलाः बँपसः तयाच्वंपिंत चीकेगु लागिं अभियान शुरु याःगु दु । थ्व अभियानया झ्वलय् आपालं थासय् मनपाया नगर प्रहरी व पसः तईपं पसल्यातय् दथुइ ल्वापु नं जूगु दुसा आः थ्व बँ पसल्यात जानाः थ्व ज्याया मंकाः रुपं विरोध यायेगु कुतः जुयाच्वंगु दु । लिसें उमित हे हःपाः बी कथं थीथी राजनीतिक पार्टीया नेतातय्सं मनपाय् फोन यानाः बँपसः चीकेगु ज्या दिकेमाल धकाः दवाव बीगु शुरु याना हल धइगु समाचार नं पिहां वःगु दु । थ्व तसकं दुःखपूर्ण खँ खः । फुटपाथय् तयातःगु बँपसः चीकेगु लागिं मनपां गुगु अभियान शुरु याःगु खः उकियात च्वछायेमाः । स्वनिगःवासीतय्सं ला उकियात अझ थः हे सक्रिय जुयाः ग्वाहालि यायेमाःगु दु । फुटपाथय् तयातःगु बँपसलं सतक त्यःगु जक खँ मखु । थ्व पसलं स्वनिगलय् छता मखु तःता कथंया समस्यात दुकयाच्वंगु दु । उिकं नं थ्व ज्यायात पनेमाःगु तःधंगु आवश्यकता दु । अन बँपसः तयेगु सुयां अधिकारया खँ मखु । उिकं अन पसः तईपंत येँया प्रशासनं विकल्प बीमाःगु छुं आवश्यकता नं मदु । उमित विकल्प बीगु धइगु स्वनिगःया छगू थासय् ब्वलंगु समस्या हानं मेगु थासय् ल्ह्ययेगु थें जक जुइ । गन तक चीकल धकाः उमिसं विरोध ज्याझ्वःया तयारी यानाच्वंगु खँ दु उकियात स्वनिगःया स्थानीय जनतां प्रतिकार यायेमाःगु आवश्यकता दु । स्वनिगः ल्यंकेगु न्हापांगु दायित्व स्वनिगःमियागु जुइ ।,http://www.nepalmandal.com/content/406.html
कम्युनिष्ट पार्टीतय् नां हिलेगु अभियान ,"Posted on Tue Oct 21, 2008  1:30 pm NST",नेकपा माओवादी व नेकपा एमाले निगुलिं तःधंगु वाम पार्टीतय्सं आः थःथःपिनि नांया लिउने घानाच्वंगु माओवादी व एमाले धइगु न्हिप्यं चीकेगु खँ सार्वजनिक याःगु दु । देशय् ब्वलंगु न्हूगु परिस्थिति अन्तर्राष्ट्रिय दातृ निकायतय् दवाव व पार्टी दुने वयाच्वंगु न्हूगु लहरं निगुलिं पार्टीयात प्रभावित यानाच्वंगुया थ्व लिच्वः खः । थ्वहे सन्दर्भय् निगुलिं पार्टीं थःपिंत नेपाल कम्युनिष्ट पार्टी जक धइगु नामं संवोधन यानाः लिउनेया विभाजनवोधक न्हिप्यं चीकेगु खँ धाःगु खः । खतुं नेपाःया सुं नं कम्युनिष्ट पार्टीया लिउने अन्य खँग्वः वया मबिउसा बांलाःगु हे खः । शुरुइ ला नेपाली कम्युनिष्ट पार्टीया नां ुनेकपाु हे जक खः । लिपा पार्टी कुचा जुजुं लिउने अनेक नांया न्हिप्यं नं घाघां वन । आः हानं छक्वः फुक्क कम्युनिष्ट पार्टीत छप्पँ जुयाः पार्टीया नां ुनेकपाु हे जक यायेमाली धइगु खँ वयाच्वंगु दु । तर पार्टी एकीकरण यानाः लिउनेया न्हिप्यं लिकायेगु सोच थुमिसं यानाच्वंगु खःसा व सकारात्मक हे खँ जुल । अथे मखुसें पिनेया दवावं जक नां हिलेगु कुतः यानाच्वंगु खःसा व धाःसा दकलय् बांमलाःगु ज्या जुया बी । कम्युनिष्ट पार्टीतय्त न्हिप्यं जक मखु पूरा नां हे हीकेगु लागिं दातृ निकायतय्सं दवाव बियाच्वंगु दु । अज्याःगु दवावया सामना यायेगु पलेसा कम्युनिष्ट पार्टीत थःगु नां हिलेगु अभियानपाखे न्ह्यानाच्वंगु खःसा उमिसं थःत राष्ट्रवादी आन्दोलनया न्ह्यलुवाः धकाः यानाच्वंगु दावी नं त्वःतूसां जी ।,http://www.nepalmandal.com/content/418.html
वाईसीएल व युथफोर्स ल्वापु ,"Posted on Thu Oct 23, 2008  1:58 pm NST",वाईसीएल व युथ फोर्स दथुइ ताःई न्ह्यवंनिसें ल्वापु जुयाच्वंगु दुसा थ्वहे झ्वलय् निगुलिं पुचःया आपालं कार्यकर्ताया ज्यान वनेधुंकूगु दु । मेखे सर्वसाधारण जनतां नं थुकिं यानाः सास्ति फये मालाच्वंगु दु । थ्व निगू पुचः दथुइ जुयाच्वंगु ल्वापुयात ज्यंकेगु निंतिं निगुलिं पार्टीं केन्द्रीय रुपं खँल्हाबल्हा यानाः थः कार्यकर्तातय्त आवश्यक निर्देशन बीगु धाःसां नं आः तक निगुलिं पार्टीं अज्याःगु निर्देशन मबिउ वा बिउसां नं कार्यकर्ता मन्यंगु खः धइगु न्ह्यसः नं थन ब्वलनाच्वंगु । थ्वहे छवाःया दुने धादिङ्ग व सिराहाय् जूगु ल्वापुइ लानाः निम्ह वाईसीएल कार्यकर्ता सीगु दुसा निगुलिं पुचःया तःम्ह कार्यकर्ता घाःपाः जूगु दु । अथे खःसां निगुलिं पार्टीं ल्वापु दिकेगु पहल याःगु मदुनि । थुकिं यानाः थज्याःगु ल्वापु झन तच्वया वनीगु जकं मखुला धइगु ग्याःचिकु ब्वलनाच्वंगु दु । संक्रमणकालीन वर्तमान राजनीतिक अवस्थाय् राजनीतिक विचारधाराय् दुगु निगू पुचःया थुकथं दथुइ ल्वापु जुया च्वनीगु धइगु निश्चय नं आःया इलय् ल्वःगु खँ मखु । सत्ता साझेदारी यानाच्वंगु राजनीतिक पार्टीया कार्यकर्ता दथुइ हे थवंथवय् ल्वाना च्वन धाःसा थुकिया लबः निश्चित रुपं देय् व जनताया भिं चाहे मजूपिंसं काइगु निश्चित दु । विशेषतः थौंया परिस्थितिइ राजनीतिक पार्टीतय् दथुइ थःथवय् निरन्तर सहलह व सहकार्य यायेत पार्टीतय्सं केन्द्रीय तहलय् जक मखु कार्यकर्ता तहलय् तकं शान्ति समिति दयेकेमाः धकाः धयाच्वंगु अवस्थाय् निगू राजनीतिक पार्टीया कार्यकर्ता दथुइया ल्वापुं उगु शान्ति समितिइ तकं नं लिच्वः लाइगुपाखे एमाले व माओवादीं निगुलिं पुचलं बिचाः यायेमाः ।,http://www.nepalmandal.com/content/428.html
अखिल क्रान्तिकारीया जंगली व्यवहार ,"Posted on Mon Apr 27, 2009  6:01 pm NST","त्रिभुवन विश्वविद्यालयया उपकुलपति व रेक्टरयात अखिल क्रान्तिकारीया विद्यार्थीतय्सं ज्वनाः ख्वालय् हाकः पाकेगु ज्या याःगुलिं उकिया विरोध यासें प्राध्यापकतय्सं पेन डाउन शुरु याःगु दु । त्रिविविया इतिहासय् आः तक गबलें मजूनि कथं याःगु घटनायात देय्या फुक्क ख्यलं भत्स्रना याःगु दुसा स्वयम् क्रान्तिकारीया मातृ संगठन माओवादी पार्टीं नं उगु ज्याय् ल्हाः दुपिं थः कार्यकर्तायात कारवाही यायेगु धकाः बचं बिउगु दु । अखिल क्रान्तिकारीपाखें त्रिविविया पदाधिकारीतय्त याःगु थ्व ज्यायात न्ह्याक्व कुंखिउँसां मगाः । क्रान्तिकारीतय्गु पलाः थौंकन्हय् अति अराजकतापाखे न्ह्याः वनाच्वंगु दु । उमिगु हे कारणं गुलिखे थासय् ल्वापु, हिंसा व मनू सीगु तकया घटना नं जुइधुंकूगु दु । थ्वहे ज्यादतीया झ्वलय् आः त्रिविविया पदाधिकारीतय्त उकथंया व्यवहार यायेगु ज्या जूवंगु खः । क्रान्तिकारी विद्यार्थीतय्सं क्यंगु थ्व जंगली व्यवहारपाखें उमिसं यानाच्वंगु माग पूवनीगु नं मखु । थुकिं यानाः स्थितियात झन् मेथाय्पाखे स्वकाः जुइत्यंगु ज्या नं स्यंका बी । लिसें थौं देशय् गुगु तरल राजनीति न्ह्यानाच्वंगु खः उकिं लबः कायेत स्वयाच्वंपिं तत्वतय्त लबः बीगु ज्या जक याना बी । थः भ्रातृ संगठनया थज्याःगु ज्यायात पनेगु माओवादीया दायित्व खः । क्रान्तिकारी जक मखु थौंकन्हय् वाईसीएल, मजदूर आदि निकायतय्सं यानाच्वंगु ज्यां नं ज्यादतीया हल पुलाच्वंगु दु । थ्व ज्या पार्टीया हे निर्देशन कथं जुयाच्वंगु खः वा पार्टीया हे हाथ्या बी कथं अराजक कार्यकर्तातय्सं यानाच्वंगु खः थुकी गम्भीर रुपं बिचाः जुइमाःगु दु ।",http://www.nepalmandal.com/content/1077.html
प्रमया संवोधनय् त्वःफिके मजिउगु खँ ,"Posted on Fri Jun 12, 2009  5:21 pm NST",प्रधानमन्त्री माधव नेपालं विपक्षी पार्टी माओवादीलिसे जुयाच्वंगु तनाव म्हो यायेगु लागिं याकनं हे देशवासीया नामय् संवोधन यायेगु तयारी जुयाच्वंगु दु । उकिया लागिं एमाले व माओवादी पार्टीया नेतातय् दथुइ खँल्हाबल्हा जुयाच्वंगु दुसा आपालं खँय् सकारात्मक संकेत वःगुलिं थ्व संवोधन लिपा देशय् कायम जुयाच्वंगु राजनीतिक तनावयात म्हो याइगु आशा कायेथाय् दु । उकिं थ्व खँयात लुमंकेगु खःसा प्रमया संवोधन अतिकं महत्वपूर्ण जुइगु खँय् शंका मदु । तर आः जुइगु प्रमया संवोधनय् केवल माओवादीलिसे जुयाच्वंगु राजनीतिक तनावयात जक संवोधन यानाः देशय् शान्ति कायम जुइ धकाः आशा याःगु खःसा व गलत जुइ । छाय्धाःसां आः देशय् माओवादीया जक समस्या मखु थीथी जातीय पुचःतय्सं बिस्कं स्वायत्त राज्यया माग यानाः थना हयाच्वंगु आन्दोलन नं मू समस्याया रुपय् न्ह्यःने वःगु दु । सरकारं उकियात नं संवोधन यायेमाःगु आवश्यकता दु । यदि थुकियात संवोधन यायेगु त्वःफित धाःसा माओवादीया आन्दोलन ला स्थगित जुइगु जुइ तर जातीय पुचःतय्सं यानाच्वंगु आन्दोलनं धाःसा हानं उच्चता कायेफु । थौं नेपाः संघीय व्यवस्थाय् प्रवेश जुइत्यंगु हे थीथी जातीय पुचःतय् पहिचानयात कायम यायेगु लागिं खः । तर थौं देशय् गुगु कथंया राजनीतिक माहौल पिहां वयाच्वंगु खः उकियात कयाः धाःसा फुक्क धइथें जातीय पुचःतय्सं थःपिंसं यानाच्वनागु माग पूवनी धइगु खँय् शंका यानाच्वंगु दु । उमित आश्वस्त यायेगु नं सरकार व फुक्कं राजनीतिक पार्टीतय्गु कर्तव्य खः । आः प्रमपाखें जुइगु संवोधनय् थुकिया उल्लेख मजुल धाःसा देश हानं नं अशान्त हे जुइ ।,http://www.nepalmandal.com/content/2040.html
सरकार दयेकेत भारतीय कर्मचारी ,"Posted on Wed Jun 17, 2009  8:08 pm NST",आखिर प्रधानमन्त्री माधव नेपालया सरकारयात पूर्णता बीकेगु लागिं नं भारतं हे भूमिका म्हितेमाःगु जुया बिउगु दु । वंगु स्ववाः न्ह्यवंनिसें पूर्णता बी मफयाः दथुइ थानाच्वंगु प्रधानमन्त्री माधव नेपालया सरकारयात पूर्णता बीकेगु लागिं भारतं थःपिनि छम्ह कर्मचारीयात नेपाः छ्वया हयेत्यंगु दु । नेपाःया सुं हे नेतां यानां नं जुइ मफयाच्वंगु उगु ज्या सम्पन्न यायेत भारतं थःपिनि विदेश सचिव शिवशंकर मेननयात खटे यायेत्यंगु खः । झीत पूर्ण विश्वास दु नेपाःया सुं नं नेतां धयां नं मजुयाच्वंगु थ्व सरकारयात पूर्णता बीगु ज्या भारतीय सरकारया उम्ह दूतं बांलाक हे मिले याना थकी । नेपाःया छगू दलया नेतां धाःगु खँयात मेगु दलं माने मयाःसां भारतीय सरकारया छम्ह कर्मचारीं धाःगु खँयात धाःसा सहज रुपं हे माने याइ । थुकी झी ढुक्क हे जूसां जिउ । नेपाः सरकारया उपप्रधानमन्त्री समेत जुइधुंकूम्ह एमाले नेता खड्गप्रसाद ओली थौंकन्हय् वासः यायेगु त्वहचिनाः न्हूदिल्लीइ हे दुसा अन वय्कलं थःगु पदीय मर्यादायात समेत वास्ता मयासे भारतीय सरकारया कर्मचारीयात नापलाः वनाच्वंगु दु । वय्कः वास्तवय् भारतय् वासः याः वंगु मखुसें भारत सरकारयात नेपाः बारे आवधिक रिपोर्ट बुझे यायेत जक वनाच्वंगु लानाच्वन । वर्तमान सरकार भारतया हे ग्रायण्ड डिजायन कथं दयेकूगु धइगु द्वपं वयाच्वंगु इलय् नेपाःया नेतात भारतय् वनाः थुकथंया गतिविधि याः वनीबलय् अज्याःगु द्वपंयात पुष्टि यायेगु ज्या जक याइ । थौं जाबा सरकार छगू गठन यायेगु ज्याय् तकं भारतं वयाः हस्तक्षेप यायेमाःगु अवस्था दुसा नेपाःया नेतातय्सं आः देय्या गौरव ल्यंकी व सार्वभौमिकताया रक्षा याइ धकाः विश्वास मयाःसां जिल ।,http://www.nepalmandal.com/content/2149.html
सत्तापक्ष व प्रतिपक्षया सुखद मिलन ,"Posted on Thu Jun 11, 2009  7:12 pm NST",सत्तापक्ष व विपक्षी दथुइ कायम जुयाच्वंगु गतिरोध मदयेकेगु लािगं आः नकतिनि प्रधानमन्त्री माधव नेपाल व प्रमुख प्रतिपक्षी पुष्पकमल दाहाल 'प्रचण्ड’ दथुइ यलया गोदावरीइ सहलह जुल । उकी प्रतिपक्षी प्रचण्डं थःिपंसं थ्व इलय् मू रुपं ल्ह्वनाच्वनागु मुख्य मुद्दा राष्ट्रपतिया पलाः व प्रधानसेनापतिया अवकासयात हे मू रुपं न्ह्यःने तःगु व माओवादीया उगु चिउताःयात थःिपंसं सकारात्मक रुपं समाधानया कुतः याये धकाः प्रधानमन्त्रीं बचं बियादीगु खँ चर्चाय् वःगु दु । मुद्दा न्ह्यागु हे जूसां उकियात समाधान यायेगु सवालय् सत्तापक्ष व विपक्षी मिले जुल धाःसा वहे थौंया इलय् बांलाःगु खँ जुइ । तर सरकारया वर्तमान संरचनाय् वनाः स्वयेबलय् धाःसा प्रधानमन्त्री नेपालं जक छुं धायेवं व पूरा जुइगु सम्भावना धाःसा तसकं म्हो जक दु । दकलय् न्हापां ला थज्याःगु खँयात सरकारं स्वीकार यायेगु लाकि मयायेगु धइगु खँय् वय्कःया पार्टी दुने हे विवाद पिहां वइगु खनेदु । वय्कःयात प्रधानमन्त्री दयेकेगु ज्याय् दकलय् अप्वः ल्हाः दुम्ह केपी ओली माओवादीप्रति अतिकं अनुदारवादी नेता खः । वय्कलं थ्व प्रस्तावयात स्वीकार याइगु सम्भावना म्हो जक दु । छुं जुयाः एमालें स्वीकार हे याःसां हानं कांग्रेसं स्वीकार याइगु सम्भावना उलि हे मदु । राष्ट्रपतिया पलाःयात अनुमोदन मयायेगु खँ कांग्रेसया न्यने तकं यइ मखु । प्रधानमन्त्री नेपाल वर्तमान सरकारया शक्तिशाली प्रमुख मखुगु कारणं वय्कलं धाःगु खँ मेिपंसं स्वीकार मयाइगु यक्व खतरा दु । थुिकं यानाः वय्कलं चाहे जुयां नं विपक्षीलिसे सहमति मजुइगु व वय्कलं चाहे जुयां नं देशय् शान्ति कायम जुइत थाकुइगु उलि हे सम्भावना दु ।,http://www.nepalmandal.com/content/2006.html
