headline,final_news,additional_info,url
जनबहाःद्यःया रथया घःचाः व घःमा याकनं हिलीगु (भिडियो),"जनबहाःद्यः जात्रा व्यवस्थापन समिति व गुथि संस्थानया दथुइ मंकाः मुँज्या च्वंगु दु ।  थौं सोमवाः गुथि संस्थानया केन्द्रीय ज्याकू त्रिपुरेश्वरय् संस्थानया प्रशासक प्रमुख किरण शाक्यया उपस्थितिइ जूगु उगु मंकाः मुँज्यां थ्वहे वइगु चैत्र १५ गतेनिसें १९ गतेतक येँय् तःजिक न्यायेकीगु जनबहाःद्यः जात्राया रथ निर्माणयात कयाः सहलह ब्याकूगु खः ।  उगु सहलह मुँज्याय् व्यवस्थापन समितिया दुजः सत्यनारायण डंगोलं जनबहाःद्यःया रथया घःचाः व घःमा याकनं हे हिलेमाःगु अवस्थाय् थ्यंगु खँ तयादिसें थुगु दँय् जात्रा तःजिक न्यायेकेगु नितिं गुथि संस्थानं इलय् हे रथ निर्माणया ज्या यायेमाःगु लिसें जात्राया छन्हु न्ह्यः हे रथया सकतां ज्या क्वचायेकेगु परम्परा गुथि संस्थानं दयेकेमाःगु माग नं यानादीगु दु ।  संस्थानया प्रशासक प्रमुख शाक्यं घःमा व घःचाःया नितिं थुगु दँय् सम्भव मजूगु व आइक्वंया जात्राय् हिलेगु तयारी यायेगु खँ कनादिसें रथ निर्माणया ज्याय् समारोह समितिपाखें नं ग्वाहालि यायेमाःगु विचाः तयादीगु खः । वय्कलं रथया घःमा व घःचाःया नितिं गुणस्तर सिँ मालेगु व दयेकेगु ज्याय् समितिया दुजःपिं दुथ्याकाः यायेगु बचं नं बियादीगु खः । समारोह समितिया नायः निलकाजी शाक्यया नेतृत्वय् जूगु उगु मुँज्याय् समितिया दुजःपिं ज्योति शाक्य, सुजीव बज्राचार्य, नरेश महर्जन, अमित बज्राचार्यपिं उपस्थित जुयादीगु खः ।  (थन क्लीक यानाः स्वयादिसँ गुथि संस्थानया प्रशासक प्रमुख शाक्यया नुगःखँ)","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २९, सोमबार १५:३२:०५  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%83%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83%E0%A4%AF%E0%A4%BE-%E0%A4%B0%E0%A4%A5%E0%A4%AF%E0%A4%BE-%E0%A4%98%E0%A4%83%E0%A4%9A%E0%A4%BE%E0%A4%83-%E0%A4%B5-%E0%A4%98%E0%A4%83%E0%A4%AE%E0%A4%BE-%E0%A4%AF%E0%A4%BE%E0%A4%95%E0%A4%A8%E0%A4%82-%E0%A4%B9%E0%A4%BF%E0%A4%B2%E0%A5%80%E0%A4%97%E0%A5%81-%E0%A4%AD%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A5%8B
सुनिता डंगोलया नेतृत्वय् स्वनिगः उपप्रमुख सञ्जाल नीस्वन,"येँ महानगरपालिकाया उपप्रमुख सुनिता डंगोलया नेतृत्वय् स्वनिगः उपप्रमुख सञ्जाल नीस्वंगु दु ।  मंगलवाः जूगु स्वनिगःया नगरपालिकाया उपप्रमुखपिनिगु मुँज्इां सञ्जाल नीस्वंगु खः । उपप्रमुखपिनिगु ज्याया विषयस सहलह ब्याकेत, ज्याय् एकरुपता हयेत, मंकाः सवालय् सहकार्य व समन्वय यायेत सञ्जाल नीस्वनागु येँ मनपा उपप्रमुख सुनिता डंगोलं सार्वजनिक याःगु प्रेस विज्ञप्तिइ न्ह्यथनातःगु दु । येँ मनपा उपप्रमुख डंगोलं धाःगु दु, ‘छगू हे भूगोलय् प्रशासनिक विभाजनपाखें नीस्वंगु पालिकातय्गु ज्या सम्पादनय् एकरुपता हयेत सञ्जालया महत्वं जाःगु भूमिका जुइगु जुयाःजिमिसं नीस्वनागु खः ।’","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ चैत्र १, बुधबार १३:२७:११  ",https://www.newaonlinenews.com//%E0%A4%B8%E0%A5%81%E0%A4%A8%E0%A4%BF%E0%A4%A4%E0%A4%BE-%E0%A4%A1%E0%A4%82%E0%A4%97%E0%A5%8B%E0%A4%B2%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A5%87%E0%A4%A4%E0%A5%83%E0%A4%A4%E0%A5%8D%E0%A4%B5%E0%A4%AF%E0%A5%8D-%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A4%BF%E0%A4%97%E0%A4%83-%E0%A4%89%E0%A4%AA%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%81%E0%A4%96-%E0%A4%B8%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%BE%E0%A4%B2-%E0%A4%A8%E0%A5%80%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%A8
येँ महानगरपालिकाया फुक्क वडाय् निःशुल्क कानूनी परामर्श सेवा ,येँ महानगरपालिकाया फुक्क वडाय् निःशुल्क कानूनी परामर्श सेवा  येँ महानगरपालिकाया फुक्क वडाय् थौं बिहीबाः निसें निःशुल्क कानूनी परामर्श सेवा सुरु जुगु दु । नेपाल ल क्याम्पस नाप माघ १७ गते जुगु सम्झौता कथं  उगु क्याम्पसं वःपिं विद्यार्थी फुक्क वडाय् वनाः सेवा बिइगु जुगु दु ।,"नेवा: अनलाइन न्युज | २०७९ चैत्र २, बिहिबार ०८:३०:३१  ",https://www.newaonlinenews.com//%E0%A4%AF%E0%A5%87%E0%A4%81-%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A8%E0%A4%97%E0%A4%B0%E0%A4%AA%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A4%BE-%E0%A4%AB%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%95-%E0%A4%B5%E0%A4%A1%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%A8%E0%A4%BF%E0%A4%83%E0%A4%B6%E0%A5%81%E0%A4%B2%E0%A5%8D%E0%A4%95-%E0%A4%95%E0%A4%BE%E0%A4%A8%E0%A5%82%E0%A4%A8%E0%A5%80-%E0%A4%AA%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%B0%E0%A5%8D%E0%A4%B6-%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%BE
जनबहाःद्यः रथजात्रा व्यवस्थापन समिति ११४३ नीस्वन,"मू गुरुजु निलकाजी शाक्यया सभापतित्वय् व प्रा.डा. नरेशमान बज्राचार्यया मूपाहाँसुइ जनबहाःद्यः रथजात्रा व्यवस्थापन समिति ११४३ नीस्वंगु दु ।  उगु समिति नीस्वनेगु ज्याझ्वलय् प्रहरी नायब उपरीक्षक भेषराज रिजाल पाहाँ कथं उपस्थित जुयादीगु खःसा दँय् दसं जुइगु जनबहाःद्यःया रथजात्राय् न्हापांनिसें जात्रा व्यवस्थापन यायेगुलि ज्वःमदुगु योगदान बियाः वयाच्वनादीपिं अग्रजलिसें स्थानीय खलः पुचः, क्लबया प्रतिनिधिपिनिगु सहभागिता दूगु खः । न्हापाथें तुं थुगु दँय् नं जनबहाःद्यःया रथजात्रा भव्य व सभ्य रुपं न्यायेकेगु उत्साहया लिसें सुव्यवस्थित यायेगु नितिं व्यवस्थापन समिति नीस्वनेगु ज्या क्वचाःगु खः । उगु जनबहाःद्यः रथजात्रा व्यवस्थापन समिति कजिया रुपं सुजीव बज्राचार्य च्वनादीगु दुसा ल्यू कजिया रुपं गणपतिलाल श्रेष्ठ च्वनादीगु दु । अथेहे, उगु व्यवस्थापन समितिइ शान्ति सुरक्षा व ट्राफिक प्रहरी समन्वयया भाला रवि तण्डुकारं कयादीगु दुसा स्वयंसेवक परिचालन समन्वयया भाला मच्छिन्द्र क्लब, दिपेश महर्जन, राजेश मानन्धर, केयुर मान सिंह व अमृत मर्हनं कयादीगु दु । अथेहे, उगु व्यवस्थापन समितिइ न्हापांगु दिं तीनधारा पाठशालानिसें लानिपुखू प्रहरी आयुक्त ज्याकुथितक मिसापिन्सं रथ सालीगु ज्याझ्वःया समन्वयया भाला नानीहिरा महर्जन, मिरा महर्जन ताम्रकारपिन्सं कयादीगु दुसा क्लब संघसंस्था समन्वय यायेगु भाला दिपक महर्जन, केयुर मान सिंह व अमृत महर्जनपिन्सं कयादीगु दु । थ्वहे झ्वलय् पंच महर्जन बाजा खलः समन्वयया भाला कयादीगु दु । अथेहे, रवि तण्डुकार व सुदन मानन्धरं महानगर प्रहरी समन्वयया भाला कयादीगु दुसा रञ्जन लाल श्रेष्ठं नेपाल स्काउट परिचालन समन्वयया भाला कयादीगु दु । समिति नीस्वनेगु झ्वलय् निर्माण अनुगमन व गुथि संस्थान समन्वयया भाला सत्यनारायण डंगोललिसें ई. अमित बज्राचार्य व नरेश महर्जनं कयादीगु दुसा राजेन्द्र श्रेष्ठं नेपाल रेडक्रस सोसाइटी समन्वयया भाला कयादीगु दु । थ्वहे झ्वलय् रुट निरीक्षण व प्राविधिक महानगर समन्वय भाला ई. अमित बज्राचार्य, रथ बत्ती व्यवस्थापन भाला कासें नेवाः नुगः बचत सहकारी संस्थां रथय् हे मत ब्याट्रीपाखें च्याइगु व्यवस्थापन, असन सेवा समिति, हनुमानढोका महादेव मखन क्लब, लगं खलःपाखें काःगु दु । अथेहे, रथय् स्वां समाः यायेत मुनिकार समाज समन्वयया भाला सुदन मुनिकारं कयादीगु दुसा विपद् व्यवस्थापन समन्वयया भाला केशव मिश्रं कयादीगु दु । थ्वहे झ्वलय् आर्थिक व्यवस्थापन व महानगर समन्वयया भाला उमेश स्थापितं कयादीगु दुसा घःमाः व्यवस्थापनया भाला नरेश महर्जन व मासंगा नेवाः पुचः नं काःगु दु । जात्राया प्रचार प्रसार समन्वयया भाला राजीव राजोपाध्यायं कयादीगु दुसा फोटोग्राफर व ड्रोन संचालन समन्वयया भाला समर्थ रंजित, संजोग मानन्धरपिन्सं कयादीगु दु । जात्राया हे झ्वलय् राष्ट्रपति दर्शनार्थ सहकार्यया भाला नीलकाजी शाक्य व सुजीव बज्राचार्यं कयादीगु दुसा असन भक्तजन दर्शनार्थ रथ व्यवस्थापनया भाला असन सेवा समितिया यज्ञरत्न तुलाधरं कयादीगु दु । अथेहे, हनुमानध्वाखा रथ व्यवस्थापनया भाला महादेव मखन क्लब, इन्द्रचोक क्लबं काःगु दुसा प्राधिकरण व केवल समन्वय यायेगु भाला सचिवालयं काःगु दु । सचिवालयस सुजीव बज्राचार्य, उमेश स्थापित, गणपतिलाल श्रेष्ठ, सत्यनारायण डंगोल, मचाराजा महर्जन, अमृत ताम्राकार, ज्योति शाक्य, पंच महर्जन च्वनादीगु दु । नीस्वंगु व्यवस्थापन समितिं व्यवस्थापन समिति नीस्वनेगु नितिं च्वंगु मुँज्याय् त्वःफ्यूगु संघसंस्थालिसे हाकनं मुँज्या च्वनेगु जानकारी ब्यूगु दुसा मंदुपिं सुं नं व्यवस्थापन समितिइ सहभागी जुइगु मन दुसा जानकारी बिइत नं इनाप याःगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २५, बिहिबार १३:५९:१०  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%83%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83-%E0%A4%B0%E0%A4%A5%E0%A4%9C%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE-%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8-%E0%A4%B8%E0%A4%AE%E0%A4%BF%E0%A4%A4%E0%A4%BF-%E0%A5%A7%E0%A5%A7%E0%A5%AA%E0%A5%A9-%E0%A4%A8%E0%A5%80%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%A8
जनबहाःद्यः जात्रा तःजिक न्यायेकेत गुथि संस्थान प्रमुखयात नापलात,जनबहाःद्यःया रथ क्वातुक निर्माण यायेगु नितिं सेतो मच्छिन्द्रनाथ रथजात्रा व्यवस्थापन समितिं गुथि संस्थानया कार्यकारी प्रमुख किरण शाक्ययात नापलानाः ध्यानाकर्षण पौ लःल्हाःगु दु ।  आइतवाः गुथि संस्थानया केन्द्रीय ज्याकुथिइ वनाः समितिया नायः निलकाजी शाक्यं थ्वहे वइगु चैत्र १५ गतेनिसें १९ गतेतक न्ह्याइगु जनबहाःद्यःया जात्रा तःजिक हनीगु नितिं दकले मध्ये महत्वपूर्ण ज्या धैगु रथ निर्माण जूगुलिं गुथि संस्थानं रथ दयेकेगु ज्याय् क्वातुक विचाः यायेत इनाप याःगु दु । लिसें जनबहाःद्यःया रथया घःचाः पुलां जुइधुंकूगुलिं न्हूगु घःचाः दयेकेगुपाखे तत्काल ज्या न्ह्याकेत नं इनाप यानादीगु दु ।। समितिया ध्यानाकर्षण पौ लःल्हानाः कासें कार्यकारी प्रमुख किरण शाक्यं जनबहाःद्यःया रथ गुथि संस्थानं न्हापालिपा सिबें बांलाक्क दयेकेगु नितिं कुतः यायेगु खँ कनादिसें रथ दयेकेगु संस्थानया पुचःयात हे सःताः मुँज्या तयेगु खँ नं कनादिल ।  भाजु शाक्यं जनबहाःद्यःया रथया घःचाः थ्व दँय् सम्भव मजूगु व लिपाया दँय् न्हूगु घःचाः तयेगु नितिं ज्या न्ह्याकेगु बचं नं बियादीगु दु ।  वइगु चैत्र १५ गतेनिसें न्ह्याइगु जनबहाःद्यःया जात्रा तःजिक हनेगु नितिं कन्हय् बुधवाः येँया प्रदीप्त पुस्तकालयस न्हिनसिया निता इलय् जनबहाःद्यः जात्रा समारोह समिति नीस्वनीगु जूगु दु । ,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २३, मंगलबार १६:१७:४४  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%83%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83-%E0%A4%9C%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE-%E0%A4%A4%E0%A4%83%E0%A4%9C%E0%A4%BF%E0%A4%95-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%95%E0%A5%87%E0%A4%A4-%E0%A4%97%E0%A5%81%E0%A4%A5%E0%A4%BF-%E0%A4%B8%E0%A4%82%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%A8-%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A4%AF%E0%A4%BE%E0%A4%A4-%E0%A4%A8%E0%A4%BE%E0%A4%AA%E0%A4%B2%E0%A4%BE%E0%A4%A4
जनबहाःद्यः जात्रा तःजिक न्यायेकेगु नितिं बृहत्त मुँज्या च्वनीगु,जनबहाःद्यः जात्रा व्यवस्थापन समिति ११४३ या ग्वसालय् थ्वहे वइगु चैत्र १५ गतेनिसें २० गतेतक न्ह्याइगु येँया तःधंगु जात्रा जनबहाःद्यः जात्रा तःजिक न्यायेकेगु नितिं बृहत्त मुँज्या च्वनीगु जूगु दु । व्यवस्थापन समितिं ब्यूगु जानकारी कथं वइगु आइतवाः सुथसिया ११ ता इलय् येँ महानगरपालिकाया प्रमुख बालेन साहया मू उपस्थितिइ महानगरपालिकाया सभागृह हलय् थथे बृहत्त मुँज्या च्वनेत्यंगु खः ।,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २६, शुक्रबार १३:०३:५७  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%83%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83-%E0%A4%9C%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE-%E0%A4%A4%E0%A4%83%E0%A4%9C%E0%A4%BF%E0%A4%95-%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%95%E0%A5%87%E0%A4%97%E0%A5%81-%E0%A4%A8%E0%A4%BF%E0%A4%A4%E0%A4%BF%E0%A4%82-%E0%A4%AC%E0%A5%83%E0%A4%B9%E0%A4%A4%E0%A5%8D%E0%A4%A4-%E0%A4%AE%E0%A5%81%E0%A4%81%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A4%BE-%E0%A4%9A%E0%A5%8D%E0%A4%B5%E0%A4%A8%E0%A5%80%E0%A4%97%E0%A5%81
हनुमानध्वाखाय् देय् आचार्य गुथि,"बज्राचार्य समुदायया तःधंगु धार्मिक पर्व म्हिगः बुधवाः व थौं बिहिवाः निन्हुयंकं तःजिक हनाच्वंगु दु ।  म्हिगः बुधवाः स्वयम्भू महाचैत्य देय् आचार्य गुथि न्यायेकूगु खः । येँ देय्या थ्यंमथ्यं स्वद्वःम्ह बरेछुइ धुंकूपिं बज्राचार्यपिन्त दानदक्षिणा बिसें थुगु दँय् शैक्षिक क्षेत्रलिसें थीथी क्षेत्रया थःथःगु कथं ज्याय् ताःलाःपिन्त सम्मान ज्याझ्वः नं याःगु खः ।  देय् आचार्य गुथिं म्हिगः बुधवाः बागमती प्रदेशया सांसदपिं निरोज बज्राचार्य व शैलेन्द्रमान बज्राचार्यपिन्त हनेज्या याःगु खः ।  देय् आचार्य गुथिया निन्हुया दिं थौं बिहिवाः येँया हनुमानध्वाखाया नासःचुकय् बज्राचार्यपिन्त दान यायेगु ज्याझ्वः तयातःगु खः ।  थुगु दँय् स्वयम्भू पाःलाः प्रकाश बज्राचार्य क्वाःबहाः व तःछेबहाःया चक्रेश्वर शंकरानन्द बज्राचार्य जुयादीगु दु । अथेहे, छेँ पाःलाः सिकःमू बहाःया आनन्द बज्राचार्य व लगंबहाःया सन्तमान बज्राचार्य जुयादीगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ चैत्र २, बिहिबार १२:२७:५७  ",https://www.newaonlinenews.com//%E0%A4%B9%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%A7%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%96%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%A6%E0%A5%87%E0%A4%AF%E0%A5%8D-%E0%A4%86%E0%A4%9A%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AF-%E0%A4%97%E0%A5%81%E0%A4%A5%E0%A4%BF
लानिपुखू सुथय् व सनिलय् सर्वसाधारणया नितिं चायेकीगु,येँ महानगरपालिकां येँया ऐतिहासिक व नांजाःगु लानिपुखू सुथय् व सनिलय् सर्वसाधारणया नितिं चायेकीगु तयारी याःगु दु ।  येँ महानगरपालिकाया प्रमुख बालेन साह नं लानिपुखू दुने सर्वसाधारण जनतां अवलोकन व भ्रमण यायेगु कथं थथे चायेकेगु तयारी यानागु खँ सम्बन्धित वडा ज्याकुथियात जानकारी ब्यूगु खँ सीदूगु दु ।  २०७२ साल बैशाख १२ गतेया तःभुखाचं पूर्ण रुपं क्षति जूगु उगु लानिपुखू नेपाल सरकार व स्थानीय निकायया ग्वाहालिं पुनःनिर्माण याःगु खः । ,"नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २६, शुक्रबार १३:१८:२२  ",https://www.newaonlinenews.com//%E0%A4%B2%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%AA%E0%A5%81%E0%A4%96%E0%A5%82-%E0%A4%B8%E0%A5%81%E0%A4%A5%E0%A4%AF%E0%A5%8D-%E0%A4%B5-%E0%A4%B8%E0%A4%A8%E0%A4%BF%E0%A4%B2%E0%A4%AF%E0%A5%8D-%E0%A4%B8%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%B8%E0%A4%BE%E0%A4%A7%E0%A4%BE%E0%A4%B0%E0%A4%A3%E0%A4%AF%E0%A4%BE-%E0%A4%A8%E0%A4%BF%E0%A4%A4%E0%A4%BF%E0%A4%82-%E0%A4%9A%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%95%E0%A5%80%E0%A4%97%E0%A5%81
जनबहाःद्यः जात्राय् ग्वाहालि यायेत मेयर बालेनया इनाप,"येँ महानगरपालिकाया प्रमुख बालेन साह नं थ्वहे वइगु चैत्र १५ गतेनिसें १९ गतेतक न्ह्याइगु येँया तःजिगु जात्रा जनबहाःद्यः जात्रा झःझः धायेक न्यायेकेगु नितिं सकलसित ग्वाहालि यायेत इनाप यानादीगु दु ।  थौं आइतवाः येँ महानगरपालिका व जनबहाःद्यः जात्रा व्यवस्थापन समितिया मंकाः ग्वसालय् जूगु तयारी मुँज्याय् मेयर साह नं थथे इनाप यानादीगु खः । वय्कलं गुथि संस्थान, येँ जिल्ला प्रशासन, सुरक्षा निकायया पदाधिकारीपिन्त मुँज्याय् जात्रायात यायेमाःगु सकता ग्वाहालि यायेत इनाप यासें जात्रा झःझः धायेकेगु नितिं पर्यटकपिन्त नं सहभागी याकेमाःगु विचाः प्वंकादीगु खः ।  मुँज्याय् लसकुस यासें व्यवस्थापन समितिया नायः निलकाजी शाक्यं जनबहाःद्यः जात्राया महत्वयात कयाः न्वःवानादीगु खः ।  अथेहे, जात्रा व्यवस्थापन समितिया उपसंयोजक गणपतिलाल श्रेष्ठं व्यवस्थापन समितिं नीस्वंगु नीप्यंगू उपसमिति व पदाधिकारीपिनिगु म्हसीका न्ह्यब्वयादीगु खः । ","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २८, आइतबार १४:३१:११  ",https://www.newaonlinenews.com//%E0%A4%9C%E0%A4%A8%E0%A4%AC%E0%A4%B9%E0%A4%BE%E0%A4%83%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%83-%E0%A4%9C%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AF%E0%A5%8D-%E0%A4%97%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B9%E0%A4%BE%E0%A4%B2%E0%A4%BF-%E0%A4%AF%E0%A4%BE%E0%A4%AF%E0%A5%87%E0%A4%A4-%E0%A4%AE%E0%A5%87%E0%A4%AF%E0%A4%B0-%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%A8%E0%A4%AF%E0%A4%BE-%E0%A4%87%E0%A4%A8%E0%A4%BE%E0%A4%AA
येँया मेयर बालेन साह थौं लण्डन वनीगु,"येँ महानगरपालिकाया मेयर बालेन्द्र साह बालेन थौं सोमवाः लण्डन वनीगु जूगु दु । फागुन ३० गतेनिसें स्वन्हु लण्डनय् जुइगु ‘पार्टनरसिप फर हेल्दी सिटी समिट’य् सहभागी जुइत मेयरलिसें प्यम्ह दुजः थौं सोमवाः सनिलय् लण्डन वनेत्यंगु खः । लण्डन वनीगु पुचलय् येँ महानगरपालिका २४ वडाया वडाध्यक्ष विनोद भण्डारी, बालेनया मू स्वकीय सचिव भुपदेव साह, महानगरया जनस्वास्थ्य सल्लाहकार डा. जगदीशप्रसाद जैसवाल जूगु बालेनया सचिवालयं जानकारी ब्यूगु दु ।","नेवा: अनलाइन न्युज – ललेन्द्र शाक्य | २०७९ फाल्गुण २९, सोमबार ११:२६:२७  ",https://www.newaonlinenews.com//%E0%A4%AF%E0%A5%87%E0%A4%81%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A5%87%E0%A4%AF%E0%A4%B0-%E0%A4%AC%E0%A4%BE%E0%A4%B2%E0%A5%87%E0%A4%A8-%E0%A4%B8%E0%A4%BE%E0%A4%B9-%E0%A4%A5%E0%A5%8C%E0%A4%82-%E0%A4%B2%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%A8-%E0%A4%B5%E0%A4%A8%E0%A5%80%E0%A4%97%E0%A5%81
