category,date_published,headline,news_text
अन्तर्राष्ट्रिय,११३८ बछलागा चौथी,भारतय् धाकुफसं सछिम्हं मल्याक सित,"['भारतय् धुलं जाःगु शक्तिशाली धाकुफय वयाः सछिंम्हं मल्याक मनूतय् ज्यान वंगु दु । थ्व धाकुफसं यानाः राजस्थान व उत्तर प्रदेश यक्व प्रभावित जूगु दु । बुधवाः वःगु धाकुफय्या कारणं थासय्थासय् मतया लाइन वंगु दुसा यक्व थासय् सीमा क्वःदःगु, छेँ दुंगु दु ।\r\n                    \r\n                    \r\n                ', 'सीपिं मध्ये अप्वः धयाथें बहनी द्यनाच्वंबलय् छेँ दुनाः व मलखं लानाः सीगु खः । थ्व मौसमय् भारतय् धुलं जाःगु धाकुफय् वइगु स्वाभाविक खःसां थुलिमछि मनूत छक्वः सीगु धाःसा अजूचायापुगु खँ धाःगु दु ।धाकुफसं राजस्थानया अलवर, भरतपुर व ढोलपुरय् दकलय् अप्वः प्रभावित याःगु दु ।', 'थन ३१ म्हेसिया ज्यान वंगु खः । राजस्थान विपद व्यवस्थापनया सचिव हेमन्त गेरां थःम्हं विपद व्यवस्थापनय् ज्या यानागु नीदँया दथुइ आःतक थपाय्सं बांमलाःगु अवस्था वःगु मसिउनिगु खँ धयादीगु दु । अथेहे उत्तर प्रदेशय् ४५ म्ह सीगु दुसा आगरया ३६ म्हेसिया ज्यान वंगु दु ।']"
अन्तर्राष्ट्रिय,११३८ बछलाथ्व पुन्हि,उत्तर कोरियां वइगु महिनाय्  परमाणु परीक्षण केन्द्र बन्द याइगु,"['उत्तर कोरियां थःगु पारमाणविक परीक्षण केन्द्र वइगु मे महिनाय् बन्द याइगु खँ दक्षिण कोरियाली राष्ट्रपतिया ज्याकुथिं धाःगु दु । राष्ट्रपतिया ज्याकूया छम्ह प्रवक्तां छगू सार्वजनिक ज्याझ्वः यानाः हे परीक्षण केन्द्र बन्द याइगु व बन्द जूगु स्वयेत दक्षिण कोरिया व अमेरिकी विज्ञतय्त सःतीगु खँ नं धाःगु दु ।\r\n                    \r\n                    \r\n                ', 'वंगु शुक्रवाः उत्तर कोरियाली नेता किम जङ अन व दक्षिण कोरियाली राष्ट्रपति मून जे इनं कोरियाली प्रायद्वीपय् परमाणविक अस्त्रमुक्त यायेत व सन् १९५३ य् जूगु युद्धविरामं दिनाच्वंगु निगू कोरिया दथुया युद्ध औपचारिक रुपं क्वचायेकेगु सहमति याःगु खः । उगु बैठकय् हे उत्तर कोरियाली नेता किमं वइगु मे महिनाय् पारमाणविक परीक्षण केन्द्र बन्द यायेगु खँ धाःगु जानकारी राष्ट्रपति मूनया प्रवक्तां पत्रकारतय्त जानकारी बिउगु खः ।', 'थ्वयां न्ह्यः मिसिगनय् जूगु छगू ¥यालीइ न्ववासें अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्पं स्ववाः व प्यवाः दुने कोरियाली प्रायद्वीपया निशस्त्रीकरणबारे उत्तर कोरियाली नेतालिसें थःम्हं वार्ता यायेगु खँ धयादीगु खः । निगू कोरियाली नेतातय् वार्ता लिपा ट्रम्पं दक्षिण कोरियाली राष्ट्रपति मून लिसे खँल्हाबल्हा यानादीगु धुंकूगु दु ।']"
अन्तर्राष्ट्रिय,११३८ बछलाथ्व चतुर्दशी,निगू कोरियाया वार्तां  न्हूगु लँपु चायेकूगु दु,"['कोरियाली सञ्चार माध्यमतय्सं निगू कोरिया दथुइ शुक्रवाः जूगु शिखर वार्तायात ऐतिहासिक धासें थुकी न्हूगु युग न्ह्याकेत लँपु चायेकूगु खँ धाःगु दु ।उत्तर कोरियाली नेता किम जङ अन व दक्षिण कोरियाली राष्ट्रपति मुन जे इन दथुइ कोरियाली प्रायद्वीपयात पारमाणिविक अस्त्रपाखें मुक्त यायेगथु निंतिं नापं ज्या यायेगु सहमति जूगु खः ।उत्तर कोरियाया सरकारी समाचार संस्था केसीएनएं शिखर वार्ताया प्रसंशा यासें समृद्धि चूलाकेगु दिशाय् न्हूगु ईल्वहं जूगु खँ धाःगु दु ।\r\n                    \r\n                    \r\n                ', 'चीन व अमेरिकां नं निगू कोरियाया सहमतियात लसकुस याःगु दु । अथेखःसां अमेरिकी राष्ट्रपति डोनल्ड ट्रम्पं उत्तर कोरियायत अझं दबाब बियाच्वनेमानीगु खँ धाःगु दु । ट्रम्पं नं उत्तर कोरियाली नेता किम जङ अनयात वइगु जुनय् नापलायेत्यंगु दु ।', '\nराष्ट्रपति ट्रम्पं धाःगु दु, ‘झीसं थ्वपालय् थःत ध्वंलाके बीमखु । आशा दु, छुं सम्झौता जुइ ।’', 'शिखर बैठकय् निगू कोरियाली नेतातय्सं सन् १९५३ या युद्धविरामं दिनाच्वंगु कोरियाली युद्धयात औपचारिक रुपं हे क्वचायेकेगु निंतिं नापं ज्या यायेगु सहमति नं याःगु खः ।निगू कोरियाली देय्तय्सं न्हापा नं थज्याःगु हे सहमति यानाः प्रतिबद्धता प्वंका वयाच्वंगु खःसां उत्तर कोरियां पारमाणविक व क्षेप्यास्त्र परिक्षण यानाः थुकिया उल्लंघन याना वयाच्वंगु खः ।']"
अन्तर्राष्ट्रिय,११३८ अनलागा अष्टमी,अर्जेन्टिनां इजरायललिसेया मैत्रीपूर्ण कासा रद्द यानाबिल,"['एजेन्सी- गाजा क्षेत्रय् इजरायलं प्यालेस्टिनीतय्त यानाच्वंगु क्रूद्ध व्यवहारया कारणं अर्जेन्टिनां इजरायललिसेया मैत्रीपूर्ण कासा रद्द यानाबिउगु दु । विश्वकप तयारीया झ्वलय् अर्जेन्टिनां शनिवाः इजरायललिसे मैत्रीपूर्ण कासा म्हितेत्यंगु खः ।\r\n                    \r\n                    \r\n                ', 'अर्जेन्टिनाया स्ट्राइकर गोन्जालो इगवाइनं मंगलवाः छगू स्पोर्ट च्यानललिसे खँ ल्हासें अन्तय् सही निर्णय जूगु खँ धाःगु दु ।', '\nइजरायलया प्रधानमन्त्री बेन्जामिन नेतान्याहुं कासा रद्द मयायेगु निंतिं अर्जेन्टिनी राष्ट्रपति मोरिसियो माक्रीयात फोन यानाः इनाप याःगु खःसां अर्जेन्टिनां कासा म्हितेत अस्वीकार याःगु खः ।', 'अर्जेन्टिनां कासा रद्द याःगु समाचार वयेवं गाजाय् प्यालेस्टिनीतय्सं लापा थानाः लसकुस याःगु दु । थन जुयाच्वंगु लिपांगु झडपय् इजरायली सेनां १२० म्ह प्यालेस्टिनीतय्त स्यायेधुंकूगु दु ।', 'कासा रद्द जुइवं वेस्ट ब्यांकया रमल्लाहय् प्यालेस्टिनी फुटबल संघं छगू विज्ञप्ति पिथँसें अर्जेन्टिनी कप्तान लियोनल मेस्सी लिसें मेपिं कासामिपिंत सुभाय् बिउगु दु ।', '‘नैतिक व कासाया मूल्यमान्यताया थौं जीत जूगु दु । कासा रद्द यानाः इजरायलयात ह्याउँगु कार्ड क्यंगु दु’ संघया प्रमुखं रोयटर्स समाचार संस्थायात प्रतिक्रिया बिउगु दु । थ्वयां न्ह्यः कासा जुइगु तयारी जुयाच्वंगु इलय् संघं प्यालेस्टिनीतय्त मेस्सीया तस्बीर व जर्सी च्याकेत आह्वान याःगु खः । रुसय् वइगु जेठ ३१ गते निसें जुइत्यंगु विश्वकपया तयारीया झ्वलय् अर्जेन्टिनां वेस्ट जेरुसलेमय् इजरायललिसे मैत्रीपूर्ण कासा म्हितेगु क्वःछिनातःगु खः ।', 'कासा जुइगु थाय् जेरुसलेम तसकं संवेदनशील थाय् खः । इजरायलं जेरुसलेमयात थःगु राजधानी धया वयाच्वंगु दु । तर प्यालेस्टाइनं नं जेरुसलेमया पूर्वी भागयात भविष्यया थःपिनिगु राजधानी कथं धयातःगु दु ।', 'न्हापा हाइफा सहरय् जुइ धयातःगु कासायात जेरुसलेमय् म्हितकेगु जुइवं प्यालेस्टिनीत तंम्वयाच्वंगु खः । थ्व हे कारणं नं अर्जेन्टिनां कासा रद्द यानाबिउगु खः ।']"
अन्तर्राष्ट्रिय,११३८ बछलागा पारू ,"काबुलय् विस्फोट,  च्याम्ह पत्रकार सित","['अफगानिस्तानया राजधानी काबुलय् सोमवाः निगू बम विस्फोटय् लानाः च्याम्ह पत्रकारत लिसें २५ म्ह सीगु दु । विस्फोटय् लानाः सीम्ह मध्ये अन्तर्राष्ट्रिय समाचार संस्था एएफपीया काबुलय् च्वंम्ह प्रमुख फोटोपत्रकार शाह माराई नं लाःगु दु । छम्ह मोटरसाइकलय् वःम्ह आक्रमणकारी न्हापांगु विस्फोट याःगु खः । थ्व विस्फोट जूथाय् सञ्चारकर्मी लिसें सर्वसाधारण हूल मुनाः स्वयाच्वंगुबलय् न्हापांगु विस्फोट जूगुया १५ मिनेट लिपा मेगु विस्फोट याःगु खः ।\r\n                    \r\n                    \r\n                ', 'एएफपीं निगूगु विस्फोट नियतवश पत्रकारतय्त हे लक्षित यानाः याःगु खँ धाःगु दु ।स्थानीय प्रहरी प्रवक्तायात उद्ढृत यासें निगूगु विस्फोट पत्रकारया भेषय् वःम्ह आक्रमणकारीं भीडया दथुइ वनाः विस्फोट याःगु खँ एएफपीं धाःगु दु । रेडियो फ्री युरोप (आरएफईं) नं थःपिनि निम्ह पत्रकार सीगु खँ धाःगु दु । अब्दुल्लाह हानन्जाई व मोहर्रम दर्रानी नांयाम्ह निम्ह पत्रकार आरएफईयापिं खः ।', 'आरएफईया हे मेम्ह छम्ह पत्रकार नं विस्फोटय् लानाः घाःपाः जूगु खँ धाःगु दु । अथेहे मेगु अन्तर्राष्ट्रिय समाचार एजेन्सी रोयटर्सं नं थः छम्ह फोटोपत्रकारयात बमया छर्रा लानाः घाःपाः जूगु खँ धाःगु दु । स्थानीय सरकारी अधिकारीं थ्व विस्फोटय् म्होतिं नं च्याम्ह पत्रकार, प्यम्ह प्रहरी सीगु खँ धाःगु दु । ४५ म्ह घाःपाः जूपिंत अस्पताल यंकेधुंकूगु दु ।', 'एएफपीया कथं वान टिभीया निम्ह, टोलो न्यूजया छम्ह व जहाँ टिभीया छम्ह पत्रकार सीगु खँ धाःगु दु ।मुस्मां आतंककारी संस्था इस्लामिक स्टेटं थ्व आक्रमणया जिम्मेवारी कायेधुंकूगु दु । इस्लामिक स्टेटं छगू विज्ञप्ति पिथँसें गुप्तचर निकायया मू ज्याकूयात लक्षित यानाः आक्रमण जूगु खँ धाःगु दु ।आक्रमण जूगु थाय् शाश्दार क्षेत्रय् अफगानिस्तानया रक्षा मन्त्रालय, गुप्तचर सेवा कार्यालय व उत्तर एटलान्टिक सन्धि संगठन नेटोया ज्याकू लाः ।']"
अन्तर्राष्ट्रिय,११३८ अनलागा सप्तमी,सिरियाय् अमेरिकाया हवाइ आक्रमण,"['अमेरिकी नेतृत्वया हवाई सेनां सिरियायाउत्तरपाखे लाःगु हासाकह सहरय् मंगलवाः हवाई आक्रमण याःगु दु । आक्रमणय् लानाः सर्वसाधारण लिसें विद्रोहीत सीगु खँ धाःगु दु । अमेरिकी नेतृत्वया लडाकु विमानं सहरया आवास क्षेत्रयात हे लक्षित यानाः न्हिनय् हवाइ आक्रमण याःगु खः । सिरियाली सरकारी समाचार संस्था सानाया कथं हासाकह धाःथाय् आइतवाः चान्हय् याःगु सैनिक कारवाहीलय् तःम्ह मस्त सीगु दु ।\r\n                    \r\n                    \r\n                ', 'समाचार संस्था सानाया कथं अमेरिकी गठबन्धनया सेनां न्हापांनिसें आवास क्षेत्रयात हे लक्षित यानाः आक्रमण यायेगु यानाच्वंगु दु । थुकिया तच्वःगु विरोध जूसां हवाई कारवाही धाःसा दिउगु मदुनि ।अमेरिकी गठबन्धनं सन् २०१४ निसें सिरियाय् आक्रमण सुरु याःगु खः । सिरियां धाःसा अमेरिकी नेतृत्वया गठबन्धन थःथासं चिइकेगु निंतिं संयुक्त राष्ट्र संघयात इनाप यानाच्वंगु दु ।']"
अन्तर्राष्ट्रिय,११३८ बछलागा दुतिया,इरानं परमाणु कार्यक्रम संचालन यानाच्वंगु इजरायलया दावी,"['इरानं परमाणु महत्वाकांक्षाबारे विश्वयात मखुगु खँ ल्हाःगु धकाः इजरायलं बिउगु द्वपंयात इरानं अस्वीकार याःगु दु । इजरायलं तेहरानया परमाणु महत्वाकांक्षायात कयाः विश्वयात मखुगु खँ ल्हाःगु प्रमाणित जूगु हजारौं पानाया दस्तावेज थःपिंके दुगु दावी याःगु खः ।\r\n                    \r\n                    \r\n                ', 'मेखे इरानी विदेशमन्त्री जभाद जारिफं धाःसा अन्तर्राष्ट्रिय परमाणु ऊर्जा निकायं सम्बोधन यायेधुंकूगु पुलांगु दस्तावेजयात हे हाकनं मिले यानाः न्ह्यब्वःगु टिप्पणी यानादीगु दु ।इरानलिसेया अन्तर्राष्ट्रिय परमाणु सम्झौता त्वाःथलेगु अमेरिकी राष्ट्रपतिया चाहनायात ग्वाहालि यायेगु निंतिं इजरायलं थ्व दावी याःगु खँ विदेशमन्त्री जारिफं धयादीगु दु ।', 'इजरायली प्रधानमन्त्री बेन्जामिन नेतान्याहुं धाःसा थ्व दस्तावेज सन् २०१५ या सम्झौता लिपा इरानं थःगु परमाणु ज्ञान अभिवृद्धि यायेगु निंतिं निरन्तर ज्या यानाच्वंगु प्रमाणित याःगु खँ धाःगु दु । इजरायलया थ्व दावी लिपा अमेरिकी राष्ट्रपति कार्यालय ह्वाइट हाउसं इजरायलं सार्वजनिक याःगु विवरण थःपिंत न्हापा वःगु विवरण लिसे मिले जूगु धासें इरानं गोप्य रुपं थःगु परमाणु कार्यक्रमयात निरन्तरता बियाच्वंगु पुष्टि जूगु खँ धाःगु दु ।', 'तर राष्ट्रपति ट्रम्पं वइगु निवाः लिपा निर्णय यायेबलय् इरान लिसेया परमाणु सम्झौता त्वाःथलेगु मथलेगु धयागु बारे धाःसा छुं धयादीगु मदुनि ।राष्ट्रपति ट्रम्पं ताःई न्ह्यवनिसें थ्व सम्झौता इरानया पक्षय् दुगुलिं कि खारेज यायेमाः मखुसा संशोधन यायेमाः धया वयाच्वंगु खः । तर उगु सम्झौताय् हस्ताक्षर याःगु मेमेगु देय् बेलायत, फ्रान्स व रुसं ट्रम्पयात उगु सहमतिं अलग मजुइत धया वयाच्वंगु दु ।']"
अन्तर्राष्ट्रिय,११३८ अनलागा नवमी,बोको हरामं ५० म्ह मस्त अपहरण यात,"['नाइजेरियाय् विद्रोही पुचः बोको हरामं छगू गांया स्कुलं ५० म्ह मस्तय्त अपहरण याःगु दु । थःपिनिगु पुचलय् जबर्जस्ती लडाकु दयेकेगु निंतिं बोको हरामं थथे इलय्ब्यलय् मस्तय्त अपहरण यायेगु यानाच्वंगु दु । संयुक्त राष्ट्र संघ बालकोष –युनिसेफ)या कथं सन् २०१३ निसें उत्तरपूर्वी नाइजेरियाय् जक द्वःछिं मल्याक मस्तय्त थुकथं अपहरण यायेधुंकूगु दु ।\r\n                    \r\n                    \r\n                ', 'नाइजेरियाया प्रहरीं आः अपहरण यानायंकूपिं मस्तय्त मालेगु ज्या न्ह्यायेधुंकूगु खँ धाःगु दु । गृह मन्त्रालयं मस्त मालेगु निंतिं तःधंगु ल्याखय् सुरक्षाकर्मी परिचालन यानागु खँ धाःगु दु ।बोको हरामं युद्ध सुरु याःगु थ्यंमथ्यं गदँया दुने उमिसं झिंनिसलं मल्याक स्कुलय् आक्रमण यायेधुंकूगु दु ।', 'बोको हरामया आक्रमणय् लानाः निद्वः व २९४ म्ह शिक्षकत सीधुंकूगु खँ युनिसेफ धाःगु दु । सन् २०१४ य् नं बोको हरामं २७६ म्ह मस्तय्त अपहरण याःगु खः । उबलय् नं सरकार मस्तय्त मुक्त यायेत असफल जूगु खः । बोको हरामं अपहरण यानायंकूपिं मस्तय्त जबर्जस्ती थःपिनि लडाकु सेनाय् भर्ती यायेगु, यौन शोषण यायेगु यानाच्वंगु दु ।']"
अन्तर्राष्ट्रिय,११३८ दिल्लाथ्व त्रयोदशी ,जब विमानय् चुरोस त्वनाबिल ………,"['छगू ई अज्याःगु नं खः कि मनूत न्ह्यागु थासय् नं च्वनाः याउँक चुरोस त्वनाच्वनी । बस, ख्यः, सतक, बजाः आदि थासय् नं धुक्क जुयाः चुरोस त्वनाच्वनीगु खः । तर ईलिसें वःगु न्हू न्हूगु ऐन, कानुन नियम लिपा अज्याःगु प्रवृत्ति नं बुलुहुं बन्द जुया वनसा मनूतय्के नं चेतनाया विकास जुल । उकिं थौंकन्हय् मनूत सार्वजनिक थासय् चुरो त्वने न्ह्यः छपला लिचिली ।\r\n                    \r\n                    \r\n                ', 'तर बस मखु, हवाईजहाजय् हे सुनानं चुरोस त्वना बिल धाःसा छु यायेगु ? उकिसनं यात्रु मखु चालकदलया हे दुजलं अज्याःगु ज्या याःगु धायेबलय् पत्याः मजुइफु । हङकङनिसें डालियन सहरया निंतिं उडान यानाच्वंगु चाइना एअरया छगः जहाजया को–पाइलटं जहाज उडानया हे झ्वलय् चुरोस त्वना बिल । गुकिं यानाः जहाज आकस्मिक अवस्था थ्यन ।', 'थम्हं चुरोस त्वनागु यात्रुं सीके मफयेमा धकाः उम्ह को–पाइलटं जहाजया एअर कन्डिसन हे बन्द यानाबिल, गुकिं यानाः लिपा जहाजय् तत्काल अक्सिजनया कमि जुल । अक्सिजनया मात्रा आवश्यकता स्वयां नं क्वय्या तहय् थ्यन । अक्सिजन कमि जुइवं यात्रुतय्सं तयातःगु अक्सिजन माक्स नं त्वःता अल ।', '६५०० मिटर उचाइलय् दुगु जहाजया क्याप्टेनं तकं मसीक उम्ह को–पाइलटं चुरोस त्वंगु जुयाच्वन ।लिपा यात्रुतय्त ‘सिल्ट बेल्ट’ कसिक चिइत धासें चालक दलं विमानयात अज्याःगु अवस्थाय् नालेमाःगु उपाय शुरु याःगु खः । अक्सिजन मास्क त्वःतूगु इलय् तकं सुनानं चुरोस त्वंगु सीके मफु । लिपा बन्द जूगु एअर कन्डिसनयात हाकनं चले यानाः पुलांगु हे अवस्थाय् हःगु खः ।']"
अन्तर्राष्ट्रिय,११३८ अनलागा तृतीया,हत्या जुल धाःम्ह पत्रकार जीवित,"['हत्या जुल धाःम्ह छम्ह रुसी पत्रकार म्वाःम्वाकं पत्रकार सम्मेलनय् वयाः सकसितं वाताहां यानाबिउगु दु । रुसी राष्ट्रपति भ्लादिमिर पुटिनया कट्टर आलोचक जुयाच्वंगु अर्काडी बाब्चेन्कोया हत्या जूगु खँ युक्रेनी प्रहरीं धाःगु खः । तर युक्रेनी प्रहरीं हे बिहिवाः छगू पत्रकार सम्मेलनय् बाब्चेन्कोयात सकुशल उपस्थित याकूगु खः ।\r\n                    \r\n                    \r\n                ', 'पत्रकार सम्मेलनय् बाब्चेन्कों थःगु हत्या यायेगु योजना दयेकूगु धयागु बारे थःत लछि न्ह्यव हे सुचं वःगु जानकारी बिउगु ख । पत्रकार सम्मेलनय् युक्रेनया गुप्तचर सेवा प्रमुखं पत्रकार बाब्चेन्कोयात स्यायेगु निंतिं रुसी गुप्तचर निकायं आदेश जारी याःगु खँ धाःगु दु । बाब्चे–न्कोया हत्या यायेगु षडयन्त्रय् दुथ्याःम्ह छम्हेसित ज्वनागु खँ नं युक्रेनी प्रहरीं धाःगु दु ।', 'बाब्चेन्कों थःगु ज्यान बचे यानाबिउगुलिं युक्रेनी प्रहरीयात सुभाय बिउगु दु । थ्वयां न्हयः युक्रेनी प्रहरीं हे बाब्चेन्कोयात वयागु छेँ न्ह्यःने हे गोलीं कयेकूगु व वया कलातं खनेधुंकाः अस्पताल यंकाच्वंगु इलय् एम्बुलेन्सय् हे सीगु जानकारी बिउगु खः ।', '\nपत्रकार बाब्चेन्को क्रेम–लिनया कट्टर अलोचक जूगुलिं वयात स्यायेगु षडयन्त्र जुयाच्वंगु खँ धाःगु दु ।']"
