category,date_published,headline,news_text
नेवाःख्यः,११३८ सिल्लाथ्व सप्तमी,अध्यक्षया लुमन्तिइ बिचाः मुँज्या,"['येँ – थँहिति माननधर गुथिया अध्यक्ष मदुम्ह पूर्णकृष्ण मानन्धरया लुमन्ति बिचाः मुँज्या जुल ।थँहिति मानन्धर गुथिया त्वाःछेँय् थँहति जूगु उगु ज्याझ्वलय् गुथिया दुजः सुवर्ण मानन्धर, मदुम्हहेसिया काय् सूर्यकृष्ण मानन्धर, गुथिया सचिव गौतम मानन्धरपिंसं मदुम्हेसिया बारे थःथःगु नुगः खँ तयादीगु खः । ज्याझ्वःयात गौतम मानन्धरं न्हयाकादीगु खः सा सभापति गुथिया उपाध्यक्ष लिसे पुलांम्ह सांसद लक्ष्मीदास मानन्धरया सभापतित्वय् जूगु खः ।']"
नेवाःख्यः,११३८ पोहेंलागा एकादशी,पृथ्वी जयन्तीया विरोधय् थीथी ज्याझ्वः,"['येँ – सरकारं पुस २७ गते पृथ्वी जयन्तीया न्हिकुन्हु सार्वजनिक विदा बिउगु विरोधय् म्हिगः थनया असनय् छगू विरोध प्रदर्शन जुल । नेवाः जागरण मंचया ग्वसालय् ब्यानर व प्लेकार्ड सहित विरोध प्रदर्शन याःगु खः ।', '\n‘पृथ्वीनारायण शाहं नेपाः एकीकरण याःगु मखु, राज्य विस्तार जक याःगु खः’, ‘गणतन्त्र नेपालय् जुजु पृथ्वीनारायण शाहया नामं बिउगु विदाया विरोध यायेनु’, ‘पृथ्वीनारायण युद्ध अपराधी खः, एकताया प्रतीक मखु’ धइगु थीथी नारा च्वयातःगु ब्यानर व प्लेकार्ड सहित उकथं विरोध प्रदर्शन याःगु खः ।', '\n०६३ सालया जनआन्दोलन लिपा देशय् गणतन्त्र वये धुंकाः पृथ्वी जयन्तीया विदा बीगु बन्द याये धुंकूगु खःसा आः वयाः हाकनं सरकारं उकथं सार्वजनिक विदा बिउगु धासें मंचया ग्वसालय् उकथं ब्यानर व प्लेकार्डलिसें विरोध प्रदर्शन याःगु खः ।', '\nअसनय् जूगु विरोधय् सभाय् नवासें नेवाः न्ह्यलुवा मल्ल के. सुन्दरं देशय् गणतन्त्र वये धुंकाः विदा बीगु बन्द याये धुंकूगु पृथ्वी जयन्ती कुन्हु हाकनं प्रधानमन्त्री शेरबहादुर देउवां सार्वजनिक विदा बीगु निर्णय याःगु धाथें छगू हास्यास्पद व लज्जास्पदया खँ खः धयादिल । शाह वंशीय शासन शुरु जूगु इलंनिसें हे देशय् भाषिक दमन नं शुरु जूगु खँ न्ह्यथँसें वय्कलं धयादिल, ‘शाह वंशीय शासनसत्ता जनताया हितया निंतिं मखु, थ्व मात्र थः सत्ताय् प्यपुनाच्वनेगु निंतिं खः ।’', '\nज्याझ्वलय् नेवाः जागरण मंचया नायः सुजीव वज्राचार्य, उमेश स्थापित, नेपाः युथ अर्गनाइजेसनया सुमन साय्मि व श्याम प्रजापति लगायतं नं पृथ्वी जयन्तीकुन्हु सार्वजनिक विदा बिउगु विरोधय् थःगु नुगःखँ तयादीगु खः ।', '\nथ्व हे झ्वलय् पृथ्वी जयन्तीया हे लसताय् सरकारं सार्वजनिक विदा बिउगु विरोधय् म्हिगः नेपाः युथ अर्गानाइजेसनं नं छगू विरोधया ज्याझ्वः यात । अर्गनाइजेसनया आह्वानय् असनय् हे मुनाः छगू मोटरसाइकल ¥याली पिथंसे किपुलिइ वनाः अन च्वंगु छ्याकः ल्वहंतय् थ्यंकाः विरोध ज्याझ्वः याःगु खः ।', '\nजागरण मंचया ग्वसालय् असनय् जूगु विरोध प्रदर्शन लिपा मोटरसाइकल ¥याली किपूया छ्याकः ल्वहंतय् वनाः अन नं विरोध प्रदर्शन याःगु खः । युथ अर्गनाइजेसनया ग्वसालय् असनं न्ह्याःगु विरोध मोटरसाइकल ¥याली किपुलिइ थ्यंकाः नेवाः प्रदेशय् आदिवासी जनजाति जागरण अभियानया ग्वसालय् छ्याकः ल्वहंतय् जूगु सभाय् सहभागि जूगु खः । लिसें विरोधकथं सहभागितय्सं छ्याकः ल्वहंतय् थुकलं बीगु ज्या नं याःगु खः ।', '\nथुकथं देशय् गणतन्त्र वये धुंकाः सरकारं पृथ्वी जयन्ती व राष्ट्रिय एकता दिवसया नामय् बिदा बिउगु धासें किपूया स्थानीय जनता व अभियानं पृथ्वीनारायण शाहया पुतला तकं च्याकूगु खः । छ्याकः ल्वहंतय् जूगु औपचारिक ज्याझ्वः लिपा पृथ्वीनारयणया पुतला च्याकूगु खः ।', '\nपृथ्वीनारायण शाहं किपू देय् त्याके धुंकाः नं लिपा किपूमितप्रति दमन, अन्याय व अत्याचार लिसें क्रुर व्यवहार याःगु विरोध स्वरुप उकथं छ्याकः ल्वहंतय् थुकलं बीगु परम्परा न्ह्याका वयाच्वंगु खः ।']"
नेवाःख्यः,११३८ पोहेंलागा दशमी,मरुसतःया सिँ खुया यंकाच्वन,"['येँ देय्या म्हसीका जुयाच्वंगु मरुसतः पुनःनिर्माण विवादया कारणं ढिलासुस्ती जुयाच्वंगु सकसिनं सिउगु हे खँ खः । मरुसतः पुनःनिर्माण यायेगु बारे पुरातत्व विभाग, येँ महानगरपालिका, राष्ट्रिय पुनःनिर्माण प्राधिकरण व काष्ठमण्डप पुनःनिर्माण अभियानया दथुइ खँ मिले मजुइवं मरुसतः पुनःनिर्माणं गति काये फयाच्वंगु मदु ।', '\nछखे मरुसतः पुनःनिर्माणं गति काये फया च्वंगु मदुसा मेखे मरुसतःया पुलांगु सिँ बेवारिसे अवस्था त्वःता बिउगुलिं खुया यंका च्वंगु दु । मरुसतःया ११०० दँ पुलांगु सिँ बसन्तपुलि लागाय् बेवारिस अवस्थाय् त्वःता तःगुलिं खुया यंकाच्वंगु दु ।', '\n२०७२ सालया विनाशकारी तःभुखाचं पाःताः जुइक दुना वःगु ऐतिहासिक, सांस्कृतिक व पुरातात्विक ल्याखं महत्वपूर्ण मरुसतः,या सिँ महाद्यः पार्वति देगः लागाय् गृह मन्त्रालय अन्तर्गतया समारोह प्रबन्ध फाँया ज्याकू दुगु चुक व भैरवया मूर्ति न्ह्यःने बेवारिसे अवस्थाय् तयातःगु दु ।', '\nविवादया कारणं मरुसतः पुनःनिर्माणं गति काये मफुगुला द हे दु, पुरातात्विक ज्वलं तकं संरक्षण याये मफुगु खँय् स्थानीयवासीतय्सं चिउताः प्वंका हःगु दु ।', '\nमरुसतः पुनःनिर्माण यायेगु सम्बन्धय् राष्ट्रिय पुनःनिर्माण प्राधिकरणं दकलय् न्हापां स्थानीयवासीतय् समितियात व वयां लिपा येँ महाानगरपालिकायात जिम्मा बिउगु खः । येँ मपां मरुसतः पुनःनिर्माण यायेगु खँय् चिउताः क्यनामच्वंगु जक मखु मरुसतः दुना वयाः अन च्वंगु पुरातात्विक, सांस्कृतिक व ऐतिहासिक ल्याखं महत्वपूर्ण सिँ तकं संरक्षण यायेगुपाखे चिउताः क्यना मच्वंगु स्थानीयतय् धापू दु ।', '\nसम्पदा संरक्षण अभियानय् लगे जुया च्वनादीम्ह छम्ह अभियन्ता लिसें स्थानीयवासी सुमना श्रेष्ठं येँ मनपां ऐतिहासिक महत्व दुगु सम्पदा दयेकेगु स्वयां नं कमिसनया कासाय् लगे जुयाच्वंगुलिं मरुसतःया हलंज्वलं संरक्षण यायेगु खँय् ध्यान बियामच्वंगु द्वपं बियादीगु दु ।']"
नेवाःख्यः,११३८ पोहेंलागा दशमी,मेयर्स कप धिमय् कासा जुइगु,"['किलाघः सांस्कृतिक पुचःया ग्वसालय् येँ महानगरव्यापी न्हापांगु मेयर्स कप ट्रफि चिग्व धिमय् धेंधेंबल्लाः जुइगु जूगु दु ।', '\nथ्व हे वइगु पोहेलागा द्वादशि (पुस २९ गते) कुन्हु जुइगु धेंधेंबल्लाखय् येँ महानगर दुनेया ख्वीनिगू ज्यापु त्वाः खलःपाखें मुक्कं नीगू पुचलं ब्वति काइगु ग्वसाः खलकं जानकारी बिउगु दु । कासाय् न्हाप, लिउ व लियांलिउ लाःगु पुचःयात नगद सिरपाः लिसें ट्रफि व पदकया नं व्यवस्था यानातःगु दु ।', '\nथुगु ज्याझ्वःपाखें नेवाः समुदाय दुने चिग्वः धिमय् बाजंया संरक्षण व प्रवद्र्धन जुइगु विश्वास यानातःगु दु ।', '\nज्याझ्वलय् नेवाः ल्याय्म्हतय् प्रतिभा न्ह्यब्वयेकथं सांस्कृतिक ज्याझ्वः नापं नेवाः नसात्वँसाया नं स्टल दइगु ग्वसाः खलकं छगू पत्रकार सम्मेलनयासे जानकारी बिउगु दु ।']"
नेवाःख्यः,११३८ पोहेंलागा दशमी,नेपालभाषा शैक्षिक ज्वलंत सफ्टवेयरय्,"['येँ :', ' नेपालभाषाया शैक्षिक ज्वलंत इन्टरनेटं डाउनलोड यानाः ब्वने फइ कथं सफ्टवेयर दयेकेत बिहिवाः छगू सहलह ज्याझ्वः जूगु दु ।', '\nसम्मुन्नत नेपाल व वल्र्ड एजुकेशन नेपालया मंकाः ग्वसालय् न्ह्याःगु “डाइलेक्ट माय्पिंग वर्कशप अन नेपालभाषा” ज्याझ्वलय् च्वमि रास जोशी, नेपालभाषा अभियन्ता देवदास मानन्धर, बिष्णु चित्रकार लिसें थीथी ब्वनेकुथिया स्यनामिपिंसं ब्वति काःगु खः । ज्याझ्वलय् नेपाः दुनेया थीथी थासय् च्वंपिं नेवाःतय्सं ल्हाइगु नेपालभाषाया भाषिकायात कयाः नं दुग्यंक सहलह ब्याकेगु ज्या जूगु खः ।', '\nसहलहया क्वःछिना कथं भाषिका नक्साङ्कनया लिधंसाय् नेपालभाषाया शैक्षिक ज्वलंत तयार जुइगु खँ वल्र्ड एजुकेशनया सीमा आचार्यं कनादीगु दु । उगु नक्साङ्कनय् येँ व यलय् न्ववाइगु भाषिकायात न्हापांगु प्राथमिकताय् तयेगु खँय् ब्वति काःपिं सकस्यां सहमति बिउगु खः ।', '\nनेपालभाषा ब्वंका वयाच्वंपिं स्यनामिपिनि ग्वाहालि कयाः उगु ज्वलं तयार यायेगु व थ्वहे दँया मार्च इन्टरनेट मार्फत निःशुल्क डाउनलोड याये फइगु खँ नं मय्जु आचार्यं कनादिल ।']"
नेवाःख्यः,११३८ पोहेंलागा नवमी,मानन्धर संघया बुन्हि थीथी ज्याझ्वः यासें हन,"['केन्द्रीय मानन्धरया संघया ६५ क्वःगु बुन्हि (स्थापना दिवस) वंगु शुक्रवाः थीथी ज्याझ्वः यासें हन । संघया सभापति गोपालकृष्ण मानन्धरया सभापतित्वय् जूगु उगु ज्याझ्वलय् मूपाहांकथं सछि दँ दुम्ह देय् थकालि ललितमान मानन्धर झायादीगु खः ।', '\nमूपाहापाखें संघया संस्थापक सभापति देवीदास मानन्धरया किपाय् स्वांमाः क्वखायेकाः व त्वाःदेवा च्याकाः उलेज्या यानादीगु ज्याझ्वलय् संघया उपसभापति बद्रीनारायण मानन्धरं लसकुस यानादीगु खः ।', '\nज्याझ्वलय् मानन्धर समुदायया छम्ह विशिष्ट व्यक्तियात प्रबुद्ध व्यक्तिकथं सम्मान यायेगु झ्वलय् थुगुसी नेपालभाषाया नांजाःम्ह आख्यानकार मथुरा साय्मियात प्रबुद्ध व्यक्तिकथं सम्मान याःगु खः । अथे हे नेपालभाषाया च्वमि राजेन मानन्धरया ‘बुनाः त्याःपिं’ नियात्रा सपूmया निंतिं मथुरा साय्मि सिरपाः लःल्हाःगु खःसा संघया बुन्हिया लसताय् ‘साः व साय्मि’ विषयय् जूगु च्वखँ कासाय् उत्कृष्ट च्वमि कथं कामना मानन्धरयात शेरलक्ष्मी, लक्ष्मीबहादुर, महालक्ष्मी सिरपाः लःल्हाःगु खः ।', '\nउगु हे ज्याझ्वलय् न्यय्द्वः तका दांया मोहनलाल खिं मानन्धर सिरपाः लाय्कूसाः मानन्धर समाजया थकालि तीर्थनारायण मानन्धर व नीन्याद्वः तका दांया उगु हे सिरपाः बनेपा जापाली गुथिया नायः जगतनारायण मानन्धरयात लःल्हाःगु खः ।', '\nअथे हे थगुने फ्रान्सय् जूगु मिस डिफ एसियाय् उपाधि त्याकेत ताःलाःम्ह मय्जु सुरभि मानन्धर व मिस लिटिल नेवाः–११३८ य् उपाधि त्याकेत सफल जुयादीम्ह मय्जु जेनी मानन्धरयात नं ज्याझ्वलय् विशेषकथं हनेज्या याःगु खः ।', '\nनापं वंगु शैक्षिक सत्रय् पीएचडी, एमबीबीएस, प्लस टु विज्ञान व व्यवस्थापन संकाय नापं एसइइ परीक्षाय् सर्वोत्कृष्ट ल्याः हयादीम्ह छात्र छम्ह व छात्रा छम्हेसित संघपाखें म्हतिं निद्वः तका दां नापं दसिपौ, उत्कृष्ट न्याम्ह मिसा व न्याम्ह मिजंयात छसिकथं केदारनारायण–सुदर्शना तःखाछेँ व न्हुछेनारायण रामदेवी तःखाछेँ सिरपाः लःल्हाःगु खः ।', '\nथुकथं हे थुगुसी शम्भूमान (काकाभाई) बसुन्धरा लमुन्ति कोषपाखें जूगु मचा याकः म्येँ धेंधेंबल्लाः कासा, टेबुलटेनिस, चेस व मचा ब्वाज्या कासाय् विजयी जुयादीपिंत नं सिरपाः, दसिपौ व पदक लःल्हाःगु खः ।', '\nझिद्वः तकाया मिसा विकास कोष व छगू लख न्यासः व न्यातका दांया निसन्तान ग्वाहालि कोष नं नीस्वनेगु ज्या जूगु खः ।']"
नेवाःख्यः,११३८ पोहेंलागा एकादशी,ख्वपया स्वस्थानी धलं: थीथी अनुभव,"['विनोद प्रजापति छम्ह ख्वपया नांजाःम्ह एथलेटिक्स कासामि खः । वं छुं हे आशा मकासें हनुमानघाट ख्वँह्रे धलं दनीपिं नापं हे जलसमाधी कयाः व्रत च्वनेगु यानाच्वंगु न्यादँ दयेधुंकल । थ्व झ्वलय् वं राष्ट्रिय अन्तर्राष्ट्रिय स्तरया थीथी कासाय् सफलता नं कयाच्वंगु दु । थुगुसी धाःसा धलं दनेत वःपिंत सैद्धान्तिक ज्ञान नं बिइमाः धकाः थीथी कथं धार्मिक व आध्यात्मिक ज्ञान बीगु ल्याखं सफू मियेगु ज्या नं याना च्वनादिल । अन म्वःल्हुयाः सिलामं तुलेत वइपिं मेपिंनापं थुगुसी नं वं थः नं समाहित जुयाः सिलामं तुल । म्वःल्हुयाः जलसमाधि नं काल । छुं दिं थथे ब्रत च्वनाः धोती छपु जक चिनाः सिलामं तुलेगु व म्वःल्हुयेगु ज्या यानाःलिं छगू धार्मिक संस्थां वय्कःयात सितिं हे धइथें भारतया पवित्र थाय् वृन्दावनया भ्रमणया लागिं अफर वयेवं धाःसा आः वय्कः उखे हे झायाच्वनादीगु दु ।\r\n                    \r\n                    \r\n                ', 'ख्वपया हे मेम्ह नांजाःम्ह एथलेक्टिस कासामि कान्छीमैंया कोजूं नं थुगुसी महानगरिय प्रहरी परिसर ख्वपय् स्वस्थानी धलं शुरु जुइगु दिंकुन्हु हे लाकाः तालिम हल उलेज्याय् नेवाः वसतय् थः नं प्रहरी जवान धइगु होस मदइ कथं थीथी कथंया पवित्र ज्या यानाः नं स्वस्थानीया ब्रतयात लुमंकाः च्वनादिल । ख्वपया हनुमानघाट ख्वँह्रेय् पौष शुक्ल पूर्णिमानिसें माघ शुक्ल पूर्णिमातक दँय्दसं च्वनीगु धलं दनेगु ज्याय् धाःसा विनोद थेंज्याःपिं मिजं स्वयाः नं मिस्त अनसं च्वनाः थीथी कठीन यात्रा पुवंकाच्वंगु दु । व्रतया झ्वलय् अन न्हापा न्हापा नीम्ह, स्वीम्ह व पीम्ह जुजुं पीन्याम्ह तक मिस्त छक्वलं च्वनेगु थाय् हे मदयेक व्रत च्वनेगु यानाच्वंगु खः । तर थुगुसी अन स्वम्ह हे जक मिस्त व्रत च्वनाच्वंगु दु । तालाक्व त्वाःया कृष्णमाया न्हिच्छिं छुं मनसें बहनी ८-९ बजे जुयाःलि जक छछाः नयाः अन व्रत च्वनेत वयेगु यानाच्वंगु दु । अथे हे जिथिम्ह ७३ दँ दुम्ह कृष्णमाया सिन्ताकल नं थःगु जिथि बैसयात तकं ध्यानय् मतसे व्रत च्वंच्वनादीगु दु ।', '\nथज्याःगु कठीन व्रत च्वनेगु ज्याय् क्वाठण्डौया दिललक्ष्मी प्रजापति नं सहभागी जुयाच्वंगु दु । थुकथं न्हापा न्हापा श्रद्धापूर्वक मनूतय्सं अन वयाः व्रत च्वनीगु ज्या तकं आः बुलुहुं बुलुहुं ह्रास जुयाच्वंगु दु । गुलि नं अन व्रत च्वनाच्वंपिं दु, फुक्कं हे स्वस्फूर्त रुपं छेँजःपिं नापं सहलह ब्याकाः जक लछि अनसं च्वनेगु कथं थःगु छेँयात त्याग यानाः वयाच्वंपिं दु । मिजंतय्गु लागिं धाःसा अथे अनसं हे च्वनेमाः धइगु नं मदु । न्हिंन्हिं हे थःगु छेँय्नं अन वयाः नायःजुया उजं कथं थीथी द्यःया थासं सिलामं तुलाः उगु हनुमानघाट खुसिइ कुहां वनाः म्वःल्हुयाः पवित्र जुयाः अन दयेकातःगु कृतिम पुखू दुने लुकुंबियाः जलसमाधि कायेगु उमिगु सुथसिया नित्य ज्या जुइ । वयां लिपा धाःसा उपिं न्हिनय् थःथःगु छेँय् वनाः स्वतन्त्र जीवन हनाच्वनी । अथे खःसा नं उपिं स्वस्थ जुयाच्वंगु दु । थ्व अनुभूति धाःसा विनोदया स्वयां नीगुदँ न्ह्यः ब्रत शुरु यानाः आः तक नं निरन्तर दँय्दसं पुस माघ जुइवं ख्वँह्रेय् खने दयेकाः वयाच्वनीम्ह दुरुकाजी सुवालया दु । न्हय्न्यादँया बैसय् थ्यनाच्वंम्ह वय्कः आः तक नं हृष्टपुष्ट हे तिनि । वयात मेमेगु इलय् नं छुं कथंया ल्वय् दु धइगु मसिउ । थ्व मन पवित्र जूगुया लिच्वः हे खः ।', 'विक्रम संवत २०४५ सालं अन छगू सतः निर्माण यानाः च्वनेगु थाय् दसांनिसें निरन्तर व्रत च्वनेगु सुरु यानादीम्ह खौमा त्वालय् च्वंम्ह दुरुकाजी सुवालं थम्हं मनय् तयागु खँ पुवनाच्वंगु, स्वास्थ्य रक्षा जुयाच्वंगु नापनापं स्वस्थानी धलं धाःगु थ्व माधवनारायणया धलं दनेगु ज्याया लिच्वः कथं हे थःत ज्या यायेबलय् सफल जुयाः फाइदै फाइदा जक जुयाच्वंगु कनादिल । स्वम्ह काय् व छम्ह म्ह्याय्या अबु जुइधुंकाः निरन्तर थथे धलं दनेगु ज्याय् संलग्न जुयाः ख्वँह्रे वयाच्वनीम्ह वय्कःयात पुलांम्ह, ज्याथम्ह व बल्लाःम्ह कथं हे अन मेमेपिं व्रतालुतय्सं कयातःगु दु । ७५ दँया बैसय् नं सिलामं तुलाः ल्याय्म्हपिं सरह ग्वारा ग्वारा तुलाः वयाः नं धुक्क नक्सां म्वःल्हुयाः घौपलख लखय् लुकुंबियाः च्वनीबलय् मनूतय् मस्वसें हे मगाका बिइ ।', '\nबिरामी मजुइगु व मन सन्तोष जुयाः यानागु ज्या सफल जुइगु थेंज्याःगु अप्रत्यक्ष फाइदा थुगु व्रत च्वनागुलिं चूलानाच्वंगु दुरुकाजीया अनुभव दु । विक्रम संवत १९९९ सालय् बुयाः बःचा धिकःबलय् छक्वः निक्वः व्रत च्वनाः त्वःताच्वंम्ह वय्कः २०४५ सालंनिसें धाःसा निरन्तर थुगु व्रतय् संलग्न जुयाच्वंम्ह खः । उगु व्रत च्वनेगु ज्याय् २०२२ सालंनिसें मदिकं ब्रत च्वनाः मेपिंत नं व्रत तयेगु ज्याय् दुथ्यानाच्वंम्ह छम्ह ब्रतालु धाःसा उद्धव खाइतू खः । वय्कः ब्रत च्वनीपिं गणया हे नायः खः । अन दयेकातःगु माधवनारायण व्रत सेवा समितिया वय्कः अध्यक्ष नं खः । थ्व लछि यंकं जुइगु व्रतया लागिं सुयातं धायेमाःसां, छुं यायेमाःसां वा छु तक मगाःमचाः जुल, उकियात पूवंकेगु लागिं निरन्तर लगे जुयाच्वनीम्ह व्यक्ति कथं सकसिनं वय्कःयात म्हसिउ । न्हापांनिसें तन, मन व धन बियाः लगे जुयाच्वंम्ह पात्र खःसां वय्कलं छुं आशा कयाः वा प्राप्तिया लागिं थथे धलं दनेगु ज्या यानागु मखु धयादिल । न्यय्स्वदँ तक्क मदिक धलं दनेगु ज्याय् हे जक संलग्न जुयाच्वंम्ह वय्कः खाइतू अन जुइगु लछि यंकंया पूजाविधि व ब्रत च्वनेगु फुक्कं विधि नं सिउम्ह खः । वय्कः शास्त्र कथं ज्या यायेमाः धाइगु धारणा ज्वनाः सःथें मसःथें शास्त्रीय परम्परायात कायम यायेत स्वइम्ह खः ।', 'थन न्हियान्हिथं मिस्त सुथय् म्वःल्हुयाः सिलामं तुला वइपिंत मथिसें अलग्ग हे च्वनाः श्रीस्वस्थानीयात स्नान याके हइगु इलय् लखय् च्वनाच्वनी । लखं पिने वयेवं धाःसा ब्रतालुतय्त ग्वाहालि यायेत च्वनाच्वंपिसं मि पंकाः ग्वाहालि याइ । थथे ग्वाहालि यायेगु ज्याय् जक झिंखुदँ थःत पानादीधुंकूम्ह भोलाछेँया सत्यमाया दुवालया अनुभव न्यने न्ह्यइपुसे च्वं । सिलामं तुलाः वइपिनि धोती हियेगु, उमिगु धोती ख्यलय् यंकाः पायेगु व न्हिछि पानाः हे तःसां बहनी दुकयाः हेरचाह यायेगु उमिगु ज्या खः । नापं मि पंकेत चन्दा कथं सु कयाःहयाः च्याकाः मि पंकेगु याइ । उमि नं लाकां न्ह्यायेगु ला छु थिइ तकं मत्यः धाइ । उमित नं मेपिं ब्रत मच्वंपिंसं थिइमत्यः । थः न्ह्याब्लें सेवा जक यानाच्वनेम्ह थगुने धाःसा छाय् ब्रत मच्वनेगु धकाः च्वनादिल । तर वय्कःयात स्वास्थ्यं साथ मबिल । सत्यमायां थगुने लछि ब्रत च्वनेधुंकाः हे धुलिखेल अस्पतालय् लछि च्वने माला वन । ब्रत लछि च्वंथें वय्कःयात वासः याकेत लछि तक धुलिखेल अस्पतालय् च्वनेमाःगु कारणं वय्कःयात काय्, म्ह्याय् व पासापिसं नं ब्रत च्वनेमते धायेवं सेवक हे जुयाच्वनादिल ।', 'ब्रत च्वनीपिंसं न्हि छछाः नइगु इलय् नं नैंक्याः, छोहरा, दुरु व चिनि जक नयेजिउ । चि तयाः छुं नं नयेमजिउ । अथे दयेकूगु तस्मि जक नयाः ब्रत च्वनेमाः । तर सत्यमायायात अथे दयेकातःगु तस्मि जा स्वये हे मयः । ख्वीच्यादँ दयेधुंकूम्ह वय्कःयात नं सेवा यायां हे गुकुन्हु गनं सिलामं तुलि व गनं ब्रत सुरु यानाः गथे क्वचायेकीगु व चाँगुनारायण, दक्षिणकाली, पन्ति गुकुन्हु वनी धइगु दिं तकं कन्थ वः । थन धलं दनीपिं छन्हु पन्ति, मेबलय् दक्षिणकाली व चाँगुनारायण वनीगु चलन दु । हनुमानघाटय् सूर्यविनायक, गुप्तेश्वर महादेव, हनुमन्तेश्वर, तःधीम्ह बुद्ध, सरस्वती, किरातेश्वर, तःधीम्ह गणेश नापं थीथी द्यःपिं दु । बार व तिथि स्वयाः गुम्ह द्यःया मेला लाइगु खः, उम्ह हे द्यःयाथाय्निसें व्रत च्वनीपिं मिजंत सिलामं तुलाः म्वःल्हुइत वनी ।', 'ताः ई निसें ख्वपया हे इज्जत जुयाच्वंगु हनुमानघाटय् स्नान यानाः थथे व्रत च्वनेगु चलन नेपाल संवत ७२२ सालंनिसें न्ह्यानाच्वंगु शास्त्रय् उल्लेख जुयाच्वंगु दु । थुलि पुलांगु चलन आः तकं दीगु धाःसा मदुनि । तर न्हापा गुलि च्वन्ह्यानाः मनूतय् आस्था ब्वलंगु खः, आः धाःसा बिस्तारं थथे ब्रत च्वनीपिं पाः जुजुं वनाच्वंगु दु । थ्व गथे जुल धकाः न्यनागु न्ह्यसलय् अन मचाबलय्निसें ब्रत च्वनाः मचा ल्याय्म्हचा जुइवं भचा लज्या चायाः विद्यार्थी जीवन ज्वःछि त्वःतालि आः न्यय्दँ पुले धुंकाः हाकनं थुगु हे व्रत च्वनेत वयाच्वनीम्ह विष्णुप्रसाद स्वंगःमिखां थाय् हे मदुगु खँ कनादिल । ख नं अन थुगुसी भुखाचं दुनाच्वंगु फुक्कं संरचना पुनःनिर्माण जुयाच्वंगुलिं यानाः च्वनेगु थाय् तकं अभाव जुयाच्वंगु दु । थःपिंसं माःकथं ब्यवस्था याये मफयागु खँ धाःसा अन हे बुयाः अन हे ख्वीदँया बैस फुकेधुंकूम्ह बःजु गोपाल शर्मां स्वीकार यानादिल । वय्कः न्हियान्हिथं तिलमानवनारायण द्यः ज्वनाः स्नान याकेत अन थ्यंकेमाःम्ह बाज्या खः । मदुम्ह कृष्णगोपाल सैंजू व तौलाछेँ निवासी भाइचा किसी (प्रजापति)या प्रेरणां थः व्रत सुरु यानागु व मचाबलय् गुच्चा म्हिताच्वनाम्हेसित अथे ई सितिं छ्वये मजिउ पवित्र ज्याय् लगे जुइमाः धायेवं व्रत शुरु यानादीम्ह विष्णुप्रसाद स्वंगःमिखां समितिपाखें थन यायेमाःगु ब्यवस्था यायेमफुगु कारणं हे समस्या जुयाच्वंगु द्वपं बियादिल ।', 'स्वस्थानी व्रत सुरु जुइ प्यन्हुति न्ह्यः ख्वप नगरपालिकाया मेयर सुनिल प्रजापति थः हे न्ह्यःने च्वनाः थन विशेष सफाई ज्या न्ह्याकूगु खः । उकिं जक थन कृतिम पुखू तयार जुयाः भचा बांलाःगु लः मुंके फयाच्वंगु खः । मखुत धाःसा थुगु थाय् ला निकास ल्वाकज्याःगु धः जक बाःवयाः ताकुसे च्वंक नँवयाच्वंगु खुसि जुये धुंकूगु थाय् खः । दीर्घकालीन रुपं थन सफाई याये मफुसां अस्थायी ज्या जूगु दु । वःगु चन्दा सुचुकेगु व माःगु ज्याय् छ्यले मफुगु गुनासो ब्रतालुतय्सं हे यानाच्वंगु दु । टौमढी त्वाःया तिलमाधवनारायण, इटाछेँया माधवनारायण, श्रीपञ्चमीकुन्हु ख्वपया तौलाछेँ त्वालय् च्वंम्ह वाकुपति चाँगुनारायण, तुलाछेँ व चासुख्यलय् च्वंपिं थीथी नारायण द्यःयाथासं नं ब्रतालुत थथे हे सिलामं तुलाः वयेगु चलन दु । थ्व कठिन ब्रतया लागिं स्थानीय निकाय, धार्मिक संघ संस्थापाखें सुविधाया मखु कि ब्यवस्थापनया ग्वाहालि यात धाःसा गाःगु खँ ब्रतालु विष्णुप्रसाद स्वंगःमिखां कनादिल । यक्ष मल्लया पालंनिसें हे थःपिनि पूर्खायात अन ज्या यायेगु कथं जिम्मेवारी बियातःगु गोपाल शर्मां कनादिल । ब्रत च्वनीपिं तुते हे जुये धुंकूसां जलाशयन च्वनीपिं तुते मजूगु खँ नं वय्कलं कनादिल ।']"
