category,date_published,headline,news_text
संस्कृति,११३८ सिल्लागा आमै,गोरखा दरवार पुनःनिर्माणया निंतिं थुनेगु शुरु,"['येँ – तःभुखाचं क्षति जूगु गोरखा दरवार पुनःनिर्माणया निंतिं थुनेगु ज्या शुरु जूगु दु । २०७२ साल बैशाख १२ गतेया गोरखाया बारपाक केन्द्रीत तःभुखाचं क्षतिग्रस्त जुइवं ऐतिहासिक महत्व कुबियाच्वंगु गोरखा दरवार पुनःनिर्माणया निंतिं थुनेगु ज्या शुरु जूगु खः ।१९९० सालया तःभुखाचं नं छुं मजूगु गोरखा दरवार थनिं करिब स्वदँ न्ह्यः गोरखाया बारपाक केन्द्रीत तःभुखाचं धाःसा क्षतिग्रस्त जूगु खः । ४०० दँ पुलांगु धयातःगु उगु दरवार जगंनिसें हे पुनःनिर्माण यायेमाःगुलिं आः उकियात पूवंक हे थुनेगु ज्या जुयाच्वंगु दु ।\r\n                    \r\n                    \r\n                ', 'पूवंक हे थुनाः जगंनिसें हे पुनःनिर्माण यायेमाःगु जूगुलिं थुनेगु ज्या जुयाच्वंगु व पुलांगु हे स्वरुप व संरचनाय् हाकनं पुनःनिर्माण यायेगु पुरातत्व विभागं न्ह्यथंगु दु ।वि.सं. १६८६ लय् तत्कालीन गोरखाया जुजु राम शाहया पालय् दयेकूगु गोरखा दरवार पुलांगु हे स्वरुपय् पुनःनिर्माण यायेगु ल्याखं विभागया कर्मचारीया उपस्थितिइ थुनेगु ज्या जुयाच्वंगु दु । दरवार थुनेगु ज्यालिसें पुलांगु सामग्री चिइकेगु ज्या नं जुयाच्वंगु दु ।', '‘दरवारया पुलांगु सामग्री चिइकेगु ज्या जुयाचवंगु दु । ज्या काये जिउगु सामग्री हाकनं प्रयोग यायेगु व ज्या लगे मजूगुयात वांछ्वयेगु जुइ’ दरवार हेरचाह अड्डाया प्रमुख हरिप्रसाद भुसालं धयादिल, ‘दरवार थुनेगु ज्यालिसें जग तयेगु निंतिं नं ज्या जुयाच्वंगु दु । करिब ४ करोड ३७ लाख लागतय् पचली सिभा जेभी कम्पनीं दरवार पुनःनिर्माण यायेत्यंगु खः । भुखाचं हे क्षति जूगु दरवार लागाया गोरखनाथ देगः लगायतया संरचना धाःसा पुनःनिर्माण यायेगु ज्या क्वचाय् धुंकूगु दु ।']"
संस्कृति,११३८ चिल्लाथ्व पारू ,नवदुर्गा द्यःगणयात जात्रा चले यायेत हे समस्या,"['ख्वप- ख्वप जिल्ला जक मखु देय्न्यंकं हे नांजाःगु नवदुर्गा प्याखं धमाधम संकटय् लालां वनाच्वंगु खँ उगु प्याखनय् सहभागी प्याखंम्वःतय्सं धाःगु दु ।', '\nजात्राया लागिं क्वातुगु श्रोत मदुगु जुयाः प्याखं म्हितीपिं प्याखंम्वः व मेपिं सहभागीत थःथःपिंसं हे छेँनं बजि व ध्यबा हयाः भ्वय् नये मालाच्वंगु दु । जात्रा चले यायेत श्रोत चूलाकेत थ्व जात्राय् द्यः जुइ माःपिं वनमालाततय्सं लँय् च्वनाः छतका नितका चन्दा फ्वने मालाच्वंगु खँ धाःगु दु ।', '\nअथे हे जात्रायात माःम्ह बलि नं न्हापा थीथी मनूतय्सं वयाः चूलाका बीगु खःसां थौंकन्हय् अथे याइपिं मदुगुलिं थुकिया लागिं नं चन्दा हे म्हये माःगु अवस्था वयाच्वंगु दु ।', '\nन्हापा न्हापा पिने जात्रा चले याः वनेबलय् मनूतय्सं द्यःगणयात सम्मान यानाः छेँय् हे थाय् बीगु खः । थौंकन्हय् अज्याःगु सत्कार नं मदुगु जुयाः द्यःगणपिं पिने फल्चाय् द्यनाः प्याखं क्यने माःगु अवस्था वयाच्वंगु दु ।', '\nअथे हे प्याखनय् सहभागी न्हूपिं द्यःगणपिं आखः ब्वं वनेमाःपिं खःसा उपिं स्कूल वनेगु त्वःताः तकं जात्राय् सहभागी जुइ मालाच्वंगु दु । मस्तय्त आखः त्वःतकाः जात्राय् छ्वया हयेत अभिभावकपिं तयार मजुया वइगु स्थिति नं ब्वलनाच्वंगु दु । जात्राय् वनेबलय् द्यःयात धकाः अय्लाःथ्वँ त्वंके हइगु व लिपा द्यः मखुगु इलय् तकं अय्लाः त्वनेगु बानी जुयाः', '\nद्यःगणपिं कुलतय् लानाच्वंगु गुनासो नं वयाच्वंगु दु । थुकिं यानाः द्यःगणया सन्तान सामाजिक रुपं लिउने लाः वनाच्वंगु महसुस याना हयाच्वंगु दु ।', '\nथ्व प्याखनय् ब्वति काये माःपिं वनमाला जातिया मनूतय् पुस्तौनी पेशा धइगु स्वां मीगु खः । तर थौंकन्हय् बुँ मदया वंगुलिं थ्व पेशापाखें विस्थापित जुइ मालाः उमिगु आर्थिक अवस्थाय् तकं लिच्वः लानाच्वंगु दु ।', '\nद्यःगण व जात्रायात छुं समस्या वःसा न्हापा दरवारय् निवेदन यात धाःसा छुं भचा जूसां ग्वाहालि जुयाच्वंगु खःसां गणतन्त्र वयेधुंकाः अज्याःगु ग्वाहालि नं बन्द जूगु गुनासो वयाच्वंगु दु ।']"
संस्कृति,११३८ चिल्लाथ्व दुतिया,थौं यल कुमारी आसनय् बिज्याकीगु,"['यल – यलया न्हूम्ह कुमारी निहिरा वज्राचार्ययात थौं आसनय् बिज्याकीगु जूगु दु । थौं विधिवत पुजा यासें निहिरायात यलया कुमारी कथं प्रतिस्थापन याइ ।', '\nस्वदँया निहिरायात वंगु वाःया सोमवाः कुमारी ल्यःगु खः । थौं वसपोलयात आसनय् बिज्याकेधुंकाः आः कुमारी जुयाबिज्यानाच्वंम्ह युनिका वज्राचार्य कन्हय् थःगु छेँय् बिज्याइ । कुमारी छेँ नं थःगु छेँय् कन्हय् जक बिज्याइगु जूसां सोमवाः न्हूम्ह कुमारी ल्ययेधुंकाः युनिका कुमारी छेँनं पिहां बिज्यानाः स्कुल वनेगु सुरु यानाबिज्यायेधुंकूगु दु ।', '\nन्हूम्ह कुमारी निहिरा यल गाःबहाःया निरजरत्न व मोहनी वज्राचार्यया म्ह्याय् खः । वसपोलयात वंगु सिल्लाथ्व पञ्चमी सोमवाः कुन्हु कुमारी जुइगु निंतिं वःपिं न्याम्ह मध्ये ल्यःगु खः । थौं आसनय् बिज्याये धुंकाः वसपोल कुमारी छेँय् हे च्वना बिज्याइ । वसपोलयात आखः ब्वंकेगु व्यवस्था कुमारी छेँय् हे जुइ ।', '\nकुमारी ल्यय्धुंकाः वसपोल थःगु हे छेँय् च्वनाबिज्यानाच्वंगु खः । छेँय् च्वंसां वसपोलया नयेत्वनेगु फुऽ निसी यानाः यायेगु जुइधुंकूगु खः ।', '\nयल कुमारीयात बुंगः द्यः जात्रा, घोडेजात्रा लिसें थीथी जात्राबलय् यानाः दछिया झिंस्वक्व कुमारी छेँ नं पितबिज्याकीगु चलन दु ।']"
संस्कृति,११३८ चिल्लाथ्व दुतिया,यलय् न्हूम्ह कुमारी आसनय् बिज्याकल,"['यल– यलया न्हूम्ह कुमारी निहिरा वज्राचार्ययात शनिवाः आसनय् बिज्याकूगु दु । शनिवाः विधिवत रुपं प्रतिस्थापन पुजा यायेधुंकाः वसपोलयात आसनय् बिज्याकूगु खः । वसपोल आवंनिसें कुमारी छेँय् हे च्वनाबिज्याइ । प्रतिस्थापन पुजाया झ्वलय् वसपोल कपालय् मिखा कंकाः (मिखाया सिन्हः तिकाः) पुज्याःगु खः । कुमारी आसनय् बिज्यायेधुंकाः वसपोलं पुजाय् सहभागीपिंत सिन्हः नं तिकाबिज्याःगु खः । प्रतिस्थापन पुजा यायेधुंकाः जक न्हूम्ह कुमारीयात द्यःमय्जु कथं माने याइ ।\r\n                    \r\n                    \r\n                ', 'न्हूम्ह कुमारी आसनय् बिज्याय् धुंकाः आः पुलांम्ह कुमारी कन्हय् थःगु छेँय् बिज्याइगु जूगु दु । पुलांम्ह कुमारी युनिका वज्राचार्य थीमजिउ जूगुलिं निहिरायात वंगु सिल्लागा ५ सोमवाः कुन्हु न्हूम्ह कुमारी कथं ल्यःगु खः ।', 'न्हूम्ह कुमारीयात आः कुमारी छेँय् हे तयाः ब्वंकेगु याइ । वसपोल दँय् झिंस्वक्वः जक थीथी जात्राया इलय् कुमारी छेँय् नं पिहां बिज्याइगु खँ धाःगु दु ।']"
संस्कृति,११३८ सिल्लागा दुतिया,ऐतिहासिक थाय् भुतिसःया संरक्षण,"['येँ- येँया मरुसतः न्ह्यःने च्वंगु भुतिसतःया संरक्षण यायेगु ज्या शुरु याःगु दु । पुरातत्व विभागं लछि न्ह्यः भुतिसतः छचाःलि नँया सिखलं बेरे यानाः संरक्षण याःगु खः । ऐतिहासिक महत्व दुगु थ्व थाय् थ्वयां न्ह्यः मोटरसाइकल दिकेगु, तरकारि मिइगु याना वयाच्वंगु खः । येँयाः झ्वलय् दागीं वनाः लिहां वयेबलय् ल्यं दुगु दक्वं थन हे भूतिसतलय् वायेगु याइ । अथेहे पचलीया झिंनिदँया जात्राया झ्वलय् जुजुलिसे खड्ग हिलीगु थ्व थासय् तसकं ऐतिहसिक जूगुलिं संरक्षण यायेमाःगु खँ संस्कृतिविद् यज्ञमानपति वज्राचार्यं धयादी ।\r\n                    \r\n                    \r\n                ', 'थ्व थाय्यात इतिहास बारे वय्कलं धयादी, ‘न्हापा छकः पचली जात्राबलय् क्वंचा कुतुं वनाः देय् न्यंकं क्षरापति ल्वय् न्यना वन । अले स्वस्ति शान्ति यानाः क्षरापति दक्वसित थन भुतिसतलय् हे वानाबिल । उकिं थ्वयात भुतिसतः धाःगु खः ।’वय्कःया कथं न्हापा सिखंमू बहाःया छगू गुथिइ महावली पुजा यायेगु चलन नं दुगु खः । उगु महावली पुजा क्वचायेवं भुति सतलय् वाये यंकेगु याइगु खः । थांैकन्हय् थ्व महाबली पुजा धाःसा बन्द जुइधुंकूगु दु ।संस्कृतिविद् वज्राचार्य कथं थन घ्यःचाकु सन्हुया छन्हु न्ह्यः छ्वः मनाः कन्हय् कुन्हु भुतिसतलय् हयाः सायात नकेगु ज्या याइ ।', 'थथे सायात नकीगु गुथियात सा गुथि धायेगु यानाच्वंगु व थौंकन्हय् नं थथे नकेगु ज्या जुयाच्वंगु दु । स्थानीय विष्णुराज श्रेष्ठं धाःसा बार तःसां नं अन दुने पसः तयेगु ज्या जुयाच्वंगुलिं पसः चीकेमाःगु खँ धयादीगु दु । ऐतिहासिक थासय् बार ग्वये धुंकाः नं दुने पसः तयेगु यानाच्वंगु धासें स्थानीय पहलं अन पसः मतयेकेगु ज्या जुयाच्वंगु खँ वय्कलं कनादिल ।']"
संस्कृति,११३८ सिल्लागा दुतिया,न्हापांगु चरणया न्याः लाकेगु जात्रा क्वचाल,"['ख्वप- ख्वपय् छगू चरणया न्याः लाकेगु जात्रा म्हिगः क्वचाल । म्हिगः याछेँ त्वालय् न्याः लाकाः न्हापांगु चरणया जात्रा क्वचायेकूगु खः । नवदुर्गापाखें वंगु माघ २ गतेनिसें सूर्यमढी, दतात्रय, क्वठण्डौ, गःहिति, इनाचो, गोल्मढी व याछँेय् न्या लाकेगु ज्या क्वचायेवं न्हापांगु चरण क्वचाःगु खः । आः द्यःयात सांगाय् यंकाः अन नं अथेहे न्या लाकाः हाकनं लित हइ । वयां लिपा हाकनं ख्वपया थीथी थासय् न्या लाकालिं हाकनं देसं पिने भ्वँतय्, नाला, पन्ति व धौख्यलय् दथुइ दथुइ यंकीगु चलन दु । न्हापांगु चरण क्वचायेवं आरती च्याकेगु ज्या जुइ ।']"
संस्कृति,११३८ सिल्लागा पञ्चमी,‘न्यतमरु अजिमा’ यात द्यः दयेकाः अन्त्येष्टि,"['येँ – न्यतमरु अजिमाया द्यः प्याखं पिहां वइबलय् अजिमा जुयाः प्याखं हुलेगु यानादीम्ह भाजु लक्ष्मीनारायण महर्जन म्हीग मंत ।वय्कःया अन्त्येष्टि म्हिगः थनया लुतिइ याःगु खः । न्यतया छेँय् च्वनीम्ह वय्कः आकाझाकां अक्सिजन म्हो जुयाः मदुगु खँ छेँजःपिंसं धाःगु दु । मदये न्ह्यः तक वय्कः स्वस्थ दुगु खँ नं धाःगु दु । वय्कःया सिथं यंकेगु झ्वलय् द्यः जात्रा याये थें शवयात खतय् तयाः यंकूगु खः । वय्कः निक्वःगु ज्याजंक्व नं क्वचायेधुंकूगु व लिसें द्यः नं जुयाच्वंगुलिं थुकथं जात्रा याना सिथं यंकूगु खँ वय्कःया काय्भाजु देवकृष्ण महर्जनं ‘नेपालभाषा टाइम्स’ यात कनादिल ।\r\n                    \r\n                    \r\n                ', 'वय्कःया जन्म वि.सं. १९८२ सालं जूगु खःसा वय्कः थः अबु मदयेधुंकाः वि.सं. २०१८ सालं न्हापांखुसी द्यः जुयादीगु खः । वि.सं. २०१८ सालंनिसें वय्कः वंगु २०७४ वैशाख तक नं द्यः जुयाः प्याखं हुलाः सांस्कृतिक ज्याय् सक्रिय जुया हे च्वनादीगु खँ नं कायभाजु महर्जनं कनादिल । वय्कः दकलय् लिपा हनुमानध्वाखा दरवारय् २०७४ साल वैशाखय् राष्ट्रपति विद्यादेवी भण्डारी समेत झाःगु ज्याझ्वलय् प्याखं हुलादीगु खँ नं वय्कःया कायभाजुं कनादिल ।', '\nवय्कः मदय्धुंकाः आः वय्कःया थासय् वय्कःया हे काय्भाजु देवकृष्ण महर्जन न्यत अजिमा कथं प्रतिस्थापित जुइगु खँ धाःगु दु । थ्वहे वइगु पाहांचः¥हे निसें काय्भाजु देवकृष्णं अजिमा जुयाः प्याखं हुलेगु ज्या शुरु यानादी । द्यः जूगु कारणं झिंस्वन्हु कुन्हु हे बर्खि दक्वं फुके यायेगु चलन दु ।']"
संस्कृति,११३८ सिल्लागा तृतीया,"नवदुर्गा प्याखं छु खः, गथे न्ह्याइ ?","['नवदुर्गा द्ययात ख्वपय् तान्त्रिक द्यः कथं कयातःगु दु । थ्व द्यःया उत्पत्ति, जलसमाधि, थीथी चहःपहः व प्याखं व मेमेगु नं फुक्कं तान्त्रिक विधिकथं जक न्ह्याना वयाच्वंगु दु । आः तक नं थ्व द्यःयात तसकं जाःम्ह तान्त्रिक द्यःया रुपय् जनमानसं हना वयाच्वंगु दनि । छम्ह द्यः जुयाच्वंम्ह मनुखं मेम्हसित द्यःया पाः हस्तान्तरण यायेत नं उकथं हे तन्त्रमन्त्र ब्वनाः विधि पुवंका हे जक मेम्हेसित हस्तान्तरण याइ । नवदुर्गाया उत्पत्तिस्थल धाःसा ख्वपय् मखुसें ख्वपं अथेहे स्वक्वय् तापाक वा ५ किलोमिटरति पूर्वपाखे लानाच्वंगु सुडालय् खः ।\r\n                    \r\n                    \r\n                ', 'आः नं अन ब्रम्हायणी, माहेश्वरी, कौमारी, भद्रकाली, बाराही, चामुन्दा, महाकाली, महालक्ष्मी व भैरव यानाः नवदुर्गा वा गुम्ह पीठ द्यःया प्रतिमूर्ति यथावत् दनि । अले दँय् छक्वः ख्वपया थ्व द्यः जुइपिं अन विशेष कथं पूजा वनेगु परम्परा नं कायम हे जुया वयाच्वंगु दनि । सम्भवतः जुजु आनन्ददेवं सुडालया थ्व थासं ख्वप नगरयात आः न्हूगु थासय् सरे यायेत पःखाः दनाः, च्याम्ह पीठ द्यःयात अष्टकोण लाकाः स्थापना यानाः दथुइ भैरव तयाः द्यः व द्यःछेँ तकं बन्दोबस्त यानाबीवं तिनि ख्वपय् थ्व द्यःया बसोबास जूगु खयेमाः ।', 'अझ थ्व स्वयां नं न्ह्यः ब्रम्हायणी नामं हे नांजाःम्ह द्यः काभ्रे जिल्लाया देउपुर लागाय् लानाच्वंगु खःसा अन आः नं सक्वं वयाः पूजा यानाच्वंपिं पूजारीतय् झिंप्यंगू पुस्ता अन हे च्वने धुंकूगु खँ धाःगु दु । थज्याःम्ह तान्त्रिक द्यःया ख्वाःपाः दँय्दसं न्हूगु दयेकीगु चलन दु । अले थीथी जात्रा व पर्व न्यायेके धुंकाः जेठ असार महिनां लाइगु भलभल अष्टमिकुन्हु उगु ख्वाःपाःयात विधिवत रुपं सिथं यंकाः ब्रम्हायणी जगातिइ यंकाः च्याका थकी । थथे ब्रम्हायणी पीठ हे उत्पत्तिस्थल व ब्रम्हायणी पीठ हे समाधिस्थल नं जूगु ल्याखं थ्व द्यःया मू द्यः कथं ब्रम्हायणीयात कयातःगु खनेदु ।', 'तर ब्रम्हायणी नापं गुम्ह द्यः दइगु जुयाः थ्व नवदुर्गा नामं प्रसिद्ध जुयाच्वंगु खःसा च्याम्ह देवी च्याकुनय् स्थापना यानातःगु ल्याखं अष्टमातृका तकं धायेगु याः । उकी भैरवयात ल्याः तइमखु ।भैरवं तकं छुं याये मफुम्ह राक्षसया बध यायेत देवी प्रकट जूगु ल्याखं नं थ्व द्यःया ऐतिहासिक महत्व दु । थ्व सांस्कृतिक, ऐतिहासिक व परम्परगत रुपं नं च्वन्ह्याम्ह द्यः खः । थुलि च्वन्ह्याःम्ह द्यःया सुरुवात धाःसा कुम्हाःतय् चा दानया परम्परां सुरु जुइगु खः । पुंतय्सं कुम्हाःतय्थाय् दां छायाः उकिया लिधंसाय् चा हयाः लां लां तक चायात पानाः गंकाः नचुकाः छुचुं थें यानाःलि उकी थीथी कथंया तत्व', '\nछ्यानाः कपाय् ल्वाकछ्यानाः ख्वाःपाःया आकार बीगु खः ।', 'दँय्दसं दयेकीगु ख्वाःपाः अथे हे व उथें ग्यंक दयेके सःपिं म्हो हे जक कालिगढत ख्वपय् दनि । आःयात पूर्ण चित्रकार ज्याथगु बैसय् नं थ्व ज्याय् ध्यानमग्न जुयाच्वंगु दुसा वय्कःया हे काय् राकेश चित्रकारं थ्व ई कथं ल्वयेकेमाःगु तर्क तयाः वयाच्वनादीगु दु । थ्व ज्याय् लखौं खर्च जुइगु तर थःपिंत दां धाःसा माक्व मवइगु कारणं ज्या बन्द जुइफुगु ख्याच्वः बियाच्वंगु दु । थ्व सीप, संस्कृति व परम्परायात जगेर्ना यायेत धाःसा छगू अक्षय कोष तयार याये हथाय् जुइधुंकल धयागु पुंतय् धारणा दु । ई कथं ज्याला व सामान न्यायेत खर्च मगाःगु उमिगु तर्क खः ।', 'ख्वाःपाः तयार जुइधुंकाः मोहनिया नवमि कुन्हु चान्हय् ख्वाः पाः खू वनेगु धकाः समय् छायाः उगु ख्वाःपाः ज्वनाः वइगु खः ।गथांमुगः चःह्रे कुन्हुनिसें अभ्यास सुरु यानाः तुयुगु वसः जक पुना च्वनीपिं गथुतय्सं मोहनिनिसें रंगीन जामा पुनाः थ्व ख्वाःपाः पुइ । ख्वाःपाः खुइगु ई तक ला उमिसं तुयुगु हे वसः पुना तइगु खः । गबलय् ख्वाःपाः लःल्हायेगु ज्या जुइ, अब्लेनिसें रंगीन वसः पुनाः पूर्ण रुपं द्यः जुइ । उमित थथे कुम्हाःतय्सं बीगु चाया ख्वाःपा पुइवं जक द्यः नालाकाइ । मेबलय् स्वांया ज्या याइपिं गथु वा मालि कथं कयातःगु दु । थ्व ज्यापु समुदायया पुलांगु हे जाति खः ।', 'उमिसं आः तकं थ्व द्यः जात्रा चले याना वयाच्वंगु दु । ख्वपया ताथली, सुडाल, नंखेल, क्वाठण्डौ, इनाचो व नगांचा लागाय् थ्व जातिया बसोबास दु । न्हापा न्हापा थ्व जातिया लागिं जग्गा जमिन नं दुगु खः । तर वि.सं. २०२१ सालं देसय् भूमिसुधारया नामय् फुक्कं गुथिया जग्गा सरकारं काये धुंकाः धाःसा आः जग्गा नां दनि, थःपिंके मंत । उकिं हे थथे थीथी कथं ख्वाःपाः जात्रा वा नवदुर्गाया द्यःजात्रा यायेत पानाच्वंगु खँ उमिसं धायेगु याः । थ्व द्यः न्हापां ब्रम्हायणीं बासा लायेकाः नगर दुने बिज्याकाः भेल्पा ल्वहँतय् भैलःद्यः जूम्हेसिनं स्वां क्वकयाः तलेजुइ बिज्याकाःलि जक द्यः पूर्ण जुइ ।', 'लिच्छविकालय् उत्पन्न जुयाः मल्ल कालय् दक्कलय् विकसित जुयाः द्यःछेँ तकं तयार यानातःगु थ्व द्यः थौं थीथी कारणं ध्याकुनय् लाःवनाच्वंगु दु । मनूतय्त परम्परा व संस्कृतिपाखे उलि चिउताः मदुगु व आधुनिकीकरण हे थ्व द्यः प्याखंया मूल्य मान्यता म्हो खने दयावंगुया कारण खः । कुम्हाः, नाय्, आचाजु, पुं, साय्मि, जुगी, शाक्य, ज्यापु व गथु यानाः गुता जातं चले यानातःगु थ्व जात्राय् रंग कथं नं ह्याउँगु, वाउँगु, तुयुगु, हाकुगु व म्हासुगु यानाः न्याता रंगया प्रयोग जुइ । न्याता हे रंगपाखें ग्वःका व पसुका दयेकी ।', 'थ्व नवदुर्गाया हे प्रतीक कथं काइगु चीज खः । भैरव छम्ह जक हाकुइगु खःसा बाराही, महाकाली व कुमारी ह्याउँइ । श्वेतभैरव, माहेश्वरी व गणेश तुयुगु वर्णयापिं खः । अले ब्रम्हायणी म्हासुइ । सिम दुम धाःसा तुयुम्ह व ह्याउँम्ह जुइ । इन्द्रायणी नं ह्याउँइ । अले विष्णुबीर अर्थात् भद्रकाली धाःसा वाउँसे च्वनी । थथे तुयूगु, हाकुगु, ह्याउँगु, म्हासुगु व वाउँगु रंगपाखें हे ख्वाःपाः तयार याइथें पसूका नं दयेकातःगु खः ।थज्याःम्ह तान्त्रिक द्यःया जात्रा न्हापां येँ जयबागीश्वरीं सुरु जुइगु खः । अथे न्या हे लाकेगु धकाः गोकर्ण व तुपिया धाःथाय् न्या लाकेगु जात्रा जुइ ।', 'न्हापा न्हापा तोखा तकं थ्व द्यः यंकातःगु खःसा २०३८ साललिपा अन ल्वापु जुसांनिसें थ्व परम्परा बन्द जूवंगु दु । छुं दँ न्ह्यःनिसें मध्यपुर थिमिइ नं द्यः मयंके धुंकल । मखुसा थेच्वय् नवदुर्गा द्यः पिकाइगु इलय् यःमरि पुन्हि जःखः थिमिइ थ्व नवदुर्गा द्यः च्यान्हु तक तयाः प्याखं क्यनीगु खः । थथे थ्व द्यः प्रति भक्तिभाव व श्रद्धा म्हो जुजुं वनाच्वंगुलिं जक मखु कि सुरक्षाया कारणं नं द्यःप्याखं संकटय् लानाच्वंगु दु । खास यानाः थ्व प्याखंपाखें बीगु अर्ति उपदेश मनूतय्सं मसियावंगु कारणं हे जक थ्व द्यःया महत्वयात ध्वाथुइके मफुगु व उकिया सांस्कृतिक व शास्त्रीय अर्थ छ्याये मसःगुलिं नं आः थ्व द्यःयात मान्यता तइपिं म्हो जुजुं वनाच्वंगु वनमालातय्सं कनेगु याः ।', 'थ्व द्यःप्याखं हुइकीगु इलय्या छगू छगू चहःपहःया छगू छगू बिस्कं बिस्कं कथं महत्व व शिक्षा दु । थःगु जिउ थःम्हेसियां सफा यायेमाः धइगु ज्ञान, कलाः भाःत दथुइ माया मतिना क्वातुका च्वनेमाः धइगु ज्ञान, स्वास्थ्य प्रति ध्यान तयेमाः धइगु ज्ञान व सहकारीताया महत्व अबलय् हे बियाच्वंगु खनेदु ।थ्व द्यःया न्या लाकेगु प्याखं क्यनेगु झ्वलय् प्याखं धाःसां नाटकीय रुप न्ह्यःने वयाच्वनी । थ्व छगू कथं विशिष्ट श्रेणीया गीतिनाटक हे खः । बोल, ताल व भाव प्रकट यानाः हुलाच्वनीगु थ्व प्याखं न्ह्याक्व स्वःसां हे गाइमखु ।', 'राक्षसयात बध याये धुंकाः थःगु हि हि जक जुयाच्वंगु म्ह सफा यायेत गण्डकी खुसिइ म्वःल्हुइत नांगां वनीम्ह महाकाली खनाः आतुर श्वेतभैरवं वयात भुनुभुनु तुनुतुनु स्वयाच्वंगु इलय् लिक्क वयेवं महाकाली लज्या चायाः श्वेत भैरवयाके च्वंगु गा त्वकाकाइ । लिपा श्वेतभैरव नं म्वःल्हुयेत उगु गंगाय् वनीगु इलय् खुसिइ न्याचात यक्व खनाः लः ह्वलाः न्या लायेत थः मस्त सिम दुम सःती । उमिसं लः ह्वःगु मिले मजुइवं उमित ख्यानाः थःम्हं लः ह्वलाः न्या लाइ । न्या लाइगु धाःसा मनूतय्त लिना लिना जुइ । लिपा न्या नं मेपिंत स्व जक स्वकाः थः जक नइ ।', 'प्वाः स्याइ । प्वाः स्याके धुंकाः वसः हियेमाः धकाः वसः सिम दुमयात हे हीकी । तर उगु वसः वांछवया बी । लिपा थःगु ज्या थःम्हेसियां हे यायेमाः धइगु भावना थुइकाः थःगु वसः थःम्हेसियां हे हियेगु ज्या श्वेतभैरव थःम्हेसियां तुं याइ । प्याखं क्वचाइ । च्याघौ तकया थ्व प्याखनय् क्यनीगु सांस्कृतिक पक्ष धाःसा थ्व हे खः । तर थ्व प्याखंयात ध्वाथुइकाः सिइके मफया वसः हिइगु, चुप्पा नइगु, कुमारी तुलिगु धकाः थीथी कथं अलग्ग अलग्ग कथं जक नवदुर्गा प्याखंयात थुइकी ।', 'थुकिं बिइगु ब्यावहारिक शिक्षा व सहकारीताया भावनायात ध्वाथुइके मफुगु कारणं थ्व प्याखंपाखें वर्तमान इलय् शिक्षा काये मफुगु खः ला धइगु नवदुर्गा द्यःलिसें सम्बन्धित गथुतय्गु दु । थुकथं तान्त्रिक द्यःपाखें ज्ञान कयाः वर्तमान अवस्थायात वाःचायेके फत धाःसा थौं मखुसां कन्हय् थ्व प्याखं छगू जीवन्त ऐतिहासिक व सांस्कृतिक महत्वं जाःगु प्याखं जुयाः खनेदइ ।']"
संस्कृति,११३८ सिल्लागा पञ्चमी,निहिरा वज्राचार्य यलया न्हूम्ह कुमारी,"['यलय् न्हूम्ह कुमारी कथं निहिरा वज्राचार्ययात ल्यःगु दु । सोमवाः छगू कथं धेंधेंबल्लाः यानाः निहिरायात कुमारी ल्यःगु खः ।', '\nरत्नाकर महाविहारय् कुमारी ल्ययेगु झ्वलय् वज्राचार्य कूलया न्याम्ह मस्त मध्ये निहिरायात यल तलेजुया पुजारीपिंसं कुमारी कथं ल्यःगु खः । आः ल्यःम्ह कुमारी गाःबहाःया निरजरत्न व मोहिनी वज्राचार्यया म्ह्याय् खः ।', '\nतलेजुया पुजारीपिंसं कुमारी जुइगु निंतिं हःपिं न्याम्ह मस्तय् जातःया लिसें उमिगु म्हय् घाः खू दु मदु, वा मिले जू मजू आदि स्वःगु खः । अन्तय् तलेजुया मू पुजारी अनन्त ज्वालानन्द राजोपाध्यायया छेँय् यंकाः गोप्य पुजा यायेधुंकाः मू पुजारीया जहानपाखें कुमारी जुइम्ह ल्यःगु खः ।', '\nन्हूम्ह कुमारी ल्यःम्ह निहिरायात वइगु फागुन ५ गते शनिवाः कुमारी आसनय् बिज्याइ । थौंकन्हय् युनिका वज्राचार्य कुमारी जुयाबिज्यानाच्वंगु दु ।\r\n                    \r\n                    \r\n                ', 'किपा साभार- अनलाईनखबर']"
